,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,fv_020,0.0471517741197218,16.07228437436484,0.0322984472989065,0.0620051009405372,1025,Porte-à-porte,Volunteer rate by activity,CA,
1,Groupe d'âge,25 à 34 ans,2013,fv_020,0.0297943101485736,13.90382693986997,0.0216750626752606,0.0379135576218866,1766,Porte-à-porte,Volunteer rate by activity,CA,
2,Groupe d'âge,35 à 44 ans,2013,fv_020,0.0510289803967194,11.44494279057967,0.0395823250140427,0.062475635779396,2316,Porte-à-porte,Volunteer rate by activity,CA,
3,Groupe d'âge,45 à 54 ans,2013,fv_020,0.0558580767737764,9.809248417148345,0.0451189293886647,0.066597224158888,2618,Porte-à-porte,Volunteer rate by activity,CA,
4,Groupe d'âge,55 à 64 ans,2013,fv_020,0.0431047370241563,9.64565763863462,0.0349557254625152,0.0512537485857975,3100,Porte-à-porte,Volunteer rate by activity,CA,
5,Groupe d'âge,65 à 74 ans,2013,fv_020,0.0413444336624462,11.09942231833231,0.0323501720744079,0.0503386952504845,2342,Porte-à-porte,Volunteer rate by activity,CA,
6,Groupe d'âge,75 ans et plus,2013,fv_020,0.0248060391800688,21.198726773593336,0.0144994422101855,0.0351126361499521,1542,Porte-à-porte,Volunteer rate by activity,CA,*
7,Genre,Male,2013,fv_020,0.0406420174346831,7.72627167202492,0.0344875096744946,0.0467965251948715,6433,Porte-à-porte,Volunteer rate by activity,CA,
8,Genre,Female,2013,fv_020,0.0463264986811764,6.397147750630124,0.0405179992617535,0.0521349981005992,8276,Porte-à-porte,Volunteer rate by activity,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,fv_020,0.0422072486672403,16.31230110965886,0.02871294858703,0.0557015487474505,1884,Porte-à-porte,Volunteer rate by activity,CA,
10,Éducation,Diplôme d'études secondaires,2013,fv_020,0.0372230197055484,9.889870850782234,0.0300077874813156,0.0444382519297811,3740,Porte-à-porte,Volunteer rate by activity,CA,
11,Éducation,Diplôme post-secondaire,2013,fv_020,0.0433046339414056,8.062389089349054,0.0364616390444873,0.0501476288383238,4431,Porte-à-porte,Volunteer rate by activity,CA,
12,Éducation,Diplôme universtaire,2013,fv_020,0.0507358942177053,8.456168950220164,0.0423270353857287,0.0591447530496818,3756,Porte-à-porte,Volunteer rate by activity,CA,
13,Éducation,Non indiqué,2013,fv_020,0.0481762915241124,20.494606263746213,0.0288245062539731,0.0675280767942517,898,Porte-à-porte,Volunteer rate by activity,CA,*
14,État civil,Marié.e/union de fait,2013,fv_020,0.0474272673304832,5.167521194292998,0.0426237599789736,0.0522307746819929,8364,Porte-à-porte,Volunteer rate by activity,CA,
15,État civil,Veuf.ve,2013,fv_020,0.0192238993391632,17.51736903840265,0.0126236786960029,0.0258241199823236,1414,Porte-à-porte,Volunteer rate by activity,CA,*
16,État civil,Séparé.e/divorcé.e,2013,fv_020,0.0339944438852337,17.455453030981683,0.0223642445931623,0.045624643177305,1720,Porte-à-porte,Volunteer rate by activity,CA,*
17,État civil,"Célibataire, jamais marié.e",2013,fv_020,0.0411578051957627,12.077194716185366,0.0314153960002825,0.050900214391243,3204,Porte-à-porte,Volunteer rate by activity,CA,
