"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Happy with what already given","Do not report barrier",2013,"gs1datot",358.769839151889,6.19792135102214,315.187545976296,402.352132327481,2858,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"2","Happy with what already given","Report barrier",2013,"gs1datot",598.082502419823,4.11167603974464,549.884606781934,646.280398057712,9104,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"3","Could not afford to give more","Do not report barrier",2013,"gs1datot",671.126967069654,5.87917106352609,593.793251323881,748.460682815427,3759,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"4","Could not afford to give more","Report barrier",2013,"gs1datot",471.159956323774,4.20528018077859,432.326021243982,509.993891403567,8207,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"5","No one asked","Do not report barrier",2013,"gs1datot",566.672718762386,4.1036372954042,521.095337934016,612.250099590757,8847,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"6","No one asked","Report barrier",2013,"gs1datot",441.1907214548,6.53787682418931,384.656528683152,497.724914226447,3107,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"7","Unsure where to give","Do not report barrier",2013,"gs1datot",566.971201098873,3.67923067109136,526.086002866704,607.856399331042,10743,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"8","Unsure where to give","Report barrier",2013,"gs1datot",294.162631040664,9.16200963393429,241.339232853892,346.986029227435,1223,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"9","Hard to find a cause","Do not report barrier",2013,"gs1datot",560.749698646456,3.64850900995389,520.650789061195,600.848608231717,10788,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"10","Hard to find a cause","Report barrier",2013,"gs1datot",329.684554497164,10.1608550958561,264.028172053252,395.340936941075,1155,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"11","Gave time instead","Do not report barrier",2013,"gs1datot",501.985839210672,4.39096281920732,458.784290411301,545.187388010044,7799,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"12","Gave time instead","Report barrier",2013,"gs1datot",574.141022309326,5.56068050382568,511.566922275867,636.715122342785,4111,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"13","Gave directly instead","Do not report barrier",2013,"gs1datot",567.153202329716,4.48937873157469,517.249275070904,617.057129588528,6909,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"14","Gave directly instead","Report barrier",2013,"gs1datot",480.204710147091,5.75746453338825,426.016378774911,534.393041519271,4974,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"15","Tax credit was not enough","Do not report barrier",2013,"gs1datot",538.748555285611,3.67885670229057,499.902485928516,577.594624642706,9812,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"16","Tax credit was not enough","Report barrier",2013,"gs1datot",494.533274884125,10.2177378017542,395.496072544027,593.570477224224,1976,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"17","Money would not be used efficiently","Do not report barrier",2013,"gs1datot",527.762723873449,4.57888295480934,480.398944895648,575.126502851249,8466,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"18","Money would not be used efficiently","Report barrier",2013,"gs1datot",560.167279149757,5.02532359241999,504.993864858007,615.340693441507,3379,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"19","Did not like the way requests were made","Do not report barrier",2013,"gs1datot",467.464772648939,4.25908126356912,428.442468796579,506.487076501299,8428,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"20","Did not like the way requests were made","Report barrier",2013,"gs1datot",701.286286843319,5.99095176818281,618.940902511624,783.631671175014,3473,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA",""
"21","Happy with what already given","Do not report barrier",2013,"gs1datot",420.077256011458,6.62510806594864,365.530336886703,474.624175136213,2348,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA (without QC)",""
"22","Happy with what already given","Report barrier",2013,"gs1datot",680.947153010424,4.3340958309471,623.102927678798,738.791378342051,7553,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA (without QC)",""
"23","Could not afford to give more","Do not report barrier",2013,"gs1datot",799.890069938551,6.40791013324456,699.429691736534,900.350448140569,2976,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA (without QC)",""
"24","Could not afford to give more","Report barrier",2013,"gs1datot",530.925467045315,4.35226419568352,485.636032408958,576.214901681672,6927,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA (without QC)",""
"25","No one asked","Do not report barrier",2013,"gs1datot",652.659425724879,4.32423985190708,597.344226563852,707.974624885905,7216,"Total donation amount","Average Amount Donated by Donors Reporting Barriers","CA (without QC)",""
