Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker

Gave enough time already,Do not report barrier,2013,vd1dhrs,93.37751924,3.503610372,86.94974112,99.80529737,4011,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Gave enough time already,Report barrier,2013,vd1dhrs,191.931462,3.282074316,179.5549768,204.3079471,3372,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Gave enough time already,Do not report barrier,2013,vd1dhrs,103.3141725,7.466316953,88.15871451,118.4696306,1055,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Gave enough time already,Report barrier,2013,vd1dhrs,212.9082745,6.253054508,186.7513008,239.0652483,841,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Gave enough time already,Do not report barrier,2013,vd1dhrs,67.3198485,9.642557196,54.56609275,80.07360425,541,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Gave enough time already,Report barrier,2013,vd1dhrs,153.8769821,7.158705578,132.2343088,175.5196554,678,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Gave enough time already,Do not report barrier,2013,vd1dhrs,96.44122158,6.01648829,85.04112527,107.8413179,935,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Gave enough time already,Report barrier,2013,vd1dhrs,204.098203,5.926984064,180.331131,227.8652751,734,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Gave enough time already,Do not report barrier,2013,vd1dhrs,92.61832762,7.798795765,78.42686283,106.8097924,623,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Gave enough time already,Report barrier,2013,vd1dhrs,193.8629672,7.552074646,165.0980008,222.6279336,467,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Gave enough time already,Do not report barrier,2013,vd1dhrs,98.24764153,11.55156982,75.94964296,120.5456401,320,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Gave enough time already,Report barrier,2013,vd1dhrs,217.6511186,12.40120851,164.6203826,270.6818546,203,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Gave enough time already,Do not report barrier,2013,vd1dhrs,99.79551484,8.879805119,82.38477606,117.2062536,537,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Gave enough time already,Report barrier,2013,vd1dhrs,188.9708541,6.6455854,164.2973512,213.644357,449,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,134.1260085,2.55717236,127.3873144,140.8647026,6824,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,153.2397405,9.066000381,125.9443141,180.5351669,568,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,147.1949394,5.087970958,132.4806177,161.909261,1788,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,142.2306579,14.81078582,100.8426939,183.6186219,112,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,111.4976433,6.319448012,97.6540901,125.3411966,1133,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,148.89195,16.21279433,101.4642752,196.3196247,85,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,139.0642253,4.485117415,126.8098273,151.3186232,1544,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,164.1257989,17.37981694,108.0823579,220.1692399,130,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,*

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,127.8478324,6.043175682,112.6681973,143.0274674,985,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,190.3430699,18.9033772,119.6496142,261.0365256,108,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,*

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,140.7292877,9.275019865,115.0843245,166.3742508,475,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,139.5987344,24.04242111,73.6566877,205.5407811,48,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

Dissatisfied with previous experience,Do not report barrier,2013,vd1dhrs,138.9903076,5.674419328,123.4946974,154.4859179,899,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Dissatisfied with previous experience,Report barrier,2013,vd1dhrs,126.4918461,14.37077425,90.77727489,162.2064173,85,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

No one asked,Do not report barrier,2013,vd1dhrs,155.3342904,2.795185737,146.8036674,163.8649134,5257,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

No one asked,Report barrier,2013,vd1dhrs,92.31483283,4.834911903,83.5455759,101.0840898,2124,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

No one asked,Do not report barrier,2013,vd1dhrs,172.1722095,5.699768405,152.8915003,191.4529186,1323,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

No one asked,Report barrier,2013,vd1dhrs,98.87861181,8.163652803,83.0191068,114.7381168,575,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

No one asked,Do not report barrier,2013,vd1dhrs,130.610518,6.720743751,113.3641269,147.8569092,926,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

No one asked,Report barrier,2013,vd1dhrs,67.40100205,11.73984388,51.85454552,82.94745857,290,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

No one asked,Do not report barrier,2013,vd1dhrs,164.4807417,4.987188773,148.3641351,180.5973483,1180,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

No one asked,Report barrier,2013,vd1dhrs,92.21909668,8.294624152,77.19043466,107.2477587,494,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

No one asked,Do not report barrier,2013,vd1dhrs,151.2585542,6.906125708,130.7347829,171.7823254,716,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

No one asked,Report barrier,2013,vd1dhrs,103.9134403,10.9759986,81.50464505,126.3222355,371,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

No one asked,Do not report barrier,2013,vd1dhrs,158.5158079,10.0809962,127.1194862,189.9121297,377,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

No one asked,Report barrier,2013,vd1dhrs,100.1223054,16.42970901,67.80289314,132.4417177,147,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

No one asked,Do not report barrier,2013,vd1dhrs,153.8158396,5.9048935,135.9708676,171.6608116,735,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

No one asked,Report barrier,2013,vd1dhrs,99.57126563,11.14096293,77.77613388,121.3663974,247,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,144.5382651,2.680962384,136.9249063,152.151624,6482,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,87.13921133,7.106368432,74.97275541,99.30566724,905,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,154.5455497,4.865227086,139.7727653,169.3183342,1679,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,99.89610719,20.90055207,58.87484071,140.9173737,220,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,*

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,119.1847615,6.521987766,103.9124964,134.4570266,1078,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,69.39361184,12.61993129,52.18763933,86.59958434,138,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,154.0821164,4.787262812,139.5896519,168.574581,1445,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,78.83343762,10.35507476,62.79483802,94.87203721,229,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

