Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2013,mv1_02a,14.030014526510408,34.00280709307359,4.679812743643604,23.38021630937721,35,Canvassing,Average hours volunteered per activity,CA,...
Age group,25 to 34 years,2013,mv1_02a,21.085342864001117,22.865630764129655,11.635775081736128,30.534910646266106,48,Canvassing,Average hours volunteered per activity,CA,*
Age group,35 to 44 years,2013,mv1_02a,17.626872758458706,20.073910938563827,10.69173082763836,24.562014689279053,90,Canvassing,Average hours volunteered per activity,CA,*
Age group,45 to 54 years,2013,mv1_02a,18.19497212999181,20.555299262398265,10.864646123749122,25.5252981362345,109,Canvassing,Average hours volunteered per activity,CA,*
Age group,55 to 64 years,2013,mv1_02a,19.401034097241386,22.83069440204439,10.71958764485641,28.08248054962636,98,Canvassing,Average hours volunteered per activity,CA,*
Age group,65 to 74 years,2013,mv1_02a,31.834706055478648,35.10294038453507,9.932269464322836,53.73714264663446,75,Canvassing,Average hours volunteered per activity,CA,...
Age group,75 years and over,2013,mv1_02a,56.8433903324846,46.64878503869545,4.871513454248515,108.81526721072069,30,Canvassing,Average hours volunteered per activity,CA,...
Sex,Male,2013,mv1_02a,25.150290901923373,17.43655397516816,16.555174507975963,33.745407295870784,192,Canvassing,Average hours volunteered per activity,CA,*
Sex,Female,2013,mv1_02a,17.894327187245327,12.320076842051293,13.573400661463268,22.215253713027387,293,Canvassing,Average hours volunteered per activity,CA,
Education,Less than High School,2013,mv1_02a,29.50202355356078,32.721891456970276,10.581275788510034,48.422771318611524,48,Canvassing,Average hours volunteered per activity,CA,*
Education,Graduated from High school,2013,mv1_02a,24.405548556825014,17.744338372680257,15.917722414929786,32.893374698720244,115,Canvassing,Average hours volunteered per activity,CA,*
Education,Post-secondary diploma,2013,mv1_02a,16.63376934508584,17.768576203725107,10.8409311878008,22.426607502370885,170,Canvassing,Average hours volunteered per activity,CA,*
Education,University Diploma,2013,mv1_02a,21.019748972661876,25.194938631164582,10.63995051338862,31.399547431935133,126,Canvassing,Average hours volunteered per activity,CA,*
Education,Not stated,2013,mv1_02a,14.469910571733037,27.485213568502488,6.674965593636425,22.264855549829647,26,Canvassing,Average hours volunteered per activity,CA,*
Marital status,Married/common-law,2013,mv1_02a,22.46931999978596,13.672245778911108,16.44819175723074,28.490448242341177,318,Canvassing,Average hours volunteered per activity,CA,
Marital status,Widowed,2013,mv1_02a,20.48179408927649,28.620196259785274,8.992623064252559,31.970965114300423,28,Canvassing,Average hours volunteered per activity,CA,*
Marital status,Separated/divorced,2013,mv1_02a,36.82247796211361,34.598200081484244,11.8527041794243,61.79225174480292,46,Canvassing,Average hours volunteered per activity,CA,...
Marital status,"Single, never married",2013,mv1_02a,14.7596903291194,21.658771645781307,8.49414091911918,21.02523973911962,93,Canvassing,Average hours volunteered per activity,CA,*
Labour force status,Employed,2013,mv1_02a,18.37658019102962,11.962963953804802,14.067827385006407,22.685332997052836,295,Canvassing,Average hours volunteered per activity,CA,
Labour force status,Unemployed,2013,mv1_02a,28.207564001294763,50.35846887829546,0.3664768129280134,56.04865118966151,13,Canvassing,Average hours volunteered per activity,CA,...
Labour force status,Not in labour force,2013,mv1_02a,28.60447327204359,23.266522670719556,15.560391097506285,41.6485554465809,150,Canvassing,Average hours volunteered per activity,CA,*
