,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,mv1_02a,14.03001453,34.00280709,4.679812744,23.38021631,35,Porte-à-porte,Average hours volunteered per activity,CA,...
1,Groupe d'âge,25 à 34 ans,2013,mv1_02a,21.08534286,22.86563076,11.63577508,30.53491065,48,Porte-à-porte,Average hours volunteered per activity,CA,*
2,Groupe d'âge,35 à 44 ans,2013,mv1_02a,17.62687276,20.07391094,10.69173083,24.56201469,90,Porte-à-porte,Average hours volunteered per activity,CA,*
3,Groupe d'âge,45 à 54 ans,2013,mv1_02a,18.19497213,20.55529926,10.86464612,25.52529814,109,Porte-à-porte,Average hours volunteered per activity,CA,*
4,Groupe d'âge,55 à 64 ans,2013,mv1_02a,19.4010341,22.8306944,10.71958764,28.08248055,98,Porte-à-porte,Average hours volunteered per activity,CA,*
5,Groupe d'âge,65 à 74 ans,2013,mv1_02a,31.83470606,35.10294038,9.932269464,53.73714265,75,Porte-à-porte,Average hours volunteered per activity,CA,...
6,Groupe d'âge,75 ans et plus,2013,mv1_02a,56.84339033,46.64878504,4.871513454,108.8152672,30,Porte-à-porte,Average hours volunteered per activity,CA,...
7,Genre,Hommes,2013,mv1_02a,25.1502909,17.43655398,16.55517451,33.7454073,192,Porte-à-porte,Average hours volunteered per activity,CA,*
8,Genre,Femmes,2013,mv1_02a,17.89432719,12.32007684,13.57340066,22.21525371,293,Porte-à-porte,Average hours volunteered per activity,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,mv1_02a,29.50202355,32.72189146,10.58127579,48.42277132,48,Porte-à-porte,Average hours volunteered per activity,CA,*
10,Éducation,Diplôme d'études secondaires,2013,mv1_02a,24.40554856,17.74433837,15.91772241,32.8933747,115,Porte-à-porte,Average hours volunteered per activity,CA,*
11,Éducation,Diplôme post-secondaire,2013,mv1_02a,16.63376935,17.7685762,10.84093119,22.4266075,170,Porte-à-porte,Average hours volunteered per activity,CA,*
12,Éducation,Diplôme universtaire,2013,mv1_02a,21.01974897,25.19493863,10.63995051,31.39954743,126,Porte-à-porte,Average hours volunteered per activity,CA,*
13,Éducation,Non indiqué,2013,mv1_02a,14.46991057,27.48521357,6.674965594,22.26485555,26,Porte-à-porte,Average hours volunteered per activity,CA,*
14,État civil,Marié.e/union de fait,2013,mv1_02a,22.46932,13.67224578,16.44819176,28.49044824,318,Porte-à-porte,Average hours volunteered per activity,CA,
15,État civil,Veuf.ve,2013,mv1_02a,20.48179409,28.62019626,8.992623064,31.97096511,28,Porte-à-porte,Average hours volunteered per activity,CA,*
16,État civil,Séparé.e/divorcé.e,2013,mv1_02a,36.82247796,34.59820008,11.85270418,61.79225174,46,Porte-à-porte,Average hours volunteered per activity,CA,...
17,État civil,"Célibataire, jamais marié.e",2013,mv1_02a,14.75969033,21.65877165,8.494140919,21.02523974,93,Porte-à-porte,Average hours volunteered per activity,CA,*
18,Situation d'activité,Employé.e,2013,mv1_02a,18.37658019,11.96296395,14.06782739,22.685333,295,Porte-à-porte,Average hours volunteered per activity,CA,
19,Situation d'activité,Au chômage,2013,mv1_02a,28.207564,50.35846888,0.366476813,56.04865119,13,Porte-à-porte,Average hours volunteered per activity,CA,...
20,Situation d'activité,Pas dans la population active,2013,mv1_02a,28.60447327,23.26652267,15.5603911,41.64855545,150,Porte-à-porte,Average hours volunteered per activity,CA,*
21,Situation d'activité,Unable to determine,2013,mv1_02a,14.92386359,25.73246808,7.397056168,22.45067102,27,Porte-à-porte,Average hours volunteered per activity,CA,*
22,Catégorie de revenu familial,Moins de 20 000 $,2013,mv1_02a,53.89603633,52.30368338,-1.354588309,109.146661,33,Porte-à-porte,Average hours volunteered per activity,CA,...
23,Catégorie de revenu familial,20 000 $ à 39 999 $,2013,mv1_02a,36.13247263,25.21173359,18.27794015,53.98700511,67,Porte-à-porte,Average hours volunteered per activity,CA,*
24,Catégorie de revenu familial,40 000 $ à 59 999 $,2013,mv1_02a,16.11440188,24.06199827,8.514745208,23.71405855,71,Porte-à-porte,Average hours volunteered per activity,CA,*
25,Catégorie de revenu familial,60 000 $ à 79 999 $,2013,mv1_02a,20.13759551,37.12974925,5.482868911,34.79232211,75,Porte-à-porte,Average hours volunteered per activity,CA,...
