Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,gs1datot,218.7388649,16.08016427,149.7999368,287.6777929,692,Total amount of donations,Average total amount of donations,CA,NA,
Age group,25 to 34 years,2013,gs1datot,365.8102369,13.30251138,270.4345706,461.1859032,1472,Total amount of donations,Average total amount of donations,CA,NA,
Age group,35 to 44 years,2013,gs1datot,440.5843629,7.315390094,377.4138127,503.7549132,1999,Total amount of donations,Average total amount of donations,CA,NA,
Age group,45 to 54 years,2013,gs1datot,649.8609095,7.580431984,553.3086458,746.4131732,2297,Total amount of donations,Average total amount of donations,CA,NA,
Age group,55 to 64 years,2013,gs1datot,673.4421673,5.770920098,597.2705006,749.613834,2713,Total amount of donations,Average total amount of donations,CA,NA,
Age group,65 to 74 years,2013,gs1datot,724.0450525,5.956534375,639.5157406,808.5743644,2074,Total amount of donations,Average total amount of donations,CA,NA,
Age group,75 years and over,2013,gs1datot,730.559446,11.40128067,567.3079053,893.8109866,1366,Total amount of donations,Average total amount of donations,CA,NA,
Sex,Male,2013,gs1datot,581.1018397,5.409970864,519.4855891,642.7180903,5374,Total amount of donations,Average total amount of donations,CA,NA,
Sex,Female,2013,gs1datot,486.3896108,4.225689505,446.1058542,526.6733675,7239,Total amount of donations,Average total amount of donations,CA,NA,
Education,Less than High School,2013,gs1datot,319.0717448,12.28688133,242.2333822,395.9101075,1384,Total amount of donations,Average total amount of donations,CA,NA,
Education,Graduated from High school,2013,gs1datot,423.4797366,8.868448621,349.8711668,497.0883064,3099,Total amount of donations,Average total amount of donations,CA,NA,
Education,Post-secondary diploma,2013,gs1datot,443.0153663,5.083359094,398.876856,487.1538766,3957,Total amount of donations,Average total amount of donations,CA,NA,
Education,University Diploma,2013,gs1datot,842.2892073,5.224490062,756.0403729,928.5380417,3432,Total amount of donations,Average total amount of donations,CA,NA,
Education,Not stated,2013,gs1datot,512.3252129,13.68348194,374.9240389,649.726387,741,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Married/common-law,2013,gs1datot,595.8180797,3.499845881,554.9475103,636.6886492,7545,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Widowed,2013,gs1datot,766.620947,14.8104076,544.0872496,989.1546444,1234,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Separated/divorced,2013,gs1datot,398.7529707,6.974795204,344.2420543,453.2638871,1424,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,"Single, never married",2013,gs1datot,339.45535,11.24967997,264.6089499,414.3017501,2405,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Employed,2013,gs1datot,549.7693063,4.534659929,500.9070741,598.6315386,7039,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Unemployed,2013,gs1datot,272.1223463,25.4775679,136.2377383,408.0069542,363,Total amount of donations,Average total amount of donations,CA,NA,*
Labour force status,Not in labour force,2013,gs1datot,532.3348588,5.405176198,475.9395664,588.7301512,4524,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Unable to determine,2013,gs1datot,494.7226507,14.40061813,355.0887019,634.3565995,687,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"Less than $20,000",2013,gs1datot,335.6741441,13.06339199,249.728882,421.6194061,852,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$20,000 to $39,999",2013,gs1datot,469.0720672,13.99746028,340.3844064,597.759728,2015,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$40,000 to $59,999",2013,gs1datot,399.1236686,9.291526527,326.4390284,471.8083089,2153,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$60,000 to $79,999",2013,gs1datot,433.2660081,6.694492544,376.41733,490.1146863,1819,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$80,000 to $99,999",2013,gs1datot,441.3381118,6.73824807,383.0518075,499.6244161,1590,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$100,000 to $119,999",2013,gs1datot,676.8586398,12.16421571,515.485897,838.2313826,1178,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$120,000 to $139,999",2013,gs1datot,433.4864287,7.246771683,371.9165674,495.05629,919,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$140,000 or more",2013,gs1datot,768.4042513,5.893386435,679.6472197,857.1612829,2087,Total amount of donations,Average total amount of donations,CA,NA,
