Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,gs1datot,218.73886489754312,16.080164269339992,149.79993684882865,287.67779294625757,692,Total amount of donations,Average total amount of donations,CA,NA,
Age group,25 to 34 years,2013,gs1datot,365.8102369007989,13.302511381418086,270.4345706229347,461.18590317866307,1472,Total amount of donations,Average total amount of donations,CA,NA,
Age group,35 to 44 years,2013,gs1datot,440.58436294764033,7.3153900937193885,377.4138126532211,503.75491324205956,1999,Total amount of donations,Average total amount of donations,CA,NA,
Age group,45 to 54 years,2013,gs1datot,649.8609095478323,7.580431983507749,553.3086458490073,746.4131732466573,2297,Total amount of donations,Average total amount of donations,CA,NA,
Age group,55 to 64 years,2013,gs1datot,673.4421672968882,5.7709200983705236,597.2705006033196,749.6138339904568,2713,Total amount of donations,Average total amount of donations,CA,NA,
Age group,65 to 74 years,2013,gs1datot,724.0450525234432,5.956534375487603,639.5157406006786,808.5743644462079,2074,Total amount of donations,Average total amount of donations,CA,NA,
Age group,75 years and over,2013,gs1datot,730.559445995215,11.401280670900379,567.3079053405559,893.8109866498742,1366,Total amount of donations,Average total amount of donations,CA,NA,
Sex,Male,2013,gs1datot,581.1018396634887,5.409970864267312,519.4855890710261,642.7180902559513,5374,Total amount of donations,Average total amount of donations,CA,NA,
Sex,Female,2013,gs1datot,486.3896108080267,4.225689504842882,446.10585416145096,526.6733674546025,7239,Total amount of donations,Average total amount of donations,CA,NA,
Education,Less than High School,2013,gs1datot,319.07174481384203,12.286881327422277,242.23338215889177,395.91010746879226,1384,Total amount of donations,Average total amount of donations,CA,NA,
Education,Graduated from High school,2013,gs1datot,423.4797365855592,8.86844862099027,349.87116678074244,497.0883063903759,3099,Total amount of donations,Average total amount of donations,CA,NA,
Education,Post-secondary diploma,2013,gs1datot,443.01536629398703,5.083359093700751,398.8768560227404,487.15387656523365,3957,Total amount of donations,Average total amount of donations,CA,NA,
Education,University Diploma,2013,gs1datot,842.2892073015183,5.224490062279999,756.040372948207,928.5380416548296,3432,Total amount of donations,Average total amount of donations,CA,NA,
Education,Not stated,2013,gs1datot,512.3252129225903,13.683481941432781,374.9240388841283,649.7263869610522,741,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Married/common-law,2013,gs1datot,595.8180797313329,3.499845881374282,554.9475102844752,636.6886491781905,7545,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Widowed,2013,gs1datot,766.6209469794464,14.810407603901071,544.0872495953938,989.1546443634991,1234,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,Separated/divorced,2013,gs1datot,398.7529707026724,6.974795204230502,344.24205434045695,453.2638870648879,1424,Total amount of donations,Average total amount of donations,CA,NA,
Marital status,"Single, never married",2013,gs1datot,339.4553500378094,11.249679973525648,264.60894994000836,414.30175013561046,2405,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Employed,2013,gs1datot,549.7693063375816,4.534659928697982,500.90707407691286,598.6315385982504,7039,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Unemployed,2013,gs1datot,272.12234625351323,25.47756790224895,136.2377383448469,408.00695416217957,363,Total amount of donations,Average total amount of donations,CA,NA,*
Labour force status,Not in labour force,2013,gs1datot,532.3348588342627,5.405176197886123,475.93956644782645,588.730151220699,4524,Total amount of donations,Average total amount of donations,CA,NA,
Labour force status,Unable to determine,2013,gs1datot,494.72265071680204,14.400618125261488,355.0887019410865,634.3565994925175,687,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"Less than $20,000",2013,gs1datot,335.67414405726265,13.063391990417465,249.72888202323037,421.61940609129493,852,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$20,000 to $39,999",2013,gs1datot,469.0720671972311,13.997460279584239,340.3844063810774,597.7597280133848,2015,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$40,000 to $59,999",2013,gs1datot,399.1236686416963,9.291526526847578,326.43902843188914,471.8083088515035,2153,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$60,000 to $79,999",2013,gs1datot,433.26600813163355,6.694492543614822,376.41732996618657,490.11468629708054,1819,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$80,000 to $99,999",2013,gs1datot,441.3381117755151,6.738248069922386,383.05180749456554,499.6244160564646,1590,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$100,000 to $119,999",2013,gs1datot,676.8586398018228,12.164215707450545,515.4858969575113,838.2313826461344,1178,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$120,000 to $139,999",2013,gs1datot,433.48642869684363,7.246771682990078,371.916567420043,495.05628997364425,919,Total amount of donations,Average total amount of donations,CA,NA,
Personal income category,"$140,000 or more",2013,gs1datot,768.4042512824642,5.893386434819453,679.64721970079,857.1612828641385,2087,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,At least once a week,2013,gs1datot,1284.1972138120377,4.978063197475323,1158.9003444015134,1409.494083222562,2517,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,At least once a month,2013,gs1datot,633.3743868659703,12.314230771774087,480.50663594833287,786.2421377836079,1300,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,At least 3 times a year,2013,gs1datot,428.0896917420977,8.751827788846704,354.65832278350547,501.52106070069,1382,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,Once or twice a year,2013,gs1datot,287.12101541071326,12.16803772041833,218.64576650409134,355.59626431733517,1732,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,Not at all,2013,gs1datot,313.2762513429127,6.713060155682336,272.05737927928936,354.49512340653604,4871,Total amount of donations,Average total amount of donations,CA,NA,
Frequency of religious attendance,Not stated,2013,gs1datot,485.5981397794615,12.836155134938426,363.4294088130579,607.7668707458652,811,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status,Native-born,2013,gs1datot,509.2138740339626,3.923750141717303,470.0532446289989,548.3745034389262,10095,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status,Naturalized,2013,gs1datot,672.0768561721528,8.198408095039511,564.083617982354,780.0700943619516,1359,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status,Non-Canadian,2013,gs1datot,450.47448965601467,18.544092083836613,286.7461460730647,614.2028332389646,382,Total amount of donations,Average total amount of donations,CA,NA,*
Immigration status,Unknown,2013,gs1datot,526.2910557545637,12.325345342445809,399.15369932506974,653.4284121840576,777,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Native-born,2013,gs1datot,506.8994721093886,3.9245414037350197,467.90896845204395,545.8899757667333,10134,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Naturalized,2013,gs1datot,650.4976506196189,7.586191740373717,553.7773497869458,747.2179514522919,1594,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Non-Canadian,2013,gs1datot,500.6802576668182,19.66830584214264,307.67216853740894,693.6883467962275,197,Total amount of donations,Average total amount of donations,CA,NA,*
