Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,gs1dntot,2.1001797009732375,2.9390619405036036,1.9791997827924395,2.2211596191540357,692,Total number of donations,Average total number of donations,CA,NA,
Age group,25 to 34 years,2013,gs1dntot,2.9186690981508043,2.2348228416163596,2.790826363327946,3.0465118329736627,1472,Total number of donations,Average total number of donations,CA,NA,
Age group,35 to 44 years,2013,gs1dntot,3.416252533489482,1.980435368530589,3.2836478902106605,3.5488571767683035,1999,Total number of donations,Average total number of donations,CA,NA,
Age group,45 to 54 years,2013,gs1dntot,3.9549260254127114,1.9432397160173365,3.8042955545345687,4.105556496290855,2297,Total number of donations,Average total number of donations,CA,NA,
Age group,55 to 64 years,2013,gs1dntot,4.280983174807729,1.7116565013066476,4.137365389277111,4.424600960338347,2713,Total number of donations,Average total number of donations,CA,NA,
Age group,65 to 74 years,2013,gs1dntot,4.477201913034231,2.0483208816079603,4.29745859099564,4.656945235072823,2074,Total number of donations,Average total number of donations,CA,NA,
Age group,75 years and over,2013,gs1dntot,4.307271032396652,2.7907304310796657,4.07167488764831,4.542867177144993,1366,Total number of donations,Average total number of donations,CA,NA,
Sex,Male,2013,gs1dntot,3.3445557568307036,1.3075053746435699,3.258846049089753,3.4302654645716544,5374,Total number of donations,Average total number of donations,CA,NA,
Sex,Female,2013,gs1dntot,3.834577355876315,1.1060175149236124,3.7514531328600844,3.9177015788925456,7239,Total number of donations,Average total number of donations,CA,NA,
Education,Less than High School,2013,gs1dntot,2.7156799400227607,2.42754916494697,2.586470361537671,2.84488951850785,1384,Total number of donations,Average total number of donations,CA,NA,
Education,Graduated from High school,2013,gs1dntot,3.2453467789079125,1.7927544279246075,3.1313139220893746,3.3593796357264503,3099,Total number of donations,Average total number of donations,CA,NA,
Education,Post-secondary diploma,2013,gs1dntot,3.691205787926272,1.4587124144061345,3.5856733360887465,3.796738239763797,3957,Total number of donations,Average total number of donations,CA,NA,
Education,University Diploma,2013,gs1dntot,4.285075845169877,1.462220260820436,4.162269897288245,4.4078817930515095,3432,Total number of donations,Average total number of donations,CA,NA,
Education,Not stated,2013,gs1dntot,3.2039992205214816,3.5601513063314756,2.9804315773005565,3.4275668637424066,741,Total number of donations,Average total number of donations,CA,NA,
Marital status,Married/common-law,2013,gs1dntot,3.961519181604532,0.985199886094734,3.8850239776166986,4.038014385592365,7545,Total number of donations,Average total number of donations,CA,NA,
Marital status,Widowed,2013,gs1dntot,4.007912994599964,2.829039923813054,3.78568157912072,4.230144410079209,1234,Total number of donations,Average total number of donations,CA,NA,
Marital status,Separated/divorced,2013,gs1dntot,3.3232722533731036,2.817659636500581,3.13974416405392,3.506800342692287,1424,Total number of donations,Average total number of donations,CA,NA,
Marital status,"Single, never married",2013,gs1dntot,2.5569765346087956,2.00281348540944,2.456603896139829,2.6573491730777623,2405,Total number of donations,Average total number of donations,CA,NA,
Labour force status,Employed,2013,gs1dntot,3.5839850389289847,1.0807322931838537,3.5080691978767886,3.6599008799811807,7039,Total number of donations,Average total number of donations,CA,NA,
Labour force status,Unemployed,2013,gs1dntot,2.7977920560360614,4.331155832580653,2.560290021987636,3.035294090084487,363,Total number of donations,Average total number of donations,CA,NA,
Labour force status,Not in labour force,2013,gs1dntot,3.7794767329883108,1.6029861544766402,3.6607333170332597,3.898220148943362,4524,Total number of donations,Average total number of donations,CA,NA,
Labour force status,Unable to determine,2013,gs1dntot,3.251993631776372,3.626439316213576,3.0208519909142497,3.483135272638494,687,Total number of donations,Average total number of donations,CA,NA,
Personal income category,"Less than $20,000",2013,gs1dntot,2.7669427782661162,3.418687753128312,2.5815436426439033,2.952341913888329,852,Total number of donations,Average total number of donations,CA,NA,
