,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,ng_020,0.5315513777499279,4.757451450025182,0.481987223011988,0.5811155324878677,667,Montant déjà donné suffisant,Barriers to giving more,CA,
1,Groupe d'âge,25 à 34 ans,2013,ng_020,0.645340161111871,2.829865183103829,0.6095467960329333,0.6811335261908087,1408,Montant déjà donné suffisant,Barriers to giving more,CA,
2,Groupe d'âge,35 à 44 ans,2013,ng_020,0.7187650936955462,1.9680578136963904,0.6910400064862405,0.7464901809048519,1902,Montant déjà donné suffisant,Barriers to giving more,CA,
3,Groupe d'âge,45 à 54 ans,2013,ng_020,0.7576959398416503,1.669797964557437,0.7328984924021591,0.7824933872811415,2168,Montant déjà donné suffisant,Barriers to giving more,CA,
4,Groupe d'âge,55 à 64 ans,2013,ng_020,0.8048046169153698,1.4358205096734906,0.7821561555789678,0.8274530782517717,2586,Montant déjà donné suffisant,Barriers to giving more,CA,
5,Groupe d'âge,65 à 74 ans,2013,ng_020,0.8247513344199162,1.3987062840904263,0.8021414863532186,0.8473611824866139,1970,Montant déjà donné suffisant,Barriers to giving more,CA,
6,Groupe d'âge,75 ans et plus,2013,ng_020,0.8990734567131485,1.3193074388386368,0.8758252596417964,0.9223216537845008,1261,Montant déjà donné suffisant,Barriers to giving more,CA,
7,Genre,Male,2013,ng_020,0.7523946531717424,1.140909011747492,0.7355700510656275,0.7692192552778573,5089,Montant déjà donné suffisant,Barriers to giving more,CA,
8,Genre,Female,2013,ng_020,0.7077972143146848,1.1659169093618702,0.691622949810905,0.7239714788184646,6873,Montant déjà donné suffisant,Barriers to giving more,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,ng_020,0.7579350004430093,2.339270850481592,0.7231845400419245,0.7926854608440942,1363,Montant déjà donné suffisant,Barriers to giving more,CA,
10,Éducation,Diplôme d'études secondaires,2013,ng_020,0.7099125624267622,1.9383932057942068,0.6829417001525591,0.7368834247009652,3065,Montant déjà donné suffisant,Barriers to giving more,CA,
11,Éducation,Diplôme post-secondaire,2013,ng_020,0.7359782951459215,1.461123119412349,0.7149017263524372,0.7570548639394058,3928,Montant déjà donné suffisant,Barriers to giving more,CA,
12,Éducation,Diplôme universtaire,2013,ng_020,0.7265464592261146,1.5841035045181984,0.7039887478087667,0.7491041706434625,3411,Montant déjà donné suffisant,Barriers to giving more,CA,
13,Éducation,Non indiqué,2013,ng_020,0.798715798316548,4.920331342108344,0.7216902647372886,0.8757413318958075,195,Montant déjà donné suffisant,Barriers to giving more,CA,
14,État civil,Marié.e/union de fait,2013,ng_020,0.7645205095796033,0.8745972285640259,0.7514152590264526,0.777625760132754,7167,Montant déjà donné suffisant,Barriers to giving more,CA,
15,État civil,Veuf.ve,2013,ng_020,0.8686885403618346,1.623114990012733,0.8410534128994519,0.8963236678242174,1162,Montant déjà donné suffisant,Barriers to giving more,CA,
16,État civil,Séparé.e/divorcé.e,2013,ng_020,0.6950240469406007,2.820439286494174,0.6566033996518146,0.7334446942293869,1348,Montant déjà donné suffisant,Barriers to giving more,CA,
17,État civil,"Célibataire, jamais marié.e",2013,ng_020,0.6117897887499726,2.714435350069996,0.5792413757895511,0.644338201710394,2281,Montant déjà donné suffisant,Barriers to giving more,CA,
18,Situation d'activité,Employé.e,2013,ng_020,0.7080120694006282,1.124239799541373,0.6924112392740841,0.7236128995271723,6988,Montant déjà donné suffisant,Barriers to giving more,CA,
19,Situation d'activité,Au chômage,2013,ng_020,0.633097102536923,5.993320398814546,0.558729135021216,0.7074650700526299,363,Montant déjà donné suffisant,Barriers to giving more,CA,
20,Situation d'activité,Pas dans la population active,2013,ng_020,0.7821598362135823,1.3367067486686757,0.7616680534623743,0.8026516189647903,4465,Montant déjà donné suffisant,Barriers to giving more,CA,
21,Situation d'activité,Unable to determine,2013,ng_020,0.7522749339517605,6.250623888400006,0.6601137490793315,0.8444361188241895,146,Montant déjà donné suffisant,Barriers to giving more,CA,
22,Catégorie de revenu familial,Moins de 20 000 $,2013,ng_020,0.6509762162793197,4.502300519498999,0.5935318169410111,0.7084206156176283,765,Montant déjà donné suffisant,Barriers to giving more,CA,
23,Catégorie de revenu familial,20 000 $ à 39 999 $,2013,ng_020,0.7125023883444364,2.237903231430818,0.6812505392283975,0.7437542374604752,1896,Montant déjà donné suffisant,Barriers to giving more,CA,
24,Catégorie de revenu familial,40 000 $ à 59 999 $,2013,ng_020,0.7430731209434369,1.9853038924801285,0.7141592234484867,0.7719870184383871,2024,Montant déjà donné suffisant,Barriers to giving more,CA,
25,Catégorie de revenu familial,60 000 $ à 79 999 $,2013,ng_020,0.707215370681608,2.4281810094252303,0.6735579492758001,0.7408727920874159,1732,Montant déjà donné suffisant,Barriers to giving more,CA,
26,Catégorie de revenu familial,80 000 $ à 99 999 $,2013,ng_020,0.7338166456886173,2.2967052595553046,0.7007841859048063,0.7668491054724282,1518,Montant déjà donné suffisant,Barriers to giving more,CA,
27,Catégorie de revenu familial,100 000 $ à 119 999 $,2013,ng_020,0.7267609562750074,2.787727047161455,0.6870518669295267,0.766470045620488,1126,Montant déjà donné suffisant,Barriers to giving more,CA,
