Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2013,nv_020,0.225407053,7.710696186,0.191341991,0.259472115,-,Gave enough time already,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_030,0.087651519,13.39473845,0.064640186,0.110662852,-,Dissatisfied with previous experience,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_040,0.442260656,4.483394178,0.403397925,0.481123388,-,No one asked,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_050,0.145352543,11.04466875,0.113887856,0.17681723,-,Unsure how to get more involved,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_060,0.272744945,6.119012101,0.240034526,0.305455365,-,Health probelms/physically unable,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_070,0.677480646,2.977463723,0.637944761,0.717016531,-,Did not have the time,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_080,0.173416957,10.01303105,0.139383567,0.207450348,-,Financial cost of volunteering,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_090,0.653539736,2.983587755,0.615322533,0.69175694,-,Unable to make commitment,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_100,0.460653595,4.620608282,0.418935766,0.502371425,-,Preferred to give money instead,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_110,0.228209068,6.996990832,0.196912819,0.259505318,-,No interest,Barriers to volunteering,CA (without QC),
All,NA,2013,nv_020,0.233925659,6.510298807,0.204076859,0.263774459,-,Gave enough time already,Barriers to volunteering,CA,NA
All,NA,2013,nv_030,0.087308662,11.36754746,0.067856306,0.106761017,-,Dissatisfied with previous experience,Barriers to volunteering,CA,NA
All,NA,2013,nv_040,0.430112984,3.998293167,0.396407134,0.463818833,-,No one asked,Barriers to volunteering,CA,NA
All,NA,2013,nv_050,0.145633473,9.514993379,0.118474222,0.172792724,-,Unsure how to get more involved,Barriers to volunteering,CA,NA
All,NA,2013,nv_060,0.264736539,5.540238314,0.235989678,0.293483399,-,Health probelms/physically unable,Barriers to volunteering,CA,NA
All,NA,2013,nv_070,0.686692932,2.493106225,0.65313838,0.720247485,-,Did not have the time,Barriers to volunteering,CA,NA
All,NA,2013,nv_080,0.161813281,9.088880368,0.13298806,0.190638502,-,Financial cost of volunteering,Barriers to volunteering,CA,NA
All,NA,2013,nv_090,0.646000657,2.544582744,0.613782727,0.678218586,-,Unable to make commitment,Barriers to volunteering,CA,NA
All,NA,2013,nv_100,0.489407033,3.705317483,0.453864881,0.524949185,-,Preferred to give money instead,Barriers to volunteering,CA,NA
All,NA,2013,nv_110,0.248148374,6.022470137,0.218857376,0.277439373,-,No interest,Barriers to volunteering,CA,NA
All,NA,2013,nv_020,0.210944227,17.95439404,0.136713026,0.285175428,151,Gave enough time already,Barriers to volunteering,AB,*
All,NA,2013,nv_020,0.291764772,9.349354547,0.238300634,0.345228911,470,Gave enough time already,Barriers to volunteering,AT,NA
All,NA,2013,nv_020,0.217581421,18.32557522,0.139431685,0.295731157,221,Gave enough time already,Barriers to volunteering,BC,*
All,NA,2013,nv_020,0.224992979,12.46842861,0.170009935,0.279976023,344,Gave enough time already,Barriers to volunteering,ON,NA
All,NA,2013,nv_020,0.258117898,12.1782636,0.196507845,0.319727951,297,Gave enough time already,Barriers to volunteering,PR,NA
All,NA,2013,nv_020,0.262753242,11.13958788,0.205385825,0.320120659,278,Gave enough time already,Barriers to volunteering,QC,NA
All,NA,2013,nv_030,0.065315619,35.52507353,0.019837748,0.11079349,151,Dissatisfied with previous experience,Barriers to volunteering,AB,...
All,NA,2013,nv_030,0.094089701,18.95920107,0.059126578,0.129052823,470,Dissatisfied with previous experience,Barriers to volunteering,AT,*
All,NA,2013,nv_030,0.033946206,34.90973954,0.01071959,0.057172821,222,Dissatisfied with previous experience,Barriers to volunteering,BC,...
All,NA,2013,nv_030,0.105703729,18.80717186,0.066739876,0.144667581,347,Dissatisfied with previous experience,Barriers to volunteering,ON,*
All,NA,2013,nv_030,0.112356205,21.23675821,0.065589866,0.159122544,298,Dissatisfied with previous experience,Barriers to volunteering,PR,*
All,NA,2013,nv_030,0.086405535,19.1157882,0.054032615,0.118778454,278,Dissatisfied with previous experience,Barriers to volunteering,QC,*
All,NA,2013,nv_040,0.504333475,5.244174613,0.452496096,0.556170853,478,No one asked,Barriers to volunteering,AB,NA
All,NA,2013,nv_040,0.571239727,2.645643116,0.541618861,0.600860593,1979,No one asked,Barriers to volunteering,AT,NA
All,NA,2013,nv_040,0.535225873,4.371957008,0.489363019,0.581088726,770,No one asked,Barriers to volunteering,BC,NA
All,NA,2013,nv_040,0.489527303,3.250036801,0.458344633,0.520709972,1270,No one asked,Barriers to volunteering,ON,NA
All,NA,2013,nv_040,0.560080706,3.377734978,0.523002025,0.597159387,1043,No one asked,Barriers to volunteering,PR,NA
All,NA,2013,nv_040,0.427786027,3.379672166,0.399449328,0.456122726,1355,No one asked,Barriers to volunteering,QC,NA
All,NA,2013,nv_050,0.237558762,10.1354536,0.19036742,0.284750105,477,Unsure how to get more involved,Barriers to volunteering,AB,NA
All,NA,2013,nv_050,0.27486554,4.595281063,0.25010954,0.29962154,1977,Unsure how to get more involved,Barriers to volunteering,AT,NA
All,NA,2013,nv_050,0.238387821,9.474831696,0.194118419,0.282657223,770,Unsure how to get more involved,Barriers to volunteering,BC,NA
All,NA,2013,nv_050,0.253518208,5.809872209,0.224649734,0.282386682,1268,Unsure how to get more involved,Barriers to volunteering,ON,NA
All,NA,2013,nv_050,0.22530245,7.626247554,0.191626108,0.258978791,1042,Unsure how to get more involved,Barriers to volunteering,PR,NA
All,NA,2013,nv_050,0.207723955,6.392426292,0.181698376,0.233749534,1353,Unsure how to get more involved,Barriers to volunteering,QC,NA
All,NA,2013,nv_060,0.260039156,7.723997682,0.220672459,0.299405852,478,Health probelms/physically unable,Barriers to volunteering,AB,NA
All,NA,2013,nv_060,0.303798993,3.951405871,0.280270936,0.32732705,1982,Health probelms/physically unable,Barriers to volunteering,AT,NA
All,NA,2013,nv_060,0.292921058,6.923840621,0.25317027,0.332671847,771,Health probelms/physically unable,Barriers to volunteering,BC,NA
All,NA,2013,nv_060,0.230135509,5.191508083,0.206718832,0.253552185,1272,Health probelms/physically unable,Barriers to volunteering,ON,NA
All,NA,2013,nv_060,0.28681788,5.617470989,0.255239115,0.318396646,1047,Health probelms/physically unable,Barriers to volunteering,PR,NA
All,NA,2013,nv_060,0.2366955,5.396315397,0.211661202,0.261729798,1356,Health probelms/physically unable,Barriers to volunteering,QC,NA
All,NA,2013,nv_070,0.677526136,3.533668809,0.6306016,0.724450673,479,Did not have the time,Barriers to volunteering,AB,NA
All,NA,2013,nv_070,0.53735986,2.603238145,0.5099424,0.564777319,1977,Did not have the time,Barriers to volunteering,AT,NA
All,NA,2013,nv_070,0.641059151,3.541749067,0.596558744,0.685559558,772,Did not have the time,Barriers to volunteering,BC,NA
All,NA,2013,nv_070,0.678146115,2.308323873,0.647465214,0.708827017,1269,Did not have the time,Barriers to volunteering,ON,NA
All,NA,2013,nv_070,0.607590494,3.113899138,0.570508455,0.644672533,1047,Did not have the time,Barriers to volunteering,PR,NA
All,NA,2013,nv_070,0.66293286,2.2172926,0.634123033,0.691742686,1351,Did not have the time,Barriers to volunteering,QC,NA
All,NA,2013,nv_080,0.160734224,13.03634141,0.119665409,0.201803039,474,Financial cost of volunteering,Barriers to volunteering,AB,NA
All,NA,2013,nv_080,0.189078237,5.945067812,0.167046616,0.211109858,1966,Financial cost of volunteering,Barriers to volunteering,AT,NA
All,NA,2013,nv_080,0.191292608,9.449088743,0.155865459,0.226719758,768,Financial cost of volunteering,Barriers to volunteering,BC,NA
All,NA,2013,nv_080,0.211979973,6.474923805,0.185078406,0.238881541,1267,Financial cost of volunteering,Barriers to volunteering,ON,NA
All,NA,2013,nv_080,0.223950726,7.721526992,0.190058214,0.257843238,1044,Financial cost of volunteering,Barriers to volunteering,PR,NA
All,NA,2013,nv_080,0.129353696,8.852283568,0.106910627,0.151796765,1350,Financial cost of volunteering,Barriers to volunteering,QC,NA
All,NA,2013,nv_090,0.648842743,4.15911684,0.595950905,0.701734582,475,Unable to make commitment,Barriers to volunteering,AB,NA
All,NA,2013,nv_090,0.639935496,2.218594219,0.612108766,0.667762225,1968,Unable to make commitment,Barriers to volunteering,AT,NA
All,NA,2013,nv_090,0.597382879,4.021336188,0.550299107,0.64446665,769,Unable to make commitment,Barriers to volunteering,BC,NA
All,NA,2013,nv_090,0.659437387,2.333158363,0.629281933,0.689592841,1266,Unable to make commitment,Barriers to volunteering,ON,NA
All,NA,2013,nv_090,0.641201489,3.08595353,0.602419329,0.679983649,1043,Unable to make commitment,Barriers to volunteering,PR,NA
All,NA,2013,nv_090,0.568191262,2.771039068,0.537332018,0.599050507,1347,Unable to make commitment,Barriers to volunteering,QC,NA
All,NA,2013,nv_100,0.572491616,4.916947711,0.517320367,0.627662864,471,Preferred to give money instead,Barriers to volunteering,AB,NA
All,NA,2013,nv_100,0.553702868,2.765993052,0.52368527,0.583720467,1962,Preferred to give money instead,Barriers to volunteering,AT,NA
All,NA,2013,nv_100,0.418402828,5.634818579,0.372194246,0.46461141,762,Preferred to give money instead,Barriers to volunteering,BC,NA
All,NA,2013,nv_100,0.529579821,3.177820229,0.496595402,0.562564241,1264,Preferred to give money instead,Barriers to volunteering,ON,NA
All,NA,2013,nv_100,0.597886984,3.367364124,0.558426967,0.637347001,1030,Preferred to give money instead,Barriers to volunteering,PR,NA
All,NA,2013,nv_100,0.589949359,2.660353073,0.559188242,0.620710476,1338,Preferred to give money instead,Barriers to volunteering,QC,NA
All,NA,2013,nv_110,0.293423993,8.692705835,0.243432202,0.343415784,474,No interest,Barriers to volunteering,AB,NA
All,NA,2013,nv_110,0.260048721,4.786729752,0.235651424,0.284446019,1960,No interest,Barriers to volunteering,AT,NA
All,NA,2013,nv_110,0.286989447,7.785527492,0.243196713,0.330782181,768,No interest,Barriers to volunteering,BC,NA
All,NA,2013,nv_110,0.258058327,5.642159136,0.229521131,0.286595523,1262,No interest,Barriers to volunteering,ON,NA
All,NA,2013,nv_110,0.344616791,5.545032619,0.307163617,0.382069965,1028,No interest,Barriers to volunteering,PR,NA
All,NA,2013,nv_110,0.340604831,4.592487654,0.309946615,0.371263048,1344,No interest,Barriers to volunteering,QC,NA
Age group,15 to 24 years,2013,nv_020,0.200149536,24.28197045,0.104894794,0.295404278,129,Gave enough time already,Barriers to volunteering,CA,*
Age group,25 to 34 years,2013,nv_020,0.126253516,28.1791358,0.056523584,0.195983448,226,Gave enough time already,Barriers to volunteering,CA,*
Age group,35 to 44 years,2013,nv_020,0.132493169,23.47520022,0.071532337,0.193454001,202,Gave enough time already,Barriers to volunteering,CA,*
Age group,45 to 54 years,2013,nv_020,0.216113275,15.66865644,0.149744883,0.282481667,302,Gave enough time already,Barriers to volunteering,CA,NA
Age group,55 to 64 years,2013,nv_020,0.284299972,11.34878349,0.221062541,0.347537403,377,Gave enough time already,Barriers to volunteering,CA,NA
Age group,65 to 74 years,2013,nv_020,0.405738015,9.519130655,0.330038852,0.481437178,277,Gave enough time already,Barriers to volunteering,CA,NA
Age group,75 years and over,2013,nv_020,0.442462886,10.66644377,0.349962278,0.534963494,248,Gave enough time already,Barriers to volunteering,CA,NA
Sex,Male,2013,nv_020,0.23323332,9.947287671,0.187761393,0.278705247,752,Gave enough time already,Barriers to volunteering,CA,NA
Sex,Female,2013,nv_020,0.240435378,8.321716994,0.20121973,0.279651027,1009,Gave enough time already,Barriers to volunteering,CA,NA
Education,Less than High School,2013,nv_020,0.336008664,18.09434097,0.216845689,0.455171639,167,Gave enough time already,Barriers to volunteering,CA,*
Education,Graduated from High school,2013,nv_020,0.263528774,11.6572133,0.203318462,0.323739085,482,Gave enough time already,Barriers to volunteering,CA,NA
Education,Post-secondary diploma,2013,nv_020,0.210549744,11.29342161,0.163945191,0.257154298,586,Gave enough time already,Barriers to volunteering,CA,NA
Education,University Diploma,2013,nv_020,0.185787149,12.67634958,0.139627981,0.231946316,455,Gave enough time already,Barriers to volunteering,CA,NA
Education,Not stated,2013,nv_020,0.40388691,20.32530339,0.242991036,0.564782783,71,Gave enough time already,Barriers to volunteering,CA,*
Marital status,Married,2013,nv_020,0.260631817,7.943097631,0.220056173,0.301207462,834,Gave enough time already,Barriers to volunteering,CA,NA
Marital status,Living common-law,2013,nv_020,0.170697701,18.35392843,0.109292551,0.232102851,166,Gave enough time already,Barriers to volunteering,CA,*
Marital status,Widowed,2013,nv_020,0.376996415,14.42815533,0.270386862,0.483605967,196,Gave enough time already,Barriers to volunteering,CA,NA
Marital status,Separated,2013,nv_020,0.275736071,32.13514725,0.102067205,0.449404937,58,Gave enough time already,Barriers to volunteering,CA,*
Marital status,Divorced,2013,nv_020,0.26159816,16.46612335,0.177172563,0.346023757,162,Gave enough time already,Barriers to volunteering,CA,NA
Marital status,"Single, never married",2013,nv_020,0.191917702,19.13665473,0.119934834,0.26390057,345,Gave enough time already,Barriers to volunteering,CA,*
Labour force status,Employed,2013,nv_020,0.173432442,10.08015543,0.139167842,0.207697041,959,Gave enough time already,Barriers to volunteering,CA,NA
Labour force status,Unemployed,2013,nv_020,0.381568683,30.9904925,0.149802914,0.613334451,56,Gave enough time already,Barriers to volunteering,CA,*
Labour force status,Not in labour force,2013,nv_020,0.325278134,8.826450354,0.269006563,0.381549706,687,Gave enough time already,Barriers to volunteering,CA,NA
Labour force status,Unable to determine,2013,nv_020,0.341171698,24.6273578,0.176492438,0.505850959,59,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"Less than $20,000",2013,nv_020,0.23254742,13.09916067,0.172843467,0.292251373,447,Gave enough time already,Barriers to volunteering,CA,NA
Personal income category,"$20,000 to $39,999",2013,nv_020,0.281342751,10.41598665,0.223906745,0.338778758,518,Gave enough time already,Barriers to volunteering,CA,NA
Personal income category,"$40,000 to $59,999",2013,nv_020,0.250947264,13.21964532,0.185926756,0.315967772,354,Gave enough time already,Barriers to volunteering,CA,NA
Personal income category,"$60,000 to $79,999",2013,nv_020,0.163739661,19.45709542,0.101297204,0.226182119,195,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"$80,000 to $99,999",2013,nv_020,0.201033708,26.96103364,0.09480216,0.307265257,96,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"$100,000 to $119,999",2013,nv_020,0.167350418,38.19507952,0.042070255,0.292630581,67,Gave enough time already,Barriers to volunteering,CA,...
Personal income category,"$120,000 or more",2013,nv_020,0.131666859,27.2686587,0.061296731,0.202036987,84,Gave enough time already,Barriers to volunteering,CA,*
Frequency of religious attendance,At least once a week,2013,nv_020,0.282235314,16.28158798,0.192170283,0.372300345,227,Gave enough time already,Barriers to volunteering,CA,NA
Frequency of religious attendance,At least once a month,2013,nv_020,0.36726692,20.35360452,0.220755582,0.513778258,133,Gave enough time already,Barriers to volunteering,CA,*
Frequency of religious attendance,At least 3 times a year,2013,nv_020,0.317364129,16.08711002,0.217298723,0.417429534,203,Gave enough time already,Barriers to volunteering,CA,NA
Frequency of religious attendance,Once or twice a year,2013,nv_020,0.241395721,16.96211624,0.161143383,0.321648059,249,Gave enough time already,Barriers to volunteering,CA,*
Frequency of religious attendance,Not at all,2013,nv_020,0.190421247,9.682034367,0.154286076,0.226556418,863,Gave enough time already,Barriers to volunteering,CA,NA
Frequency of religious attendance,Not stated,2013,nv_020,0.255541564,23.70349285,0.136822084,0.374261044,86,Gave enough time already,Barriers to volunteering,CA,*
Immigration status (new),Native-born,2013,nv_020,0.23367019,7.038689524,0.201434037,0.265906344,1471,Gave enough time already,Barriers to volunteering,CA,NA
Immigration status (new),Naturalized,2013,nv_020,0.227703063,17.68557743,0.148774135,0.306631992,206,Gave enough time already,Barriers to volunteering,CA,*
Immigration status (new),Non-Canadian,2013,nv_020,0.202746206,54.52127535,-0.013907855,0.419400266,18,Gave enough time already,Barriers to volunteering,CA,...
Immigration status (new),Unknown,2013,nv_020,0.368035866,24.75055912,0.189500915,0.546570817,66,Gave enough time already,Barriers to volunteering,CA,*
Immigration status (original; dcit2),Native-born,2013,nv_020,0.231702125,7.056833928,0.199655079,0.263749171,1465,Gave enough time already,Barriers to volunteering,CA,NA
Immigration status (original; dcit2),Naturalized,2013,nv_020,0.253576492,17.41247136,0.167036371,0.340116612,178,Gave enough time already,Barriers to volunteering,CA,*
Immigration status (original; dcit2),Non-Canadian,2013,nv_020,0.202634282,40.44623633,0.04199967,0.363268894,44,Gave enough time already,Barriers to volunteering,CA,...
Immigration status (original; dcit2),Unknown,2013,nv_020,0.322382396,22.67450432,0.179111752,0.465653039,74,Gave enough time already,Barriers to volunteering,CA,*
Age group,15 to 24 years,2013,nv_030,0.080589863,37.43389416,0.021461818,0.139717908,130,Dissatisfied with previous experience,Barriers to volunteering,CA,...
Age group,25 to 34 years,2013,nv_030,0.057315827,31.80127515,0.021591242,0.093040412,226,Dissatisfied with previous experience,Barriers to volunteering,CA,*
Age group,35 to 44 years,2013,nv_030,0.068220295,35.50547092,0.020746171,0.115694419,203,Dissatisfied with previous experience,Barriers to volunteering,CA,...
Age group,45 to 54 years,2013,nv_030,0.098372342,32.44073708,0.035824574,0.16092011,301,Dissatisfied with previous experience,Barriers to volunteering,CA,*
Age group,55 to 64 years,2013,nv_030,0.096359477,21.41507884,0.055914723,0.136804231,378,Dissatisfied with previous experience,Barriers to volunteering,CA,*
Age group,65 to 74 years,2013,nv_030,0.125700531,22.62911203,0.069949524,0.181451538,278,Dissatisfied with previous experience,Barriers to volunteering,CA,*
Age group,75 years and over,2013,nv_030,0.105601299,25.43154263,0.052964429,0.158238169,250,Dissatisfied with previous experience,Barriers to volunteering,CA,*
Sex,Male,2013,nv_030,0.075545982,17.42014268,0.049752429,0.101339535,754,Dissatisfied with previous experience,Barriers to volunteering,CA,*
