Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
All,NA,2013,nv_020,0.3987918,2.221072314,0.381431508,0.416152091,-,Gave enough time already,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_030,0.085544169,6.144871962,0.075241462,0.095846875,-,Dissatisfied with previous experience,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_040,0.312615176,2.752969275,0.295747335,0.329483018,-,No one asked,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_050,0.165142534,4.528172292,0.150486044,0.179799024,-,Unsure how to get more involved,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_060,0.174297498,3.923721351,0.160893406,0.18770159,-,Health probelms/physically unable,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_070,0.734987999,1.082630672,0.719392163,0.750583835,-,Did not have the time,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_080,0.131314596,4.794847994,0.118974006,0.143655186,-,Financial cost of volunteering,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_090,0.514211206,1.791736651,0.496153449,0.532268963,-,Unable to make commitment,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_100,0.264260582,2.880879175,0.249339321,0.279181842,-,Preferred to give money instead,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_110,0.200007891,3.763826127,0.185253382,0.214762401,-,No interest,Barriers to volunteering more,CA (without QC),
All,NA,2013,nv_020,0.422829757,1.975878957,0.406455034,0.439204481,-,Gave enough time already,Barriers to volunteering more,CA,NA
All,NA,2013,nv_030,0.082828286,5.564143099,0.073795431,0.091861142,-,Dissatisfied with previous experience,Barriers to volunteering more,CA,NA
All,NA,2013,nv_040,0.303054903,2.528474457,0.288036354,0.318073452,-,No one asked,Barriers to volunteering more,CA,NA
All,NA,2013,nv_050,0.158804109,4.141045539,0.145915091,0.171693127,-,Unsure how to get more involved,Barriers to volunteering more,CA,NA
All,NA,2013,nv_060,0.171531455,3.579116369,0.159498628,0.183564282,-,Health probelms/physically unable,Barriers to volunteering more,CA,NA
