,Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts et culture,Do not support cause,2013,nv_020,0.417649687,2.028294268,0.401006141,0.434293234,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
1,Arts et culture,Support cause,2013,nv_020,0.512521041,6.352943081,0.448549118,0.576492964,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
2,Arts et culture,Do not support cause,2013,nv_020,0.384971861,3.759813319,0.356533929,0.413409792,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
3,Arts et culture,Support cause,2013,nv_020,0.556090267,10.40236077,0.442437517,0.669743017,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
4,Arts et culture,Do not support cause,2013,nv_020,0.530761051,3.467824194,0.494598516,0.566923585,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
5,Arts et culture,Support cause,2013,nv_020,0.661394105,10.48626611,0.525129226,0.797658985,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
6,Sport et loisir,Do not support cause,2013,nv_020,0.403401572,2.395950764,0.384411867,0.422391277,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
7,Sport et loisir,Support cause,2013,nv_020,0.491125095,3.248477599,0.459779628,0.522470562,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
8,Sport et loisir,Do not support cause,2013,nv_020,0.381893406,4.124657466,0.350945392,0.41284142,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
9,Sport et loisir,Support cause,2013,nv_020,0.430100651,6.680653312,0.373647033,0.486554268,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
10,Sport et loisir,Do not support cause,2013,nv_020,0.498584013,4.114600742,0.458278097,0.538889928,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
11,Sport et loisir,Support cause,2013,nv_020,0.672161845,4.615602743,0.611207451,0.73311624,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
12,Éducation et recherche,Do not support cause,2013,nv_020,0.43127,2.146939342,0.413078364,0.449461636,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
13,Éducation et recherche,Support cause,2013,nv_020,0.397351811,4.643632449,0.361099493,0.433604129,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
14,Éducation et recherche,Do not support cause,2013,nv_020,0.402771671,3.893466402,0.371961217,0.433582124,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
15,Éducation et recherche,Support cause,2013,nv_020,0.35900566,9.96770803,0.288698534,0.429312786,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
16,Éducation et recherche,Do not support cause,2013,nv_020,0.560823974,3.463858652,0.522656847,0.598991102,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
17,Éducation et recherche,Support cause,2013,nv_020,0.443754148,9.605466658,0.360008232,0.527500063,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
18,Universités et collèges,Do not support cause,2013,nv_020,0.424489025,1.962023417,0.408125631,0.44085242,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
19,Universités et collèges,Support cause,2013,nv_020,0.423534648,10.32001029,0.337658646,0.50941065,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
