,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,fg1dad03,139.1903956,33.42937665,47.99232748,230.3884638,35,Demande par lettre,Average donation by method,CA,...
1,Groupe d'âge,25 à 34 ans,2013,fg1dad03,153.4335924,24.22870633,80.57198123,226.2952035,186,Demande par lettre,Average donation by method,CA,*
2,Groupe d'âge,35 à 44 ans,2013,fg1dad03,190.3788485,11.83329274,146.2246104,234.5330866,380,Demande par lettre,Average donation by method,CA,
3,Groupe d'âge,45 à 54 ans,2013,fg1dad03,275.9903669,12.48804925,208.4386148,343.542119,602,Demande par lettre,Average donation by method,CA,
4,Groupe d'âge,55 à 64 ans,2013,fg1dad03,268.1412933,9.057462366,220.5400464,315.7425401,1050,Demande par lettre,Average donation by method,CA,
5,Groupe d'âge,65 à 74 ans,2013,fg1dad03,287.1918668,9.472649924,233.8716735,340.5120601,1007,Demande par lettre,Average donation by method,CA,
6,Groupe d'âge,75 ans et plus,2013,fg1dad03,356.0080894,12.23831252,270.6136687,441.40251,791,Demande par lettre,Average donation by method,CA,
7,Genre,Male,2013,fg1dad03,288.786546,6.659338555,251.093942,326.47915,1635,Demande par lettre,Average donation by method,CA,
8,Genre,Female,2013,fg1dad03,248.6325601,7.111908564,213.9754571,283.2896631,2416,Demande par lettre,Average donation by method,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,fg1dad03,178.0655269,18.33842146,114.0640657,242.0669882,440,Demande par lettre,Average donation by method,CA,*
10,Éducation,Diplôme d'études secondaires,2013,fg1dad03,231.6725949,11.57485896,179.1146396,284.2305503,958,Demande par lettre,Average donation by method,CA,
11,Éducation,Diplôme post-secondaire,2013,fg1dad03,215.1198099,7.074531243,185.2916704,244.9479494,1223,Demande par lettre,Average donation by method,CA,
12,Éducation,Diplôme universtaire,2013,fg1dad03,389.3925019,7.674550801,330.8206925,447.9643113,1188,Demande par lettre,Average donation by method,CA,
13,Éducation,Not stated,2013,fg1dad03,233.1819677,19.62901633,143.4718162,322.8921192,242,Demande par lettre,Average donation by method,CA,*
14,État civil,Marié.e/union de fait,2013,fg1dad03,265.1257176,5.592483309,236.0651131,294.1863222,2533,Demande par lettre,Average donation by method,CA,
15,État civil,Veuf.ve,2013,fg1dad03,322.9026019,15.04648637,227.6767796,418.1284242,599,Demande par lettre,Average donation by method,CA,
16,État civil,Séparé.e/divorcé.e,2013,fg1dad03,245.4376039,11.9204827,188.0942573,302.7809506,443,Demande par lettre,Average donation by method,CA,
17,État civil,"Célibataire, jamais marié.e",2013,fg1dad03,251.1408015,10.19978811,200.934698,301.346905,475,Demande par lettre,Average donation by method,CA,
18,Situation d'activité,Employé.e,2013,fg1dad03,262.7234232,7.037093285,226.487428,298.9594183,1760,Demande par lettre,Average donation by method,CA,
19,Situation d'activité,Au chômage,2013,fg1dad03,156.8877052,41.46961937,29.3710094,284.404401,83,Demande par lettre,Average donation by method,CA,...
20,Situation d'activité,Pas dans la population active,2013,fg1dad03,286.3266889,7.441349059,244.5665823,328.0867956,1979,Demande par lettre,Average donation by method,CA,
21,Situation d'activité,Unable to determine,2013,fg1dad03,197.2122825,19.1124179,123.3372503,271.0873148,229,Demande par lettre,Average donation by method,CA,*
22,Catégorie de revenu personnel,"Less than $20,000",2013,fg1dad03,258.8862554,27.47553266,119.473277,398.2992337,235,Demande par lettre,Average donation by method,CA,*
23,Catégorie de revenu personnel,"$20,000 to $39,999",2013,fg1dad03,191.4670624,11.22488329,149.343606,233.5905188,711,Demande par lettre,Average donation by method,CA,
