,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,flag_fg1dad03,0.027762863,22.89415233,0.01530519,0.040220535,1027,Demande par lettre,Donation Rate by Donation Method,CA,*
1,Groupe d'âge,25 à 34 ans,2013,flag_fg1dad03,0.101806476,9.463844509,0.082922602,0.12069035,1768,Demande par lettre,Donation Rate by Donation Method,CA,
2,Groupe d'âge,35 à 44 ans,2013,flag_fg1dad03,0.168817062,6.463800329,0.147429939,0.190204185,2316,Demande par lettre,Donation Rate by Donation Method,CA,
3,Groupe d'âge,45 à 54 ans,2013,flag_fg1dad03,0.229513105,4.988362531,0.207073584,0.251952626,2618,Demande par lettre,Donation Rate by Donation Method,CA,
4,Groupe d'âge,55 à 64 ans,2013,flag_fg1dad03,0.32813923,3.738217276,0.304097219,0.352181241,3100,Demande par lettre,Donation Rate by Donation Method,CA,
5,Groupe d'âge,65 à 74 ans,2013,flag_fg1dad03,0.433151797,3.124179378,0.406628704,0.45967489,2343,Demande par lettre,Donation Rate by Donation Method,CA,
6,Groupe d'âge,75 ans et plus,2013,flag_fg1dad03,0.490088725,3.742685313,0.454138127,0.526039323,1542,Demande par lettre,Donation Rate by Donation Method,CA,
7,Genre,Male,2013,flag_fg1dad03,0.209065419,2.853349196,0.197373516,0.220757322,6435,Demande par lettre,Donation Rate by Donation Method,CA,
8,Genre,Female,2013,flag_fg1dad03,0.236741444,2.4175123,0.225524073,0.247958815,8279,Demande par lettre,Donation Rate by Donation Method,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,flag_fg1dad03,0.164789047,6.193386413,0.144785611,0.184792484,1884,Demande par lettre,Donation Rate by Donation Method,CA,
10,Éducation,Diplôme d'études secondaires,2013,flag_fg1dad03,0.198951198,4.231815865,0.182449775,0.215452622,3742,Demande par lettre,Donation Rate by Donation Method,CA,
11,Éducation,Diplôme post-secondaire,2013,flag_fg1dad03,0.235274593,3.636359569,0.218506258,0.252042928,4431,Demande par lettre,Donation Rate by Donation Method,CA,
12,Éducation,Diplôme universtaire,2013,flag_fg1dad03,0.267655751,3.614165203,0.248695999,0.286615504,3757,Demande par lettre,Donation Rate by Donation Method,CA,
13,Éducation,Not stated,2013,flag_fg1dad03,0.214914639,8.198515963,0.180380444,0.249448834,900,Demande par lettre,Donation Rate by Donation Method,CA,
14,État civil,Marié.e/union de fait,2013,flag_fg1dad03,0.275835539,2.168350237,0.264112837,0.287558242,8367,Demande par lettre,Donation Rate by Donation Method,CA,
15,État civil,Veuf.ve,2013,flag_fg1dad03,0.380831096,4.865246159,0.344516157,0.417146034,1414,Demande par lettre,Donation Rate by Donation Method,CA,
16,État civil,Séparé.e/divorcé.e,2013,flag_fg1dad03,0.212382763,6.34328509,0.185978041,0.238787484,1720,Demande par lettre,Donation Rate by Donation Method,CA,
17,État civil,"Célibataire, jamais marié.e",2013,flag_fg1dad03,0.079288023,7.728326021,0.067278075,0.091297971,3206,Demande par lettre,Donation Rate by Donation Method,CA,
18,Situation d'activité,Employé.e,2013,flag_fg1dad03,0.188331225,3.07327403,0.176987082,0.199675369,7948,Demande par lettre,Donation Rate by Donation Method,CA,
19,Situation d'activité,Au chômage,2013,flag_fg1dad03,0.119918467,14.83807369,0.08504367,0.154793263,481,Demande par lettre,Donation Rate by Donation Method,CA,
20,Situation d'activité,Pas dans la population active,2013,flag_fg1dad03,0.299585943,2.811150507,0.283079496,0.316092391,5456,Demande par lettre,Donation Rate by Donation Method,CA,
21,Situation d'activité,Unable to determine,2013,flag_fg1dad03,0.215254096,8.297047052,0.180249661,0.250258531,829,Demande par lettre,Donation Rate by Donation Method,CA,
22,Catégorie de revenu personnel,"Less than $20,000",2013,flag_fg1dad03,0.152184906,10.25890966,0.121584945,0.182784868,1210,Demande par lettre,Donation Rate by Donation Method,CA,
23,Catégorie de revenu personnel,"$20,000 to $39,999",2013,flag_fg1dad03,0.236828969,5.142052496,0.212960783,0.260697155,2489,Demande par lettre,Donation Rate by Donation Method,CA,
24,Catégorie de revenu personnel,"$40,000 to $59,999",2013,flag_fg1dad03,0.233879061,4.855423549,0.211622064,0.256136057,2518,Demande par lettre,Donation Rate by Donation Method,CA,
25,Catégorie de revenu personnel,"$60,000 to $79,999",2013,flag_fg1dad03,0.237714643,5.075354512,0.21406795,0.261361336,2056,Demande par lettre,Donation Rate by Donation Method,CA,
26,Catégorie de revenu personnel,"$80,000 to $99,999",2013,flag_fg1dad03,0.221192803,5.749800883,0.196265695,0.24611991,1799,Demande par lettre,Donation Rate by Donation Method,CA,
27,Catégorie de revenu personnel,"$100,000 to $119,999",2013,flag_fg1dad03,0.210703832,6.553352582,0.183640326,0.237767339,1312,Demande par lettre,Donation Rate by Donation Method,CA,
28,Catégorie de revenu personnel,"$120,000 to $139,999",2013,flag_fg1dad03,0.200845286,7.671475227,0.17064656,0.231044012,1036,Demande par lettre,Donation Rate by Donation Method,CA,
29,Catégorie de revenu personnel,"$140,000 or more",2013,flag_fg1dad03,0.230653104,4.579115805,0.209952214,0.251353994,2294,Demande par lettre,Donation Rate by Donation Method,CA,
30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,flag_fg1dad03,0.311037275,4.22408327,0.28528634,0.33678821,2672,Demande par lettre,Donation Rate by Donation Method,CA,
31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,flag_fg1dad03,0.253512437,6.263678203,0.222389771,0.284635104,1410,Demande par lettre,Donation Rate by Donation Method,CA,
32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,flag_fg1dad03,0.301289554,5.58088585,0.268333492,0.334245615,1508,Demande par lettre,Donation Rate by Donation Method,CA,
33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,flag_fg1dad03,0.190680976,6.018795492,0.168187061,0.21317489,1974,Demande par lettre,Donation Rate by Donation Method,CA,
34,Fréquence de la fréquentation religieuse,Pas du tout,2013,flag_fg1dad03,0.180463127,3.482708823,0.168144743,0.192781511,6171,Demande par lettre,Donation Rate by Donation Method,CA,
35,Fréquence de la fréquentation religieuse,Not stated,2013,flag_fg1dad03,0.21333166,8.497175341,0.177803069,0.248860251,979,Demande par lettre,Donation Rate by Donation Method,CA,
36,Statut d'immigration,Né.e au Canada,2013,flag_fg1dad03,0.220956556,2.120016112,0.211775468,0.230137644,11683,Demande par lettre,Donation Rate by Donation Method,CA,
37,Statut d'immigration,Naturalisé.e,2013,flag_fg1dad03,0.267525598,5.273194781,0.2398761,0.295175096,1589,Demande par lettre,Donation Rate by Donation Method,CA,
38,Statut d'immigration,Non canadien.ne,2013,flag_fg1dad03,0.124057096,15.23897848,0.08700391,0.161110282,504,Demande par lettre,Donation Rate by Donation Method,CA,
39,Statut d'immigration,Unknown,2013,flag_fg1dad03,0.2216797,8.12555366,0.186375451,0.256983949,938,Demande par lettre,Donation Rate by Donation Method,CA,
40,Immigration status (dcit2),Né.e au Canada,2013,flag_fg1dad03,0.222365286,2.111884002,0.213161105,0.231569467,11729,Demande par lettre,Donation Rate by Donation Method,CA,
41,Immigration status (dcit2),Naturalisé.e,2013,flag_fg1dad03,0.237826362,5.076802984,0.214161804,0.26149092,1884,Demande par lettre,Donation Rate by Donation Method,CA,
42,Immigration status (dcit2),Non canadien.ne,2013,flag_fg1dad03,0.174572407,18.57133628,0.111029534,0.238115279,265,Demande par lettre,Donation Rate by Donation Method,CA,*
43,Immigration status (dcit2),Unknown,2013,flag_fg1dad03,0.207137106,8.550133355,0.172425166,0.241849046,836,Demande par lettre,Donation Rate by Donation Method,CA,
44,Groupe d'âge,15 à 24 ans,2013,flag_fg1dad04,0.021079154,36.66924801,0.005929481,0.036228827,1027,Demande au téléphone,Donation Rate by Donation Method,CA,...
45,Groupe d'âge,25 à 34 ans,2013,flag_fg1dad04,0.041080136,16.27463254,0.02797652,0.054183752,1768,Demande au téléphone,Donation Rate by Donation Method,CA,
46,Groupe d'âge,35 à 44 ans,2013,flag_fg1dad04,0.051437514,10.37594406,0.040976936,0.061898092,2316,Demande au téléphone,Donation Rate by Donation Method,CA,
47,Groupe d'âge,45 à 54 ans,2013,flag_fg1dad04,0.086395407,8.750544297,0.071577945,0.101212868,2618,Demande au téléphone,Donation Rate by Donation Method,CA,
48,Groupe d'âge,55 à 64 ans,2013,flag_fg1dad04,0.079586541,7.892447976,0.067275368,0.091897715,3100,Demande au téléphone,Donation Rate by Donation Method,CA,
49,Groupe d'âge,65 à 74 ans,2013,flag_fg1dad04,0.094119328,8.970623478,0.077571174,0.110667481,2343,Demande au téléphone,Donation Rate by Donation Method,CA,
50,Groupe d'âge,75 ans et plus,2013,flag_fg1dad04,0.06743613,12.5507743,0.050847472,0.084024788,1542,Demande au téléphone,Donation Rate by Donation Method,CA,
51,Genre,Male,2013,flag_fg1dad04,0.059270395,5.947444459,0.052361377,0.066179412,6435,Demande au téléphone,Donation Rate by Donation Method,CA,
52,Genre,Female,2013,flag_fg1dad04,0.063328561,6.131982014,0.055717441,0.070939681,8279,Demande au téléphone,Donation Rate by Donation Method,CA,
53,Éducation,Sans diplôme d'études secondaires,2013,flag_fg1dad04,0.036243035,15.2228141,0.025429503,0.047056568,1884,Demande au téléphone,Donation Rate by Donation Method,CA,
54,Éducation,Diplôme d'études secondaires,2013,flag_fg1dad04,0.049590493,10.13875968,0.039736067,0.059444919,3742,Demande au téléphone,Donation Rate by Donation Method,CA,
55,Éducation,Diplôme post-secondaire,2013,flag_fg1dad04,0.060833732,7.396793312,0.052014393,0.069653071,4431,Demande au téléphone,Donation Rate by Donation Method,CA,
56,Éducation,Diplôme universtaire,2013,flag_fg1dad04,0.086863116,7.292744431,0.074447322,0.09927891,3757,Demande au téléphone,Donation Rate by Donation Method,CA,
57,Éducation,Not stated,2013,flag_fg1dad04,0.067156738,22.04804464,0.038136046,0.09617743,900,Demande au téléphone,Donation Rate by Donation Method,CA,*
58,État civil,Marié.e/union de fait,2013,flag_fg1dad04,0.076104371,4.743705262,0.069028573,0.083180168,8367,Demande au téléphone,Donation Rate by Donation Method,CA,
59,État civil,Veuf.ve,2013,flag_fg1dad04,0.079864017,14.32049236,0.057448065,0.102279969,1414,Demande au téléphone,Donation Rate by Donation Method,CA,
60,État civil,Séparé.e/divorcé.e,2013,flag_fg1dad04,0.047856764,12.41914911,0.036207909,0.05950562,1720,Demande au téléphone,Donation Rate by Donation Method,CA,
61,État civil,"Célibataire, jamais marié.e",2013,flag_fg1dad04,0.027980238,19.00625133,0.017557161,0.038403316,3206,Demande au téléphone,Donation Rate by Donation Method,CA,*
62,Situation d'activité,Employé.e,2013,flag_fg1dad04,0.064908302,5.748106106,0.05759568,0.072220923,7948,Demande au téléphone,Donation Rate by Donation Method,CA,
63,Situation d'activité,Au chômage,2013,flag_fg1dad04,0.035851535,26.98496218,0.016889818,0.054813252,481,Demande au téléphone,Donation Rate by Donation Method,CA,*
64,Situation d'activité,Pas dans la population active,2013,flag_fg1dad04,0.057901501,6.885149017,0.050087899,0.065715102,5456,Demande au téléphone,Donation Rate by Donation Method,CA,
65,Situation d'activité,Unable to determine,2013,flag_fg1dad04,0.060777435,24.57267436,0.031506076,0.090048794,829,Demande au téléphone,Donation Rate by Donation Method,CA,*
66,Catégorie de revenu personnel,"Less than $20,000",2013,flag_fg1dad04,0.028935346,16.97131345,0.019310535,0.038560158,1210,Demande au téléphone,Donation Rate by Donation Method,CA,*
67,Catégorie de revenu personnel,"$20,000 to $39,999",2013,flag_fg1dad04,0.04779653,12.45104312,0.036132458,0.059460602,2489,Demande au téléphone,Donation Rate by Donation Method,CA,
68,Catégorie de revenu personnel,"$40,000 to $59,999",2013,flag_fg1dad04,0.041971327,11.3745651,0.03261435,0.051328305,2518,Demande au téléphone,Donation Rate by Donation Method,CA,
69,Catégorie de revenu personnel,"$60,000 to $79,999",2013,flag_fg1dad04,0.062250936,11.30385458,0.048459149,0.076042723,2056,Demande au téléphone,Donation Rate by Donation Method,CA,
70,Catégorie de revenu personnel,"$80,000 to $99,999",2013,flag_fg1dad04,0.056495471,12.37138864,0.042796745,0.070194197,1799,Demande au téléphone,Donation Rate by Donation Method,CA,
71,Catégorie de revenu personnel,"$100,000 to $119,999",2013,flag_fg1dad04,0.069426112,14.39130853,0.049843473,0.089008751,1312,Demande au téléphone,Donation Rate by Donation Method,CA,
72,Catégorie de revenu personnel,"$120,000 to $139,999",2013,flag_fg1dad04,0.062371195,14.18855476,0.045026354,0.079716035,1036,Demande au téléphone,Donation Rate by Donation Method,CA,
73,Catégorie de revenu personnel,"$140,000 or more",2013,flag_fg1dad04,0.088251285,8.631237891,0.07332189,0.10318068,2294,Demande au téléphone,Donation Rate by Donation Method,CA,
74,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,flag_fg1dad04,0.074723395,9.277128355,0.061136561,0.088310228,2672,Demande au téléphone,Donation Rate by Donation Method,CA,
75,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,flag_fg1dad04,0.061664744,14.04205637,0.044693419,0.078636068,1410,Demande au téléphone,Donation Rate by Donation Method,CA,
76,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,flag_fg1dad04,0.081226221,10.87744553,0.063909277,0.098543165,1508,Demande au téléphone,Donation Rate by Donation Method,CA,
77,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,flag_fg1dad04,0.056215247,11.74254539,0.043277327,0.069153167,1974,Demande au téléphone,Donation Rate by Donation Method,CA,
78,Fréquence de la fréquentation religieuse,Pas du tout,2013,flag_fg1dad04,0.053503653,7.039787636,0.046121364,0.060885943,6171,Demande au téléphone,Donation Rate by Donation Method,CA,
79,Fréquence de la fréquentation religieuse,Not stated,2013,flag_fg1dad04,0.062879372,20.53503543,0.037571727,0.088187018,979,Demande au téléphone,Donation Rate by Donation Method,CA,*
80,Statut d'immigration,Né.e au Canada,2013,flag_fg1dad04,0.062446358,4.761387372,0.056618772,0.068273944,11683,Demande au téléphone,Donation Rate by Donation Method,CA,
81,Statut d'immigration,Naturalisé.e,2013,flag_fg1dad04,0.066964406,11.62071961,0.051712464,0.082216348,1589,Demande au téléphone,Donation Rate by Donation Method,CA,
82,Statut d'immigration,Non canadien.ne,2013,flag_fg1dad04,0.026643507,35.11426541,0.008306727,0.044980287,504,Demande au téléphone,Donation Rate by Donation Method,CA,...
83,Statut d'immigration,Unknown,2013,flag_fg1dad04,0.062386566,21.45565768,0.03615157,0.088621562,938,Demande au téléphone,Donation Rate by Donation Method,CA,*
84,Immigration status (dcit2),Né.e au Canada,2013,flag_fg1dad04,0.06211069,4.779873671,0.056291924,0.067929456,11729,Demande au téléphone,Donation Rate by Donation Method,CA,
85,Immigration status (dcit2),Naturalisé.e,2013,flag_fg1dad04,0.058487978,11.28475853,0.045551771,0.071424186,1884,Demande au téléphone,Donation Rate by Donation Method,CA,
86,Immigration status (dcit2),Non canadien.ne,2013,flag_fg1dad04,0.060714492,35.78743418,0.018128083,0.1033009,265,Demande au téléphone,Donation Rate by Donation Method,CA,...
87,Immigration status (dcit2),Unknown,2013,flag_fg1dad04,0.060277286,24.29958156,0.031569442,0.088985131,836,Demande au téléphone,Donation Rate by Donation Method,CA,*
88,Groupe d'âge,15 à 24 ans,2013,flag_fg1dad05,0.034830719,21.09707156,0.020428391,0.049233047,1027,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,*
89,Groupe d'âge,25 à 34 ans,2013,flag_fg1dad05,0.051205527,11.41774065,0.03974657,0.062664485,1768,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
90,Groupe d'âge,35 à 44 ans,2013,flag_fg1dad05,0.080492613,8.850362309,0.066530049,0.094455176,2316,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
91,Groupe d'âge,45 à 54 ans,2013,flag_fg1dad05,0.102927186,8.208110378,0.086368671,0.1194857,2618,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
92,Groupe d'âge,55 à 64 ans,2013,flag_fg1dad05,0.101968776,7.127309123,0.087724483,0.116213069,3100,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
93,Groupe d'âge,65 à 74 ans,2013,flag_fg1dad05,0.086623134,8.197113222,0.072706221,0.100540047,2343,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
94,Groupe d'âge,75 ans et plus,2013,flag_fg1dad05,0.083684595,13.38323397,0.061733576,0.105635613,1542,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
95,Genre,Male,2013,flag_fg1dad05,0.072043421,5.59541579,0.064142554,0.079944289,6435,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
96,Genre,Female,2013,flag_fg1dad05,0.081409302,5.070782022,0.073318398,0.089500207,8279,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
97,Éducation,Sans diplôme d'études secondaires,2013,flag_fg1dad05,0.047120408,12.95367034,0.035157136,0.059083679,1884,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
98,Éducation,Diplôme d'études secondaires,2013,flag_fg1dad05,0.071018781,8.283708747,0.059488335,0.082549228,3742,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
99,Éducation,Diplôme post-secondaire,2013,flag_fg1dad05,0.089731979,6.478143965,0.078338773,0.101125184,4431,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
100,Éducation,Diplôme universtaire,2013,flag_fg1dad05,0.077543427,6.829902499,0.067163183,0.087923672,3757,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
101,Éducation,Not stated,2013,flag_fg1dad05,0.095918625,15.96173614,0.065911032,0.125926219,900,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
102,État civil,Marié.e/union de fait,2013,flag_fg1dad05,0.092655363,4.225981385,0.084980932,0.100329795,8367,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
103,État civil,Veuf.ve,2013,flag_fg1dad05,0.067963874,14.54598594,0.048587639,0.087340108,1414,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
104,État civil,Séparé.e/divorcé.e,2013,flag_fg1dad05,0.08095209,10.69358087,0.063985314,0.097918865,1720,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
105,État civil,"Célibataire, jamais marié.e",2013,flag_fg1dad05,0.041360847,11.63287286,0.031930569,0.050791125,3206,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
106,Situation d'activité,Employé.e,2013,flag_fg1dad05,0.078611584,4.593564228,0.071534009,0.085689158,7948,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
107,Situation d'activité,Au chômage,2013,flag_fg1dad05,0.056323247,23.19284017,0.030720315,0.08192618,481,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,*
108,Situation d'activité,Pas dans la population active,2013,flag_fg1dad05,0.072243982,6.402482567,0.063178348,0.081309615,5456,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
109,Situation d'activité,Unable to determine,2013,flag_fg1dad05,0.097502335,16.66903,0.065647641,0.129357028,829,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,*
110,Catégorie de revenu personnel,"Less than $20,000",2013,flag_fg1dad05,0.040153468,16.39035037,0.027254368,0.053052567,1210,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
111,Catégorie de revenu personnel,"$20,000 to $39,999",2013,flag_fg1dad05,0.079242855,10.09367728,0.063566048,0.094919663,2489,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
112,Catégorie de revenu personnel,"$40,000 to $59,999",2013,flag_fg1dad05,0.071295507,10.2260215,0.057006009,0.085585004,2518,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
113,Catégorie de revenu personnel,"$60,000 to $79,999",2013,flag_fg1dad05,0.093672979,9.409375263,0.076397774,0.110948184,2056,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
114,Catégorie de revenu personnel,"$80,000 to $99,999",2013,flag_fg1dad05,0.093628342,10.08008565,0.07513056,0.112126123,1799,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
115,Catégorie de revenu personnel,"$100,000 to $119,999",2013,flag_fg1dad05,0.073157258,11.58200852,0.056550327,0.08976419,1312,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
116,Catégorie de revenu personnel,"$120,000 to $139,999",2013,flag_fg1dad05,0.074308432,13.03629927,0.055322124,0.093294739,1036,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
117,Catégorie de revenu personnel,"$140,000 or more",2013,flag_fg1dad05,0.069001448,9.135015237,0.056647221,0.081355675,2294,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
118,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,flag_fg1dad05,0.070734483,9.898995366,0.057010809,0.084458157,2672,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
119,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,flag_fg1dad05,0.091429724,10.79189608,0.072090758,0.11076869,1410,Demande à la télé ou la radio,Donation Rate by Donation Method,CA,
