Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,fg1fgiv,0.666736953,2.667141433,0.631883271,0.701590634,1027,Donor flag,Donation rate,CA,NA,
Age group,25 to 34 years,2013,fg1fgiv,0.812920805,1.670563225,0.786303797,0.839537814,1768,Donor flag,Donation rate,CA,NA,
Age group,35 to 44 years,2013,fg1fgiv,0.854625352,1.224868733,0.834108373,0.87514233,2316,Donor flag,Donation rate,CA,NA,
Age group,45 to 54 years,2013,fg1fgiv,0.866991997,1.0979095,0.848335517,0.885648478,2618,Donor flag,Donation rate,CA,NA,
Age group,55 to 64 years,2013,fg1fgiv,0.869763075,0.959307961,0.853409711,0.886116439,3100,Donor flag,Donation rate,CA,NA,
Age group,65 to 74 years,2013,fg1fgiv,0.864967292,1.18721407,0.844840396,0.885094188,2343,Donor flag,Donation rate,CA,NA,
Age group,75 years and over,2013,fg1fgiv,0.853648381,1.517540034,0.828258114,0.879038648,1542,Donor flag,Donation rate,CA,NA,
Sex,Male,2013,fg1fgiv,0.803595928,0.983640326,0.788103405,0.819088451,6435,Donor flag,Donation rate,CA,NA,
Sex,Female,2013,fg1fgiv,0.843911165,0.717626592,0.832041367,0.855780964,8279,Donor flag,Donation rate,CA,NA,
Education,Less than High School,2013,fg1fgiv,0.668448225,2.584098665,0.634593058,0.702303392,1884,Donor flag,Donation rate,CA,NA,
Education,Graduated from High school,2013,fg1fgiv,0.794346462,1.367255687,0.773059788,0.815633135,3742,Donor flag,Donation rate,CA,NA,
Education,Post-secondary diploma,2013,fg1fgiv,0.87532395,0.883218731,0.860171419,0.89047648,4431,Donor flag,Donation rate,CA,NA,
Education,University Diploma,2013,fg1fgiv,0.881147247,0.940048514,0.864912451,0.897382044,3757,Donor flag,Donation rate,CA,NA,
Education,Not stated,2013,fg1fgiv,0.791999375,2.614867143,0.751409048,0.832589703,900,Donor flag,Donation rate,CA,NA,
