Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,fg1fgiv,0.6667369525034149,2.667141432612737,0.6318832706465207,0.7015906343603091,1027,Donor flag,Donation rate,CA,NA,
Age group,25 to 34 years,2013,fg1fgiv,0.8129208054092059,1.6705632245853481,0.7863037967124425,0.8395378141059692,1768,Donor flag,Donation rate,CA,NA,
Age group,35 to 44 years,2013,fg1fgiv,0.8546253515737876,1.2248687333054125,0.8341083726970924,0.8751423304504828,2316,Donor flag,Donation rate,CA,NA,
Age group,45 to 54 years,2013,fg1fgiv,0.8669919973568614,1.097909499976724,0.8483355166744544,0.8856484780392684,2618,Donor flag,Donation rate,CA,NA,
Age group,55 to 64 years,2013,fg1fgiv,0.8697630751500269,0.9593079610890518,0.8534097110642982,0.8861164392357557,3100,Donor flag,Donation rate,CA,NA,
Age group,65 to 74 years,2013,fg1fgiv,0.8649672920000684,1.1872140696661846,0.8448403956015834,0.8850941883985534,2343,Donor flag,Donation rate,CA,NA,
Age group,75 years and over,2013,fg1fgiv,0.8536483811147898,1.517540034282979,0.8282581140420447,0.8790386481875349,1542,Donor flag,Donation rate,CA,NA,
Sex,Male,2013,fg1fgiv,0.8035959277344888,0.9836403261591424,0.7881034049535062,0.8190884505154715,6435,Donor flag,Donation rate,CA,NA,
Sex,Female,2013,fg1fgiv,0.8439111653733545,0.7176265920876139,0.832041366852517,0.8557809638941921,8279,Donor flag,Donation rate,CA,NA,
Education,Less than High School,2013,fg1fgiv,0.6684482250275554,2.5840986646535455,0.634593058288219,0.7023033917668918,1884,Donor flag,Donation rate,CA,NA,
Education,Graduated from High school,2013,fg1fgiv,0.7943464618015678,1.3672556872070143,0.7730597884931578,0.8156331351099777,3742,Donor flag,Donation rate,CA,NA,
Education,Post-secondary diploma,2013,fg1fgiv,0.8753239495801456,0.8832187314442042,0.8601714188528921,0.8904764803073991,4431,Donor flag,Donation rate,CA,NA,
Education,University Diploma,2013,fg1fgiv,0.8811472474815739,0.9400485143353781,0.8649124510514969,0.8973820439116509,3757,Donor flag,Donation rate,CA,NA,
Education,Not stated,2013,fg1fgiv,0.7919993754165983,2.61486714273104,0.7514090476678301,0.8325897031653664,900,Donor flag,Donation rate,CA,NA,
Marital status,Married/common-law,2013,fg1fgiv,0.8792678822234533,0.5497202266888264,0.8697943700497542,0.8887413943971524,8367,Donor flag,Donation rate,CA,NA,
Marital status,Widowed,2013,fg1fgiv,0.8433259871706101,1.788010916085269,0.8137721592498756,0.8728798150913447,1414,Donor flag,Donation rate,CA,NA,
Marital status,Separated/divorced,2013,fg1fgiv,0.8050138084871082,1.8288983171315942,0.7761574861061956,0.8338701308680209,1720,Donor flag,Donation rate,CA,NA,
Marital status,"Single, never married",2013,fg1fgiv,0.7006391312307231,1.8540093711417638,0.6751793653727204,0.7260988970887258,3206,Donor flag,Donation rate,CA,NA,
