,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,0,Groupe d'âge,15 à 24 ans,2013,fg1fgiv,0.666736953,2.667141433,0.631883271,0.701590634,1027,Donor flag,Donation rate,CA,,
1,1,Groupe d'âge,25 à 34 ans,2013,fg1fgiv,0.812920805,1.670563225,0.786303797,0.839537814,1768,Donor flag,Donation rate,CA,,
2,2,Groupe d'âge,35 à 44 ans,2013,fg1fgiv,0.854625352,1.224868733,0.834108373,0.87514233,2316,Donor flag,Donation rate,CA,,
3,3,Groupe d'âge,45 à 54 ans,2013,fg1fgiv,0.866991997,1.0979095,0.848335517,0.885648478,2618,Donor flag,Donation rate,CA,,
4,4,Groupe d'âge,55 à 64 ans,2013,fg1fgiv,0.869763075,0.959307961,0.853409711,0.886116439,3100,Donor flag,Donation rate,CA,,
5,5,Groupe d'âge,65 à 74 ans,2013,fg1fgiv,0.864967292,1.18721407,0.844840396,0.885094188,2343,Donor flag,Donation rate,CA,,
6,6,Groupe d'âge,75 ans et plus,2013,fg1fgiv,0.853648381,1.517540034,0.828258114,0.879038648,1542,Donor flag,Donation rate,CA,,
7,7,Genre,Male,2013,fg1fgiv,0.803595928,0.983640326,0.788103405,0.819088451,6435,Donor flag,Donation rate,CA,,
8,8,Genre,Female,2013,fg1fgiv,0.843911165,0.717626592,0.832041367,0.855780964,8279,Donor flag,Donation rate,CA,,
9,9,Éducation,Sans diplôme d'études secondaires,2013,fg1fgiv,0.668448225,2.584098665,0.634593058,0.702303392,1884,Donor flag,Donation rate,CA,,
10,10,Éducation,Diplôme d'études secondaires,2013,fg1fgiv,0.794346462,1.367255687,0.773059788,0.815633135,3742,Donor flag,Donation rate,CA,,
11,11,Éducation,Diplôme post-secondaire,2013,fg1fgiv,0.87532395,0.883218731,0.860171419,0.89047648,4431,Donor flag,Donation rate,CA,,
12,12,Éducation,Diplôme universtaire,2013,fg1fgiv,0.881147247,0.940048514,0.864912451,0.897382044,3757,Donor flag,Donation rate,CA,,
13,13,Éducation,Non indiqué,2013,fg1fgiv,0.791999375,2.614867143,0.751409048,0.832589703,900,Donor flag,Donation rate,CA,,
14,14,État civil,Marié.e/union de fait,2013,fg1fgiv,0.879267882,0.549720227,0.86979437,0.888741394,8367,Donor flag,Donation rate,CA,,
15,15,État civil,Veuf.ve,2013,fg1fgiv,0.843325987,1.788010916,0.813772159,0.872879815,1414,Donor flag,Donation rate,CA,,
16,16,État civil,Séparé.e/divorcé.e,2013,fg1fgiv,0.805013808,1.828898317,0.776157486,0.833870131,1720,Donor flag,Donation rate,CA,,
17,17,État civil,"Célibataire, jamais marié.e",2013,fg1fgiv,0.700639131,1.854009371,0.675179365,0.726098897,3206,Donor flag,Donation rate,CA,,
18,18,Situation d'activité,Employé.e,2013,fg1fgiv,0.858851333,0.712261492,0.84686171,0.870840957,7948,Donor flag,Donation rate,CA,,
19,19,Situation d'activité,Au chômage,2013,fg1fgiv,0.74696091,3.825749044,0.690951313,0.802970507,481,Donor flag,Donation rate,CA,,
20,20,Situation d'activité,Pas dans la population active,2013,fg1fgiv,0.776059562,1.209122701,0.757668216,0.794450909,5456,Donor flag,Donation rate,CA,,
21,21,Situation d'activité,Unable to determine,2013,fg1fgiv,0.787954856,2.799412918,0.744721755,0.831187957,829,Donor flag,Donation rate,CA,,
22,22,Catégorie de revenu personnel,Moins de 20 000 $,2013,fg1fgiv,0.672469649,3.223116406,0.62998845,0.714950848,1210,Donor flag,Donation rate,CA,,
23,23,Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,fg1fgiv,0.768195068,1.787209194,0.741286227,0.795103909,2489,Donor flag,Donation rate,CA,,
24,24,Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,fg1fgiv,0.802981213,1.555325268,0.778503282,0.827459144,2518,Donor flag,Donation rate,CA,,
25,25,Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,fg1fgiv,0.833945388,1.578679074,0.808141832,0.859748943,2056,Donor flag,Donation rate,CA,,
26,26,Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,fg1fgiv,0.825349942,1.702165175,0.797814762,0.852885122,1799,Donor flag,Donation rate,CA,,
27,27,Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,fg1fgiv,0.859332908,1.747526758,0.829899987,0.88876583,1312,Donor flag,Donation rate,CA,,
28,28,Catégorie de revenu personnel,$120 000 à 139 999 $,2013,fg1fgiv,0.839118576,2.082322766,0.804871817,0.873365335,1036,Donor flag,Donation rate,CA,,
29,29,Catégorie de revenu personnel,140 000 $ et plus,2013,fg1fgiv,0.875606638,1.204763271,0.854931003,0.896282273,2294,Donor flag,Donation rate,CA,,
30,30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,fg1fgiv,0.909673387,1.101029294,0.890042838,0.929303936,2672,Donor flag,Donation rate,CA,,
31,31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,fg1fgiv,0.899136641,1.508250214,0.872557118,0.925716164,1410,Donor flag,Donation rate,CA,,
32,32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,fg1fgiv,0.895130635,1.438855909,0.869887004,0.920374266,1508,Donor flag,Donation rate,CA,,
33,33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,fg1fgiv,0.83081475,1.630400174,0.804265852,0.857363648,1974,Donor flag,Donation rate,CA,,
34,34,Fréquence de la fréquentation religieuse,Pas du tout,2013,fg1fgiv,0.764764841,1.135594144,0.747743289,0.781786392,6171,Donor flag,Donation rate,CA,,
35,35,Fréquence de la fréquentation religieuse,Non indiqué,2013,fg1fgiv,0.799840255,2.439659066,0.761594742,0.838085767,979,Donor flag,Donation rate,CA,,
36,36,Statut d'immigration,Né.e au Canada,2013,fg1fgiv,0.829641377,0.664302247,0.818839376,0.840443378,11683,Donor flag,Donation rate,CA,,
