,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2013,fg1fgiv,0.6667369525034149,2.667141432612737,0.6318832706465207,0.7015906343603091,1027,Financial donation,Forms of giving,CA,,
1,Groupe d'âge,25 à 34 ans,2013,fg1fgiv,0.8129208054092059,1.670563224585348,0.7863037967124425,0.8395378141059692,1768,Financial donation,Forms of giving,CA,,
2,Groupe d'âge,35 à 44 ans,2013,fg1fgiv,0.8546253515737876,1.2248687333054125,0.8341083726970924,0.8751423304504828,2316,Financial donation,Forms of giving,CA,,
3,Groupe d'âge,45 à 54 ans,2013,fg1fgiv,0.8669919973568614,1.097909499976724,0.8483355166744544,0.8856484780392684,2618,Financial donation,Forms of giving,CA,,
4,Groupe d'âge,55 à 64 ans,2013,fg1fgiv,0.8697630751500269,0.9593079610890518,0.8534097110642982,0.8861164392357557,3100,Financial donation,Forms of giving,CA,,
5,Groupe d'âge,65 à 74 ans,2013,fg1fgiv,0.8649672920000684,1.1872140696661846,0.8448403956015834,0.8850941883985534,2343,Financial donation,Forms of giving,CA,,
6,Groupe d'âge,75 ans et plus,2013,fg1fgiv,0.8536483811147898,1.517540034282979,0.8282581140420447,0.8790386481875349,1542,Financial donation,Forms of giving,CA,,
7,Genre,Male,2013,fg1fgiv,0.8035959277344888,0.9836403261591424,0.7881034049535062,0.8190884505154715,6435,Financial donation,Forms of giving,CA,,
8,Genre,Female,2013,fg1fgiv,0.8439111653733545,0.7176265920876139,0.832041366852517,0.8557809638941921,8279,Financial donation,Forms of giving,CA,,
9,Éducation,Sans diplôme d'études secondaires,2013,fg1fgiv,0.6684482250275554,2.584098664653545,0.634593058288219,0.7023033917668918,1884,Financial donation,Forms of giving,CA,,
10,Éducation,Diplôme d'études secondaires,2013,fg1fgiv,0.7943464618015678,1.3672556872070143,0.7730597884931578,0.8156331351099777,3742,Financial donation,Forms of giving,CA,,
11,Éducation,Diplôme post-secondaire,2013,fg1fgiv,0.8753239495801456,0.8832187314442042,0.8601714188528921,0.8904764803073991,4431,Financial donation,Forms of giving,CA,,
12,Éducation,Diplôme universtaire,2013,fg1fgiv,0.8811472474815739,0.940048514335378,0.8649124510514969,0.8973820439116509,3757,Financial donation,Forms of giving,CA,,
13,Éducation,Non indiqué,2013,fg1fgiv,0.7919993754165983,2.61486714273104,0.7514090476678301,0.8325897031653664,900,Financial donation,Forms of giving,CA,,
14,État civil,Marié.e/union de fait,2013,fg1fgiv,0.8792678822234533,0.5497202266888264,0.8697943700497542,0.8887413943971524,8367,Financial donation,Forms of giving,CA,,
