Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2013,ng_120a,0.3990568271678298,14.215122755934312,0.28787509121408617,0.5102385631215735,120,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,25 to 34 years,2013,ng_120a,0.40031251799996553,9.841599812948994,0.3230955111021761,0.47752952489775496,316,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,35 to 44 years,2013,ng_120a,0.39452112560027086,7.703747637088643,0.3349521129081288,0.4540901382924129,451,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,45 to 54 years,2013,ng_120a,0.44888909528430776,6.5717533718499395,0.39107038459598975,0.5067078059726258,588,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,55 to 64 years,2013,ng_120a,0.520551592537113,5.092702047284135,0.46859266975585323,0.5725105153183728,781,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,65 to 74 years,2013,ng_120a,0.5341885174360083,5.004713161979154,0.48178965833290693,0.5865873765391096,633,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Age group,75 years and over,2013,ng_120a,0.5534256985974452,6.4833227103518185,0.4831014578015188,0.6237499393933715,389,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Sex,Male,2013,ng_120a,0.46439391080184816,3.758006885451491,0.4301887072606798,0.4985991143430165,1608,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Sex,Female,2013,ng_120a,0.46097239340976126,3.932432100039951,0.42544329059065455,0.49650149622886797,1670,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Education,Less than High School,2013,ng_120a,0.4148114742014431,9.611993475362114,0.3366644726001424,0.4929584758027438,350,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Education,Graduated from High school,2013,ng_120a,0.42212170087813156,6.083042461301473,0.3717940547639744,0.4724493469922887,828,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Education,Post-secondary diploma,2013,ng_120a,0.43497720643549215,4.851181749495232,0.3936189581049724,0.4763354547660119,1104,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Education,University Diploma,2013,ng_120a,0.5491059894907476,4.112827056202092,0.5048425946380777,0.5933693843434176,960,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Education,Not stated,2013,ng_120a,0.559693279242684,21.7277264055634,0.32134475516184047,0.7980418033235275,36,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Marital status,Married/common-law,2013,ng_120a,0.4772693098184499,3.092269758547324,0.44834327046366484,0.5061953491732349,2091,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Marital status,Widowed,2013,ng_120a,0.5039644835039333,8.17360891905696,0.4232294785496443,0.5846994884582223,307,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Marital status,Separated/divorced,2013,ng_120a,0.4092870800873645,9.28136739904622,0.3348330704877183,0.48374108968701063,348,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Marital status,"Single, never married",2013,ng_120a,0.4195925566639297,8.180747670189234,0.3523152086487029,0.4868699046791565,531,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Labour force status,Employed,2013,ng_120a,0.4528726811474376,3.595807577104398,0.42095578447934323,0.484789577815532,1874,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Labour force status,Unemployed,2013,ng_120a,0.393740638971466,18.64010337809618,0.2498917044720842,0.5375895734708478,94,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Labour force status,Not in labour force,2013,ng_120a,0.4897300938199714,4.27253517425915,0.4487200219894266,0.5307401656505162,1285,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Labour force status,Unable to determine,2013,ng_120a,0.38801089596229155,31.175465370633166,0.15092541563386674,0.6250963762907163,25,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Family income category,"Less than $20,000",2013,ng_120a,0.33220261471382306,16.319973686597326,0.22594242386297592,0.4384628055646702,159,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$20,000 to $39,999",2013,ng_120a,0.38313044080660263,8.198994317255169,0.32156239973855427,0.444698481874651,471,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$40,000 to $59,999",2013,ng_120a,0.4910462061550477,6.503810243086868,0.42845139800023707,0.5536410143098582,603,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$60,000 to $79,999",2013,ng_120a,0.4560959508754862,7.1276907819130635,0.3923792679734287,0.5198126337775437,484,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$80,000 to $99,999",2013,ng_120a,0.41847115160352594,7.677529105896563,0.35550094956731076,0.4814413536397411,431,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$100,000 to $119,999",2013,ng_120a,0.5112383780352604,7.6310772500121,0.43477431180946335,0.5877024442610574,313,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$120,000 to $139,999",2013,ng_120a,0.5143575282786323,8.967795953011489,0.4239511836811929,0.6047638728760718,251,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Family income category,"$140,000 or more",2013,ng_120a,0.4798061323041944,5.87952368372545,0.4245149305494783,0.5350973340589105,566,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least once a week,2013,ng_120a,0.5028086806218276,5.535051721652532,0.44826147071260963,0.5573558905310456,704,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least once a month,2013,ng_120a,0.4952549557466632,8.35600881370155,0.4141446925992993,0.576365218894027,356,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least 3 times a year,2013,ng_120a,0.5210957399284364,7.196385718894653,0.44759697406676635,0.5945945057901064,369,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Once or twice a year,2013,ng_120a,0.37085332897084156,8.682511535770324,0.3077436978318169,0.43396296010986624,446,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Not at all,2013,ng_120a,0.455285089422426,4.3686235373746,0.4163020102646328,0.4942681685802192,1352,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Not stated,2013,ng_120a,0.41102935872958607,21.566938572930297,0.2372855107169492,0.5847732067422229,51,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Immigration status,Native-born,2013,ng_120a,0.45720386763280013,3.1724384790047453,0.42877554762785985,0.4856321876377404,2725,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Immigration status,Naturalized,2013,ng_120a,0.4843919797047735,6.371997122437707,0.42389682304200976,0.5448871363675373,422,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Immigration status,Non-Canadian,2013,ng_120a,0.5002467848556906,13.3258048214339,0.3695918417713258,0.6309017279400555,84,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Immigration status,Unknown,2013,ng_120a,0.39815565139393877,25.666105041512726,0.19786487832916905,0.5984464244587084,47,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Immigration status (dcit2),Native-born,2013,ng_120a,0.4566967711257543,3.1767020722481587,0.42826181788149925,0.48513172437000934,2739,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Immigration status (dcit2),Naturalized,2013,ng_120a,0.49867092758781706,5.81378808973693,0.4418482965858235,0.5554935585898106,467,Too much spent on fundraising,Reasons for efficiency concerns,CA,
Immigration status (dcit2),Non-Canadian,2013,ng_120a,0.39687459112976625,23.448255707050752,0.21448001156429147,0.5792691706952411,48,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Immigration status (dcit2),Unknown,2013,ng_120a,0.3875348062195014,32.12048131189886,0.1435623211362224,0.6315072913027805,24,Too much spent on fundraising,Reasons for efficiency concerns,CA,*
Age group,15 to 24 years,2013,ng_120b,0.40926280843967355,14.101244837627997,0.29615103166434376,0.5223745852150034,120,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,25 to 34 years,2013,ng_120b,0.3574121849584381,10.710748439472376,0.2823817844400659,0.43244258547681025,316,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,35 to 44 years,2013,ng_120b,0.40377942560885516,7.278910029345447,0.3461746315600446,0.46138421965766574,451,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,45 to 54 years,2013,ng_120b,0.38886179041412144,7.460027413998128,0.3320048107054476,0.4457187701227953,588,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,55 to 64 years,2013,ng_120b,0.3602617467814717,6.853066069906657,0.3118722439244743,0.4086512496384691,781,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,65 to 74 years,2013,ng_120b,0.38993302358970405,6.622291577810555,0.3393218501096279,0.4405441970697802,633,No impact on cause/community,Reasons for efficiency concerns,CA,
Age group,75 years and over,2013,ng_120b,0.4454735163150953,8.091742284811115,0.3748235395297384,0.5161234931004522,389,No impact on cause/community,Reasons for efficiency concerns,CA,
Sex,Male,2013,ng_120b,0.38874371109873596,4.391608901737906,0.3552830032521385,0.4222044189453334,1608,No impact on cause/community,Reasons for efficiency concerns,CA,
Sex,Female,2013,ng_120b,0.3876999225955745,4.60223747573842,0.3527285377978244,0.4226713073933246,1670,No impact on cause/community,Reasons for efficiency concerns,CA,
Education,Less than High School,2013,ng_120b,0.3498362795735014,10.91165906842278,0.27501868782512845,0.4246538713218743,350,No impact on cause/community,Reasons for efficiency concerns,CA,
Education,Graduated from High school,2013,ng_120b,0.41337039965144157,6.157550412918443,0.3634824744994031,0.46325832480348006,828,No impact on cause/community,Reasons for efficiency concerns,CA,
Education,Post-secondary diploma,2013,ng_120b,0.3764571263250224,5.780098590391791,0.33380910762457594,0.4191051450254688,1104,No impact on cause/community,Reasons for efficiency concerns,CA,
Education,University Diploma,2013,ng_120b,0.39448800603640904,5.515810482475611,0.3518407365578258,0.4371352755149923,960,No impact on cause/community,Reasons for efficiency concerns,CA,
Education,Not stated,2013,ng_120b,0.2625221102068753,38.00772710980099,0.06695947677156194,0.4580847436421887,36,No impact on cause/community,Reasons for efficiency concerns,CA,...
Marital status,Married/common-law,2013,ng_120b,0.3862413184173961,3.687953114979397,0.35832280991750093,0.4141598269172913,2091,No impact on cause/community,Reasons for efficiency concerns,CA,
Marital status,Widowed,2013,ng_120b,0.41006419067752237,9.649093781205831,0.33251335820808403,0.4876150231469607,307,No impact on cause/community,Reasons for efficiency concerns,CA,
Marital status,Separated/divorced,2013,ng_120b,0.41769485809130663,9.97923117795041,0.3359981977198047,0.49939151846280855,348,No impact on cause/community,Reasons for efficiency concerns,CA,
Marital status,"Single, never married",2013,ng_120b,0.38089388308233624,9.453936860548813,0.31031662424375883,0.45147114192091364,531,No impact on cause/community,Reasons for efficiency concerns,CA,
Labour force status,Employed,2013,ng_120b,0.38631475390534387,4.3141835583245065,0.3536493520619203,0.41898015574876746,1874,No impact on cause/community,Reasons for efficiency concerns,CA,
Labour force status,Unemployed,2013,ng_120b,0.3605338610898525,19.99903765759209,0.21921398473390952,0.5018537374457955,94,No impact on cause/community,Reasons for efficiency concerns,CA,*
Labour force status,Not in labour force,2013,ng_120b,0.397217986176046,5.083420241695722,0.3576418847642184,0.4367940875878736,1285,No impact on cause/community,Reasons for efficiency concerns,CA,
Labour force status,Unable to determine,2013,ng_120b,0.27871296740610824,40.784061450725396,0.05592294422011895,0.5015029905920976,25,No impact on cause/community,Reasons for efficiency concerns,CA,...
Family income category,"Less than $20,000",2013,ng_120b,0.4638242815654179,12.89011068412274,0.3466430068221125,0.5810055563087232,159,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$20,000 to $39,999",2013,ng_120b,0.35300592201139636,8.753885726180053,0.2924396343133254,0.4135722097094673,471,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$40,000 to $59,999",2013,ng_120b,0.3866873428110419,7.880775684025091,0.32695947465731034,0.44641521096477343,603,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$60,000 to $79,999",2013,ng_120b,0.3639007197621833,8.13981491459184,0.30584493024998405,0.42195650927438255,484,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$80,000 to $99,999",2013,ng_120b,0.41110515678649007,8.418352013222345,0.34327417590370407,0.47893613766927606,431,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$100,000 to $119,999",2013,ng_120b,0.39524518036937994,9.68929467045118,0.32018547804874725,0.47030488269001264,313,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$120,000 to $139,999",2013,ng_120b,0.34327668676071005,12.770194302362462,0.257357549781678,0.4291958237397421,251,No impact on cause/community,Reasons for efficiency concerns,CA,
Family income category,"$140,000 or more",2013,ng_120b,0.41437269818731026,6.845319167099882,0.35877805765544807,0.46996733871917246,566,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least once a week,2013,ng_120b,0.42890695973337095,6.4591775218389795,0.37460838811260705,0.48320553135413485,704,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least once a month,2013,ng_120b,0.37870837757309744,10.868484912745302,0.29803652872001457,0.4593802264261803,356,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,At least 3 times a year,2013,ng_120b,0.372390254657385,10.449455271970589,0.296122660046788,0.448657849267982,369,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Once or twice a year,2013,ng_120b,0.3206316073588965,9.367288402681934,0.26176509381670676,0.37949812090108626,446,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Not at all,2013,ng_120b,0.4021262909102217,4.634368109954027,0.3656003774229254,0.43865220439751795,1352,No impact on cause/community,Reasons for efficiency concerns,CA,
Frequency of religious attendance,Not stated,2013,ng_120b,0.30825288611460233,25.781185779453196,0.15249209979832165,0.464013672430883,51,No impact on cause/community,Reasons for efficiency concerns,CA,*
Immigration status,Native-born,2013,ng_120b,0.38589825130434424,3.804816453015024,0.35712064860051507,0.4146758540081734,2725,No impact on cause/community,Reasons for efficiency concerns,CA,
Immigration status,Naturalized,2013,ng_120b,0.4061222465720295,7.694450632778425,0.34487557550308084,0.46736891764097815,422,No impact on cause/community,Reasons for efficiency concerns,CA,
Immigration status,Non-Canadian,2013,ng_120b,0.37455456901441164,16.458282197080727,0.2537321032134854,0.4953770348153379,84,No impact on cause/community,Reasons for efficiency concerns,CA,
Immigration status,Unknown,2013,ng_120b,0.3276299869331903,29.14601255946342,0.14047091489362692,0.5147890589727536,47,No impact on cause/community,Reasons for efficiency concerns,CA,*
Immigration status (dcit2),Native-born,2013,ng_120b,0.388612079519458,3.794822714553034,0.35970821729287017,0.4175159417460458,2739,No impact on cause/community,Reasons for efficiency concerns,CA,
Immigration status (dcit2),Naturalized,2013,ng_120b,0.4016871123252485,7.146093134293011,0.34542647324247056,0.45794775140802646,467,No impact on cause/community,Reasons for efficiency concerns,CA,
Immigration status (dcit2),Non-Canadian,2013,ng_120b,0.3024752067964193,27.84657101117483,0.13738945276817666,0.467560960824662,48,No impact on cause/community,Reasons for efficiency concerns,CA,*
Immigration status (dcit2),Unknown,2013,ng_120b,0.3065542604447937,39.37119736136941,0.06999820481486613,0.5431103160747213,24,No impact on cause/community,Reasons for efficiency concerns,CA,...
Age group,15 to 24 years,2013,ng_120c,0.7403575870356142,6.764166656742737,0.6422045094104516,0.8385106646607767,120,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,25 to 34 years,2013,ng_120c,0.7052122174215194,4.560543151336344,0.6421768210643557,0.7682476137786831,316,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,35 to 44 years,2013,ng_120c,0.6553776651319202,4.2628950696413845,0.6006200694721782,0.7101352607916622,451,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,45 to 54 years,2013,ng_120c,0.6060122022672481,4.801391693836614,0.5489830919049299,0.6630413126295662,588,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,55 to 64 years,2013,ng_120c,0.5229454704660793,4.847989622479484,0.473255792949075,0.5726351479830837,781,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,65 to 74 years,2013,ng_120c,0.516831995756245,4.946896404416935,0.4667213154753884,0.5669426760371017,633,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Age group,75 years and over,2013,ng_120c,0.528548384206638,7.4703102653354225,0.4511607660112131,0.6059360024020628,389,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Sex,Male,2013,ng_120c,0.6207213149305139,2.813027447465912,0.5864982643145729,0.6549443655464549,1608,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Sex,Female,2013,ng_120c,0.590200717799055,2.826062754919785,0.5575096108934772,0.6228918247046329,1670,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Education,Less than High School,2013,ng_120c,0.576401395675493,6.747625437036348,0.5001717183391391,0.6526310730118469,350,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Education,Graduated from High school,2013,ng_120c,0.6292898113884293,3.645121585577567,0.5843314151732009,0.6742482076036578,828,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Education,Post-secondary diploma,2013,ng_120c,0.5921218929989546,3.632486943103634,0.5499655167636225,0.6342782692342867,1104,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Education,University Diploma,2013,ng_120c,0.6149012806291605,3.420447070432559,0.5736785873546506,0.6561239739036704,960,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Education,Not stated,2013,ng_120c,0.493139470830186,25.657098711250732,0.24515447729889034,0.7411244643614816,36,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,*
Marital status,Married/common-law,2013,ng_120c,0.5805274885624797,2.4860254018305805,0.5522411691124547,0.6088138080125047,2091,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Marital status,Widowed,2013,ng_120c,0.551138482993243,7.4953510317121985,0.47017283339984656,0.6321041325866394,307,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Marital status,Separated/divorced,2013,ng_120c,0.5611182215559,7.164636547642029,0.48232359034528127,0.6399128527665187,348,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
Marital status,"Single, never married",2013,ng_120c,0.7178865350545734,4.015088652508796,0.6613929627748417,0.7743801073343052,531,No explanation of how donation would be spent,Reasons for efficiency concerns,CA,
