,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,ng_120a,0.3990568271678298,14.215122755934312,0.2878750912140861,0.5102385631215735,120,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
1,Groupe d'âge,25 à 34 ans,2013,ng_120a,0.4003125179999655,9.841599812948994,0.3230955111021761,0.4775295248977549,316,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
2,Groupe d'âge,35 à 44 ans,2013,ng_120a,0.3945211256002708,7.703747637088643,0.3349521129081288,0.4540901382924129,451,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
3,Groupe d'âge,45 à 54 ans,2013,ng_120a,0.4488890952843077,6.57175337184994,0.3910703845959897,0.5067078059726258,588,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
4,Groupe d'âge,55 à 64 ans,2013,ng_120a,0.520551592537113,5.092702047284135,0.4685926697558532,0.5725105153183728,781,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
5,Groupe d'âge,65 à 74 ans,2013,ng_120a,0.5341885174360083,5.004713161979154,0.4817896583329069,0.5865873765391096,633,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
6,Groupe d'âge,75 ans et plus,2013,ng_120a,0.5534256985974452,6.4833227103518185,0.4831014578015188,0.6237499393933715,389,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
7,Genre,Male,2013,ng_120a,0.4643939108018481,3.758006885451491,0.4301887072606798,0.4985991143430165,1608,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
8,Genre,Female,2013,ng_120a,0.4609723934097612,3.932432100039951,0.4254432905906545,0.4965014962288679,1670,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,ng_120a,0.4148114742014431,9.611993475362114,0.3366644726001424,0.4929584758027438,350,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
10,Éducation,Diplôme d'études secondaires,2013,ng_120a,0.4221217008781315,6.083042461301473,0.3717940547639744,0.4724493469922887,828,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
11,Éducation,Diplôme post-secondaire,2013,ng_120a,0.4349772064354921,4.851181749495232,0.3936189581049724,0.4763354547660119,1104,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
12,Éducation,Diplôme universtaire,2013,ng_120a,0.5491059894907476,4.112827056202092,0.5048425946380777,0.5933693843434176,960,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
13,Éducation,Non indiqué,2013,ng_120a,0.559693279242684,21.7277264055634,0.3213447551618404,0.7980418033235275,36,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
14,État civil,Marié.e/union de fait,2013,ng_120a,0.4772693098184499,3.092269758547324,0.4483432704636648,0.5061953491732349,2091,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
15,État civil,Veuf.ve,2013,ng_120a,0.5039644835039333,8.17360891905696,0.4232294785496443,0.5846994884582223,307,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
16,État civil,Séparé.e/divorcé.e,2013,ng_120a,0.4092870800873645,9.28136739904622,0.3348330704877183,0.4837410896870106,348,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
17,État civil,"Célibataire, jamais marié.e",2013,ng_120a,0.4195925566639297,8.180747670189234,0.3523152086487029,0.4868699046791565,531,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
18,Situation d'activité,Employé.e,2013,ng_120a,0.4528726811474376,3.595807577104398,0.4209557844793432,0.484789577815532,1874,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
19,Situation d'activité,Au chômage,2013,ng_120a,0.393740638971466,18.64010337809618,0.2498917044720842,0.5375895734708478,94,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
20,Situation d'activité,Pas dans la population active,2013,ng_120a,0.4897300938199714,4.27253517425915,0.4487200219894266,0.5307401656505162,1285,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
21,Situation d'activité,Unable to determine,2013,ng_120a,0.3880108959622915,31.17546537063317,0.1509254156338667,0.6250963762907163,25,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
22,Catégorie de revenu familial,Moins de 20 000 $,2013,ng_120a,0.332202614713823,16.319973686597326,0.2259424238629759,0.4384628055646702,159,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
23,Catégorie de revenu familial,20 000 $ à 39 999 $,2013,ng_120a,0.3831304408066026,8.198994317255169,0.3215623997385542,0.444698481874651,471,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
24,Catégorie de revenu familial,40 000 $ à 59 999 $,2013,ng_120a,0.4910462061550477,6.503810243086868,0.428451398000237,0.5536410143098582,603,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
25,Catégorie de revenu familial,60 000 $ à 79 999 $,2013,ng_120a,0.4560959508754862,7.127690781913064,0.3923792679734287,0.5198126337775437,484,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
26,Catégorie de revenu familial,80 000 $ à 99 999 $,2013,ng_120a,0.4184711516035259,7.677529105896563,0.3555009495673107,0.4814413536397411,431,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
27,Catégorie de revenu familial,100 000 $ à 119 999 $,2013,ng_120a,0.5112383780352604,7.6310772500121,0.4347743118094633,0.5877024442610574,313,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
28,Catégorie de revenu familial,$120 000 à 139 999 $,2013,ng_120a,0.5143575282786323,8.967795953011489,0.4239511836811929,0.6047638728760718,251,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
29,Catégorie de revenu familial,"$140,000 or more",2013,ng_120a,0.4798061323041944,5.87952368372545,0.4245149305494783,0.5350973340589105,566,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,ng_120a,0.5028086806218276,5.535051721652532,0.4482614707126096,0.5573558905310456,704,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,ng_120a,0.4952549557466632,8.35600881370155,0.4141446925992993,0.576365218894027,356,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,ng_120a,0.5210957399284364,7.196385718894653,0.4475969740667663,0.5945945057901064,369,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,ng_120a,0.3708533289708415,8.682511535770324,0.3077436978318169,0.4339629601098662,446,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
34,Fréquence de la fréquentation religieuse,Pas du tout,2013,ng_120a,0.455285089422426,4.3686235373746,0.4163020102646328,0.4942681685802192,1352,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
35,Fréquence de la fréquentation religieuse,Non indiqué,2013,ng_120a,0.411029358729586,21.566938572930297,0.2372855107169492,0.5847732067422229,51,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
36,Statut d'immigration,Né.e au Canada,2013,ng_120a,0.4572038676328001,3.1724384790047453,0.4287755476278598,0.4856321876377404,2725,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
37,Statut d'immigration,Naturalisé.e,2013,ng_120a,0.4843919797047735,6.371997122437707,0.4238968230420097,0.5448871363675373,422,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
38,Statut d'immigration,Non canadien.ne,2013,ng_120a,0.5002467848556906,13.3258048214339,0.3695918417713258,0.6309017279400555,84,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
39,Statut d'immigration,Unknown,2013,ng_120a,0.3981556513939387,25.66610504151273,0.197864878329169,0.5984464244587084,47,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
40,Immigration status (dcit2),Né.e au Canada,2013,ng_120a,0.4566967711257543,3.1767020722481587,0.4282618178814992,0.4851317243700093,2739,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
41,Immigration status (dcit2),Naturalisé.e,2013,ng_120a,0.498670927587817,5.81378808973693,0.4418482965858235,0.5554935585898106,467,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,
42,Immigration status (dcit2),Non canadien.ne,2013,ng_120a,0.3968745911297662,23.448255707050752,0.2144800115642914,0.5792691706952411,48,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
43,Immigration status (dcit2),Unknown,2013,ng_120a,0.3875348062195014,32.12048131189886,0.1435623211362224,0.6315072913027805,24,Dépenses de collecte de fonds excessives,Reasons for efficiency concerns,CA,*
44,Groupe d'âge,15 à 24 ans,2013,ng_120b,0.4092628084396735,14.101244837627997,0.2961510316643437,0.5223745852150034,120,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
45,Groupe d'âge,25 à 34 ans,2013,ng_120b,0.3574121849584381,10.710748439472376,0.2823817844400659,0.4324425854768102,316,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
46,Groupe d'âge,35 à 44 ans,2013,ng_120b,0.4037794256088551,7.278910029345447,0.3461746315600446,0.4613842196576657,451,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
47,Groupe d'âge,45 à 54 ans,2013,ng_120b,0.3888617904141214,7.460027413998128,0.3320048107054476,0.4457187701227953,588,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
48,Groupe d'âge,55 à 64 ans,2013,ng_120b,0.3602617467814717,6.853066069906657,0.3118722439244743,0.4086512496384691,781,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
49,Groupe d'âge,65 à 74 ans,2013,ng_120b,0.389933023589704,6.622291577810555,0.3393218501096279,0.4405441970697802,633,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
50,Groupe d'âge,75 ans et plus,2013,ng_120b,0.4454735163150953,8.091742284811115,0.3748235395297384,0.5161234931004522,389,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
51,Genre,Male,2013,ng_120b,0.3887437110987359,4.391608901737906,0.3552830032521385,0.4222044189453334,1608,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
52,Genre,Female,2013,ng_120b,0.3876999225955745,4.60223747573842,0.3527285377978244,0.4226713073933246,1670,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
53,Éducation,Sans diplôme d'études secondaires,2013,ng_120b,0.3498362795735014,10.91165906842278,0.2750186878251284,0.4246538713218743,350,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
54,Éducation,Diplôme d'études secondaires,2013,ng_120b,0.4133703996514415,6.157550412918443,0.3634824744994031,0.46325832480348,828,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
55,Éducation,Diplôme post-secondaire,2013,ng_120b,0.3764571263250224,5.780098590391791,0.3338091076245759,0.4191051450254688,1104,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
56,Éducation,Diplôme universtaire,2013,ng_120b,0.394488006036409,5.515810482475611,0.3518407365578258,0.4371352755149923,960,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
57,Éducation,Non indiqué,2013,ng_120b,0.2625221102068753,38.00772710980099,0.0669594767715619,0.4580847436421887,36,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,...
58,État civil,Marié.e/union de fait,2013,ng_120b,0.3862413184173961,3.687953114979397,0.3583228099175009,0.4141598269172913,2091,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
59,État civil,Veuf.ve,2013,ng_120b,0.4100641906775223,9.649093781205831,0.332513358208084,0.4876150231469607,307,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
60,État civil,Séparé.e/divorcé.e,2013,ng_120b,0.4176948580913066,9.97923117795041,0.3359981977198047,0.4993915184628085,348,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
61,État civil,"Célibataire, jamais marié.e",2013,ng_120b,0.3808938830823362,9.453936860548811,0.3103166242437588,0.4514711419209136,531,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
62,Situation d'activité,Employé.e,2013,ng_120b,0.3863147539053438,4.3141835583245065,0.3536493520619203,0.4189801557487674,1874,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
63,Situation d'activité,Au chômage,2013,ng_120b,0.3605338610898525,19.99903765759209,0.2192139847339095,0.5018537374457955,94,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,*
64,Situation d'activité,Pas dans la population active,2013,ng_120b,0.397217986176046,5.083420241695722,0.3576418847642184,0.4367940875878736,1285,Incidence nulle sur la cause/la communauté,Reasons for efficiency concerns,CA,
