,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Arts et culture,Ne pas soutenir la cause,2013,rg_010,0.672925257,0.009777153,0.660030078,0.685820435,11415,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
1,2,Arts et culture,Soutenir la cause,2013,rg_010,0.650231997,0.043965621,0.594200833,0.70626316,594,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
2,3,Sport et loisir,Ne pas soutenir la cause,2013,rg_010,0.656461492,0.010936676,0.642389918,0.670533066,9618,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
3,4,Sport et loisir,Soutenir la cause,2013,rg_010,0.752147677,0.018103375,0.725460001,0.778835353,2391,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
4,5,Éducation et recherche,Ne pas soutenir la cause,2013,rg_010,0.659021551,0.01077444,0.645104654,0.672938448,9423,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
5,6,Éducation et recherche,Soutenir la cause,2013,rg_010,0.727104535,0.017535288,0.70211502,0.752094051,2586,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
6,7,Universités et collèges,Ne pas soutenir la cause,2013,rg_010,0.669910139,0.009468996,0.657477349,0.682342928,11734,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
7,8,Universités et collèges,Soutenir la cause,2013,rg_010,0.774379165,0.054818684,0.691177817,0.857580512,275,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
8,9,Santé,Ne pas soutenir la cause,2013,rg_010,0.516437255,0.021557854,0.494616429,0.53825808,4322,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
9,10,Santé,Soutenir la cause,2013,rg_010,0.782247558,0.008941455,0.768538724,0.795956392,7687,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
10,11,Hôpitaux,Ne pas soutenir la cause,2013,rg_010,0.655062475,0.01087735,0.641097058,0.669027893,9354,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
11,12,Hôpitaux,Soutenir la cause,2013,rg_010,0.734350338,0.018352086,0.707936177,0.760764499,2655,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
12,13,Services sociaux,Ne pas soutenir la cause,2013,rg_010,0.649255016,0.014478372,0.63083105,0.667678982,5633,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
13,14,Services sociaux,Soutenir la cause,2013,rg_010,0.695686187,0.01257196,0.678544069,0.712828304,6376,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
14,15,Environnement,Ne pas soutenir la cause,2013,rg_010,0.6650547,0.010074138,0.65192323,0.67818617,10601,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
15,16,Environnement,Soutenir la cause,2013,rg_010,0.735790108,0.02464887,0.700243429,0.771336788,1408,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
16,17,Aménagement et logement,Ne pas soutenir la cause,2013,rg_010,0.670208335,0.009502954,0.657725404,0.682691266,11586,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
17,18,Aménagement et logement,Soutenir la cause,2013,rg_010,0.738050241,0.046809126,0.670338411,0.80576207,423,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
18,19,"Droit, plaidoyer et politique",Ne pas soutenir la cause,2013,rg_010,0.670713831,0.009611236,0.658079141,0.683348522,11287,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
19,20,"Droit, plaidoyer et politique",Soutenir la cause,2013,rg_010,0.700835683,0.040462182,0.645256316,0.75641505,722,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
20,21,"Subventions, collecte de fonds",Ne pas soutenir la cause,2013,rg_010,0.66548302,0.010171971,0.652215487,0.678750553,10601,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
21,22,"Subventions, collecte de fonds",Soutenir la cause,2013,rg_010,0.719541011,0.022867085,0.687292145,0.751789878,1408,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
22,23,International,Ne pas soutenir la cause,2013,rg_010,0.671370748,0.01005074,0.658145357,0.68459614,10471,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
23,24,International,Soutenir la cause,2013,rg_010,0.67611237,0.026506657,0.640986917,0.711237823,1538,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
24,25,Religion,Ne pas soutenir la cause,2013,rg_010,0.66997184,0.012416231,0.653667831,0.68627585,7128,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
25,26,Religion,Soutenir la cause,2013,rg_010,0.675284632,0.014240556,0.656436779,0.694132486,4881,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
26,27,Entreprises et professionnels,Ne pas soutenir la cause,2013,rg_010,0.672069441,0.009410066,0.659674202,0.68446468,11961,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
27,28,Entreprises et professionnels,Soutenir la cause,2013,rg_010,0.639945905,0.169885932,0.42686292,0.853028891,48,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,*
28,29,Autre,Ne pas soutenir la cause,2013,rg_010,0.670523175,0.00952052,0.658011296,0.683035055,11630,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
29,30,Autre,Soutenir la cause,2013,rg_010,0.720591901,0.050723861,0.648952858,0.792230943,379,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
30,31,Arts et culture,Ne pas soutenir la cause,2013,rg_020,0.252325867,0.022263083,0.241315668,0.263336067,11398,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
31,32,Arts et culture,Soutenir la cause,2013,rg_020,0.34530247,0.072912497,0.295956721,0.394648219,592,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
32,33,Sport et loisir,Ne pas soutenir la cause,2013,rg_020,0.254124353,0.0239085,0.242216137,0.266032569,9602,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
33,34,Sport et loisir,Soutenir la cause,2013,rg_020,0.267056995,0.051075857,0.240322763,0.293791226,2388,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
34,35,Éducation et recherche,Ne pas soutenir la cause,2013,rg_020,0.254593674,0.02477766,0.24222976,0.266957588,9408,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
35,36,Éducation et recherche,Soutenir la cause,2013,rg_020,0.263115836,0.046130918,0.239326234,0.286905438,2582,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
36,37,Universités et collèges,Ne pas soutenir la cause,2013,rg_020,0.253353318,0.021897541,0.242479801,0.264226835,11715,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
37,38,Universités et collèges,Soutenir la cause,2013,rg_020,0.398091753,0.108179238,0.31368539,0.482498117,275,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
38,39,Santé,Ne pas soutenir la cause,2013,rg_020,0.217220944,0.038684287,0.200751293,0.233690594,4311,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
39,40,Santé,Soutenir la cause,2013,rg_020,0.283769223,0.025881034,0.269374775,0.29816367,7679,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
40,41,Hôpitaux,Ne pas soutenir la cause,2013,rg_020,0.256198713,0.024196976,0.244048438,0.268348989,9337,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
41,42,Hôpitaux,Soutenir la cause,2013,rg_020,0.25628447,0.044133478,0.234115856,0.278453084,2653,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
42,43,Services sociaux,Ne pas soutenir la cause,2013,rg_020,0.245327117,0.03374336,0.229102219,0.261552015,5623,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
43,44,Services sociaux,Soutenir la cause,2013,rg_020,0.267610437,0.029059316,0.252368628,0.282852247,6367,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
44,45,Environnement,Ne pas soutenir la cause,2013,rg_020,0.251737481,0.022880376,0.240448386,0.263026576,10589,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
45,46,Environnement,Soutenir la cause,2013,rg_020,0.297550612,0.057673107,0.26391632,0.331184903,1401,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
46,47,Aménagement et logement,Ne pas soutenir la cause,2013,rg_020,0.254154111,0.021996765,0.243196798,0.265111423,11568,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
47,48,Aménagement et logement,Soutenir la cause,2013,rg_020,0.333173703,0.102754654,0.266074045,0.400273361,422,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
48,49,"Droit, plaidoyer et politique",Ne pas soutenir la cause,2013,rg_020,0.253163078,0.022370875,0.242062862,0.264263294,11267,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
49,50,"Droit, plaidoyer et politique",Soutenir la cause,2013,rg_020,0.326103259,0.08371568,0.272596328,0.379610189,723,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
50,51,"Subventions, collecte de fonds",Ne pas soutenir la cause,2013,rg_020,0.249152564,0.022881186,0.237978993,0.260326135,10582,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
51,52,"Subventions, collecte de fonds",Soutenir la cause,2013,rg_020,0.307854189,0.055616843,0.274295924,0.341412454,1408,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
52,53,International,Ne pas soutenir la cause,2013,rg_020,0.24110118,0.024029368,0.229746111,0.252456249,10457,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
53,54,International,Soutenir la cause,2013,rg_020,0.360748483,0.048552457,0.326419272,0.395077693,1533,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
54,55,Religion,Ne pas soutenir la cause,2013,rg_020,0.21698978,0.032128665,0.203325711,0.230653849,7117,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
55,56,Religion,Soutenir la cause,2013,rg_020,0.321218392,0.029708031,0.302514915,0.339921869,4873,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
56,57,Entreprises et professionnels,Ne pas soutenir la cause,2013,rg_020,0.256024094,0.021523985,0.245223401,0.266824787,11942,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
57,58,Entreprises et professionnels,Soutenir la cause,2013,rg_020,0.318986832,0.314857909,0.122136817,0.515836848,48,Crédit d'impôt,Motivations for Giving by Cause Support,CA,*
58,59,Autre,Ne pas soutenir la cause,2013,rg_020,0.257215268,0.021828239,0.24621094,0.268219597,11611,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
59,60,Autre,Soutenir la cause,2013,rg_020,0.222798277,0.126125811,0.167722087,0.277874467,379,Crédit d'impôt,Motivations for Giving by Cause Support,CA,
60,61,Arts et culture,Ne pas soutenir la cause,2013,rg_030,0.293193031,0.021288626,0.28095957,0.305426493,11411,Raisons religieuses,Motivations for Giving by Cause Support,CA,
61,62,Arts et culture,Soutenir la cause,2013,rg_030,0.297337012,0.088740607,0.245621663,0.34905236,595,Raisons religieuses,Motivations for Giving by Cause Support,CA,
62,63,Sport et loisir,Ne pas soutenir la cause,2013,rg_030,0.296720788,0.02260505,0.283574548,0.309867027,9620,Raisons religieuses,Motivations for Giving by Cause Support,CA,
63,64,Sport et loisir,Soutenir la cause,2013,rg_030,0.275986316,0.047253555,0.250425769,0.301546862,2386,Raisons religieuses,Motivations for Giving by Cause Support,CA,
64,65,Éducation et recherche,Ne pas soutenir la cause,2013,rg_030,0.294552216,0.023016811,0.281264341,0.307840091,9420,Raisons religieuses,Motivations for Giving by Cause Support,CA,
65,66,Éducation et recherche,Soutenir la cause,2013,rg_030,0.288330569,0.046532445,0.262034268,0.314626869,2586,Raisons religieuses,Motivations for Giving by Cause Support,CA,
66,67,Universités et collèges,Ne pas soutenir la cause,2013,rg_030,0.29352213,0.020945557,0.281472302,0.305571959,11731,Raisons religieuses,Motivations for Giving by Cause Support,CA,
67,68,Universités et collèges,Soutenir la cause,2013,rg_030,0.285655362,0.147737266,0.202941076,0.368369649,275,Raisons religieuses,Motivations for Giving by Cause Support,CA,
68,69,Santé,Ne pas soutenir la cause,2013,rg_030,0.318831021,0.032422978,0.298569988,0.339092053,4326,Raisons religieuses,Motivations for Giving by Cause Support,CA,
69,70,Santé,Soutenir la cause,2013,rg_030,0.275261614,0.027534119,0.260406878,0.29011635,7680,Raisons religieuses,Motivations for Giving by Cause Support,CA,
70,71,Hôpitaux,Ne pas soutenir la cause,2013,rg_030,0.294668495,0.02366062,0.281003549,0.308333441,9350,Raisons religieuses,Motivations for Giving by Cause Support,CA,
71,72,Hôpitaux,Soutenir la cause,2013,rg_030,0.288566645,0.044242077,0.263544201,0.313589089,2656,Raisons religieuses,Motivations for Giving by Cause Support,CA,
72,73,Services sociaux,Ne pas soutenir la cause,2013,rg_030,0.294094144,0.02957716,0.277045457,0.311142831,5639,Raisons religieuses,Motivations for Giving by Cause Support,CA,
73,74,Services sociaux,Soutenir la cause,2013,rg_030,0.29260635,0.029589683,0.275636729,0.309575971,6367,Raisons religieuses,Motivations for Giving by Cause Support,CA,
74,75,Environnement,Ne pas soutenir la cause,2013,rg_030,0.296374155,0.02151376,0.283877185,0.308871126,10601,Raisons religieuses,Motivations for Giving by Cause Support,CA,
75,76,Environnement,Soutenir la cause,2013,rg_030,0.265535623,0.067779919,0.230260225,0.300811022,1405,Raisons religieuses,Motivations for Giving by Cause Support,CA,
76,77,Aménagement et logement,Ne pas soutenir la cause,2013,rg_030,0.291298842,0.020830389,0.279406038,0.303191645,11581,Raisons religieuses,Motivations for Giving by Cause Support,CA,
77,78,Aménagement et logement,Soutenir la cause,2013,rg_030,0.37053469,0.096197916,0.30067243,0.44039695,425,Raisons religieuses,Motivations for Giving by Cause Support,CA,
78,79,"Droit, plaidoyer et politique",Ne pas soutenir la cause,2013,rg_030,0.288741296,0.021490776,0.276579182,0.300903411,11285,Raisons religieuses,Motivations for Giving by Cause Support,CA,
79,80,"Droit, plaidoyer et politique",Soutenir la cause,2013,rg_030,0.39971926,0.073100661,0.342449618,0.456988902,721,Raisons religieuses,Motivations for Giving by Cause Support,CA,
80,81,"Subventions, collecte de fonds",Ne pas soutenir la cause,2013,rg_030,0.297937429,0.021517381,0.285372427,0.310502432,10594,Raisons religieuses,Motivations for Giving by Cause Support,CA,
81,82,"Subventions, collecte de fonds",Soutenir la cause,2013,rg_030,0.259909385,0.064665191,0.226968094,0.292850676,1412,Raisons religieuses,Motivations for Giving by Cause Support,CA,
82,83,International,Ne pas soutenir la cause,2013,rg_030,0.274165272,0.023386127,0.261598642,0.286731902,10471,Raisons religieuses,Motivations for Giving by Cause Support,CA,
83,84,International,Soutenir la cause,2013,rg_030,0.426010178,0.043429685,0.389747928,0.462272428,1535,Raisons religieuses,Motivations for Giving by Cause Support,CA,
84,85,Religion,Ne pas soutenir la cause,2013,rg_030,0.11626717,0.048432835,0.105230321,0.127304018,7128,Raisons religieuses,Motivations for Giving by Cause Support,CA,
85,86,Religion,Soutenir la cause,2013,rg_030,0.586624584,0.017522302,0.566478088,0.60677108,4878,Raisons religieuses,Motivations for Giving by Cause Support,CA,
86,87,Entreprises et professionnels,Ne pas soutenir la cause,2013,rg_030,0.293339564,0.020692952,0.281442462,0.305236666,11958,Raisons religieuses,Motivations for Giving by Cause Support,CA,
87,88,Entreprises et professionnels,Soutenir la cause,2013,rg_030,0.302357987,0.272246659,0.141021686,0.463694287,48,Raisons religieuses,Motivations for Giving by Cause Support,CA,*
88,89,Autre,Ne pas soutenir la cause,2013,rg_030,0.290907062,0.021098653,0.278877299,0.302936826,11632,Raisons religieuses,Motivations for Giving by Cause Support,CA,
89,90,Autre,Soutenir la cause,2013,rg_030,0.376798544,0.100092967,0.302878729,0.450718359,374,Raisons religieuses,Motivations for Giving by Cause Support,CA,
90,91,Arts et culture,Ne pas soutenir la cause,2013,rg_040,0.874533747,0.005365456,0.865337063,0.883730431,11417,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
91,92,Arts et culture,Soutenir la cause,2013,rg_040,0.948221357,0.012929157,0.92419278,0.972249934,594,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
92,93,Sport et loisir,Ne pas soutenir la cause,2013,rg_040,0.869942711,0.005940053,0.859814586,0.880070837,9622,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
93,94,Sport et loisir,Soutenir la cause,2013,rg_040,0.917416669,0.010090527,0.899272855,0.935560483,2389,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
94,95,Éducation et recherche,Ne pas soutenir la cause,2013,rg_040,0.872266061,0.005983311,0.862036932,0.88249519,9424,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
95,96,Éducation et recherche,Soutenir la cause,2013,rg_040,0.900398638,0.011124774,0.880766205,0.920031071,2587,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
96,97,Universités et collèges,Ne pas soutenir la cause,2013,rg_040,0.875833554,0.005291048,0.86675093,0.884916179,11736,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
97,98,Universités et collèges,Soutenir la cause,2013,rg_040,0.967007484,0.013610675,0.941211173,0.992803795,275,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
98,99,Santé,Ne pas soutenir la cause,2013,rg_040,0.83643613,0.010233885,0.819658856,0.853213405,4323,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
99,100,Santé,Soutenir la cause,2013,rg_040,0.906797724,0.005541258,0.896949296,0.916646152,7688,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
100,101,Hôpitaux,Ne pas soutenir la cause,2013,rg_040,0.869023425,0.006001312,0.858801662,0.879245188,9355,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
101,102,Hôpitaux,Soutenir la cause,2013,rg_040,0.909304329,0.010150079,0.89121482,0.927393837,2656,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
102,103,Services sociaux,Ne pas soutenir la cause,2013,rg_040,0.853626206,0.008520092,0.83937144,0.867880972,5634,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
103,104,Services sociaux,Soutenir la cause,2013,rg_040,0.902745874,0.006491088,0.891260871,0.914230877,6377,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
104,105,Environnement,Ne pas soutenir la cause,2013,rg_040,0.870585829,0.005648749,0.860947273,0.880224385,10605,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
105,106,Environnement,Soutenir la cause,2013,rg_040,0.942656848,0.010740176,0.922813585,0.962500112,1406,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
106,107,Aménagement et logement,Ne pas soutenir la cause,2013,rg_040,0.875337742,0.005303702,0.866238548,0.884436935,11587,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
107,108,Aménagement et logement,Soutenir la cause,2013,rg_040,0.963430509,0.012331084,0.940145857,0.986715161,424,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
108,109,"Droit, plaidoyer et politique",Ne pas soutenir la cause,2013,rg_040,0.874976475,0.005399848,0.865716154,0.884236796,11291,Croyance personnelle en la cause,Motivations for Giving by Cause Support,CA,
