"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Arts & culture","Do not support cause",2013,"rv_020",0.603937229077721,0.014129205084802,0.587212556585897,0.620661901569545,6904,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"2","Arts & culture","Support cause",2013,"rv_020",0.595356848788012,0.0518705459668301,0.534830250807108,0.655883446768916,570,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"3","Sports & Recreation","Do not support cause",2013,"rv_020",0.594026478974675,0.0160672184819842,0.575319890404277,0.612733067545072,5646,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"4","Sports & Recreation","Support cause",2013,"rv_020",0.632757737544971,0.0246511613101232,0.602185801727228,0.663329673362715,1828,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"5","Education & research","Do not support cause",2013,"rv_020",0.590735505549201,0.0152708208257927,0.573054638966318,0.608416372132083,6193,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"6","Education & research","Support cause",2013,"rv_020",0.652913764204781,0.0292684275820214,0.615459324370681,0.690368204038882,1281,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"7","Universities & colleges","Do not support cause",2013,"rv_020",0.607762677038784,0.0139285252125019,0.591171115888325,0.624354238189243,7203,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"8","Universities & colleges","Support cause",2013,"rv_020",0.525659309850584,0.0825236842027366,0.440637360124268,0.610681259576901,271,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"9","Health","Do not support cause",2013,"rv_020",0.589961721469844,0.0151921104427872,0.572395027553909,0.60752841538578,6475,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"10","Health","Support cause",2013,"rv_020",0.694244078655511,0.0307636025477805,0.652384247996316,0.736103909314705,999,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"11","Hospitals","Do not support cause",2013,"rv_020",0.602380477013049,0.0140671188264912,0.585772217011486,0.618988737014613,7072,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"12","Hospitals","Support cause",2013,"rv_020",0.623012458751897,0.0585796468705052,0.551481907500676,0.694543010003117,402,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"13","Social services","Do not support cause",2013,"rv_020",0.611093185851164,0.0154091161735922,0.592637369435758,0.62954900226657,5550,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"14","Social services","Support cause",2013,"rv_020",0.580684290608463,0.0271828128242946,0.549746979631287,0.611621601585639,1924,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"15","Environment","Do not support cause",2013,"rv_020",0.607272352601683,0.0142479566514387,0.590313979516741,0.624230725686624,6965,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"16","Environment","Support cause",2013,"rv_020",0.543661323736345,0.0579727797816249,0.481888044790062,0.605434602682627,509,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"17","Development & housing","Do not support cause",2013,"rv_020",0.60711268851645,0.0140919511081476,0.590344408088728,0.623880968944172,6659,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"18","Development & housing","Support cause",2013,"rv_020",0.568528999590942,0.0447286206869622,0.518688060221135,0.618369938960749,815,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"19","Law, advocacy & politics","Do not support cause",2013,"rv_020",0.605949545060354,0.0139989653943919,0.589323823811885,0.622575266308824,7148,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"20","Law, advocacy & politics","Support cause",2013,"rv_020",0.545014564474135,0.0723588066964124,0.467720241907223,0.622308887041047,326,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"21","Grant-making, fundraising","Do not support cause",2013,"rv_020",0.602385780874189,0.0139069143249587,0.585966520794916,0.618805040953461,7194,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"22","Grant-making, fundraising","Support cause",2013,"rv_020",0.628757983029132,0.0665437603964413,0.546753245595836,0.710762720462427,280,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"23","International","Do not support cause",2013,"rv_020",0.606746462123981,0.0137241564284435,0.590425678644873,0.623067245603088,7348,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"24","International","Support cause",2013,"rv_020",0.447999241949642,0.123113243137916,0.339898134753848,0.556100349145435,126,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"25","Religion","Do not support cause",2013,"rv_020",0.598045998101652,0.0154717498283266,0.579910807931967,0.616181188271336,5869,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"26","Religion","Support cause",2013,"rv_020",0.625289635598402,0.0296283694787323,0.588978730616789,0.661600540580015,1605,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"27","Business & professional","Do not support cause",2013,"rv_020",0.604054006674941,0.013746692567138,0.587778966079659,0.620329047270224,7249,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"28","Business & professional","Support cause",2013,"rv_020",0.574915621371659,0.0845410576338381,0.479653581491451,0.670177661251867,225,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"29","Other","Do not support cause",2013,"rv_020",0.605259255050768,0.013584203262049,0.589144500264792,0.621374009836744,7302,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"30","Other","Support cause",2013,"rv_020",0.520717963355557,0.0984095438374502,0.4202823191241,0.621153607587014,172,"Personally affected by the cause","Motivations for Volunteering by Cause Support","CA",""
"31","Arts & culture","Do not support cause",2013,"rv_025",0.25734214812749,0.0275399243191259,0.243451524139893,0.271232772115087,6944,"Family member volunteers","Motivations for Volunteering by Cause Support","CA",""
"32","Arts & culture","Support cause",2013,"rv_025",0.187161642017754,0.133906550953122,0.138040691534824,0.236282592500683,576,"Family member volunteers","Motivations for Volunteering by Cause Support","CA",""
"33","Sports & Recreation","Do not support cause",2013,"rv_025",0.243016603257152,0.0323261210670754,0.227619549275959,0.258413657238345,5674,"Family member volunteers","Motivations for Volunteering by Cause Support","CA",""
