,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,1,Arts et culture,Do not support cause,2013,rv_020,0.603937229077721,0.014129205084802,0.587212556585897,0.620661901569545,6904,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
1,1,2,Arts et culture,Support cause,2013,rv_020,0.595356848788012,0.0518705459668301,0.534830250807108,0.655883446768916,570,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
2,2,3,Sport et loisir,Do not support cause,2013,rv_020,0.594026478974675,0.0160672184819842,0.575319890404277,0.612733067545072,5646,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
3,3,4,Sport et loisir,Support cause,2013,rv_020,0.632757737544971,0.0246511613101232,0.602185801727228,0.663329673362715,1828,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
4,4,5,Éducation et recherche,Do not support cause,2013,rv_020,0.590735505549201,0.0152708208257927,0.573054638966318,0.608416372132083,6193,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
5,5,6,Éducation et recherche,Support cause,2013,rv_020,0.652913764204781,0.0292684275820214,0.615459324370681,0.690368204038882,1281,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
6,6,7,Universités et collèges,Do not support cause,2013,rv_020,0.607762677038784,0.0139285252125019,0.591171115888325,0.624354238189243,7203,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
7,7,8,Universités et collèges,Support cause,2013,rv_020,0.525659309850584,0.0825236842027366,0.440637360124268,0.610681259576901,271,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
8,8,9,Santé,Do not support cause,2013,rv_020,0.589961721469844,0.0151921104427872,0.572395027553909,0.60752841538578,6475,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
9,9,10,Santé,Support cause,2013,rv_020,0.694244078655511,0.0307636025477805,0.652384247996316,0.736103909314705,999,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
10,10,11,Hôpitaux,Do not support cause,2013,rv_020,0.602380477013049,0.0140671188264912,0.585772217011486,0.618988737014613,7072,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
11,11,12,Hôpitaux,Support cause,2013,rv_020,0.623012458751897,0.0585796468705052,0.551481907500676,0.694543010003117,402,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
12,12,13,Services sociaux,Do not support cause,2013,rv_020,0.611093185851164,0.0154091161735922,0.592637369435758,0.62954900226657,5550,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
13,13,14,Services sociaux,Support cause,2013,rv_020,0.580684290608463,0.0271828128242946,0.549746979631287,0.611621601585639,1924,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
14,14,15,Environnement,Do not support cause,2013,rv_020,0.607272352601683,0.0142479566514387,0.590313979516741,0.624230725686624,6965,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
15,15,16,Environnement,Support cause,2013,rv_020,0.543661323736345,0.0579727797816249,0.481888044790062,0.605434602682627,509,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
16,16,17,Aménagement et logement,Do not support cause,2013,rv_020,0.60711268851645,0.0140919511081476,0.590344408088728,0.623880968944172,6659,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
17,17,18,Aménagement et logement,Support cause,2013,rv_020,0.568528999590942,0.0447286206869622,0.518688060221135,0.618369938960749,815,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
18,18,19,"Droit, plaidoyer et politique",Do not support cause,2013,rv_020,0.605949545060354,0.0139989653943919,0.589323823811885,0.622575266308824,7148,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
19,19,20,"Droit, plaidoyer et politique",Support cause,2013,rv_020,0.545014564474135,0.0723588066964124,0.467720241907223,0.622308887041047,326,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
20,20,21,"Subventions, collecte de fonds",Do not support cause,2013,rv_020,0.602385780874189,0.0139069143249587,0.585966520794916,0.618805040953461,7194,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
21,21,22,"Subventions, collecte de fonds",Support cause,2013,rv_020,0.628757983029132,0.0665437603964413,0.546753245595836,0.710762720462427,280,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
22,22,23,International,Do not support cause,2013,rv_020,0.606746462123981,0.0137241564284435,0.590425678644873,0.623067245603088,7348,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
23,23,24,International,Support cause,2013,rv_020,0.447999241949642,0.123113243137916,0.339898134753848,0.556100349145435,126,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
24,24,25,Religion,Do not support cause,2013,rv_020,0.598045998101652,0.0154717498283266,0.579910807931967,0.616181188271336,5869,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
25,25,26,Religion,Support cause,2013,rv_020,0.625289635598402,0.0296283694787323,0.588978730616789,0.661600540580015,1605,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
26,26,27,Entreprises et professionnels,Do not support cause,2013,rv_020,0.604054006674941,0.013746692567138,0.587778966079659,0.620329047270224,7249,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
27,27,28,Entreprises et professionnels,Support cause,2013,rv_020,0.574915621371659,0.0845410576338381,0.479653581491451,0.670177661251867,225,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
28,28,29,Autre,Do not support cause,2013,rv_020,0.605259255050768,0.013584203262049,0.589144500264792,0.621374009836744,7302,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
29,29,30,Autre,Support cause,2013,rv_020,0.520717963355557,0.0984095438374502,0.4202823191241,0.621153607587014,172,Touché.e personnellement par la cause,Motivations for Volunteering by Cause Support,CA,
30,30,31,Arts et culture,Do not support cause,2013,rv_025,0.25734214812749,0.0275399243191259,0.243451524139893,0.271232772115087,6944,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
31,31,32,Arts et culture,Support cause,2013,rv_025,0.187161642017754,0.133906550953122,0.138040691534824,0.236282592500683,576,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
32,32,33,Sport et loisir,Do not support cause,2013,rv_025,0.243016603257152,0.0323261210670754,0.227619549275959,0.258413657238345,5674,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
33,33,34,Sport et loisir,Support cause,2013,rv_025,0.281589323980725,0.050536017273591,0.253698246731364,0.309480401230085,1846,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
34,34,35,Éducation et recherche,Do not support cause,2013,rv_025,0.25174338966655,0.0300652092650823,0.236908975582204,0.266577803750896,6235,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
35,35,36,Éducation et recherche,Support cause,2013,rv_025,0.254481218941715,0.0592732602343614,0.22491725642687,0.284045181456559,1285,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
36,36,37,Universités et collèges,Do not support cause,2013,rv_025,0.259921408129473,0.0268456166500905,0.246245268492047,0.273597547766899,7248,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
37,37,38,Universités et collèges,Support cause,2013,rv_025,0.118604806104454,0.219268863660476,0.0676333142587669,0.16957629795014,272,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,*
38,38,39,Santé,Do not support cause,2013,rv_025,0.255481215357986,0.0285649899662321,0.241177754219878,0.269784676496094,6520,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
39,39,40,Santé,Support cause,2013,rv_025,0.230546565820452,0.0784876346724344,0.195080910441291,0.266012221199613,1000,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
40,40,41,Hôpitaux,Do not support cause,2013,rv_025,0.254158302492348,0.0274366538324803,0.240490977043574,0.267825627941122,7118,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
41,41,42,Hôpitaux,Support cause,2013,rv_025,0.213323144499562,0.135701494757804,0.156585578717755,0.270060710281369,402,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
42,42,43,Services sociaux,Do not support cause,2013,rv_025,0.254114617453906,0.0304987851937059,0.238924529801137,0.269304705106674,5584,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
43,43,44,Services sociaux,Support cause,2013,rv_025,0.246994004340618,0.0552291848032938,0.220257591715876,0.273730416965359,1936,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
44,44,45,Environnement,Do not support cause,2013,rv_025,0.252319094140575,0.0275840627180598,0.238677772800896,0.265960415480254,7010,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
45,45,46,Environnement,Support cause,2013,rv_025,0.251974431792747,0.107341331949923,0.198962754505778,0.304986109079715,510,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
46,46,47,Aménagement et logement,Do not support cause,2013,rv_025,0.255307255938499,0.0277964070448788,0.241398127687839,0.269216384189159,6701,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
47,47,48,Aménagement et logement,Support cause,2013,rv_025,0.224648840633366,0.100818951791824,0.180257889500046,0.269039791766686,819,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
48,48,49,"Droit, plaidoyer et politique",Do not support cause,2013,rv_025,0.253064154209363,0.0272700864972576,0.239538283260679,0.266590025158047,7192,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
49,49,50,"Droit, plaidoyer et politique",Support cause,2013,rv_025,0.235380011732911,0.143488912022224,0.169183361415393,0.30157666205043,328,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
50,50,51,"Subventions, collecte de fonds",Do not support cause,2013,rv_025,0.253524884023935,0.0270986237492427,0.240059587587723,0.266990180460147,7239,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
51,51,52,"Subventions, collecte de fonds",Support cause,2013,rv_025,0.218935778851312,0.157475642254178,0.151361997879635,0.286509559822989,281,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
52,52,53,International,Do not support cause,2013,rv_025,0.252635825939628,0.026970208557655,0.239281335143174,0.265990316736082,7394,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
53,53,54,International,Support cause,2013,rv_025,0.23687115744794,0.201604040372765,0.143274679853798,0.330467635042082,126,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,*
54,54,55,Religion,Do not support cause,2013,rv_025,0.236798970248273,0.030319279039632,0.222727263675635,0.25087067682091,5901,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
55,55,56,Religion,Support cause,2013,rv_025,0.31662793815637,0.0549752253067724,0.282511448278809,0.350744428033931,1619,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
56,56,57,Entreprises et professionnels,Do not support cause,2013,rv_025,0.254245903566289,0.0270286636931584,0.240777174097103,0.267714633035475,7295,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
57,57,58,Entreprises et professionnels,Support cause,2013,rv_025,0.175951870548926,0.211935666745388,0.102863878662832,0.249039862435019,225,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,*
58,58,59,Autre,Do not support cause,2013,rv_025,0.252942582338404,0.0268798521552206,0.239616671144298,0.266268493532511,7348,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,
59,59,60,Autre,Support cause,2013,rv_025,0.224612982175579,0.19809966188278,0.137402903296699,0.311823061054459,172,Bénévoles dans la famille,Motivations for Volunteering by Cause Support,CA,*
