Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.156142531,8.672790444,0.129536334,0.182748729,648,Percentage of donations,Percentage of total donations,CA,

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.181065653,21.12001867,0.10593224,0.256199065,151,Percentage of donations,Percentage of total donations,AT,*

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.145314161,16.13910192,0.09923654,0.191391782,118,Percentage of donations,Percentage of total donations,QC,

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.171289628,15.63156609,0.118683505,0.223895751,174,Percentage of donations,Percentage of total donations,ON,

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.17530026,14.5092491,0.125327856,0.225272663,93,Percentage of donations,Percentage of total donations,PR,

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.111605284,26.31986438,0.053892617,0.169317951,45,Percentage of donations,Percentage of total donations,AB,*

Age group,15 to 24 years,2013,agegr10_1 / vd1dhrs,0.138657046,18.55718954,0.088102887,0.189211205,67,Percentage of donations,Percentage of total donations,BC,*

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.131515809,12.0557412,0.10036462,0.162666997,944,Percentage of donations,Percentage of total donations,CA,

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.079019007,15.94531107,0.054263758,0.103774256,209,Percentage of donations,Percentage of total donations,AT,

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.11015896,16.60698708,0.074216035,0.146101884,178,Percentage of donations,Percentage of total donations,QC,*

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.145048629,21.67741125,0.08327206,0.206825198,206,Percentage of donations,Percentage of total donations,ON,*

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.155791244,17.55570958,0.102055387,0.2095271,154,Percentage of donations,Percentage of total donations,PR,*

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.130889578,33.39443764,0.045011574,0.216767583,79,Percentage of donations,Percentage of total donations,AB,…

Age group,25 to 34 years,2013,agegr10_2 / vd1dhrs,0.129304732,16.29522812,0.087906899,0.170702565,118,Percentage of donations,Percentage of total donations,BC,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.139678345,6.322712592,0.122326916,0.157029775,1392,Percentage of donations,Percentage of total donations,CA,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.128698386,10.82626934,0.101323352,0.15607342,312,Percentage of donations,Percentage of total donations,AT,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.138085787,14.55744629,0.09859126,0.177580314,268,Percentage of donations,Percentage of total donations,QC,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.129729356,12.12505049,0.098824654,0.160634058,312,Percentage of donations,Percentage of total donations,ON,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.151018271,15.5136886,0.1049876,0.197048942,190,Percentage of donations,Percentage of total donations,PR,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.165149671,15.92514878,0.113476638,0.216822704,126,Percentage of donations,Percentage of total donations,AB,

Age group,35 to 44 years,2013,agegr10_3 / vd1dhrs,0.146999136,11.64606285,0.113363732,0.180634541,184,Percentage of donations,Percentage of total donations,BC,

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.184756385,7.055322447,0.159145825,0.210366944,1431,Percentage of donations,Percentage of total donations,CA,

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.19495138,11.72352611,0.150047144,0.239855615,379,Percentage of donations,Percentage of total donations,AT,

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.210965337,17.45218203,0.138627823,0.283302851,222,Percentage of donations,Percentage of total donations,QC,*

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.170080036,12.69155481,0.127669778,0.212490293,329,Percentage of donations,Percentage of total donations,ON,

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.157477339,14.71585594,0.111946428,0.20300825,190,Percentage of donations,Percentage of total donations,PR,

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.238216976,18.52462994,0.1515158,0.324918153,120,Percentage of donations,Percentage of total donations,AB,*

Age group,45 to 54 years,2013,agegr10_4 / vd1dhrs,0.162288499,13.87817018,0.11803754,0.206539459,191,Percentage of donations,Percentage of total donations,BC,

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.194714571,7.305226418,0.166767591,0.22266155,1553,Percentage of donations,Percentage of total donations,CA,

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.208587857,13.24262471,0.154317105,0.262858608,431,Percentage of donations,Percentage of total donations,AT,

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.179874406,14.59448277,0.128296843,0.23145197,239,Percentage of donations,Percentage of total donations,QC,

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.191711893,12.53141991,0.144510797,0.238912989,342,Percentage of donations,Percentage of total donations,ON,

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.168994115,19.7031386,0.103574236,0.234413994,224,Percentage of donations,Percentage of total donations,PR,*

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.226269744,24.80418484,0.116000553,0.336538934,91,Percentage of donations,Percentage of total donations,AB,*

Age group,55 to 64 years,2013,agegr10_5 / vd1dhrs,0.19422804,12.9036606,0.144986957,0.243469124,226,Percentage of donations,Percentage of total donations,BC,

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.134459624,6.623026808,0.116963126,0.151956123,1149,Percentage of donations,Percentage of total donations,CA,

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.144839116,11.3302561,0.112596644,0.177081589,350,Percentage of donations,Percentage of total donations,AT,

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.147299606,14.7902307,0.104496107,0.190103105,163,Percentage of donations,Percentage of total donations,QC,

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.139981653,12.26243021,0.106256773,0.173706533,251,Percentage of donations,Percentage of total donations,ON,

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.11878255,17.00796925,0.079090105,0.158474994,162,Percentage of donations,Percentage of total donations,PR,*

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.080066983,24.71769909,0.041183582,0.118950384,59,Percentage of donations,Percentage of total donations,AB,*

Age group,65 to 74 years,2013,agegr10_6 / vd1dhrs,0.159123679,12.18078218,0.121042294,0.197205063,164,Percentage of donations,Percentage of total donations,BC,

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.058732735,8.482540109,0.048944399,0.068521071,602,Percentage of donations,Percentage of total donations,CA,

