Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2013,agegr10_1 / popn,0.155650855,0.038661505,0.155532624,0.155769087,1027,Percentage of population,Percentage of total population,CA,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.14979009,0.591917397,0.148048095,0.151532085,231,Percentage of population,Percentage of total population,AT,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.146236467,1.6073E-06,0.146236462,0.146236471,211,Percentage of population,Percentage of total population,QC,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.158758986,2.10116E-06,0.15875898,0.158758993,251,Percentage of population,Percentage of total population,ON,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.173339386,2.44352E-06,0.173339378,0.173339394,150,Percentage of population,Percentage of total population,PR,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.162217762,2.45084E-06,0.162217754,0.16221777,77,Percentage of population,Percentage of total population,AB,
Age group,15 to 24 years,2013,agegr10_1 / popn,0.151826717,4.64372E-06,0.151826703,0.15182673,107,Percentage of population,Percentage of total population,BC,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.167804248,0.035861137,0.167686017,0.167922478,1768,Percentage of population,Percentage of total population,CA,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.134765785,0.657906732,0.13302379,0.136507779,421,Percentage of population,Percentage of total population,AT,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.160679383,1.45155E-06,0.160679378,0.160679387,344,Percentage of population,Percentage of total population,QC,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.166619338,4.48413E-06,0.166619323,0.166619353,359,Percentage of population,Percentage of total population,ON,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.176733295,2.92675E-06,0.176733285,0.176733305,283,Percentage of population,Percentage of total population,PR,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.206237227,3.57991E-07,0.206237226,0.206237229,157,Percentage of population,Percentage of total population,AB,
Age group,25 to 34 years,2013,agegr10_2 / popn,0.16393767,1.56992E-06,0.163937665,0.163937675,204,Percentage of population,Percentage of total population,BC,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.160059524,1.37094E-06,0.16005952,0.160059529,2316,Percentage of population,Percentage of total population,CA,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.147302116,3.21802E-06,0.147302107,0.147302125,527,Percentage of population,Percentage of total population,AT,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.156938485,4.3371E-06,0.156938472,0.156938499,472,Percentage of population,Percentage of total population,QC,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.161601329,3.6069E-06,0.161601318,0.16160134,510,Percentage of population,Percentage of total population,ON,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.154247959,3.07493E-06,0.15424795,0.154247969,314,Percentage of population,Percentage of total population,PR,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.180821983,1.06563E-06,0.180821979,0.180821987,208,Percentage of population,Percentage of total population,AB,
Age group,35 to 44 years,2013,agegr10_3 / popn,0.153044753,4.42573E-06,0.15304474,0.153044767,285,Percentage of population,Percentage of total population,BC,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.180675404,7.31847E-07,0.180675401,0.180675406,2618,Percentage of population,Percentage of total population,CA,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.185799711,3.98843E-06,0.185799696,0.185799725,713,Percentage of population,Percentage of total population,AT,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.17986703,5.89141E-07,0.179867028,0.179867032,463,Percentage of population,Percentage of total population,QC,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.184937633,3.63218E-06,0.18493762,0.184937646,559,Percentage of population,Percentage of total population,ON,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.169745524,2.75042E-06,0.169745515,0.169745534,368,Percentage of population,Percentage of total population,PR,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.173729218,3.75208E-06,0.173729205,0.17372923,205,Percentage of population,Percentage of total population,AB,
Age group,45 to 54 years,2013,agegr10_4 / popn,0.178270603,2.93661E-06,0.178270593,0.178270613,310,Percentage of population,Percentage of total population,BC,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.157732327,2.45711E-06,0.157732319,0.157732334,3100,Percentage of population,Percentage of total population,CA,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.179316187,3.23379E-06,0.179316176,0.179316198,944,Percentage of population,Percentage of total population,AT,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.166073615,3.3843E-06,0.166073604,0.166073626,545,Percentage of population,Percentage of total population,QC,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.152326436,9.48162E-07,0.152326433,0.152326439,584,Percentage of population,Percentage of total population,ON,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.153330923,6.48183E-07,0.153330921,0.153330925,466,Percentage of population,Percentage of total population,PR,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.142329276,8.69692E-08,0.142329275,0.142329276,179,Percentage of population,Percentage of total population,AB,
Age group,55 to 64 years,2013,agegr10_5 / popn,0.162976962,2.05303E-06,0.162976955,0.162976969,382,Percentage of population,Percentage of total population,BC,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.102854637,1.94509E-06,0.102854633,0.102854641,2343,Percentage of population,Percentage of total population,CA,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.122121304,4.4857E-07,0.122121303,0.122121305,715,Percentage of population,Percentage of total population,AT,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.112452815,2.61691E-06,0.11245281,0.112452821,394,Percentage of population,Percentage of total population,QC,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.099984845,2.04446E-06,0.099984841,0.099984849,461,Percentage of population,Percentage of total population,ON,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.095116065,1.43398E-06,0.095116063,0.095116068,337,Percentage of population,Percentage of total population,PR,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.079578737,2.74906E-06,0.079578733,0.079578741,123,Percentage of population,Percentage of total population,AB,
Age group,65 to 74 years,2013,agegr10_6 / popn,0.107943294,1.82467E-06,0.107943291,0.107943298,313,Percentage of population,Percentage of total population,BC,
Age group,75 years and over,2013,agegr10_7 / popn,0.075223005,1.74101E-06,0.075223002,0.075223008,1542,Percentage of population,Percentage of total population,CA,
Age group,75 years and over,2013,agegr10_7 / popn,0.080904807,4.27379E-06,0.080904801,0.080904814,450,Percentage of population,Percentage of total population,AT,
Age group,75 years and over,2013,agegr10_7 / popn,0.077752205,2.88591E-06,0.077752201,0.077752209,206,Percentage of population,Percentage of total population,QC,
Age group,75 years and over,2013,agegr10_7 / popn,0.075771432,4.75737E-06,0.075771425,0.07577144,312,Percentage of population,Percentage of total population,ON,
Age group,75 years and over,2013,agegr10_7 / popn,0.077486847,4.91892E-06,0.077486839,0.077486854,268,Percentage of population,Percentage of total population,PR,
Age group,75 years and over,2013,agegr10_7 / popn,0.055085797,1.08305E-07,0.055085797,0.055085797,89,Percentage of population,Percentage of total population,AB,
Age group,75 years and over,2013,agegr10_7 / popn,0.082,2.50469E-06,0.081999996,0.082000004,217,Percentage of population,Percentage of total population,BC,
Gender,Male gender,2013,sex_1 / popn,0.494024642,1.52346E-06,0.494024627,0.494024657,6435,Percentage of population,Percentage of total population,CA,
Gender,Male gender,2013,sex_1 / popn,0.485309442,1.94847E-06,0.485309424,0.485309461,1687,Percentage of population,Percentage of total population,AT,
