,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2013,rg_010,0.540954302,4.597288811,0.492211504,0.5896971,668,Touché.e personnellement par la cause,Reasons for giving,CA,
1,Groupe d'âge,25 à 34 ans,2013,rg_010,0.629671643,2.88319857,0.594089117,0.66525417,1410,Touché.e personnellement par la cause,Reasons for giving,CA,
2,Groupe d'âge,35 à 44 ans,2013,rg_010,0.686462074,2.006481393,0.659466052,0.713458096,1912,Touché.e personnellement par la cause,Reasons for giving,CA,
3,Groupe d'âge,45 à 54 ans,2013,rg_010,0.740248019,1.774635392,0.714500553,0.765995484,2175,Touché.e personnellement par la cause,Reasons for giving,CA,
4,Groupe d'âge,55 à 64 ans,2013,rg_010,0.726452349,1.772986765,0.701208201,0.751696497,2600,Touché.e personnellement par la cause,Reasons for giving,CA,
5,Groupe d'âge,65 à 74 ans,2013,rg_010,0.705620558,2.032916248,0.677505512,0.733735604,1972,Touché.e personnellement par la cause,Reasons for giving,CA,
6,Groupe d'âge,75 ans et plus,2013,rg_010,0.617763444,3.500174579,0.575383536,0.660143351,1272,Touché.e personnellement par la cause,Reasons for giving,CA,
7,Genre,Hommes,2013,rg_010,0.625544467,1.607303927,0.605838204,0.645250731,5117,Touché.e personnellement par la cause,Reasons for giving,CA,
8,Genre,Femmes,2013,rg_010,0.715399435,1.138823763,0.699431337,0.731367534,6892,Touché.e personnellement par la cause,Reasons for giving,CA,
9,Éducation,Sans diplôme d'études secondaires,2013,rg_010,0.590867239,3.474194849,0.550633335,0.631101143,1356,Touché.e personnellement par la cause,Reasons for giving,CA,
10,Éducation,Diplôme d'études secondaires,2013,rg_010,0.669541213,1.952206716,0.64392286,0.695159567,3073,Touché.e personnellement par la cause,Reasons for giving,CA,
11,Éducation,Diplôme post-secondaire,2013,rg_010,0.686647011,1.56906238,0.665530516,0.707763506,3933,Touché.e personnellement par la cause,Reasons for giving,CA,
12,Éducation,Diplôme universtaire,2013,rg_010,0.699990788,1.660167721,0.677214005,0.72276757,3417,Touché.e personnellement par la cause,Reasons for giving,CA,
13,Éducation,Not stated,2013,rg_010,0.5021887,9.403051101,0.409637123,0.594740277,230,Touché.e personnellement par la cause,Reasons for giving,CA,
14,État civil,Marié.e/union de fait,2013,rg_010,0.704731537,1.015852627,0.690700089,0.718762986,7188,Touché.e personnellement par la cause,Reasons for giving,CA,
15,État civil,Veuf.ve,2013,rg_010,0.665310654,3.37064928,0.621357896,0.709263412,1167,Touché.e personnellement par la cause,Reasons for giving,CA,
16,État civil,Séparé.e/divorcé.e,2013,rg_010,0.683044465,3.087679542,0.641708385,0.724380545,1356,Touché.e personnellement par la cause,Reasons for giving,CA,
17,État civil,"Célibataire, jamais marié.e",2013,rg_010,0.578001364,2.81561325,0.546104356,0.609898373,2294,Touché.e personnellement par la cause,Reasons for giving,CA,
18,Situation d'activité,Employé.e,2013,rg_010,0.684305809,1.180050611,0.668478796,0.700132821,7006,Touché.e personnellement par la cause,Reasons for giving,CA,
19,Situation d'activité,Au chômage,2013,rg_010,0.712264476,4.925446118,0.643504622,0.781024331,358,Touché.e personnellement par la cause,Reasons for giving,CA,
20,Situation d'activité,Pas dans la population active,2013,rg_010,0.649788074,1.716893891,0.62792238,0.671653769,4465,Touché.e personnellement par la cause,Reasons for giving,CA,
21,Situation d'activité,Unable to determine,2013,rg_010,0.532873654,9.200551139,0.436781887,0.628965422,180,Touché.e personnellement par la cause,Reasons for giving,CA,
22,Catégorie de revenu familial,Moins de 20 000 $,2013,rg_010,0.595282978,4.929657362,0.537767029,0.652798927,776,Touché.e personnellement par la cause,Reasons for giving,CA,
23,Catégorie de revenu familial,20 000 $ à 39 999 $,2013,rg_010,0.625234402,2.745054483,0.591595491,0.658873313,1894,Touché.e personnellement par la cause,Reasons for giving,CA,
24,Catégorie de revenu familial,40 000 $ à 59 999 $,2013,rg_010,0.659028392,2.554709425,0.626029928,0.692026856,2031,Touché.e personnellement par la cause,Reasons for giving,CA,
25,Catégorie de revenu familial,60 000 $ à 79 999 $,2013,rg_010,0.659196901,2.690366661,0.624437305,0.693956497,1737,Touché.e personnellement par la cause,Reasons for giving,CA,
26,Catégorie de revenu familial,80 000 $ à 99 999 $,2013,rg_010,0.718338888,2.257012121,0.686562,0.750115776,1527,Touché.e personnellement par la cause,Reasons for giving,CA,
27,Catégorie de revenu familial,100 000 $ à 119 999 $,2013,rg_010,0.664575282,3.098387696,0.624217431,0.704933133,1135,Touché.e personnellement par la cause,Reasons for giving,CA,
28,Catégorie de revenu familial,120 000 $ à 139 999 $,2013,rg_010,0.693613037,3.377380249,0.647699019,0.739527055,899,Touché.e personnellement par la cause,Reasons for giving,CA,
29,Catégorie de revenu familial,140 000 $ et plus,2013,rg_010,0.691897776,2.043809456,0.664181784,0.719613769,2010,Touché.e personnellement par la cause,Reasons for giving,CA,
30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,rg_010,0.664317209,2.252124864,0.634993692,0.693640726,2487,Touché.e personnellement par la cause,Reasons for giving,CA,
31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,rg_010,0.697317538,2.747587159,0.65976579,0.734869286,1291,Touché.e personnellement par la cause,Reasons for giving,CA,
32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,rg_010,0.706839087,2.555915908,0.67142996,0.742248213,1378,Touché.e personnellement par la cause,Reasons for giving,CA,
33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,rg_010,0.703190536,2.398258217,0.670137067,0.736244006,1723,Touché.e personnellement par la cause,Reasons for giving,CA,
34,Fréquence de la fréquentation religieuse,Pas du tout,2013,rg_010,0.657038217,1.556492957,0.636994149,0.677082286,4839,Touché.e personnellement par la cause,Reasons for giving,CA,
35,Fréquence de la fréquentation religieuse,Not stated,2013,rg_010,0.552742806,7.473503633,0.471778156,0.633707455,291,Touché.e personnellement par la cause,Reasons for giving,CA,
36,Statut d'immigration,Né.e au Canada,2013,rg_010,0.708408528,0.932619998,0.695459517,0.721357538,10025,Touché.e personnellement par la cause,Reasons for giving,CA,
