Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2013,rv_020,0.4465184451009448,5.400092476546484,0.3992589919582785,0.49377789824361107,632,Personally affected by the cause,Reasons for volunteering,CA,
Age group,25 to 34 years,2013,rv_020,0.5685205445635928,4.2150587906859025,0.5215529962458268,0.6154880928813588,915,Personally affected by the cause,Reasons for volunteering,CA,
Age group,35 to 44 years,2013,rv_020,0.6872315992042306,2.320385905340712,0.6559771801987017,0.7184860182097595,1350,Personally affected by the cause,Reasons for volunteering,CA,
Age group,45 to 54 years,2013,rv_020,0.6852267553610627,2.5256815635758856,0.6513063528433389,0.7191471578787865,1391,Personally affected by the cause,Reasons for volunteering,CA,
Age group,55 to 64 years,2013,rv_020,0.6315141628107197,2.5985237181020735,0.5993510650305809,0.6636772605908585,1498,Personally affected by the cause,Reasons for volunteering,CA,
Age group,65 to 74 years,2013,rv_020,0.638021293595534,2.9101214143328074,0.6016302614874397,0.6744123257036282,1109,Personally affected by the cause,Reasons for volunteering,CA,
Age group,75 years and over,2013,rv_020,0.5688662172960718,4.878579237427901,0.5144721420534699,0.6232602925386737,579,Personally affected by the cause,Reasons for volunteering,CA,
Sex,Male,2013,rv_020,0.5838910291715964,2.1457900073840497,0.5593344927103752,0.6084475656328177,3140,Personally affected by the cause,Reasons for volunteering,CA,
Sex,Female,2013,rv_020,0.6213253954329722,1.679023112100533,0.6008786650516326,0.6417721258143118,4334,Personally affected by the cause,Reasons for volunteering,CA,
Education,Less than High School,2013,rv_020,0.48846136194251805,5.561268344059851,0.43521963198421865,0.5417030919008174,669,Personally affected by the cause,Reasons for volunteering,CA,
Education,Graduated from High school,2013,rv_020,0.5885677331364478,2.8909710636712873,0.5552183131551683,0.6219171531177273,1660,Personally affected by the cause,Reasons for volunteering,CA,
