,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,0,Groupe d'âge,15 à 24 ans,2013,ng_140a,0.1354874583561115,29.765763879257545,0.0564443120162,0.2145306046960229,127,Heure du jour,Reasons for disliking solicitations,CA,*
1,1,1,Groupe d'âge,25 à 34 ans,2013,ng_140a,0.1536389793270933,21.500328264628024,0.0888957146220481,0.2183822440321385,334,Heure du jour,Reasons for disliking solicitations,CA,*
2,2,2,Groupe d'âge,35 à 44 ans,2013,ng_140a,0.1827146867818473,13.194169649856075,0.1354644909628056,0.229964882600889,513,Heure du jour,Reasons for disliking solicitations,CA,
3,3,3,Groupe d'âge,45 à 54 ans,2013,ng_140a,0.1396051331713161,14.242176761144163,0.1006355419854338,0.1785747243571984,633,Heure du jour,Reasons for disliking solicitations,CA,
4,4,4,Groupe d'âge,55 à 64 ans,2013,ng_140a,0.1490605384502449,12.359695397519843,0.1129512820982042,0.1851697948022857,779,Heure du jour,Reasons for disliking solicitations,CA,
5,5,5,Groupe d'âge,65 à 74 ans,2013,ng_140a,0.1241756194771839,13.796261916713684,0.0905983128278535,0.1577529261265143,651,Heure du jour,Reasons for disliking solicitations,CA,
6,6,6,Groupe d'âge,75 ans et plus,2013,ng_140a,0.0785451732843785,26.489149316567907,0.0377662640849519,0.1193240824838051,388,Heure du jour,Reasons for disliking solicitations,CA,*
7,7,7,Genre,Male,2013,ng_140a,0.1455817010325772,9.590411257434557,0.1182169115408433,0.1729464905243112,1607,Heure du jour,Reasons for disliking solicitations,CA,
8,8,8,Genre,Female,2013,ng_140a,0.1390869539006392,8.727664182705922,0.1152948682673599,0.1628790395339184,1818,Heure du jour,Reasons for disliking solicitations,CA,
9,9,9,Éducation,Sans diplôme d'études secondaires,2013,ng_140a,0.1356534967395012,22.366163019663528,0.0761872443095671,0.1951197491694354,344,Heure du jour,Reasons for disliking solicitations,CA,*
10,10,10,Éducation,Diplôme d'études secondaires,2013,ng_140a,0.1119976072823595,14.748259487553852,0.0796235146008073,0.1443716999639117,819,Heure du jour,Reasons for disliking solicitations,CA,
11,11,11,Éducation,Diplôme post-secondaire,2013,ng_140a,0.1565393297808392,10.915891275656527,0.1230481256375481,0.1900305339241302,1095,Heure du jour,Reasons for disliking solicitations,CA,
12,12,12,Éducation,Diplôme universtaire,2013,ng_140a,0.1549947052067712,10.670959126226364,0.1225780344664068,0.1874113759471356,1139,Heure du jour,Reasons for disliking solicitations,CA,
13,13,13,Éducation,Not stated,2013,ng_140a,0.1887015730074666,63.95728024516529,-0.0478433323403421,0.4252464783552755,28,Heure du jour,Reasons for disliking solicitations,CA,...
14,14,14,État civil,Marié.e/union de fait,2013,ng_140a,0.135558760405867,7.075626789384676,0.1167595071982987,0.1543580136134353,2213,Heure du jour,Reasons for disliking solicitations,CA,
