,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2013,top_cause,0.8615078863810428,1.1189732811314717,0.8426137491672767,0.8804020235948089,692,Top cause,Focus on primary cause,CA,,
1,Groupe d'âge,25 à 34 ans,2013,top_cause,0.7762408886692982,1.006481725745168,0.7609282335713513,0.7915535437672451,1472,Top cause,Focus on primary cause,CA,,
2,Groupe d'âge,35 à 44 ans,2013,top_cause,0.7614766270511595,0.8514539210033685,0.7487689602686489,0.77418429383367,1999,Top cause,Focus on primary cause,CA,,
3,Groupe d'âge,45 à 54 ans,2013,top_cause,0.7330780592661607,0.8755674564704314,0.7204978483165161,0.7456582702158052,2297,Top cause,Focus on primary cause,CA,,
4,Groupe d'âge,55 à 64 ans,2013,top_cause,0.7275745589937527,0.8435649569740435,0.7155451545705054,0.739603963417,2713,Top cause,Focus on primary cause,CA,,
5,Groupe d'âge,65 à 74 ans,2013,top_cause,0.7224677955984109,0.9640945783314472,0.7088161116747084,0.7361194795221134,2074,Top cause,Focus on primary cause,CA,,
6,Groupe d'âge,75 ans et plus,2013,top_cause,0.7334707521243296,1.22753475432231,0.7158240039390009,0.7511175003096582,1366,Top cause,Focus on primary cause,CA,,
7,Genre,Male,2013,top_cause,0.770105370446097,0.5681490977767223,0.7615298484665469,0.778680892425647,5374,Top cause,Focus on primary cause,CA,,
8,Genre,Female,2013,top_cause,0.7488329907469686,0.5171244594320336,0.7412432290445037,0.7564227524494336,7239,Top cause,Focus on primary cause,CA,,
9,Éducation,Sans diplôme d'études secondaires,2013,top_cause,0.8195040345386336,1.008005314463903,0.8033134693775594,0.8356945996997078,1384,Top cause,Focus on primary cause,CA,,
10,Éducation,Diplôme d'études secondaires,2013,top_cause,0.7894024941996877,0.7502632026265192,0.7777944184929138,0.8010105699064616,3099,Top cause,Focus on primary cause,CA,,
11,Éducation,Diplôme post-secondaire,2013,top_cause,0.7470747064926646,0.6775273258670108,0.7371540836387753,0.7569953293465539,3957,Top cause,Focus on primary cause,CA,,
12,Éducation,Diplôme universtaire,2013,top_cause,0.7119855941903946,0.760641229516691,0.7013711035215778,0.7226000848592115,3432,Top cause,Focus on primary cause,CA,,
