Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2013,fv1fvol,0.5317544762710484,3.3953471287861756,0.49636750225611714,0.5671414502859797,1027,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,25 to 34 years,2013,fv1fvol,0.42164775430808854,3.630738480563757,0.3916428082206759,0.4516527003955012,1768,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,35 to 44 years,2013,fv1fvol,0.47711786774907716,2.6251422339274124,0.4525692744458147,0.5016664610523396,2316,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,45 to 54 years,2013,fv1fvol,0.4534241540065673,2.8880891373767428,0.42775784991290655,0.4790904581002281,2618,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,55 to 64 years,2013,fv1fvol,0.40600890204564377,2.857098368892181,0.383273175340544,0.42874462875074354,3100,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,65 to 74 years,2013,fv1fvol,0.3819156041374443,3.2995138612234567,0.35721739571964634,0.40661381255524226,2343,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,75 years and over,2013,fv1fvol,0.2729796082219164,5.322144158665405,0.2445045296520544,0.30145468679177845,1542,Formal volunteer flag,Volunteer rate,CA,NA,
Sex,Male,2013,fv1fvol,0.42358560665801903,2.0159107731007326,0.4068492627571875,0.44032195055885054,6435,Formal volunteer flag,Volunteer rate,CA,NA,
Sex,Female,2013,fv1fvol,0.4474670735308856,1.7928727825578004,0.4317432323358701,0.4631909147259011,8279,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Less than High School,2013,fv1fvol,0.3938791415153452,3.9709949143652077,0.3632235003007908,0.4245347827298996,1884,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Graduated from High school,2013,fv1fvol,0.36774177092060856,2.981996535277933,0.3462487140072906,0.3892348278339265,3742,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Post-secondary diploma,2013,fv1fvol,0.4253307757287041,2.2356526244926145,0.4066936376420899,0.4439679138153183,4431,Formal volunteer flag,Volunteer rate,CA,NA,
Education,University Diploma,2013,fv1fvol,0.5466922267567708,2.119729919643353,0.5239793826683815,0.56940507084516,3757,Formal volunteer flag,Volunteer rate,CA,NA,
Education,Not stated,2013,fv1fvol,0.44846106300882904,5.740263432556265,0.3980060111873509,0.4989161148303072,900,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Married/common-law,2013,fv1fvol,0.4415724129436756,1.5111116831394273,0.4284942547121534,0.4546505711751978,8367,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Widowed,2013,fv1fvol,0.2735264134741,5.550266667760252,0.2437713273458739,0.3032814996023261,1414,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,Separated/divorced,2013,fv1fvol,0.3723322646786474,4.513687746508238,0.3393932749695254,0.40527125438776934,1720,Formal volunteer flag,Volunteer rate,CA,NA,
Marital status,"Single, never married",2013,fv1fvol,0.46569192747467175,2.751031160523851,0.44058218200834576,0.49080167294099775,3206,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Employed,2013,fv1fvol,0.46166704135156367,1.5974064557309025,0.44721289667458236,0.476121186028545,7948,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Unemployed,2013,fv1fvol,0.4541770588134869,7.026808527862961,0.3916264697077664,0.5167276479192074,481,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Not in labour force,2013,fv1fvol,0.38056203393825305,2.448914380065561,0.36229587837591526,0.39882818950059085,5456,Formal volunteer flag,Volunteer rate,CA,NA,
Labour force status,Unable to determine,2013,fv1fvol,0.4685827531636065,5.729864063958384,0.4159593767727457,0.5212061295544672,829,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"Less than $20,000",2013,fv1fvol,0.3271713495932025,5.705715411917136,0.2905837883210321,0.3637589108653729,1210,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$20,000 to $39,999",2013,fv1fvol,0.3367343124741791,4.048119637364659,0.31001724407073805,0.3634513808776202,2489,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$40,000 to $59,999",2013,fv1fvol,0.3678521823634402,3.6610638147282715,0.34145675323977254,0.39424761148710785,2518,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$60,000 to $79,999",2013,fv1fvol,0.4092727767456555,3.803764296273155,0.37876050478393036,0.4397850487073806,2056,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$80,000 to $99,999",2013,fv1fvol,0.43623736190380535,3.3340917778954404,0.40773055986253615,0.46474416394507456,1799,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$100,000 to $119,999",2013,fv1fvol,0.49238733029249265,3.876937061739208,0.4549725058962852,0.5298021546887002,1312,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$120,000 to $139,999",2013,fv1fvol,0.44566864863857514,4.92386625623198,0.4026589476848026,0.4886783495923477,1036,Formal volunteer flag,Volunteer rate,CA,NA,
Family income category,"$140,000 or more",2013,fv1fvol,0.5512637255311096,2.622211948062984,0.5229318517241265,0.5795955993380927,2294,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least once a week,2013,fv1fvol,0.5897061463296702,2.5031841226817244,0.5607742739435947,0.6186380187157458,2672,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least once a month,2013,fv1fvol,0.5267764850457763,3.7530242845277693,0.48802790023165743,0.5655250698598953,1410,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,At least 3 times a year,2013,fv1fvol,0.45111042486001934,4.047708789014011,0.41532219531139347,0.4868986544086452,1508,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,Once or twice a year,2013,fv1fvol,0.4451930151956626,3.5137344906492105,0.41453349355313324,0.475852536838192,1974,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,Not at all,2013,fv1fvol,0.35663937462774786,2.2562970637753317,0.34086785071206077,0.37241089854343495,6171,Formal volunteer flag,Volunteer rate,CA,NA,
Frequency of religious attendance,Not stated,2013,fv1fvol,0.4397922933993823,5.33551005536563,0.39380142091537335,0.48578316588339127,979,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Native-born,2013,fv1fvol,0.4482093333688192,1.443304470314234,0.4355302766777819,0.4608883900598565,11683,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Naturalized,2013,fv1fvol,0.3936417208410117,3.8207555068980574,0.3641636905727856,0.4231197511092378,1589,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Non-Canadian,2013,fv1fvol,0.33850511218879564,7.6868595744519315,0.28750604057838874,0.38950418379920254,504,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status,Unknown,2013,fv1fvol,0.4643250555096526,5.342193502286154,0.4157078687062352,0.51294224231307,938,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status (dcit2),Native-born,2013,fv1fvol,0.44786876679986154,1.4318769092865644,0.43529965603126664,0.46043787756845644,11729,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status (dcit2),Naturalized,2013,fv1fvol,0.3814534666719767,3.641629686799134,0.3542273665071931,0.4086795668367603,1884,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status (dcit2),Non-Canadian,2013,fv1fvol,0.39113876382984986,9.434066381984755,0.318815523185039,0.46346200447466074,265,Formal volunteer flag,Volunteer rate,CA,NA,
Immigration status (dcit2),Unknown,2013,fv1fvol,0.4665554954185085,5.519966311067385,0.4160791588577925,0.5170318319792244,836,Formal volunteer flag,Volunteer rate,CA,NA,
Age group,15 to 24 years,2013,fv1fvol,0.5680014178617862,3.7877681728808295,0.5258336219416998,0.6101692137818725,816,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,25 to 34 years,2013,fv1fvol,0.4437689076065701,4.065055202621645,0.40841223321579234,0.4791255819973479,1424,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,35 to 44 years,2013,fv1fvol,0.5035961554915254,3.01548247004421,0.4738324289912537,0.533359881991797,1844,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,45 to 54 years,2013,fv1fvol,0.4953546691989923,3.1206552913309418,0.46505693501458006,0.5256524033834046,2155,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,55 to 64 years,2013,fv1fvol,0.44962231728985663,3.1268429583452018,0.42206721544666365,0.4771774191330496,2555,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,65 to 74 years,2013,fv1fvol,0.4223019056598314,3.6221767378475858,0.3923212746461018,0.452282536673561,1949,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,75 years and over,2013,fv1fvol,0.29690061951204977,5.85666447101756,0.26281983849540735,0.3309814005286922,1336,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Sex,Male,2013,fv1fvol,0.45566308112244036,2.2288058044769703,0.4357579902960819,0.4755681719487988,5264,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Sex,Female,2013,fv1fvol,0.48446801849681453,1.9346617521313978,0.4660976338510194,0.5028384031426097,6815,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Less than High School,2013,fv1fvol,0.44480134250947223,4.218825261156009,0.40802185121016327,0.4815808338087812,1566,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Graduated from High school,2013,fv1fvol,0.3951948637739607,3.22779496529379,0.3701934065546947,0.4201963209932267,3154,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Post-secondary diploma,2013,fv1fvol,0.4553439682301675,2.535055197005813,0.4327196709400707,0.4779682655202643,3587,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,University Diploma,2013,fv1fvol,0.586576577146277,2.31557530843814,0.5599551264551271,0.6131980278374268,3041,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Education,Not stated,2013,fv1fvol,0.4910093350678066,6.1982739690242195,0.431359587716119,0.5506590824194942,731,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status,Married/common-law,2013,fv1fvol,0.47663094769382214,1.6402139363739983,0.46130840548517943,0.49195348990246485,6945,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status,Widowed,2013,fv1fvol,0.3096016191579519,5.841002047240754,0.2741579501055752,0.34504528821032865,1214,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status,Separated/divorced,2013,fv1fvol,0.4015229424006286,5.065693951888692,0.36165742507140247,0.4413884597298547,1380,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Marital status,"Single, never married",2013,fv1fvol,0.4984323679527393,3.1565233929278826,0.46759599137579616,0.5292687445296824,2535,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Labour force status,Employed,2013,fv1fvol,0.4988361313459497,1.7862438939013736,0.48137200958317006,0.5163002531087293,6470,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Labour force status,Unemployed,2013,fv1fvol,0.47387891444808067,7.911125126521686,0.4004015230516273,0.5473563058445341,397,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Labour force status,Not in labour force,2013,fv1fvol,0.4113614433846367,2.6788827733965723,0.38976285421835,0.4329600325509234,4533,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Labour force status,Unable to determine,2013,fv1fvol,0.5036764922828965,6.1951364925319305,0.4425188615810264,0.5648341229847665,679,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"Less than $20,000",2013,fv1fvol,0.3749356207809942,6.308392932344789,0.3285777447172035,0.42129349684478484,983,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$20,000 to $39,999",2013,fv1fvol,0.3777283412643122,4.5318062335397595,0.34417784140403446,0.41127884112458996,2009,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$40,000 to $59,999",2013,fv1fvol,0.3899637385442301,4.0795235265667165,0.35878333308240334,0.4211441440060569,2030,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$60,000 to $79,999",2013,fv1fvol,0.44925963644308314,4.136204235784816,0.4128390053130532,0.4856802675731131,1666,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$80,000 to $99,999",2013,fv1fvol,0.4773276537528951,3.6917608175823373,0.4427895696361981,0.5118657378695921,1452,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$100,000 to $119,999",2013,fv1fvol,0.5325997723617638,4.24560333756399,0.4882809222719503,0.5769186224515773,1089,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$120,000 to $139,999",2013,fv1fvol,0.4723308476176953,5.329373663885487,0.4229940936420708,0.5216676015933198,859,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Family income category,"$140,000 or more",2013,fv1fvol,0.5605845491763433,2.8187822478811735,0.5296138690774822,0.5915552292752043,1991,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,At least once a week,2013,fv1fvol,0.6324573472391901,2.5540450150496166,0.6007975681207749,0.6641171263576053,2392,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,At least once a month,2013,fv1fvol,0.5440143844872057,4.195099995885529,0.49928418948450964,0.5887445794899018,1215,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,At least 3 times a year,2013,fv1fvol,0.47489266722201684,4.570042993598233,0.43235596268994386,0.5174293717540898,1231,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,Once or twice a year,2013,fv1fvol,0.4815636452706881,4.025224139483835,0.4435716718459719,0.5195556186954043,1527,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,Not at all,2013,fv1fvol,0.3826110698678241,2.525166325606214,0.3636747486806494,0.4015473910549988,4939,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Frequency of religious attendance,Not stated,2013,fv1fvol,0.48754232200700454,6.007363307478058,0.4301380372646668,0.5449466067493423,775,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status,Native-born,2013,fv1fvol,0.48855353818143177,1.624608896405606,0.47299713891897166,0.5041099374438919,9500,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status,Naturalized,2013,fv1fvol,0.4063306597281506,4.03521930039923,0.3741944371682443,0.43846688228805686,1381,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status,Non-Canadian,2013,fv1fvol,0.3850980620335318,8.11164812719175,0.3238730995931394,0.4463230244739242,416,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status,Unknown,2013,fv1fvol,0.4996800287712134,5.693373601670842,0.4439216976947309,0.555438359847696,782,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status (dcit2),Native-born,2013,fv1fvol,0.4878884183033988,1.6191772488290765,0.4724051374106189,0.5033716991961786,9543,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status (dcit2),Naturalized,2013,fv1fvol,0.40205281168612794,3.829306281732426,0.371877532369549,0.43222809100270687,1624,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status (dcit2),Non-Canadian,2013,fv1fvol,0.45289637094238083,9.952829463617261,0.3645490276196366,0.5412437142651251,223,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Immigration status (dcit2),Unknown,2013,fv1fvol,0.4934971364884033,6.0536614841037215,0.43494390612708617,0.5520503668497205,689,Formal volunteer flag,Volunteer rate,CA (without QC),NA,
Age group,15 to 24 years,2013,fv1fvol,0.5631489847740713,10.461515666997133,0.4476798248154485,0.678618144732694,77,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,25 to 34 years,2013,fv1fvol,0.43051737025596193,9.864477794391824,0.34728105060677145,0.5137536899051525,157,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,35 to 44 years,2013,fv1fvol,0.5665096692688777,6.908890129399987,0.4897975988775357,0.6432217396602197,208,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,45 to 54 years,2013,fv1fvol,0.5805667750787439,6.873674675762417,0.5023519203882857,0.6587816297692021,205,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,55 to 64 years,2013,fv1fvol,0.46263016373609744,9.211481867930672,0.37910611498796376,0.5461542124842311,179,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,65 to 74 years,2013,fv1fvol,0.4296367473123914,11.34162700358163,0.3341320194594609,0.5251414751653218,123,Formal volunteer flag,Volunteer rate,AB,NA,
Age group,75 years and over,2013,fv1fvol,0.3112683435253404,18.167665218333973,0.20043200666508262,0.4221046803855981,89,Formal volunteer flag,Volunteer rate,AB,NA,*
Age group,15 to 24 years,2013,fv1fvol,0.6452079528070166,5.259833035392425,0.57869292740318,0.7117229782108532,231,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,25 to 34 years,2013,fv1fvol,0.4266659304445186,7.205629193582569,0.3664088666099184,0.48692299427911884,421,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,35 to 44 years,2013,fv1fvol,0.5253151061450877,4.817720062051681,0.4757119235667862,0.5749182887233891,527,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,45 to 54 years,2013,fv1fvol,0.498465338090038,4.465227823970073,0.4548412182884904,0.5420894578915857,713,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,55 to 64 years,2013,fv1fvol,0.38049674487995067,5.1559330486189525,0.34204586289727135,0.41894762686263,944,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,65 to 74 years,2013,fv1fvol,0.4160270713021361,5.245779910555074,0.37325308282213226,0.45880105978214,715,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,75 years and over,2013,fv1fvol,0.28374683287677255,9.271723848571224,0.23218366374364965,0.33531000200989547,450,Formal volunteer flag,Volunteer rate,AT,NA,
Age group,15 to 24 years,2013,fv1fvol,0.5348608005547392,10.176329379837407,0.42818153514264845,0.6415400659668299,107,Formal volunteer flag,Volunteer rate,BC,NA,
Age group,25 to 34 years,2013,fv1fvol,0.5059533120796673,8.524552923081446,0.4214195600412848,0.5904870641180499,204,Formal volunteer flag,Volunteer rate,BC,NA,
Age group,35 to 44 years,2013,fv1fvol,0.5308068746473704,6.9581016100110515,0.4584174047311697,0.6031963445635712,285,Formal volunteer flag,Volunteer rate,BC,NA,
Age group,45 to 54 years,2013,fv1fvol,0.5216555245933309,6.715943779227672,0.4529899665265295,0.5903210826601322,310,Formal volunteer flag,Volunteer rate,BC,NA,
