,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2013,fv1fvol,0.5317544762710484,3.395347128786176,0.4963675022561171,0.5671414502859797,1027,Formal volunteer flag,Taux de bénévolat,CA,,
1,Groupe d'âge,25 à 34 ans,2013,fv1fvol,0.4216477543080885,3.630738480563757,0.3916428082206759,0.4516527003955012,1768,Formal volunteer flag,Taux de bénévolat,CA,,
2,Groupe d'âge,35 à 44 ans,2013,fv1fvol,0.4771178677490771,2.6251422339274124,0.4525692744458147,0.5016664610523396,2316,Formal volunteer flag,Taux de bénévolat,CA,,
3,Groupe d'âge,45 à 54 ans,2013,fv1fvol,0.4534241540065673,2.8880891373767428,0.4277578499129065,0.4790904581002281,2618,Formal volunteer flag,Taux de bénévolat,CA,,
4,Groupe d'âge,55 à 64 ans,2013,fv1fvol,0.4060089020456437,2.857098368892181,0.383273175340544,0.4287446287507435,3100,Formal volunteer flag,Taux de bénévolat,CA,,
5,Groupe d'âge,65 à 74 ans,2013,fv1fvol,0.3819156041374443,3.2995138612234567,0.3572173957196463,0.4066138125552422,2343,Formal volunteer flag,Taux de bénévolat,CA,,
6,Groupe d'âge,75 ans et plus,2013,fv1fvol,0.2729796082219164,5.322144158665405,0.2445045296520544,0.3014546867917784,1542,Formal volunteer flag,Taux de bénévolat,CA,,
7,Genre,Male,2013,fv1fvol,0.423585606658019,2.0159107731007326,0.4068492627571875,0.4403219505588505,6435,Formal volunteer flag,Taux de bénévolat,CA,,
8,Genre,Female,2013,fv1fvol,0.4474670735308856,1.7928727825578004,0.4317432323358701,0.4631909147259011,8279,Formal volunteer flag,Taux de bénévolat,CA,,
9,Éducation,Sans diplôme d'études secondaires,2013,fv1fvol,0.3938791415153452,3.970994914365208,0.3632235003007908,0.4245347827298996,1884,Formal volunteer flag,Taux de bénévolat,CA,,
10,Éducation,Diplôme d'études secondaires,2013,fv1fvol,0.3677417709206085,2.981996535277933,0.3462487140072906,0.3892348278339265,3742,Formal volunteer flag,Taux de bénévolat,CA,,
11,Éducation,Diplôme post-secondaire,2013,fv1fvol,0.4253307757287041,2.2356526244926145,0.4066936376420899,0.4439679138153183,4431,Formal volunteer flag,Taux de bénévolat,CA,,
12,Éducation,Diplôme universtaire,2013,fv1fvol,0.5466922267567708,2.119729919643353,0.5239793826683815,0.56940507084516,3757,Formal volunteer flag,Taux de bénévolat,CA,,
13,Éducation,Non indiqué,2013,fv1fvol,0.448461063008829,5.740263432556265,0.3980060111873509,0.4989161148303072,900,Formal volunteer flag,Taux de bénévolat,CA,,
14,État civil,Marié.e/union de fait,2013,fv1fvol,0.4415724129436756,1.5111116831394271,0.4284942547121534,0.4546505711751978,8367,Formal volunteer flag,Taux de bénévolat,CA,,
15,État civil,Veuf.ve,2013,fv1fvol,0.2735264134741,5.550266667760252,0.2437713273458739,0.3032814996023261,1414,Formal volunteer flag,Taux de bénévolat,CA,,
16,État civil,Séparé.e/divorcé.e,2013,fv1fvol,0.3723322646786474,4.513687746508238,0.3393932749695254,0.4052712543877693,1720,Formal volunteer flag,Taux de bénévolat,CA,,
17,État civil,"Célibataire, jamais marié.e",2013,fv1fvol,0.4656919274746717,2.751031160523851,0.4405821820083457,0.4908016729409977,3206,Formal volunteer flag,Taux de bénévolat,CA,,
18,Situation d'activité,Employé.e,2013,fv1fvol,0.4616670413515636,1.5974064557309025,0.4472128966745823,0.476121186028545,7948,Formal volunteer flag,Taux de bénévolat,CA,,
19,Situation d'activité,Au chômage,2013,fv1fvol,0.4541770588134869,7.026808527862961,0.3916264697077664,0.5167276479192074,481,Formal volunteer flag,Taux de bénévolat,CA,,
20,Situation d'activité,Pas dans la population active,2013,fv1fvol,0.380562033938253,2.448914380065561,0.3622958783759152,0.3988281895005908,5456,Formal volunteer flag,Taux de bénévolat,CA,,
21,Situation d'activité,Unable to determine,2013,fv1fvol,0.4685827531636065,5.729864063958384,0.4159593767727457,0.5212061295544672,829,Formal volunteer flag,Taux de bénévolat,CA,,
22,Catégorie de revenu familial,Moins de 20 000 $,2013,fv1fvol,0.3271713495932025,5.705715411917136,0.2905837883210321,0.3637589108653729,1210,Formal volunteer flag,Taux de bénévolat,CA,,
23,Catégorie de revenu familial,20 000 $ à 39 999 $,2013,fv1fvol,0.3367343124741791,4.048119637364659,0.310017244070738,0.3634513808776202,2489,Formal volunteer flag,Taux de bénévolat,CA,,
24,Catégorie de revenu familial,40 000 $ à 59 999 $,2013,fv1fvol,0.3678521823634402,3.661063814728272,0.3414567532397725,0.3942476114871078,2518,Formal volunteer flag,Taux de bénévolat,CA,,
25,Catégorie de revenu familial,60 000 $ à 79 999 $,2013,fv1fvol,0.4092727767456555,3.803764296273155,0.3787605047839303,0.4397850487073806,2056,Formal volunteer flag,Taux de bénévolat,CA,,
26,Catégorie de revenu familial,80 000 $ à 99 999 $,2013,fv1fvol,0.4362373619038053,3.3340917778954404,0.4077305598625361,0.4647441639450745,1799,Formal volunteer flag,Taux de bénévolat,CA,,
27,Catégorie de revenu familial,100 000 $ à 119 999 $,2013,fv1fvol,0.4923873302924926,3.876937061739208,0.4549725058962852,0.5298021546887002,1312,Formal volunteer flag,Taux de bénévolat,CA,,
28,Catégorie de revenu familial,$120 000 à 139 999 $,2013,fv1fvol,0.4456686486385751,4.92386625623198,0.4026589476848026,0.4886783495923477,1036,Formal volunteer flag,Taux de bénévolat,CA,,
29,Catégorie de revenu familial,140 000 $ et plus,2013,fv1fvol,0.5512637255311096,2.622211948062984,0.5229318517241265,0.5795955993380927,2294,Formal volunteer flag,Taux de bénévolat,CA,,
30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,fv1fvol,0.5897061463296702,2.5031841226817244,0.5607742739435947,0.6186380187157458,2672,Formal volunteer flag,Taux de bénévolat,CA,,
31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,fv1fvol,0.5267764850457763,3.753024284527769,0.4880279002316574,0.5655250698598953,1410,Formal volunteer flag,Taux de bénévolat,CA,,
32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,fv1fvol,0.4511104248600193,4.047708789014011,0.4153221953113934,0.4868986544086452,1508,Formal volunteer flag,Taux de bénévolat,CA,,
33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,fv1fvol,0.4451930151956626,3.5137344906492105,0.4145334935531332,0.475852536838192,1974,Formal volunteer flag,Taux de bénévolat,CA,,
34,Fréquence de la fréquentation religieuse,Pas du tout,2013,fv1fvol,0.3566393746277478,2.256297063775332,0.3408678507120607,0.3724108985434349,6171,Formal volunteer flag,Taux de bénévolat,CA,,
35,Fréquence de la fréquentation religieuse,Non indiqué,2013,fv1fvol,0.4397922933993823,5.33551005536563,0.3938014209153733,0.4857831658833912,979,Formal volunteer flag,Taux de bénévolat,CA,,
36,Statut d'immigration,Né.e au Canada,2013,fv1fvol,0.4482093333688192,1.443304470314234,0.4355302766777819,0.4608883900598565,11683,Formal volunteer flag,Taux de bénévolat,CA,,
37,Statut d'immigration,Naturalisé.e,2013,fv1fvol,0.3936417208410117,3.8207555068980574,0.3641636905727856,0.4231197511092378,1589,Formal volunteer flag,Taux de bénévolat,CA,,
38,Statut d'immigration,Non canadien.ne,2013,fv1fvol,0.3385051121887956,7.6868595744519315,0.2875060405783887,0.3895041837992025,504,Formal volunteer flag,Taux de bénévolat,CA,,
39,Statut d'immigration,Unknown,2013,fv1fvol,0.4643250555096526,5.342193502286154,0.4157078687062352,0.51294224231307,938,Formal volunteer flag,Taux de bénévolat,CA,,
40,Immigration status (dcit2),Né.e au Canada,2013,fv1fvol,0.4478687667998615,1.4318769092865644,0.4352996560312666,0.4604378775684564,11729,Formal volunteer flag,Taux de bénévolat,CA,,
41,Immigration status (dcit2),Naturalisé.e,2013,fv1fvol,0.3814534666719767,3.641629686799134,0.3542273665071931,0.4086795668367603,1884,Formal volunteer flag,Taux de bénévolat,CA,,
42,Immigration status (dcit2),Non canadien.ne,2013,fv1fvol,0.3911387638298498,9.434066381984756,0.318815523185039,0.4634620044746607,265,Formal volunteer flag,Taux de bénévolat,CA,,
43,Immigration status (dcit2),Unknown,2013,fv1fvol,0.4665554954185085,5.519966311067385,0.4160791588577925,0.5170318319792244,836,Formal volunteer flag,Taux de bénévolat,CA,,
44,Groupe d'âge,15 à 24 ans,2013,fv1fvol,0.5680014178617862,3.7877681728808295,0.5258336219416998,0.6101692137818725,816,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
45,Groupe d'âge,25 à 34 ans,2013,fv1fvol,0.4437689076065701,4.065055202621645,0.4084122332157923,0.4791255819973479,1424,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
46,Groupe d'âge,35 à 44 ans,2013,fv1fvol,0.5035961554915254,3.01548247004421,0.4738324289912537,0.533359881991797,1844,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
47,Groupe d'âge,45 à 54 ans,2013,fv1fvol,0.4953546691989923,3.1206552913309418,0.46505693501458,0.5256524033834046,2155,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
48,Groupe d'âge,55 à 64 ans,2013,fv1fvol,0.4496223172898566,3.1268429583452018,0.4220672154466636,0.4771774191330496,2555,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
49,Groupe d'âge,65 à 74 ans,2013,fv1fvol,0.4223019056598314,3.6221767378475858,0.3923212746461018,0.452282536673561,1949,Formal volunteer flag,Taux de bénévolat,CA (without QC),,
