Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,fv_020,0.047933815,19.11892979,0.029971857,0.065895773,845,Canvassing,Volunteer rate by activity,CA,*
Age group,25 to 34 years,2018,fv_020,0.017064194,22.36070916,0.009585609,0.024542779,1844,Canvassing,Volunteer rate by activity,CA,*
Age group,35 to 44 years,2018,fv_020,0.033369992,14.89707161,0.023626714,0.04311327,2519,Canvassing,Volunteer rate by activity,CA,
Age group,45 to 54 years,2018,fv_020,0.034221353,13.11955212,0.025421726,0.04302098,2598,Canvassing,Volunteer rate by activity,CA,
Age group,55 to 64 years,2018,fv_020,0.032849694,15.41226867,0.022926626,0.042772763,3460,Canvassing,Volunteer rate by activity,CA,
Age group,65 to 74 years,2018,fv_020,0.025797195,12.83969082,0.019305245,0.032289145,2982,Canvassing,Volunteer rate by activity,CA,
Age group,75 years and over,2018,fv_020,0.018526959,19.80396893,0.011335708,0.025718211,1814,Canvassing,Volunteer rate by activity,CA,*
Gender,Male gender,2018,fv_020,0.030677834,10.76618368,0.024204402,0.037151265,7201,Canvassing,Volunteer rate by activity,CA,
Gender,Female gender,2018,fv_020,0.03060942,8.775694011,0.025344586,0.035874254,8861,Canvassing,Volunteer rate by activity,CA,
Education,Less than High School,2018,fv_020,0.044033858,22.9377664,0.02423747,0.063830245,1562,Canvassing,Volunteer rate by activity,CA,*
Education,Graduated from High school,2018,fv_020,0.022458397,16.23119633,0.015313806,0.029602988,3486,Canvassing,Volunteer rate by activity,CA,
Education,Post-secondary diploma,2018,fv_020,0.028363493,11.65146597,0.021886277,0.034840709,5113,Canvassing,Volunteer rate by activity,CA,
Education,University Diploma,2018,fv_020,0.031786496,9.95780481,0.025582745,0.037990247,4509,Canvassing,Volunteer rate by activity,CA,
Marital status (Original),Married,2018,fv_020,0.032439687,7.866378805,0.027438195,0.03744118,8021,Canvassing,Volunteer rate by activity,CA,
Marital status (Original),Living common-law,2018,fv_020,0.021880523,22.31952149,0.012308788,0.031452258,1485,Canvassing,Volunteer rate by activity,CA,*
Marital status (Original),Widowed,2018,fv_020,0.019565908,22.0475897,0.011110994,0.028020823,1416,Canvassing,Volunteer rate by activity,CA,*
Marital status (Original),Separated,2018,fv_020,0.026113082,37.10541158,0.007122273,0.045103892,513,Canvassing,Volunteer rate by activity,CA,...
Marital status (Original),Divorced,2018,fv_020,0.020898447,25.24700913,0.010557221,0.031239674,1371,Canvassing,Volunteer rate by activity,CA,*
Marital status (Original),"Single, never married",2018,fv_020,0.034955116,15.51922031,0.024322779,0.045587453,3256,Canvassing,Volunteer rate by activity,CA,
Marital status,Married/common-law,2018,fv_020,0.03046066,7.321195972,0.026089774,0.034831545,9506,Canvassing,Volunteer rate by activity,CA,
Marital status,Widowed,2018,fv_020,0.019565908,22.0475897,0.011110994,0.028020823,1416,Canvassing,Volunteer rate by activity,CA,*
Marital status,Separated/divorced,2018,fv_020,0.022613325,20.89284391,0.013353345,0.031873306,1884,Canvassing,Volunteer rate by activity,CA,*
Marital status,"Single, never married",2018,fv_020,0.034955116,15.51922031,0.024322779,0.045587453,3256,Canvassing,Volunteer rate by activity,CA,
Labour force status,Employed,2018,fv_020,0.027491961,8.474381234,0.022925688,0.032058233,8552,Canvassing,Volunteer rate by activity,CA,
Labour force status,Unemployed,2018,fv_020,0.065415701,37.39130033,0.017475411,0.113355991,348,Canvassing,Volunteer rate by activity,CA,...
Labour force status,Not in labour force,2018,fv_020,0.029793213,11.02571309,0.023354899,0.036231526,5775,Canvassing,Volunteer rate by activity,CA,
Labour force status,Unable to determine,2018,fv_020,0.04112015,23.69205706,0.02202577,0.060214529,1387,Canvassing,Volunteer rate by activity,CA,*
Personal income category,"Less than $25,000",2018,fv_020,0.033763794,11.6208798,0.026073582,0.041454007,4514,Canvassing,Volunteer rate by activity,CA,
Personal income category,"$25,000 to $49,999",2018,fv_020,0.026430643,12.58843073,0.019909444,0.032951841,4806,Canvassing,Volunteer rate by activity,CA,
Personal income category,"$50,000 to $74,999",2018,fv_020,0.030949484,16.60799003,0.020875099,0.04102387,3248,Canvassing,Volunteer rate by activity,CA,*
Personal income category,"$75,000 to $99,999",2018,fv_020,0.029754097,22.03525107,0.016903809,0.042604385,1802,Canvassing,Volunteer rate by activity,CA,*
Personal income category,"$100,000 to $124,999",2018,fv_020,0.030529026,26.63421595,0.014592232,0.04646582,771,Canvassing,Volunteer rate by activity,CA,*
Personal income category,"$125,000 and more",2018,fv_020,0.03019145,22.89474866,0.016643676,0.043739224,921,Canvassing,Volunteer rate by activity,CA,*
Family income category,"Less than $25,000",2018,fv_020,0.022473641,25.19203924,0.011377171,0.033570112,1737,Canvassing,Volunteer rate by activity,CA,*
Family income category,"$25,000 to $49,999",2018,fv_020,0.021808437,16.87592271,0.014595035,0.029021839,2999,Canvassing,Volunteer rate by activity,CA,*
Family income category,"$50,000 to $74,999",2018,fv_020,0.02726717,14.13839361,0.019711235,0.034823105,2710,Canvassing,Volunteer rate by activity,CA,
Family income category,"$75,000 to $99,999",2018,fv_020,0.028690212,20.33370483,0.017256207,0.040124216,2774,Canvassing,Volunteer rate by activity,CA,*
Family income category,"$100,000 to $124,999",2018,fv_020,0.034250719,20.9292582,0.020200871,0.048300567,1664,Canvassing,Volunteer rate by activity,CA,*
Family income category,"$125,000 and more",2018,fv_020,0.041614705,10.58280431,0.032983018,0.050246392,4178,Canvassing,Volunteer rate by activity,CA,
Frequency of religious attendance,At least once a week,2018,fv_020,0.062010588,12.93472285,0.046289918,0.077731259,2363,Canvassing,Volunteer rate by activity,CA,
Frequency of religious attendance,At least once a month,2018,fv_020,0.053714546,19.46465005,0.033222439,0.074206652,1200,Canvassing,Volunteer rate by activity,CA,*
Frequency of religious attendance,At least 3 times a year,2018,fv_020,0.024598974,21.73372235,0.014120472,0.035077476,1288,Canvassing,Volunteer rate by activity,CA,*
Frequency of religious attendance,Once or twice a year,2018,fv_020,0.028820279,20.7790192,0.017082895,0.040557663,2149,Canvassing,Volunteer rate by activity,CA,*
Frequency of religious attendance,Not at all,2018,fv_020,0.01922922,11.76945686,0.014793479,0.023664961,7785,Canvassing,Volunteer rate by activity,CA,
Immigration status,Native-born,2018,fv_020,0.031865959,8.015760419,0.026859625,0.036872293,12031,Canvassing,Volunteer rate by activity,CA,
Immigration status,Naturalized,2018,fv_020,0.024811241,15.74597714,0.017154108,0.032468374,2468,Canvassing,Volunteer rate by activity,CA,
Immigration status,Non-Canadian,2018,fv_020,0.014091116,60.59081342,-0.002642903,0.030825135,318,Canvassing,Volunteer rate by activity,CA,...
Immigration status,Unknown,2018,fv_020,0.045962148,23.73992156,0.02457624,0.067348055,1245,Canvassing,Volunteer rate by activity,CA,*
Age group,15 to 24 years,2018,fv_030,0.194601277,8.101553084,0.163701023,0.225501532,845,Fundraising,Volunteer rate by activity,CA,
Age group,25 to 34 years,2018,fv_030,0.140125614,6.596666542,0.122008453,0.158242776,1844,Fundraising,Volunteer rate by activity,CA,
Age group,35 to 44 years,2018,fv_030,0.227905671,4.827359428,0.206342489,0.249468854,2520,Fundraising,Volunteer rate by activity,CA,
Age group,45 to 54 years,2018,fv_030,0.171869153,5.659942453,0.152803221,0.190935085,2600,Fundraising,Volunteer rate by activity,CA,
Age group,55 to 64 years,2018,fv_030,0.139040452,5.503130045,0.124043637,0.154037267,3463,Fundraising,Volunteer rate by activity,CA,
Age group,65 to 74 years,2018,fv_030,0.133578931,6.113910188,0.11757211,0.149585753,2995,Fundraising,Volunteer rate by activity,CA,
Age group,75 years and over,2018,fv_030,0.077559875,9.033482374,0.063827666,0.091292083,1815,Fundraising,Volunteer rate by activity,CA,
Gender,Male gender,2018,fv_030,0.136596733,4.038296033,0.125785218,0.147408249,7209,Fundraising,Volunteer rate by activity,CA,
Gender,Female gender,2018,fv_030,0.184635731,3.240053633,0.172910645,0.196360817,8873,Fundraising,Volunteer rate by activity,CA,
Education,Less than High School,2018,fv_030,0.148465934,9.135830909,0.121881773,0.175050095,1563,Fundraising,Volunteer rate by activity,CA,
Education,Graduated from High school,2018,fv_030,0.117642452,6.555038921,0.102528173,0.132756731,3489,Fundraising,Volunteer rate by activity,CA,
Education,Post-secondary diploma,2018,fv_030,0.152092512,4.347101552,0.139133983,0.165051042,5123,Fundraising,Volunteer rate by activity,CA,
Education,University Diploma,2018,fv_030,0.198884839,3.84736557,0.183887534,0.213882144,4517,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),Married,2018,fv_030,0.180395619,2.907819159,0.170114474,0.190676764,8036,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),Living common-law,2018,fv_030,0.140884258,7.854069954,0.119196966,0.162571549,1486,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),Widowed,2018,fv_030,0.103010316,10.2869066,0.08224141,0.123779221,1417,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),Separated,2018,fv_030,0.149173231,13.37601384,0.110065223,0.188281239,513,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),Divorced,2018,fv_030,0.126883801,8.685201259,0.105284776,0.148482827,1374,Fundraising,Volunteer rate by activity,CA,
Marital status (Original),"Single, never married",2018,fv_030,0.151890788,5.874163422,0.134403376,0.1693782,3256,Fundraising,Volunteer rate by activity,CA,
Marital status,Married/common-law,2018,fv_030,0.172998066,2.801475043,0.163499106,0.182497027,9522,Fundraising,Volunteer rate by activity,CA,
Marital status,Widowed,2018,fv_030,0.103010316,10.2869066,0.08224141,0.123779221,1417,Fundraising,Volunteer rate by activity,CA,
Marital status,Separated/divorced,2018,fv_030,0.134200432,7.186113356,0.115298941,0.153101923,1887,Fundraising,Volunteer rate by activity,CA,
Marital status,"Single, never married",2018,fv_030,0.151890788,5.874163422,0.134403376,0.1693782,3256,Fundraising,Volunteer rate by activity,CA,
Labour force status,Employed,2018,fv_030,0.169448631,3.180302582,0.158886426,0.180010837,8562,Fundraising,Volunteer rate by activity,CA,
Labour force status,Unemployed,2018,fv_030,0.154572697,17.86077314,0.100462249,0.208683144,348,Fundraising,Volunteer rate by activity,CA,*
Labour force status,Not in labour force,2018,fv_030,0.13198019,4.872369931,0.119376518,0.144583862,5786,Fundraising,Volunteer rate by activity,CA,
Labour force status,Unable to determine,2018,fv_030,0.217714757,7.535426587,0.185560106,0.249869409,1386,Fundraising,Volunteer rate by activity,CA,
Personal income category,"Less than $25,000",2018,fv_030,0.158793621,4.52048298,0.144724532,0.17286271,4514,Fundraising,Volunteer rate by activity,CA,
Personal income category,"$25,000 to $49,999",2018,fv_030,0.127880882,4.795506561,0.115861332,0.139900432,4818,Fundraising,Volunteer rate by activity,CA,
Personal income category,"$50,000 to $74,999",2018,fv_030,0.173632855,4.998439093,0.15662246,0.190643251,3254,Fundraising,Volunteer rate by activity,CA,
Personal income category,"$75,000 to $99,999",2018,fv_030,0.199266614,5.806389803,0.176589446,0.221943782,1803,Fundraising,Volunteer rate by activity,CA,
Personal income category,"$100,000 to $124,999",2018,fv_030,0.253947781,8.000291235,0.214128051,0.293767511,771,Fundraising,Volunteer rate by activity,CA,
Personal income category,"$125,000 and more",2018,fv_030,0.201271364,7.828321129,0.170389841,0.232152887,922,Fundraising,Volunteer rate by activity,CA,
Family income category,"Less than $25,000",2018,fv_030,0.093057028,9.013756817,0.076616979,0.109497077,1736,Fundraising,Volunteer rate by activity,CA,
Family income category,"$25,000 to $49,999",2018,fv_030,0.105269072,7.435790421,0.089927282,0.120610862,3005,Fundraising,Volunteer rate by activity,CA,
Family income category,"$50,000 to $74,999",2018,fv_030,0.141513843,6.770531235,0.12273496,0.160292726,2712,Fundraising,Volunteer rate by activity,CA,
Family income category,"$75,000 to $99,999",2018,fv_030,0.16703871,6.313986967,0.146367357,0.187710063,2777,Fundraising,Volunteer rate by activity,CA,
Family income category,"$100,000 to $124,999",2018,fv_030,0.187223077,7.033049717,0.161415267,0.213030887,1666,Fundraising,Volunteer rate by activity,CA,
Family income category,"$125,000 and more",2018,fv_030,0.223621669,3.711030861,0.207356577,0.239886762,4186,Fundraising,Volunteer rate by activity,CA,
Frequency of religious attendance,At least once a week,2018,fv_030,0.234844105,5.562537375,0.209240525,0.260447685,2368,Fundraising,Volunteer rate by activity,CA,
Frequency of religious attendance,At least once a month,2018,fv_030,0.205916409,8.015813771,0.173565487,0.238267331,1202,Fundraising,Volunteer rate by activity,CA,
Frequency of religious attendance,At least 3 times a year,2018,fv_030,0.187852638,8.461590988,0.156698379,0.219006896,1290,Fundraising,Volunteer rate by activity,CA,
Frequency of religious attendance,Once or twice a year,2018,fv_030,0.167823808,6.705242483,0.145768346,0.189879269,2154,Fundraising,Volunteer rate by activity,CA,
Frequency of religious attendance,Not at all,2018,fv_030,0.121043187,4.015496223,0.111516812,0.130569562,7793,Fundraising,Volunteer rate by activity,CA,
Immigration status,Native-born,2018,fv_030,0.170395198,2.886207038,0.160756177,0.180034219,12047,Fundraising,Volunteer rate by activity,CA,
Immigration status,Naturalized,2018,fv_030,0.123519885,6.869116224,0.106890131,0.14014964,2474,Fundraising,Volunteer rate by activity,CA,
Immigration status,Non-Canadian,2018,fv_030,0.085443062,21.34108817,0.04970414,0.121181985,318,Fundraising,Volunteer rate by activity,CA,*
Immigration status,Unknown,2018,fv_030,0.227783226,7.790035249,0.193004854,0.262561599,1243,Fundraising,Volunteer rate by activity,CA,
Age group,15 to 24 years,2018,fv_040,0.081546406,15.18685825,0.057273551,0.105819261,844,Sit on committee or board,Volunteer rate by activity,CA,
Age group,25 to 34 years,2018,fv_040,0.112879181,8.227510853,0.094676708,0.131081655,1844,Sit on committee or board,Volunteer rate by activity,CA,
Age group,35 to 44 years,2018,fv_040,0.154140202,5.878726829,0.136380025,0.171900379,2518,Sit on committee or board,Volunteer rate by activity,CA,
Age group,45 to 54 years,2018,fv_040,0.140005177,5.808695582,0.12406582,0.155944535,2602,Sit on committee or board,Volunteer rate by activity,CA,
Age group,55 to 64 years,2018,fv_040,0.141988201,5.452528395,0.126814264,0.157162138,3465,Sit on committee or board,Volunteer rate by activity,CA,
Age group,65 to 74 years,2018,fv_040,0.163622165,5.425510277,0.146222904,0.181021427,2994,Sit on committee or board,Volunteer rate by activity,CA,
Age group,75 years and over,2018,fv_040,0.120101632,7.147454167,0.103276891,0.136926373,1817,Sit on committee or board,Volunteer rate by activity,CA,
Gender,Male gender,2018,fv_040,0.113428271,4.240238089,0.104001572,0.12285497,7213,Sit on committee or board,Volunteer rate by activity,CA,
Gender,Female gender,2018,fv_040,0.147523051,3.761845215,0.136646057,0.158400046,8871,Sit on committee or board,Volunteer rate by activity,CA,
Education,Less than High School,2018,fv_040,0.060717225,14.15173164,0.043876159,0.077558292,1562,Sit on committee or board,Volunteer rate by activity,CA,
Education,Graduated from High school,2018,fv_040,0.083272289,7.983448346,0.070242448,0.09630213,3491,Sit on committee or board,Volunteer rate by activity,CA,
