,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,All,,2018,gs1dax01/gs1datot,0.0143583910677208,11.9945143774942,0.0109829033034909,0.0177338788319507,-,Arts et culture,Allocation of support by cause,CA,
1,All,,2018,gs1dax02/gs1datot,0.0224665728018417,10.0178078912235,0.0180553639783889,0.0268777816252945,-,Sport et loisir,Allocation of support by cause,CA,
2,All,,2018,gs1dax03/gs1datot,0.0254554526483297,11.3723127519911,0.0197816044808351,0.0311293008158243,-,Éducation et recherche,Allocation of support by cause,CA,
3,All,,2018,gs1dax04/gs1datot,0.0155520219089746,19.1207836201641,0.009723738829771759,0.0213803049881775,-,Universités et collèges,Allocation of support by cause,CA,*
4,All,,2018,gs1dax05/gs1datot,0.114029957241837,4.249368776257358,0.104532847095388,0.12352706738828698,-,Santé,Allocation of support by cause,CA,
5,All,,2018,gs1dax06/gs1datot,0.055995656740834,9.70928655790248,0.045339766153946,0.06665154732772201,-,Hôpitaux,Allocation of support by cause,CA,
6,All,,2018,gs1dax07/gs1datot,0.10240165313156098,4.545883455549441,0.0932779035621643,0.11152540270095801,-,Services sociaux,Allocation of support by cause,CA,
7,All,,2018,gs1dax08/gs1datot,0.0271659900891742,9.06024773562031,0.022341918970492,0.0319900612078565,-,Environnement,Allocation of support by cause,CA,
8,All,,2018,gs1dax09/gs1datot,0.0125608194503233,20.0973565285308,0.00761310073852672,0.0175085381621198,-,Aménagement et logement,Allocation of support by cause,CA,*
9,All,,2018,gs1dax10/gs1datot,0.0119904373110832,12.7669531201793,0.00899009796363131,0.014990776658534998,-,"Droit, plaidoyer et politique",Allocation of support by cause,CA,
10,All,,2018,gs1dax11/gs1datot,0.0527970204119274,7.59440167841338,0.0449383139236981,0.0606557269001567,-,"Subventions, collecte de fonds",Allocation of support by cause,CA,
11,All,,2018,gs1dax12/gs1datot,0.0685448660725321,5.753464932315531,0.0608153466353994,0.0762743855096648,-,International,Allocation of support by cause,CA,
12,All,,2018,gs1dax13/gs1datot,0.455976049688276,2.9513132214669198,0.429600262733758,0.48235183664279296,-,Religion,Allocation of support by cause,CA,
13,All,,2018,gs1dax14/gs1datot,0.000789654520350721,19.247982461538104,0.000491754569808462,0.0010875544708929801,-,Entreprises et professionnels,Allocation of support by cause,CA,*
14,All,,2018,gs1dax15/gs1datot,0.0055859327048576,17.957423573977,0.00361991322270834,0.00755195218700685,-,Autre,Allocation of support by cause,CA,*
15,All,,2018,gs1dax01/gs1datot,0.0109913683678525,24.6398741283191,0.00568327761865322,0.0162994591170518,1013,Arts et culture,Allocation of support by cause,AB,*
16,All,,2018,gs1dax01/gs1datot,0.0148175266957359,22.206316471407398,0.00836840853424392,0.0212666448572279,3212,Arts et culture,Allocation of support by cause,AT,*
17,All,,2018,gs1dax01/gs1datot,0.0206771313355578,30.0036813401381,0.00851770960333412,0.0328365530677814,1532,Arts et culture,Allocation of support by cause,BC,*
18,All,,2018,gs1dax01/gs1datot,0.0146276792624711,20.4110600202638,0.00877588458063156,0.0204794739443106,3289,Arts et culture,Allocation of support by cause,ON,*
19,All,,2018,gs1dax01/gs1datot,0.008744353438625991,25.230061192322196,0.00442026967820085,0.0130684371990511,1599,Arts et culture,Allocation of support by cause,PR,*
20,All,,2018,gs1dax01/gs1datot,0.0152388299041162,31.861526513066007,0.00572257006368235,0.0247550897445501,1509,Arts et culture,Allocation of support by cause,QC,*
21,All,,2018,gs1dax02/gs1datot,0.0196144440016789,23.3467830570372,0.0106390992185007,0.0285897887848572,1013,Sport et loisir,Allocation of support by cause,AB,*
22,All,,2018,gs1dax02/gs1datot,0.021958045736578,10.668835488015,0.017366501267839,0.026549590205317,3212,Sport et loisir,Allocation of support by cause,AT,
23,All,,2018,gs1dax02/gs1datot,0.0280076797792983,33.5622883941096,0.00958398253562687,0.0464313770229698,1532,Sport et loisir,Allocation of support by cause,BC,...
24,All,,2018,gs1dax02/gs1datot,0.0168722720582029,10.9326557413498,0.0132569471489274,0.0204875969674784,3289,Sport et loisir,Allocation of support by cause,ON,
25,All,,2018,gs1dax02/gs1datot,0.0224804204522383,14.6384781375369,0.0160305877626759,0.0289302531418008,1599,Sport et loisir,Allocation of support by cause,PR,
26,All,,2018,gs1dax02/gs1datot,0.0432446325679391,26.279807147123407,0.0209704140303932,0.065518851105485,1509,Sport et loisir,Allocation of support by cause,QC,*
27,All,,2018,gs1dax03/gs1datot,0.0297528231984158,30.9291321044671,0.0117166662391032,0.0477889801577285,1013,Éducation et recherche,Allocation of support by cause,AB,*
28,All,,2018,gs1dax03/gs1datot,0.0217724150611035,30.338728641217603,0.00882592406919058,0.0347189060530163,3212,Éducation et recherche,Allocation of support by cause,AT,*
29,All,,2018,gs1dax03/gs1datot,0.0253879774139953,19.5430281628792,0.0156634601386009,0.0351124946893898,1532,Éducation et recherche,Allocation of support by cause,BC,*
30,All,,2018,gs1dax03/gs1datot,0.0231756411178568,20.331500845355198,0.0139403777083121,0.0324109045274015,3289,Éducation et recherche,Allocation of support by cause,ON,*
31,All,,2018,gs1dax03/gs1datot,0.0235675912798327,20.5135210900817,0.0140920614951946,0.0330431210644708,1599,Éducation et recherche,Allocation of support by cause,PR,*
32,All,,2018,gs1dax03/gs1datot,0.0310641010405635,31.492888971539504,0.011889806991796002,0.05023839508933099,1509,Éducation et recherche,Allocation of support by cause,QC,*
33,All,,2018,gs1dax04/gs1datot,0.00618352571949781,47.0997657700816,0.000475275396640661,0.011891776042355,1013,Universités et collèges,Allocation of support by cause,AB,...
34,All,,2018,gs1dax04/gs1datot,0.03983321018242399,28.591695765298294,0.0175111994350823,0.0621552209297657,3212,Universités et collèges,Allocation of support by cause,AT,*
35,All,,2018,gs1dax04/gs1datot,0.0103085487307153,29.232696107711398,0.00440226248391732,0.0162148349775133,1532,Universités et collèges,Allocation of support by cause,BC,*
36,All,,2018,gs1dax04/gs1datot,0.0196482817084427,33.3724243777098,0.00679658627454955,0.0324999771423359,3289,Universités et collèges,Allocation of support by cause,ON,...
37,All,,2018,gs1dax04/gs1datot,0.00915173120244966,42.19081365837801,0.0015839381430216401,0.0167195242618777,1599,Universités et collèges,Allocation of support by cause,PR,...
38,All,,2018,gs1dax04/gs1datot,0.014033605828841002,23.5505278680166,0.007555947886359779,0.0205112637713223,1509,Universités et collèges,Allocation of support by cause,QC,*
39,All,,2018,gs1dax05/gs1datot,0.0698874521637552,11.6906994815696,0.0538738956867513,0.0859010086407591,1013,Santé,Allocation of support by cause,AB,
40,All,,2018,gs1dax05/gs1datot,0.0835661295203182,6.7665285332302805,0.0724834622143801,0.0946487968262562,3212,Santé,Allocation of support by cause,AT,
41,All,,2018,gs1dax05/gs1datot,0.114392211430164,10.1690745346538,0.09159267706999902,0.13719174579032903,1532,Santé,Allocation of support by cause,BC,
42,All,,2018,gs1dax05/gs1datot,0.128628943052945,7.211990048771349,0.110446932275075,0.146810953830814,3289,Santé,Allocation of support by cause,ON,
43,All,,2018,gs1dax05/gs1datot,0.096052037665176,9.761945011868187,0.0776743430505119,0.11442973227984,1599,Santé,Allocation of support by cause,PR,
44,All,,2018,gs1dax05/gs1datot,0.166051324424513,9.5891989660009,0.13484283380428697,0.197259815044739,1509,Santé,Allocation of support by cause,QC,
45,All,,2018,gs1dax06/gs1datot,0.026134287060232995,22.5235752048089,0.0145972024922705,0.0376713716281955,1013,Hôpitaux,Allocation of support by cause,AB,*
46,All,,2018,gs1dax06/gs1datot,0.0481874684976501,10.1765035215266,0.0385761982301901,0.05779873876511,3212,Hôpitaux,Allocation of support by cause,AT,
47,All,,2018,gs1dax06/gs1datot,0.0489572672020514,24.346484789762396,0.025595724202626,0.0723188102014768,1532,Hôpitaux,Allocation of support by cause,BC,*
48,All,,2018,gs1dax06/gs1datot,0.0707428729452204,15.9585408547979,0.0486158001924374,0.0928699456980034,3289,Hôpitaux,Allocation of support by cause,ON,
49,All,,2018,gs1dax06/gs1datot,0.04490237141470999,26.638035673281703,0.0214590271570021,0.068345715672418,1599,Hôpitaux,Allocation of support by cause,PR,*
50,All,,2018,gs1dax06/gs1datot,0.0727156536405124,11.4595478252439,0.0563834989466706,0.0890478083343542,1509,Hôpitaux,Allocation of support by cause,QC,
51,All,,2018,gs1dax07/gs1datot,0.0743822708234236,13.901111540648401,0.0541163168520092,0.0946482247948379,1013,Services sociaux,Allocation of support by cause,AB,
52,All,,2018,gs1dax07/gs1datot,0.113543661504878,8.229665145205791,0.09522924229731598,0.13185808071243998,3212,Services sociaux,Allocation of support by cause,AT,
53,All,,2018,gs1dax07/gs1datot,0.110195944761144,8.298243480994941,0.0922733916054898,0.12811849791679902,1532,Services sociaux,Allocation of support by cause,BC,
54,All,,2018,gs1dax07/gs1datot,0.100691946064423,7.754204313302269,0.0853888231873085,0.11599506894153802,3289,Services sociaux,Allocation of support by cause,ON,
55,All,,2018,gs1dax07/gs1datot,0.0869987996090984,11.477392931207499,0.0674281788403785,0.10656942037781801,1599,Services sociaux,Allocation of support by cause,PR,
56,All,,2018,gs1dax07/gs1datot,0.15579410021623497,12.2558022946663,0.118370906746691,0.19321729368577897,1509,Services sociaux,Allocation of support by cause,QC,
57,All,,2018,gs1dax08/gs1datot,0.0251694968677281,29.4360884579401,0.0106482895929129,0.0396907041425433,1013,Environnement,Allocation of support by cause,AB,*
58,All,,2018,gs1dax08/gs1datot,0.0456110808818756,17.2496805660325,0.030190543363594998,0.0610316184001562,3212,Environnement,Allocation of support by cause,AT,*
59,All,,2018,gs1dax08/gs1datot,0.037482713832102006,19.483158871061303,0.0231694561436202,0.0517959715205838,1532,Environnement,Allocation of support by cause,BC,*
60,All,,2018,gs1dax08/gs1datot,0.0230559121312525,14.7373009221703,0.0163963089690497,0.0297155152934553,3289,Environnement,Allocation of support by cause,ON,
61,All,,2018,gs1dax08/gs1datot,0.0191198914220156,16.5874790218798,0.0129038500072134,0.0253359328368177,1599,Environnement,Allocation of support by cause,PR,*
62,All,,2018,gs1dax08/gs1datot,0.0296951550908238,19.031092117125198,0.0186187864789068,0.0407715237027407,1509,Environnement,Allocation of support by cause,QC,*
63,All,,2018,gs1dax09/gs1datot,0.0269320856717925,43.8158606884747,0.0038034814017645704,0.0500606899418205,1013,Aménagement et logement,Allocation of support by cause,AB,...
64,All,,2018,gs1dax09/gs1datot,0.010564192781298,28.174956846071094,0.004730444735514871,0.0163979408270812,3212,Aménagement et logement,Allocation of support by cause,AT,*
65,All,,2018,gs1dax09/gs1datot,0.00377523878156346,28.193718290646906,0.0016890919494338698,0.00586138561369305,1532,Aménagement et logement,Allocation of support by cause,BC,*
66,All,,2018,gs1dax09/gs1datot,0.01090162825641,26.5616767592632,0.00522624823719632,0.0165770082756237,3289,Aménagement et logement,Allocation of support by cause,ON,*
67,All,,2018,gs1dax09/gs1datot,0.0148211365626395,28.524563230172106,0.006535066462249,0.02310720666303,1599,Aménagement et logement,Allocation of support by cause,PR,*
68,All,,2018,gs1dax09/gs1datot,0.004966566205904271,26.2422739300256,0.00241206692529837,0.00752106548651018,1509,Aménagement et logement,Allocation of support by cause,QC,*
69,All,,2018,gs1dax10/gs1datot,0.00952030575451925,24.6982913758758,0.00491173884352797,0.0141288726655105,1013,"Droit, plaidoyer et politique",Allocation of support by cause,AB,*
70,All,,2018,gs1dax10/gs1datot,0.0115657756139395,14.9212290031868,0.008183356271743521,0.0149481949561356,3212,"Droit, plaidoyer et politique",Allocation of support by cause,AT,
71,All,,2018,gs1dax10/gs1datot,0.0172380974033691,23.785084672769297,0.00920205678601771,0.0252741380207205,1532,"Droit, plaidoyer et politique",Allocation of support by cause,BC,*
72,All,,2018,gs1dax10/gs1datot,0.0119374163595885,22.906771666055697,0.00657794049472294,0.0172968922244541,3289,"Droit, plaidoyer et politique",Allocation of support by cause,ON,*
73,All,,2018,gs1dax10/gs1datot,0.0104631172501102,38.679959615081,0.00253088913677202,0.0183953453634484,1599,"Droit, plaidoyer et politique",Allocation of support by cause,PR,...
74,All,,2018,gs1dax10/gs1datot,0.0109964225632771,29.138983947143,0.004716216186935829,0.0172766289396183,1509,"Droit, plaidoyer et politique",Allocation of support by cause,QC,*
75,All,,2018,gs1dax11/gs1datot,0.0599833031955763,23.575817095229702,0.0322663669659729,0.0877002394251797,1013,"Subventions, collecte de fonds",Allocation of support by cause,AB,*
76,All,,2018,gs1dax11/gs1datot,0.0360056409700063,13.489004895701699,0.0264864826505695,0.0455247992894431,3212,"Subventions, collecte de fonds",Allocation of support by cause,AT,
77,All,,2018,gs1dax11/gs1datot,0.0425696359884698,30.650813845393,0.0169961437483109,0.0681431282286287,1532,"Subventions, collecte de fonds",Allocation of support by cause,BC,*
78,All,,2018,gs1dax11/gs1datot,0.0543977444602715,10.2972128980176,0.0434191011438901,0.065376387776653,3289,"Subventions, collecte de fonds",Allocation of support by cause,ON,
79,All,,2018,gs1dax11/gs1datot,0.0415640753953768,21.3463529546942,0.0241744630364018,0.0589536877543519,1599,"Subventions, collecte de fonds",Allocation of support by cause,PR,*
80,All,,2018,gs1dax11/gs1datot,0.067151284545094,16.5595944306829,0.0453565235000055,0.0889460455901825,1509,"Subventions, collecte de fonds",Allocation of support by cause,QC,*
81,All,,2018,gs1dax12/gs1datot,0.0655504156636688,13.742577348590302,0.0478944396155253,0.0832063917118122,1013,International,Allocation of support by cause,AB,
82,All,,2018,gs1dax12/gs1datot,0.0384034807952421,10.845634453155801,0.0302400325603694,0.0465669290301147,3212,International,Allocation of support by cause,AT,
83,All,,2018,gs1dax12/gs1datot,0.0747090615877097,12.2529063085285,0.0567674898865251,0.0926506332888944,1532,International,Allocation of support by cause,BC,
84,All,,2018,gs1dax12/gs1datot,0.0759895792954628,10.083404443277098,0.0609716754924319,0.0910074830984937,3289,International,Allocation of support by cause,ON,
85,All,,2018,gs1dax12/gs1datot,0.0539830476949331,11.6282834726431,0.0416797622210927,0.0662863331687734,1599,International,Allocation of support by cause,PR,
86,All,,2018,gs1dax12/gs1datot,0.0652665411441739,17.230498839993,0.04322527496014399,0.0873078073282039,1509,International,Allocation of support by cause,QC,*
87,All,,2018,gs1dax13/gs1datot,0.5636570819018001,6.36576999147129,0.493331391962566,0.6339827718410329,1013,Religion,Allocation of support by cause,AB,
88,All,,2018,gs1dax13/gs1datot,0.501997718864651,4.32243096145878,0.45946943088727793,0.544526006842023,3212,Religion,Allocation of support by cause,AT,
89,All,,2018,gs1dax13/gs1datot,0.44719342303099496,6.685648096496501,0.38859485380716396,0.505791992254826,1532,Religion,Allocation of support by cause,BC,
90,All,,2018,gs1dax13/gs1datot,0.421168943315779,5.3335327993297,0.377141912222291,0.46519597440926597,3289,Religion,Allocation of support by cause,ON,
91,All,,2018,gs1dax13/gs1datot,0.54739832451943,4.776990331076321,0.496146902825493,0.598649746213368,1599,Religion,Allocation of support by cause,PR,
92,All,,2018,gs1dax13/gs1datot,0.311454488510448,11.038826448590601,0.24406912266720399,0.378839854353692,1509,Religion,Allocation of support by cause,QC,
93,All,,2018,gs1dax14/gs1datot,0.000504133821273037,76.5832282685068,-0.000252572905851353,0.0012608405483974302,1013,Entreprises et professionnels,Allocation of support by cause,AB,...
94,All,,2018,gs1dax14/gs1datot,0.000821508976058308,31.9656141648115,0.000306821670084581,0.00133619628203203,3212,Entreprises et professionnels,Allocation of support by cause,AT,*
95,All,,2018,gs1dax14/gs1datot,0.00128159505122,37.611093951844,0.000336849450619896,0.0022263406518201103,1532,Entreprises et professionnels,Allocation of support by cause,BC,...
96,All,,2018,gs1dax14/gs1datot,0.000776167816609973,33.0638182665338,0.000273180855281858,0.00127915477793809,3289,Entreprises et professionnels,Allocation of support by cause,ON,*
97,All,,2018,gs1dax14/gs1datot,0.00104604854219971,45.77256801354421,0.0001076113568713,0.00198448572752812,1599,Entreprises et professionnels,Allocation of support by cause,PR,...
