,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_020,0.6635097069165098,1.385054290306736,0.6454976973594865,0.6815217164735331,7177,Montant déjà donné suffisant,Arts and recreation donors barriers to giving,CA,
1,Arts and recreation donor status,Arts and recreation donors,2018,ng_020,0.7156034016721399,2.0361240581555395,0.6870456033140743,0.7441612000302055,2294,Montant déjà donné suffisant,Arts and recreation donors barriers to giving,CA,
2,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_030,0.6824457298745995,1.1912701127324774,0.6665116695214722,0.6983797902277268,7199,Pas les moyens de donner plus,Arts and recreation donors barriers to giving,CA,
3,Arts and recreation donor status,Arts and recreation donors,2018,ng_030,0.6720815075296287,2.4916992959512494,0.6392594602785164,0.704903554780741,2283,Pas les moyens de donner plus,Arts and recreation donors barriers to giving,CA,
4,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_040,0.2504919518944533,3.241985202655663,0.2345752568248821,0.2664086469640245,7051,Aucune sollicitation,Arts and recreation donors barriers to giving,CA,
5,Arts and recreation donor status,Arts and recreation donors,2018,ng_040,0.2518069491750819,6.203228540040374,0.2211919970897621,0.2824219012604017,2253,Aucune sollicitation,Arts and recreation donors barriers to giving,CA,
6,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_050,0.1178886883716405,5.451352483708761,0.1052929250605444,0.1304844516827367,7019,Ne savent pas où donner,Arts and recreation donors barriers to giving,CA,
7,Arts and recreation donor status,Arts and recreation donors,2018,ng_050,0.0837924312424524,11.899798979966777,0.0642493738358908,0.1033354886490139,2249,Ne savent pas où donner,Arts and recreation donors barriers to giving,CA,
8,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_060,0.1203123992209529,5.945409245696476,0.1062926504081376,0.1343321480337682,7022,Difficulté à trouver une cause,Arts and recreation donors barriers to giving,CA,
9,Arts and recreation donor status,Arts and recreation donors,2018,ng_060,0.0988808743687851,10.603055749710649,0.0783318392682234,0.1194299094693467,2253,Difficulté à trouver une cause,Arts and recreation donors barriers to giving,CA,
10,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_070,0.2649560117886847,3.055509635438004,0.2490886206801215,0.2808234028972478,7000,Don de temps,Arts and recreation donors barriers to giving,CA,
11,Arts and recreation donor status,Arts and recreation donors,2018,ng_070,0.2802844060263971,5.712162463254317,0.2489047934072036,0.3116640186455905,2237,Don de temps,Arts and recreation donors barriers to giving,CA,
12,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_080,0.3654463075961272,2.4034914933016447,0.3482310209421826,0.3826615942500717,7027,Don direct,Arts and recreation donors barriers to giving,CA,
13,Arts and recreation donor status,Arts and recreation donors,2018,ng_080,0.4235550261512942,4.108470526049556,0.3894484513935116,0.4576616009090768,2250,Don direct,Arts and recreation donors barriers to giving,CA,
14,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_090,0.1671823803524077,4.399115544659189,0.15276773490902,0.1815970257957953,7007,Crédit d'impôt insuffisant,Arts and recreation donors barriers to giving,CA,
15,Arts and recreation donor status,Arts and recreation donors,2018,ng_090,0.1840300894980815,7.254820644414576,0.1578625066097042,0.2101976723864589,2254,Crédit d'impôt insuffisant,Arts and recreation donors barriers to giving,CA,
16,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_110,0.2296296679653111,3.3250591894400405,0.2146647110972903,0.2445946248333319,7017,Utilisation non efficiente de l'argent,Arts and recreation donors barriers to giving,CA,
17,Arts and recreation donor status,Arts and recreation donors,2018,ng_110,0.2560672285202531,5.962014029026573,0.2261449207470742,0.2859895362934319,2254,Utilisation non efficiente de l'argent,Arts and recreation donors barriers to giving,CA,
18,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_130,0.2107083360535868,3.381962009261938,0.1967414839861537,0.2246751881210199,7016,N'aimaient pas les méthodes de sollicitation,Arts and recreation donors barriers to giving,CA,
19,Arts and recreation donor status,Arts and recreation donors,2018,ng_130,0.2570633099982036,5.652331346813855,0.2285848960030755,0.2855417239933317,2247,N'aimaient pas les méthodes de sollicitation,Arts and recreation donors barriers to giving,CA,
20,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_020,0.6520136165554822,1.5380925991812024,0.6323579743026465,0.6716692588083178,6119,Montant déjà donné suffisant,Arts and recreation donors barriers to giving,CA (without QC),
21,Arts and recreation donor status,Arts and recreation donors,2018,ng_020,0.6860058137335274,2.215882277065228,0.6562122419649898,0.715799385502065,2053,Montant déjà donné suffisant,Arts and recreation donors barriers to giving,CA (without QC),
22,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_030,0.7064416142380252,1.2340968128475212,0.6893543082730093,0.7235289202030412,6141,Pas les moyens de donner plus,Arts and recreation donors barriers to giving,CA (without QC),
23,Arts and recreation donor status,Arts and recreation donors,2018,ng_030,0.6854031805734077,2.3972706646953545,0.6531990723520879,0.7176072887947275,2044,Pas les moyens de donner plus,Arts and recreation donors barriers to giving,CA (without QC),
24,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_040,0.2665832920549547,3.347976944149489,0.2490903250745235,0.2840762590353858,6021,Aucune sollicitation,Arts and recreation donors barriers to giving,CA (without QC),
25,Arts and recreation donor status,Arts and recreation donors,2018,ng_040,0.2690106957619527,5.952704497739254,0.2376249853917415,0.3003964061321639,2017,Aucune sollicitation,Arts and recreation donors barriers to giving,CA (without QC),
26,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_050,0.11140969975059,6.019410855668017,0.0982657744580737,0.1245536250431064,5992,Ne savent pas où donner,Arts and recreation donors barriers to giving,CA (without QC),
27,Arts and recreation donor status,Arts and recreation donors,2018,ng_050,0.0855538052343547,12.28501584296162,0.0649539986540882,0.1061536118146212,2014,Ne savent pas où donner,Arts and recreation donors barriers to giving,CA (without QC),
28,Arts and recreation donor status,Non-arts and recreation donors,2018,ng_060,0.1240506534305974,6.541443308050388,0.1081461274772043,0.1399551793839905,5996,Difficulté à trouver une cause,Arts and recreation donors barriers to giving,CA (without QC),
