Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad03,0.19732233482273656,2.8618768233571417,0.18625417875794462,0.2083904908875285,9099,Mail request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad03,0.27753865654493987,4.454027120883402,0.25331027356978725,0.3017670395200925,3055,Mail request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad04,0.06961663032817088,4.980861849168843,0.06282043917791505,0.0764128214784267,9099,Telephone request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad04,0.1408585423616145,6.70861370286099,0.12233755796524055,0.15937952675798842,3055,Telephone request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad05,0.05521530527353373,6.5406373430235085,0.04813702690441087,0.06229358364265659,9099,TV or radio request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad05,0.11198948350799312,7.751298803542148,0.0949757427345309,0.12900322428145536,3055,TV or radio request,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad06,0.1593555248936531,3.7312756353883767,0.14770159104831312,0.17100945873899306,9099,Online,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad06,0.25974545253181025,5.241550672591309,0.2330611514232705,0.28642975364035,3055,Online,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad07,0.22981900040239017,2.697925754368859,0.21766654555013645,0.2419714552546439,9099,On own,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad07,0.31782560516710934,4.385798868812622,0.2905052912729299,0.3451459190612888,3055,On own,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad08,0.1758834507252616,3.5881836054349456,0.16351407657814052,0.18825282487238268,9099,Charity event,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad08,0.3707640760214705,3.8157010717721,0.3430359778490493,0.39849217419389166,3055,Charity event,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad09,0.22436248044464047,2.6284379882004503,0.21280412464818288,0.23592083624109805,9099,In memoriam,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad09,0.356335381829033,3.8467256907562426,0.329469675932734,0.383201087725332,3055,In memoriam,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad10,0.19170334327107208,3.107380214871636,0.18002793236372622,0.20337875417841794,9099,At work,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad10,0.3499956002386851,3.8534174940179793,0.3235619742634251,0.3764292262139451,3055,At work,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad11,0.1980650148564625,3.159014484061435,0.18580171128762293,0.21032831842530206,9099,Door-to-door canvassing,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad11,0.3490711261455181,4.018809631728671,0.32157576347186856,0.37656648881916766,3055,Door-to-door canvassing,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad12,0.4272566371714352,1.763163509389107,0.4124917715729133,0.4420215027699571,9099,Public place,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad12,0.6530175778149991,2.090137229221095,0.6262661009144501,0.6797690547155482,3055,Public place,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad13,0.33843549240006543,2.285793572933199,0.3232733350151262,0.3535976497850047,9099,Place of worship,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad13,0.3776691890889417,3.892648024167648,0.3488551073993408,0.4064832707785426,3055,Place of worship,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad14,0.25975023913123096,2.4397949784880786,0.2473292157244132,0.27217126253804874,9099,Sponsoring someone,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad14,0.42686287758831054,3.721631794886471,0.39572637117656395,0.45799938400005713,3055,Sponsoring someone,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad17,0.07143145900391978,5.224571290273118,0.06411689791445575,0.07874602009338381,9099,Any other method,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad17,0.08712612928510455,8.610114085949396,0.07242314756577471,0.10182911100443438,3055,Any other method,Arts and recreation donors donation rates by method,CA,
Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad03,0.19700600898309473,3.190916282140139,0.18468509362479135,0.2093269243413981,7889,Mail request,Arts and recreation donors donation rates by method,CA (without QC),
Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad03,0.29986536686448534,4.501420457738631,0.27340937910776825,0.32632135462120243,2756,Mail request,Arts and recreation donors donation rates by method,CA (without QC),
