,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad03,0.1973223348227365,2.8618768233571417,0.1862541787579446,0.2083904908875285,9099,Demande par lettre,Arts and recreation donors donation rates by method,CA,
1,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad03,0.2775386565449398,4.454027120883402,0.2533102735697872,0.3017670395200925,3055,Demande par lettre,Arts and recreation donors donation rates by method,CA,
2,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad04,0.0696166303281708,4.980861849168843,0.062820439177915,0.0764128214784267,9099,Demande au téléphone,Arts and recreation donors donation rates by method,CA,
3,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad04,0.1408585423616145,6.70861370286099,0.1223375579652405,0.1593795267579884,3055,Demande au téléphone,Arts and recreation donors donation rates by method,CA,
4,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad05,0.0552153052735337,6.5406373430235085,0.0481370269044108,0.0622935836426565,9099,Demande à la télé ou la radio,Arts and recreation donors donation rates by method,CA,
5,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad05,0.1119894835079931,7.751298803542148,0.0949757427345309,0.1290032242814553,3055,Demande à la télé ou la radio,Arts and recreation donors donation rates by method,CA,
6,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad06,0.1593555248936531,3.7312756353883767,0.1477015910483131,0.171009458738993,9099,En ligne,Arts and recreation donors donation rates by method,CA,
7,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad06,0.2597454525318102,5.241550672591309,0.2330611514232705,0.28642975364035,3055,En ligne,Arts and recreation donors donation rates by method,CA,
8,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad07,0.2298190004023901,2.697925754368859,0.2176665455501364,0.2419714552546439,9099,Initiative personnelle,Arts and recreation donors donation rates by method,CA,
9,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad07,0.3178256051671093,4.385798868812622,0.2905052912729299,0.3451459190612888,3055,Initiative personnelle,Arts and recreation donors donation rates by method,CA,
10,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad08,0.1758834507252616,3.5881836054349456,0.1635140765781405,0.1882528248723826,9099,Activité caritative,Arts and recreation donors donation rates by method,CA,
11,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad08,0.3707640760214705,3.8157010717721,0.3430359778490493,0.3984921741938916,3055,Activité caritative,Arts and recreation donors donation rates by method,CA,
12,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad09,0.2243624804446404,2.6284379882004503,0.2128041246481828,0.235920836241098,9099,À la mémoire,Arts and recreation donors donation rates by method,CA,
13,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad09,0.356335381829033,3.8467256907562426,0.329469675932734,0.383201087725332,3055,À la mémoire,Arts and recreation donors donation rates by method,CA,
14,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad10,0.191703343271072,3.107380214871636,0.1800279323637262,0.2033787541784179,9099,Au travail,Arts and recreation donors donation rates by method,CA,
15,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad10,0.3499956002386851,3.8534174940179793,0.3235619742634251,0.3764292262139451,3055,Au travail,Arts and recreation donors donation rates by method,CA,
16,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad11,0.1980650148564625,3.159014484061435,0.1858017112876229,0.210328318425302,9099,Porte-à-porte,Arts and recreation donors donation rates by method,CA,
17,Arts and recreation donor status,Arts and recreation donors,2018,flag_fg1dad11,0.3490711261455181,4.018809631728671,0.3215757634718685,0.3765664888191676,3055,Porte-à-porte,Arts and recreation donors donation rates by method,CA,
18,Arts and recreation donor status,Non-arts and recreation donors,2018,flag_fg1dad12,0.4272566371714352,1.763163509389107,0.4124917715729133,0.4420215027699571,9099,Lieu public,Arts and recreation donors donation rates by method,CA,
