Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax01,0,NA,0,0,13094,Arts & culture,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax01,0.21938596066843277,5.250507581182129,0.19680937759205508,0.24196254374481047,3055,Arts & culture,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax02,0,NA,0,0,13094,Sports & Recreation,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax02,0.8189340439059952,1.3786818506877612,0.7968050802747937,0.8410630075371968,3055,Sports & Recreation,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax03,0.09571694331270826,3.6336032370686695,0.08890023963029763,0.1025336469951189,13094,Education & research,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax03,0.2270915931278421,5.6032867191518685,0.2021518489769506,0.2520313372787336,3055,Education & research,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax04,0.014260344461785007,8.821253520256507,0.01179482513695528,0.016725863786614732,13094,Universities & colleges,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax04,0.030850026181654066,12.881851347936719,0.023061022462555564,0.03863902990075257,3055,Universities & colleges,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax05,0.2956863012966598,1.863193055797133,0.2848884547131732,0.3064841478801464,13094,Health,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax05,0.5723262373243422,2.730875426327198,0.5416929477444837,0.6029595269042006,3055,Health,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax06,0.1576925842581132,2.8562121250059045,0.14886483843783682,0.16652033007838957,13094,Hospitals,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax06,0.25527152839038325,4.9726653266708265,0.23039213995236754,0.280150916828399,3055,Hospitals,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax07,0.28827969476515813,2.073962757662393,0.2765614356205054,0.2999979539098109,13094,Social services,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax07,0.5527635261462399,2.6893941623482895,0.5236267211443231,0.5819003311481568,3055,Social services,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax08,0.06234344166998331,4.561092569098825,0.056770201594212456,0.06791668174575417,13094,Environment,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax08,0.14283988201962325,7.301606368054767,0.12239823004021079,0.1632815339990357,3055,Environment,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax09,0.018382758688900127,10.2990601143309,0.014672054193856207,0.022093463183944045,13094,Development & housing,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax09,0.04274289696767298,12.148246024739146,0.032565759906193065,0.05292003402915289,3055,Development & housing,Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax10,0.024840152097259323,7.380751831574159,0.02124677376510957,0.028433530429409076,13094,"Law, advocacy & politics",Arts and recreation donor donation rates to other causes,CA,
Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax10,0.06737123324488162,9.495955837523132,0.05483228024530713,0.0799101862444561,3055,"Law, advocacy & politics",Arts and recreation donor donation rates to other causes,CA,
