,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax01,0.0,,0.0,0.0,13094,Arts et culture,Arts and recreation donor donation rates to other causes,CA,
1,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax01,0.2193859606684327,5.250507581182129,0.196809377592055,0.2419625437448104,3055,Arts et culture,Arts and recreation donor donation rates to other causes,CA,
2,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax02,0.0,,0.0,0.0,13094,Sport et loisir,Arts and recreation donor donation rates to other causes,CA,
3,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax02,0.8189340439059952,1.3786818506877612,0.7968050802747937,0.8410630075371968,3055,Sport et loisir,Arts and recreation donor donation rates to other causes,CA,
4,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax03,0.0957169433127082,3.6336032370686695,0.0889002396302976,0.1025336469951189,13094,Éducation et recherche,Arts and recreation donor donation rates to other causes,CA,
5,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax03,0.2270915931278421,5.6032867191518685,0.2021518489769506,0.2520313372787336,3055,Éducation et recherche,Arts and recreation donor donation rates to other causes,CA,
6,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax04,0.014260344461785,8.821253520256507,0.0117948251369552,0.0167258637866147,13094,Universités et collèges,Arts and recreation donor donation rates to other causes,CA,
7,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax04,0.030850026181654,12.88185134793672,0.0230610224625555,0.0386390299007525,3055,Universités et collèges,Arts and recreation donor donation rates to other causes,CA,
8,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax05,0.2956863012966598,1.863193055797133,0.2848884547131732,0.3064841478801464,13094,Santé,Arts and recreation donor donation rates to other causes,CA,
9,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax05,0.5723262373243422,2.730875426327198,0.5416929477444837,0.6029595269042006,3055,Santé,Arts and recreation donor donation rates to other causes,CA,
10,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax06,0.1576925842581132,2.8562121250059045,0.1488648384378368,0.1665203300783895,13094,Hôpitaux,Arts and recreation donor donation rates to other causes,CA,
11,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax06,0.2552715283903832,4.9726653266708265,0.2303921399523675,0.280150916828399,3055,Hôpitaux,Arts and recreation donor donation rates to other causes,CA,
12,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax07,0.2882796947651581,2.073962757662393,0.2765614356205054,0.2999979539098109,13094,Services sociaux,Arts and recreation donor donation rates to other causes,CA,
13,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax07,0.5527635261462399,2.689394162348289,0.5236267211443231,0.5819003311481568,3055,Services sociaux,Arts and recreation donor donation rates to other causes,CA,
14,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax08,0.0623434416699833,4.561092569098825,0.0567702015942124,0.0679166817457541,13094,Environnement,Arts and recreation donor donation rates to other causes,CA,
15,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax08,0.1428398820196232,7.301606368054767,0.1223982300402107,0.1632815339990357,3055,Environnement,Arts and recreation donor donation rates to other causes,CA,
16,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax09,0.0183827586889001,10.2990601143309,0.0146720541938562,0.022093463183944,13094,Aménagement et logement,Arts and recreation donor donation rates to other causes,CA,
17,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax09,0.0427428969676729,12.148246024739146,0.032565759906193,0.0529200340291528,3055,Aménagement et logement,Arts and recreation donor donation rates to other causes,CA,
18,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax10,0.0248401520972593,7.380751831574159,0.0212467737651095,0.028433530429409,13094,"Droit, plaidoyer et politique",Arts and recreation donor donation rates to other causes,CA,
19,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax10,0.0673712332448816,9.495955837523132,0.0548322802453071,0.0799101862444561,3055,"Droit, plaidoyer et politique",Arts and recreation donor donation rates to other causes,CA,
20,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax11,0.0984156462445565,3.912903462999356,0.0908680028459522,0.1059632896431608,13094,"Subventions, collecte de fonds",Arts and recreation donor donation rates to other causes,CA,
21,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax11,0.1837707906696498,5.847217701483592,0.162710040396693,0.2048315409426065,3055,"Subventions, collecte de fonds",Arts and recreation donor donation rates to other causes,CA,
22,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax12,0.0765613722330488,4.638443964378304,0.069601037688377,0.0835217067777205,13094,International,Arts and recreation donor donation rates to other causes,CA,
23,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax12,0.1268114105267959,6.968843924239046,0.1094906418214666,0.1441321792321253,3055,International,Arts and recreation donor donation rates to other causes,CA,
24,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax13,0.2237361355923586,2.4590003977735053,0.2129530557078317,0.2345192154768855,13094,Religion,Arts and recreation donor donation rates to other causes,CA,
25,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax13,0.3880455375971287,3.760039823366655,0.3594483562636619,0.4166427189305954,3055,Religion,Arts and recreation donor donation rates to other causes,CA,
26,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax14,0.003548726098373,17.735832629039294,0.0023151323686737,0.0047823198280724,13094,Entreprises et professionnels,Arts and recreation donor donation rates to other causes,CA,*
27,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax14,0.0070621919097626,32.2248451155317,0.0026017442798627,0.0115226395396625,3055,Entreprises et professionnels,Arts and recreation donor donation rates to other causes,CA,*
28,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax15,0.0197705179511861,9.574399590814409,0.0160604856811047,0.0234805502212675,13094,Autre,Arts and recreation donor donation rates to other causes,CA,
29,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax15,0.0406277494751065,15.357904385507757,0.0283984151961168,0.0528570837540961,3055,Autre,Arts and recreation donor donation rates to other causes,CA,
30,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax01,0.0,,0.0,0.0,11380,Arts et culture,Arts and recreation donor donation rates to other causes,CA (without QC),
31,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax01,0.2452361892637428,5.366653616673655,0.2194411486941663,0.2710312298333192,2756,Arts et culture,Arts and recreation donor donation rates to other causes,CA (without QC),
32,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax02,0.0,,0.0,0.0,11380,Sport et loisir,Arts and recreation donor donation rates to other causes,CA (without QC),
33,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax02,0.80183460936703,1.614054942242175,0.7764686552444048,0.8272005634896552,2756,Sport et loisir,Arts and recreation donor donation rates to other causes,CA (without QC),
34,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax03,0.1001677020125808,3.845469399889045,0.092618080815438,0.1077173232097235,11380,Éducation et recherche,Arts and recreation donor donation rates to other causes,CA (without QC),
35,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax03,0.2420212173561767,5.316990663300931,0.2167999195730892,0.2672425151392642,2756,Éducation et recherche,Arts and recreation donor donation rates to other causes,CA (without QC),
36,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax04,0.0124573505838086,10.492539738143089,0.0098954964371059,0.0150192047305112,11380,Universités et collèges,Arts and recreation donor donation rates to other causes,CA (without QC),
37,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax04,0.0346030871621092,13.210575180548568,0.0256435687834784,0.0435626055407401,2756,Universités et collèges,Arts and recreation donor donation rates to other causes,CA (without QC),
38,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax05,0.2949702683689512,2.0608110353761044,0.2830560788094164,0.3068844579284859,11380,Santé,Arts and recreation donor donation rates to other causes,CA (without QC),
39,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax05,0.5908763881038679,2.648842190847274,0.5602002409904823,0.6215525352172535,2756,Santé,Arts and recreation donor donation rates to other causes,CA (without QC),
40,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax06,0.136700818175769,3.481493891036819,0.1273728975394273,0.1460287388121108,11380,Hôpitaux,Arts and recreation donor donation rates to other causes,CA (without QC),
41,Arts and recreation donor status,Arts and recreation donor,2018,flag_gs1dax06,0.2458049019969441,5.274169386869055,0.2203956017979868,0.2712142021959014,2756,Hôpitaux,Arts and recreation donor donation rates to other causes,CA (without QC),
42,Arts and recreation donor status,Non-arts and recreation donor,2018,flag_gs1dax07,0.283632583433577,2.2547477503505378,0.2710982231429309,0.2961669437242232,11380,Services sociaux,Arts and recreation donor donation rates to other causes,CA (without QC),
