,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_010,0.681366783,1.346483981,0.663385104,0.699348462,7559,Touché.e personnellement par la cause,Arts and recreation donors motivations for giving,CA,
1,Arts and recreation donor status,Arts and recreation donors,2018,rg_010,0.766546903,1.81267353,0.739313218,0.793780589,2652,Touché.e personnellement par la cause,Arts and recreation donors motivations for giving,CA,
2,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_020,0.28242478,2.709664244,0.267425639,0.29742392,7447,Crédit d'impôt,Arts and recreation donors motivations for giving,CA,
3,Arts and recreation donor status,Arts and recreation donors,2018,rg_020,0.305625469,4.5052567,0.27863831,0.332612629,2622,Crédit d'impôt,Arts and recreation donors motivations for giving,CA,
4,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_030,0.315360829,2.618965045,0.299173114,0.331548544,7439,Raisons religieuses,Arts and recreation donors motivations for giving,CA,
5,Arts and recreation donor status,Arts and recreation donors,2018,rg_030,0.283815641,4.999357775,0.256005792,0.311625491,2614,Raisons religieuses,Arts and recreation donors motivations for giving,CA,
6,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_035,0.30245971,2.697054881,0.286471296,0.318448125,7390,Croyances spirituelles,Arts and recreation donors motivations for giving,CA,
7,Arts and recreation donor status,Arts and recreation donors,2018,rg_035,0.305403387,4.596035776,0.277892453,0.332914321,2592,Croyances spirituelles,Arts and recreation donors motivations for giving,CA,
8,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_040,0.835062493,0.858446329,0.821012367,0.849112619,7528,Croyance personnelle en la cause,Arts and recreation donors motivations for giving,CA,
9,Arts and recreation donor status,Arts and recreation donors,2018,rg_040,0.886474523,1.269386176,0.864419469,0.908529576,2653,Croyance personnelle en la cause,Arts and recreation donors motivations for giving,CA,
10,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_050,0.837589667,0.772172687,0.824913328,0.850266005,7501,Compassion envers les personnes dans le besoin,Arts and recreation donors motivations for giving,CA,
11,Arts and recreation donor status,Arts and recreation donors,2018,rg_050,0.876223013,1.220599351,0.85526086,0.897185166,2644,Compassion envers les personnes dans le besoin,Arts and recreation donors motivations for giving,CA,
12,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_060,0.711124734,1.170721008,0.694807472,0.727441996,7447,Contribution à la communauté,Arts and recreation donors motivations for giving,CA,
13,Arts and recreation donor status,Arts and recreation donors,2018,rg_060,0.807124942,1.732489831,0.779718065,0.834531819,2622,Contribution à la communauté,Arts and recreation donors motivations for giving,CA,
14,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_070,0.456344598,1.962460966,0.438791974,0.473897221,7428,Sollicitation par une connaissance,Arts and recreation donors motivations for giving,CA,
15,Arts and recreation donor status,Arts and recreation donors,2018,rg_070,0.602329665,2.776686929,0.569549642,0.635109689,2628,Sollicitation par une connaissance,Arts and recreation donors motivations for giving,CA,
16,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_010,0.687342401,1.37433773,0.668827786,0.705857017,6547,Touché.e personnellement par la cause,Arts and recreation donors motivations for giving,CA (without QC),
17,Arts and recreation donor status,Arts and recreation donors,2018,rg_010,0.773907948,1.97104299,0.744010543,0.803805353,2393,Touché.e personnellement par la cause,Arts and recreation donors motivations for giving,CA (without QC),
18,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_020,0.309621571,2.829761531,0.292449245,0.326793898,6455,Crédit d'impôt,Arts and recreation donors motivations for giving,CA (without QC),
19,Arts and recreation donor status,Arts and recreation donors,2018,rg_020,0.353981751,4.313253999,0.324056762,0.383906739,2368,Crédit d'impôt,Arts and recreation donors motivations for giving,CA (without QC),
20,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_030,0.342903899,2.771718032,0.324275756,0.361532041,6453,Raisons religieuses,Arts and recreation donors motivations for giving,CA (without QC),
21,Arts and recreation donor status,Arts and recreation donors,2018,rg_030,0.297794996,4.992586421,0.268654893,0.326935099,2360,Raisons religieuses,Arts and recreation donors motivations for giving,CA (without QC),
22,Arts and recreation donor status,Non-arts and recreation donors,2018,rg_035,0.337569218,2.772081596,0.319228474,0.355909961,6417,Croyances spirituelles,Arts and recreation donors motivations for giving,CA (without QC),
