Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_020,0.0753572111417764,7.262862180149125,0.0646301510971029,0.0860842711864499,5812,Canvassing,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_020,0.07388966896300918,12.887632527771595,0.05522565906147148,0.09255367886454688,2466,Canvassing,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_030,0.3570186917109357,2.792252527334285,0.3374800783971231,0.3765573050247483,5826,Fundraising,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_030,0.488286248680908,3.1758009111572205,0.45789308886867336,0.5186794084931425,2472,Fundraising,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_040,0.2947225063449405,3.2317789561885406,0.27605428070342475,0.3133907319864563,5823,Sit on committee or board,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_040,0.3841147690700861,3.820070185934358,0.3553553281461595,0.41287420999401275,2477,Sit on committee or board,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_050,0.2876038441774507,3.1816713428805627,0.26966897992206096,0.3055387084328405,5815,Teaching or mentoring,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_050,0.31723321087013046,4.947757158531304,0.2864697555221005,0.3479966662181604,2467,Teaching or mentoring,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_060,0.38871520405154486,2.6718786778249735,0.36835902074520993,0.4090713873578798,5825,Organize activities or events,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_060,0.5578126241344621,2.786980315240436,0.5273427730955285,0.5882824751733957,2472,Organize activities or events,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_070,0.1641567990765625,4.437490273268927,0.14987955512490442,0.17843404302822058,5813,Office work,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_070,0.22446888796074385,5.221412419252856,0.20149723514706303,0.24744054077442468,2468,Office work,Arts and recreation volunteers volunteer rates by activity,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_080,0.06583676672979179,8.9424631612453709,0.05429761868996244,0.07737591476962113,5805,"Coach, referee or officiate",Arts and recreation volunteers volunteer rates by activity,CA,
