,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_020,0.0753572111417764,7.262862180149125,0.0646301510971029,0.0860842711864499,5812,Porte-à-porte,Arts and recreation volunteers volunteer rates by activity,CA,
1,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_020,0.0738896689630091,12.887632527771595,0.0552256590614714,0.0925536788645468,2466,Porte-à-porte,Arts and recreation volunteers volunteer rates by activity,CA,
2,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_030,0.3570186917109357,2.792252527334285,0.3374800783971231,0.3765573050247483,5826,Collecte de fonds,Arts and recreation volunteers volunteer rates by activity,CA,
3,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_030,0.488286248680908,3.1758009111572205,0.4578930888686733,0.5186794084931425,2472,Collecte de fonds,Arts and recreation volunteers volunteer rates by activity,CA,
4,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_040,0.2947225063449405,3.2317789561885406,0.2760542807034247,0.3133907319864563,5823,Membre d'un comité ou d'un conseil d'administration,Arts and recreation volunteers volunteer rates by activity,CA,
5,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_040,0.3841147690700861,3.820070185934358,0.3553553281461595,0.4128742099940127,2477,Membre d'un comité ou d'un conseil d'administration,Arts and recreation volunteers volunteer rates by activity,CA,
6,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_050,0.2876038441774507,3.1816713428805627,0.2696689799220609,0.3055387084328405,5815,Enseignement ou mentorat,Arts and recreation volunteers volunteer rates by activity,CA,
7,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_050,0.3172332108701304,4.947757158531304,0.2864697555221005,0.3479966662181604,2467,Enseignement ou mentorat,Arts and recreation volunteers volunteer rates by activity,CA,
8,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_060,0.3887152040515448,2.671878677824973,0.3683590207452099,0.4090713873578798,5825,Organisation d'activités ou d'événements,Arts and recreation volunteers volunteer rates by activity,CA,
9,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_060,0.5578126241344621,2.786980315240436,0.5273427730955285,0.5882824751733957,2472,Organisation d'activités ou d'événements,Arts and recreation volunteers volunteer rates by activity,CA,
10,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_070,0.1641567990765625,4.437490273268927,0.1498795551249044,0.1784340430282205,5813,Travail de bureau,Arts and recreation volunteers volunteer rates by activity,CA,
11,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_070,0.2244688879607438,5.221412419252856,0.201497235147063,0.2474405407744246,2468,Travail de bureau,Arts and recreation volunteers volunteer rates by activity,CA,
12,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_080,0.0658367667297917,8.94246316124537,0.0542976186899624,0.0773759147696211,5805,"Entraînement, arbitrage, présidence",Arts and recreation volunteers volunteer rates by activity,CA,
13,Arts and recreation volunteer status,Arts and recreation volunteer,2018,fv_080,0.3383472582399508,4.451158771514506,0.3088294682661155,0.3678650482137861,2469,"Entraînement, arbitrage, présidence",Arts and recreation volunteers volunteer rates by activity,CA,
14,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,fv_090,0.2329325425173832,3.610057329749545,0.2164512086552648,0.2494138763795016,5808,Conseils,Arts and recreation volunteers volunteer rates by activity,CA,
