Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_020,0.37650854282462615,2.7309788728886906,0.3563554703809096,0.3966616152683427,5017,Gave enough time already,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_020,0.48410854906780293,3.5398022544084777,0.450521654992179,0.5176954431434269,2041,Gave enough time already,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_030,0.05644291535883196,9.588927862081391,0.045835060227693555,0.06705077048997037,4966,Dissatisfied with previous experience,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_030,0.058320155004749734,14.057978252747827,0.04225112625557804,0.07438918375392142,2021,Dissatisfied with previous experience,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_040,0.2531935023433267,3.917123800791418,0.23375476977416115,0.2726322349124923,4984,No one asked,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_040,0.25338735839711507,6.452156159417745,0.22134400903006826,0.2854307077641619,2034,No one asked,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_050,0.15016022742198173,6.227528192372316,0.13183207403927852,0.16848838080468495,4957,Unsure how to get more involved,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_050,0.12177589724374341,10.268769765329766,0.09726677003843877,0.14628502444904806,2022,Unsure how to get more involved,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_060,0.17756517947924466,4.474692716521311,0.16199229317960104,0.19313806577888828,4980,Health problems/physically unable,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_060,0.14942845472340377,7.272737199649507,0.12812847004829303,0.1707284393985145,2028,Health problems/physically unable,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_070,0.7341658220754035,1.2891129139941242,0.715616279145761,0.752715365005046,5531,Did not have the time,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_070,0.7571793450765495,1.8352216707260238,0.7299438434673509,0.7844148466857481,2380,Did not have the time,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_080,0.11124081972718562,7.13426044780917,0.09568613433834594,0.1267955051160253,4965,Financial cost of volunteering,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_080,0.09815493112491235,10.135942814162766,0.07865539117143916,0.11765447107838553,2020,Financial cost of volunteering,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_090,0.44369068840912346,2.429139980373421,0.4225664554923666,0.4648149213258803,4996,Unable to make commitment,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_090,0.39889507245735534,4.149098606418266,0.3664565907439195,0.43133355417079117,2028,Unable to make commitment,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_100,0.21408202231198742,3.897539913547183,0.19772821557856196,0.23043582904541288,5415,Preferred to give money instead,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_100,0.14903480065411526,6.891439586038575,0.12890470978752314,0.16916489152070738,2317,Preferred to give money instead,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_110,0.21469788136535722,4.1520597780345305,0.19722600904314264,0.2321697536875718,4972,No interest,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_110,0.2531038472715181,5.793227329004975,0.22436512811017315,0.28184256643286304,2027,No interest,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_120,0.19196812562062346,4.800825583108584,0.1739049899641096,0.2100312612771373,4947,No opportunity to use skills or experiences,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_120,0.18201087963697565,7.565542071313539,0.1550219606141347,0.2089997986598166,2016,No opportunity to use skills or experiences,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_130,0.1652292904437398,4.812957353829361,0.14964284289485355,0.18081573799262604,4951,Not asked to contribute in a way that was meaningful,Arts and recreation volunteers barriers to volunteering more,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_130,0.16231549573421938,8.080541078891637,0.13660866630391075,0.18802232516452802,2017,Not asked to contribute in a way that was meaningful,Arts and recreation volunteers barriers to volunteering more,CA,
