,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_020,0.3765085428246261,2.7309788728886906,0.3563554703809096,0.3966616152683427,5017,Assez de temps déjà donné,Arts and recreation volunteers barriers to volunteering more,CA,
1,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_020,0.4841085490678029,3.5398022544084777,0.450521654992179,0.5176954431434269,2041,Assez de temps déjà donné,Arts and recreation volunteers barriers to volunteering more,CA,
2,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_030,0.0564429153588319,9.588927862081391,0.0458350602276935,0.0670507704899703,4966,Expérience bénévole passée insatisfaisante,Arts and recreation volunteers barriers to volunteering more,CA,
3,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_030,0.0583201550047497,14.057978252747828,0.042251126255578,0.0743891837539214,2021,Expérience bénévole passée insatisfaisante,Arts and recreation volunteers barriers to volunteering more,CA,
4,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_040,0.2531935023433267,3.917123800791418,0.2337547697741611,0.2726322349124923,4984,Aucune sollicitation,Arts and recreation volunteers barriers to volunteering more,CA,
5,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_040,0.253387358397115,6.452156159417745,0.2213440090300682,0.2854307077641619,2034,Aucune sollicitation,Arts and recreation volunteers barriers to volunteering more,CA,
6,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_050,0.1501602274219817,6.227528192372316,0.1318320740392785,0.1684883808046849,4957,Ne savaient pas comment s'engager plus,Arts and recreation volunteers barriers to volunteering more,CA,
7,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_050,0.1217758972437434,10.268769765329766,0.0972667700384387,0.146285024449048,2022,Ne savaient pas comment s'engager plus,Arts and recreation volunteers barriers to volunteering more,CA,
8,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_060,0.1775651794792446,4.474692716521311,0.161992293179601,0.1931380657788882,4980,Problèmes de santé/handicap physique,Arts and recreation volunteers barriers to volunteering more,CA,
9,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_060,0.1494284547234037,7.272737199649507,0.128128470048293,0.1707284393985145,2028,Problèmes de santé/handicap physique,Arts and recreation volunteers barriers to volunteering more,CA,
10,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_070,0.7341658220754035,1.2891129139941242,0.715616279145761,0.752715365005046,5531,Manque de temps,Arts and recreation volunteers barriers to volunteering more,CA,
11,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_070,0.7571793450765495,1.835221670726024,0.7299438434673509,0.7844148466857481,2380,Manque de temps,Arts and recreation volunteers barriers to volunteering more,CA,
12,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_080,0.1112408197271856,7.13426044780917,0.0956861343383459,0.1267955051160253,4965,Coût financier du bénévolat,Arts and recreation volunteers barriers to volunteering more,CA,
13,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_080,0.0981549311249123,10.135942814162766,0.0786553911714391,0.1176544710783855,2020,Coût financier du bénévolat,Arts and recreation volunteers barriers to volunteering more,CA,
14,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_090,0.4436906884091234,2.429139980373421,0.4225664554923666,0.4648149213258803,4996,Incapable de s'engager à long terme,Arts and recreation volunteers barriers to volunteering more,CA,
15,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_090,0.3988950724573553,4.149098606418266,0.3664565907439195,0.4313335541707911,2028,Incapable de s'engager à long terme,Arts and recreation volunteers barriers to volunteering more,CA,
16,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_100,0.2140820223119874,3.897539913547183,0.1977282155785619,0.2304358290454128,5415,Préférence pour les dons d'argent,Arts and recreation volunteers barriers to volunteering more,CA,
17,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_100,0.1490348006541152,6.891439586038575,0.1289047097875231,0.1691648915207073,2317,Préférence pour les dons d'argent,Arts and recreation volunteers barriers to volunteering more,CA,
18,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_110,0.2146978813653572,4.1520597780345305,0.1972260090431426,0.2321697536875718,4972,Aucun intérêt pour en faire plus,Arts and recreation volunteers barriers to volunteering more,CA,
19,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_110,0.2531038472715181,5.793227329004975,0.2243651281101731,0.281842566432863,2027,Aucun intérêt pour en faire plus,Arts and recreation volunteers barriers to volunteering more,CA,
20,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_120,0.1919681256206234,4.800825583108584,0.1739049899641096,0.2100312612771373,4947,Utilisation des compétences impossible,Arts and recreation volunteers barriers to volunteering more,CA,
21,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_120,0.1820108796369756,7.565542071313539,0.1550219606141347,0.2089997986598166,2016,Utilisation des compétences impossible,Arts and recreation volunteers barriers to volunteering more,CA,
22,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_130,0.1652292904437398,4.812957353829361,0.1496428428948535,0.180815737992626,4951,Aucune sollicitation pour une contribution importante,Arts and recreation volunteers barriers to volunteering more,CA,
23,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_130,0.1623154957342193,8.080541078891637,0.1366086663039107,0.188022325164528,2017,Aucune sollicitation pour une contribution importante,Arts and recreation volunteers barriers to volunteering more,CA,
24,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,nv_020,0.3641320599718429,3.078467368178635,0.3421614778729759,0.3861026420707099,4419,Assez de temps déjà donné,Arts and recreation volunteers barriers to volunteering more,CA (without QC),
25,Arts and recreation volunteer status,Arts and recreation volunteer,2018,nv_020,0.4457143024163884,4.079005954711244,0.4100807598474612,0.4813478449853156,1798,Assez de temps déjà donné,Arts and recreation volunteers barriers to volunteering more,CA (without QC),
