Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_020,0.590653723425264,1.9032943050461044,0.5686200460929236,0.6126874007576044,4822,Personally affected by cause,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_020,0.5786999602540437,2.686585982032832,0.5482278670561752,0.6091720534519122,2308,Personally affected by cause,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_025,0.2455745647871987,4.113547336249811,0.22577534971121793,0.26537377986317945,4726,Friends volunteer,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_025,0.2604253116997668,5.8900816285114015,0.23036090780716867,0.2904897155923649,2268,Friends volunteer,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_030,0.375276733088314,2.972150837769882,0.35341570528698946,0.39713776088963854,4727,Family member volunteers,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_030,0.42884939871162764,3.5399549706533584,0.39909503727668183,0.45860376014657345,2284,Family member volunteers,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_040,0.4657556692018654,2.495685339651441,0.44297344776668485,0.48853789063704595,4719,Networking or meeting people,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_040,0.5104926363765797,3.1305991410909533,0.4791695149009777,0.5418157578521817,2290,Networking or meeting people,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_050,0.25176880324637857,4.4688178260817395,0.22971707370595537,0.27382053278680174,4676,Improve job opportunities,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_050,0.19611115261923595,7.7796769374832975,0.16620834644059684,0.22601395879787506,2260,Improve job opportunities,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_060,0.241519254426951,4.181260580011115,0.22172646134900958,0.2613120475048924,4725,Religious reasons,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_060,0.07981889489098669,10.535777178152395,0.06333649757738563,0.09630129220458775,2261,Religious reasons,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_065,0.2984316179569435,3.6550635537500105,0.27705259481914035,0.31981064109474666,4719,Spiritual or other beliefs,Arts and recreation volunteers motivations for volunteering,CA,
Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_065,0.12982293113462273,7.983046480575381,0.10951020752009685,0.1501356547491486,2256,Spiritual or other beliefs,Arts and recreation volunteers motivations for volunteering,CA,
