,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_020,0.590653723425264,1.9032943050461044,0.5686200460929236,0.6126874007576044,4822,Touché.e personnellement par la cause,Arts and recreation volunteers motivations for volunteering,CA,
1,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_020,0.5786999602540437,2.686585982032832,0.5482278670561752,0.6091720534519122,2308,Touché.e personnellement par la cause,Arts and recreation volunteers motivations for volunteering,CA,
2,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_025,0.2455745647871987,4.113547336249811,0.2257753497112179,0.2653737798631794,4726,Bénévoles parmi les amis,Arts and recreation volunteers motivations for volunteering,CA,
3,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_025,0.2604253116997668,5.8900816285114015,0.2303609078071686,0.2904897155923649,2268,Bénévoles parmi les amis,Arts and recreation volunteers motivations for volunteering,CA,
4,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_030,0.375276733088314,2.972150837769882,0.3534157052869894,0.3971377608896385,4727,Bénévoles dans la famille,Arts and recreation volunteers motivations for volunteering,CA,
5,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_030,0.4288493987116276,3.5399549706533584,0.3990950372766818,0.4586037601465734,2284,Bénévoles dans la famille,Arts and recreation volunteers motivations for volunteering,CA,
6,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_040,0.4657556692018654,2.495685339651441,0.4429734477666848,0.4885378906370459,4719,Réseauter ou rencontrer des gens,Arts and recreation volunteers motivations for volunteering,CA,
7,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_040,0.5104926363765797,3.1305991410909533,0.4791695149009777,0.5418157578521817,2290,Réseauter ou rencontrer des gens,Arts and recreation volunteers motivations for volunteering,CA,
8,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_050,0.2517688032463785,4.46881782608174,0.2297170737059553,0.2738205327868017,4676,Améliorer ses possibilités d'emploi,Arts and recreation volunteers motivations for volunteering,CA,
9,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_050,0.1961111526192359,7.7796769374832975,0.1662083464405968,0.226013958797875,2260,Améliorer ses possibilités d'emploi,Arts and recreation volunteers motivations for volunteering,CA,
10,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_060,0.241519254426951,4.181260580011115,0.2217264613490095,0.2613120475048924,4725,Raisons religieuses,Arts and recreation volunteers motivations for volunteering,CA,
11,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_060,0.0798188948909866,10.535777178152395,0.0633364975773856,0.0963012922045877,2261,Raisons religieuses,Arts and recreation volunteers motivations for volunteering,CA,
12,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_065,0.2984316179569435,3.6550635537500105,0.2770525948191403,0.3198106410947466,4719,Spiritual or other beliefs,Arts and recreation volunteers motivations for volunteering,CA,
13,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_065,0.1298229311346227,7.983046480575381,0.1095102075200968,0.1501356547491486,2256,Spiritual or other beliefs,Arts and recreation volunteers motivations for volunteering,CA,
14,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_070,0.4321646185643303,2.701270675933696,0.4092841242249524,0.4550451129037082,4697,Découvrir ses points forts,Arts and recreation volunteers motivations for volunteering,CA,
15,Arts and recreation volunteer status,Arts and recreation volunteer,2018,rv_070,0.4258336338315057,3.807445404443451,0.3940559868450474,0.4576112808179641,2260,Découvrir ses points forts,Arts and recreation volunteers motivations for volunteering,CA,
16,Arts and recreation volunteer status,Non-arts and recreation volunteer,2018,rv_080,0.8963333129809903,0.7448892186069107,0.8832472406311512,0.9094193853308292,4859,Contribuer à la communauté,Arts and recreation volunteers motivations for volunteering,CA,
