Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex01,0,NA,0,0,13659,Arts & culture,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex01,0.23584853146909368,5.2700551645041465,0.21148745760010385,0.2602096053380835,2490,Arts & culture,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex02,0,NA,0,0,13659,Sports & Recreation,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex02,0.7907565277335318,1.534084878564736,0.7669804470489036,0.81453260841816,2490,Sports & Recreation,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex03,0.060022260008932765,4.909874332410855,0.05424621177281833,0.0657983082450472,13659,Education & research,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex03,0.12198630276368223,8.756287498440855,0.10105100355952207,0.1429216019678424,2490,Education & research,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex04,0.019298925102007085,10.629344811155041,0.015278354366175197,0.023319495837838974,13659,Universities & colleges,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex04,0.025382925588511965,20.721031231474928,0.015074291295798046,0.03569155988122588,2490,Universities & colleges,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex05,0.04029655610446686,5.347715101969768,0.03607294148371309,0.04452017072522064,13659,Health,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex05,0.059212122721444854,12.160252846679134,0.04509970812106524,0.07332453732182447,2490,Health,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex06,0.018585084025193557,7.68196405559652,0.01578684447439195,0.021383323575995164,13659,Hospitals,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex06,0.028937359599337964,16.565543704824652,0.01954201557931831,0.038332703619357616,2490,Hospitals,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex07,0.10383560376889199,3.4918746312378435,0.0967291485059254,0.11094205903185858,13659,Social services,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex07,0.1627034813100921,6.996365516377933,0.14039256397572877,0.18501439864445543,2490,Social services,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex08,0.023355311724867177,6.855546696634844,0.02021714615962739,0.026493477290106964,13659,Environment,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex08,0.04058266023706707,14.409618662129194,0.029121169945617392,0.05204415052851674,2490,Environment,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex09,0.04041417383267137,5.75364235838029,0.035856695011078056,0.04497165265426468,13659,Development & housing,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex09,0.0680587444744649,10.037278366501678,0.05466974905904816,0.08144773988988165,2490,Development & housing,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex10,0.01631284031522607,10.651979062147985,0.012907127840895698,0.01971855278955644,13659,"Law, advocacy & politics",Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex10,0.018803978689056956,19.060778001112173,0.011779105893851782,0.02582885148426213,2490,"Law, advocacy & politics",Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex11,0.013648492619876749,8.581492365716446,0.011352895872449016,0.015944089367304484,13659,"Grant-making, fundraising",Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex11,0.024952029652040023,16.96380630442483,0.016655866699560706,0.03324819260451934,2490,"Grant-making, fundraising",Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex12,0.00699760598906623,14.577226631583923,0.004998331234613582,0.008996880743518877,13659,International,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex12,0.01019380812915527,42.12102903558349,0.001778238481514165,0.018609377776796374,2490,International,Arts and recreation volunteers volunteer rates for other ccauses,CA,...
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex13,0.07588769681770084,4.112765828006918,0.06977048603068547,0.08200490760471621,13659,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex13,0.095072256034115,9.35665724022802,0.07763722956248315,0.11250728250574685,2490,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex14,0.011463498255450084,12.491619736527637,0.008656875672020711,0.014270120838879456,13659,Business & professional,Arts and recreation volunteers volunteer rates for other ccauses,CA,
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex14,0.021554285234143898,16.835898299063018,0.014441855148540891,0.028666715319746905,2490,Business & professional,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex15,0.003193026123912818,18.917715629945185,0.0020091145788261287,0.004376937668999507,13659,Other,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex15,0.004054490431307557,48.22180668343199,2.2246971282598735e-4,0.007886511149789128,2490,Other,Arts and recreation volunteers volunteer rates for other ccauses,CA,...
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex01,0,NA,0,0,11936,Arts & culture,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex01,0.23748991055295982,5.895352453464482,0.21004871495434568,0.26493110615157395,2200,Arts & culture,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex02,0,NA,0,0,11936,Sports & Recreation,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex02,0.7918712882511205,1.7136461150394209,0.7652748287045197,0.8184677477977214,2200,Sports & Recreation,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex03,0.06684912389358459,5.0513335930185175,0.06023077189591497,0.07346747589125421,11936,Education & research,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex03,0.12654331045981074,8.814812035767078,0.10468078447293394,0.14840583644668753,2200,Education & research,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex04,0.01961247214869915,11.276843979865621,0.015277682748720602,0.023947261548677698,11936,Universities & colleges,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex04,0.028347621798564857,22.190281231860336,0.016018631031520805,0.04067661256560891,2200,Universities & colleges,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex05,0.04169381622929969,5.7447998420337285,0.036999258968274024,0.04638837349032536,11936,Health,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex05,0.05840255815017513,12.843516536346321,0.043700981561271626,0.07310413473907863,2200,Health,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex06,0.02203270665487891,7.971344851281664,0.018590415974978153,0.02547499733477967,11936,Hospitals,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex06,0.030607926220544847,17.37798100085339,0.020182800165614086,0.04103305227547561,2200,Hospitals,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex07,0.10804076276609764,3.7220957405998027,0.10015900156507485,0.11592252396712044,11936,Social services,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex07,0.16341720869309645,7.516242287639489,0.13934329770865045,0.18749111967754245,2200,Social services,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex08,0.02622263535183357,7.280636705530297,0.022480721475060035,0.029964549228607106,11936,Environment,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex08,0.04378111596691648,15.581819169858441,0.030410448792376685,0.057151783141456275,2200,Environment,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex09,0.04197740123726877,6.0370703792487035,0.03701045020593254,0.046944352268605,11936,Development & housing,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex09,0.06852538593884565,10.81020008164878,0.05400649933134252,0.08304427254634877,2200,Development & housing,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex10,0.016527803341492137,10.568366600700841,0.013104297307958177,0.019951309375026097,11936,"Law, advocacy & politics",Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex10,0.018400005412543143,21.37946019121562,0.010689856299527668,0.026110154525558617,2200,"Law, advocacy & politics",Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex11,0.014567896326345241,9.442899455326199,0.011871707536765575,0.017264085115924907,11936,"Grant-making, fundraising",Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex11,0.02276879435992789,19.014668376015173,0.014283305233763033,0.03125428348609275,2200,"Grant-making, fundraising",Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex12,0.007814668083871523,16.23840780785953,0.00532751754899824,0.010301818618744806,11936,International,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex12,0.010890161260374245,45.10081529454835,0.0012636971821342203,0.020516625338614272,2200,International,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),...
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex13,0.08898960750930664,4.199216862033708,0.08166548355045883,0.09631373146815445,11936,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex13,0.10619132903884138,9.762661732428219,0.08587218593799043,0.12651047213969233,2200,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex14,0.012749670354257156,11.597571045871295,0.009851565536791073,0.01564777517172324,11936,Business & professional,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),
Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex14,0.02409083316999196,17.64736547444689,0.015758247430342237,0.032423418909641684,2200,Business & professional,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex15,0.003729173462302274,20.571504924933702,0.002225592770642623,0.005232754153961925,11936,Other,Arts and recreation volunteers volunteer rates for other ccauses,CA (without QC),*
