,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex01,0.0,,0.0,0.0,13659,Arts et culture,Arts and recreation volunteers volunteer rates for other ccauses,CA,
1,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex01,0.2358485314690936,5.2700551645041465,0.2114874576001038,0.2602096053380835,2490,Arts et culture,Arts and recreation volunteers volunteer rates for other ccauses,CA,
2,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex02,0.0,,0.0,0.0,13659,Sport et loisir,Arts and recreation volunteers volunteer rates for other ccauses,CA,
3,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex02,0.7907565277335318,1.534084878564736,0.7669804470489036,0.81453260841816,2490,Sport et loisir,Arts and recreation volunteers volunteer rates for other ccauses,CA,
4,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex03,0.0600222600089327,4.909874332410855,0.0542462117728183,0.0657983082450472,13659,Éducation et recherche,Arts and recreation volunteers volunteer rates for other ccauses,CA,
5,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex03,0.1219863027636822,8.756287498440855,0.101051003559522,0.1429216019678424,2490,Éducation et recherche,Arts and recreation volunteers volunteer rates for other ccauses,CA,
6,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex04,0.019298925102007,10.62934481115504,0.0152783543661751,0.0233194958378389,13659,Universités et collèges,Arts and recreation volunteers volunteer rates for other ccauses,CA,
7,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex04,0.0253829255885119,20.721031231474928,0.015074291295798,0.0356915598812258,2490,Universités et collèges,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
8,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex05,0.0402965561044668,5.347715101969768,0.036072941483713,0.0445201707252206,13659,Santé,Arts and recreation volunteers volunteer rates for other ccauses,CA,
9,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex05,0.0592121227214448,12.160252846679134,0.0450997081210652,0.0733245373218244,2490,Santé,Arts and recreation volunteers volunteer rates for other ccauses,CA,
10,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex06,0.0185850840251935,7.68196405559652,0.0157868444743919,0.0213833235759951,13659,Hôpitaux,Arts and recreation volunteers volunteer rates for other ccauses,CA,
11,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex06,0.0289373595993379,16.565543704824652,0.0195420155793183,0.0383327036193576,2490,Hôpitaux,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
12,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex07,0.1038356037688919,3.4918746312378435,0.0967291485059254,0.1109420590318585,13659,Services sociaux,Arts and recreation volunteers volunteer rates for other ccauses,CA,
13,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex07,0.1627034813100921,6.996365516377933,0.1403925639757287,0.1850143986444554,2490,Services sociaux,Arts and recreation volunteers volunteer rates for other ccauses,CA,
14,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex08,0.0233553117248671,6.855546696634844,0.0202171461596273,0.0264934772901069,13659,Environnement,Arts and recreation volunteers volunteer rates for other ccauses,CA,
15,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex08,0.040582660237067,14.409618662129194,0.0291211699456173,0.0520441505285167,2490,Environnement,Arts and recreation volunteers volunteer rates for other ccauses,CA,
16,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex09,0.0404141738326713,5.75364235838029,0.035856695011078,0.0449716526542646,13659,Aménagement et logement,Arts and recreation volunteers volunteer rates for other ccauses,CA,
17,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex09,0.0680587444744649,10.037278366501678,0.0546697490590481,0.0814477398898816,2490,Aménagement et logement,Arts and recreation volunteers volunteer rates for other ccauses,CA,
18,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex10,0.016312840315226,10.651979062147984,0.0129071278408956,0.0197185527895564,13659,"Droit, plaidoyer et politique",Arts and recreation volunteers volunteer rates for other ccauses,CA,
19,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex10,0.0188039786890569,19.060778001112173,0.0117791058938517,0.0258288514842621,2490,"Droit, plaidoyer et politique",Arts and recreation volunteers volunteer rates for other ccauses,CA,*
20,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex11,0.0136484926198767,8.581492365716446,0.011352895872449,0.0159440893673044,13659,"Subventions, collecte de fonds",Arts and recreation volunteers volunteer rates for other ccauses,CA,
21,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex11,0.02495202965204,16.96380630442483,0.0166558666995607,0.0332481926045193,2490,"Subventions, collecte de fonds",Arts and recreation volunteers volunteer rates for other ccauses,CA,*
22,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex12,0.0069976059890662,14.577226631583924,0.0049983312346135,0.0089968807435188,13659,International,Arts and recreation volunteers volunteer rates for other ccauses,CA,
23,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex12,0.0101938081291552,42.12102903558349,0.0017782384815141,0.0186093777767963,2490,International,Arts and recreation volunteers volunteer rates for other ccauses,CA,...
24,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex13,0.0758876968177008,4.112765828006918,0.0697704860306854,0.0820049076047162,13659,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA,
25,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex13,0.095072256034115,9.35665724022802,0.0776372295624831,0.1125072825057468,2490,Religion,Arts and recreation volunteers volunteer rates for other ccauses,CA,
26,Volunteer status,Non-arts and recreation volunteer,2018,flag_vd1dex14,0.01146349825545,12.491619736527635,0.0086568756720207,0.0142701208388794,13659,Entreprises et professionnels,Arts and recreation volunteers volunteer rates for other ccauses,CA,
27,Volunteer status,Arts and recreation volunteer,2018,flag_vd1dex14,0.0215542852341438,16.835898299063018,0.0144418551485408,0.0286667153197469,2490,Entreprises et professionnels,Arts and recreation volunteers volunteer rates for other ccauses,CA,*
