,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,165.451999073709,3.51583420521283,154.050853342069,176.85314480534902,2645,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
1,2,Montant déjà donné suffisant,Report barrier,2018,gs1datot,230.106545398751,1.9634182621704501,221.251518402715,238.961572394787,6826,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
2,3,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,226.99732489641602,3.20289553052792,212.747431886246,241.247217906585,3140,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
3,4,Pas les moyens de donner plus,Report barrier,2018,gs1datot,198.940503300452,2.15323016212994,190.544709611319,207.336296989584,6342,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
4,5,Aucune sollicitation,Do not report barrier,2018,gs1datot,213.631312736115,2.1400076707791698,204.67089348865798,222.591731983572,7052,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
5,6,Aucune sollicitation,Report barrier,2018,gs1datot,191.677489975347,3.80865334756234,177.36910386873,205.985876081963,2252,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
6,7,Ne savent pas où donner,Do not report barrier,2018,gs1datot,213.324181146554,1.9152401547559899,205.31641435468998,221.331947938418,8377,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
7,8,Ne savent pas où donner,Report barrier,2018,gs1datot,168.480069754553,6.5929987300065305,146.709007646185,190.251131862921,891,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
8,9,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,211.931031329557,1.9254278304310501,203.93324333875302,219.928819320362,8393,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
9,10,Difficulté à trouver une cause,Report barrier,2018,gs1datot,177.38559440935902,5.79951623123505,157.22245249293002,197.548736325788,882,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
10,11,Don de temps,Do not report barrier,2018,gs1datot,206.76468509454799,2.07751467227157,198.345529128323,215.183841060773,6642,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
11,12,Don de temps,Report barrier,2018,gs1datot,211.404659258209,3.5091453388226497,196.864672815811,225.944645700607,2595,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
12,13,Don direct,Do not report barrier,2018,gs1datot,198.81806411457,2.29405631007357,189.87867162406602,207.757456605075,5424,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
13,14,Don direct,Report barrier,2018,gs1datot,224.72268137756302,2.7546332927432204,212.589944160313,236.85541859481302,3853,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
14,15,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,207.16266856446097,1.95316458380721,199.232207659608,215.093129469315,7600,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA,
