,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,56.6033604377893,3.07009854593148,53.19737629102939,60.009344584549204,4055,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
1,2,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,93.29088940094351,2.57482462368505,88.58290540062141,97.9988734012656,3003,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
2,3,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,70.76001374673291,2.13627821123714,67.7972719071677,73.72275558629809,6605,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
3,4,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,76.33079491625391,8.23433288075346,64.0117710672656,88.64981876524229,382,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
4,5,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,76.4396997098445,2.37748633625149,72.8777720668,80.001627352889,5351,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
5,6,Aucune sollicitation,Report barrier,2018,vd1dhrs,55.3422932341591,4.88456644893942,50.044057660986795,60.6405288073314,1667,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
6,7,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,74.5907832982993,2.1431932931229403,71.45753653022541,77.7240300663733,6178,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
7,8,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,50.1837201564717,7.169450316646779,43.131971844402706,57.2354684685406,801,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
8,9,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,69.1733066442132,2.37199443351556,65.9574232510754,72.3891900373509,5549,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
9,10,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,80.5100885603537,4.41382896616403,73.5452044293458,87.4749726913616,1459,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
10,11,Manque de temps,Do not report barrier,2018,vd1dhrs,126.10792538087699,5.48830400423279,112.542649466652,139.67320129510202,2340,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
11,12,Manque de temps,Report barrier,2018,vd1dhrs,133.603245366507,3.2903795313060296,124.98713816855499,142.219352564458,5571,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,
