"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Personally affected by cause","Do not report motivation",2018,"vd1dhrs",118.007550231656,4.33184568353677,107.988400596188,128.026699867124,2804,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"2","Personally affected by cause","Report motivation",2018,"vd1dhrs",162.846619539965,3.74589318011712,150.890720822265,174.802518257665,4326,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"3","Friends volunteer","Do not report motivation",2018,"vd1dhrs",145.160073304176,3.25557146083526,135.897695264397,154.422451343954,5365,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"4","Friends volunteer","Report motivation",2018,"vd1dhrs",141.971832368112,6.09152677868751,125.021569552574,158.92209518365,1629,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"5","Family member volunteers","Do not report motivation",2018,"vd1dhrs",146.366007368144,3.66981607976077,135.838328803811,156.893685932477,4288,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"6","Family member volunteers","Report motivation",2018,"vd1dhrs",142.545355017895,4.63106521467961,129.606910800517,155.483799235273,2723,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"7","Networking or meeting people","Do not report motivation",2018,"vd1dhrs",126.440924443305,4.19141969670194,116.053762482206,136.828086404404,3625,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"8","Networking or meeting people","Report motivation",2018,"vd1dhrs",164.340324610875,3.95645552846278,151.596537142485,177.084112079266,3384,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"9","Improve job opportunities","Do not report motivation",2018,"vd1dhrs",147.725183992586,3.28101106168035,138.225474484924,157.224893500249,5826,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
"10","Improve job opportunities","Report motivation",2018,"vd1dhrs",132.94901149963,6.09861801482184,117.057520877811,148.840502121449,1110,"Total hours volunteered","Average Hours Volunteered by Volunteers Reporting Motivations","CA",""
