,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,118.007550231656,4.33184568353677,107.98840059618799,128.026699867124,2804,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
1,2,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,162.846619539965,3.74589318011712,150.890720822265,174.80251825766499,4326,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
2,3,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,145.160073304176,3.2555714608352595,135.897695264397,154.42245134395398,5365,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
3,4,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,141.971832368112,6.091526778687509,125.02156955257401,158.92209518365,1629,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
4,5,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,146.366007368144,3.6698160797607704,135.838328803811,156.89368593247698,4288,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
5,6,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,142.545355017895,4.6310652146796105,129.606910800517,155.483799235273,2723,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
6,7,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,126.440924443305,4.1914196967019395,116.053762482206,136.828086404404,3625,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
7,8,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,164.340324610875,3.9564555284627794,151.596537142485,177.08411207926602,3384,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
8,9,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,147.725183992586,3.2810110616803505,138.22547448492398,157.224893500249,5826,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
9,10,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,132.94901149963002,6.098618014821839,117.05752087781099,148.840502121449,1110,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
10,11,Raisons religieuses,Do not report motivation,2018,vd1dhrs,138.477727611316,3.31976585576855,129.467505993889,147.487949228743,5609,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
11,12,Raisons religieuses,Report motivation,2018,vd1dhrs,171.296091529492,5.463454145700231,152.953409095162,189.638773963821,1377,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
12,13,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,133.824394894778,3.54257217025239,124.532547127519,143.116242662038,5147,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
13,14,Croyances spirituelles,Report motivation,2018,vd1dhrs,177.54970306680698,4.69671949795388,161.205540816047,193.89386531756801,1828,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
14,15,Découvrir ses points forts,Do not report motivation,2018,vd1dhrs,127.43590989818001,4.0135876530305294,117.41118029573099,137.46063950062901,4173,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
15,16,Découvrir ses points forts,Report motivation,2018,vd1dhrs,167.556807656722,4.27317281790761,153.523481286818,181.590134026626,2784,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
16,17,Contribuer à la communauté,Do not report motivation,2018,vd1dhrs,99.17122192789792,10.805723724544599,78.16791809429058,120.174525761505,687,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
17,18,Contribuer à la communauté,Report motivation,2018,vd1dhrs,149.160884095306,2.98450586835487,140.435682361217,157.886085829395,6512,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
18,19,Utiliser ses compétences et son expérience,Do not report motivation,2018,vd1dhrs,91.67013260340521,8.079156695024281,77.1542989752472,106.185966231563,1831,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
19,20,Utiliser ses compétences et son expérience,Report motivation,2018,vd1dhrs,163.38278478290002,3.09670885688219,153.466368235423,173.299201330376,5282,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
20,21,"Soutenir une cause politique, environnementale ou sociale",Do not report motivation,2018,vd1dhrs,135.49589716795901,3.37152521448394,126.542236154891,144.449558181027,4805,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
21,22,"Soutenir une cause politique, environnementale ou sociale",Report motivation,2018,vd1dhrs,163.281700981259,5.24732464052517,146.48888453791798,180.0745174246,2145,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
22,23,Améliorer le bien-être ou la santé,Do not report motivation,2018,vd1dhrs,121.707893529344,4.594404519114501,110.748259116454,132.66752794223498,3324,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
23,24,Améliorer le bien-être ou la santé,Report motivation,2018,vd1dhrs,167.06775920752,3.5839669083495402,155.332174574747,178.803343840292,3706,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA,
24,25,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,120.745833487602,4.64306271357597,109.757678046442,131.733988928761,2476,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
25,26,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,163.255440895793,3.96772783809004,150.559712298859,175.951169492728,3824,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
26,27,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,146.42823184343598,3.4403346002272404,136.554675871441,156.301787815431,4718,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
27,28,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,144.97336545503902,6.58880362192726,126.25176918138,163.69496172869898,1462,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
28,29,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,149.864779363071,4.10878893314067,137.796051293331,161.93350743281098,3774,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
29,30,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,141.320909813815,4.54062629055141,128.744106325074,153.897713302556,2425,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
30,31,Réseauter ou rencontrer des gens,Do not report motivation,2018,vd1dhrs,128.273956458096,4.36132489026699,117.309047722724,139.238865193467,3178,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
31,32,Réseauter ou rencontrer des gens,Report motivation,2018,vd1dhrs,163.42678225114798,4.06057391024059,150.420333298517,176.433231203779,3014,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
32,33,Améliorer ses possibilités d'emploi,Do not report motivation,2018,vd1dhrs,149.215195905679,3.5016017020706998,138.974537278063,159.455854533295,5120,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
33,34,Améliorer ses possibilités d'emploi,Report motivation,2018,vd1dhrs,135.07917623262,6.39939724579747,118.13675151575701,152.021600949482,1014,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
34,35,Raisons religieuses,Do not report motivation,2018,vd1dhrs,141.08552808912398,3.60019718111132,131.130170902278,151.040885275971,4896,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
35,36,Raisons religieuses,Report motivation,2018,vd1dhrs,165.997224525675,5.752782878661599,147.280627027195,184.713822024154,1281,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
36,37,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,135.072449725724,3.79189105184311,125.033905925788,145.110993525661,4468,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
37,38,Croyances spirituelles,Report motivation,2018,vd1dhrs,175.731717220793,5.09309582661737,158.189677444415,193.27375699716998,1697,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
38,39,Découvrir ses points forts,Do not report motivation,2018,vd1dhrs,127.68182565763,4.409238357454639,116.64762819383002,138.71602312143,3563,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
39,40,Découvrir ses points forts,Report motivation,2018,vd1dhrs,168.389142781157,4.41027061806257,153.833633146331,182.944652415983,2589,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
40,41,Contribuer à la communauté,Do not report motivation,2018,vd1dhrs,97.47847127899809,12.3651040505515,73.85440915961131,121.10253339838499,583,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
41,42,Contribuer à la communauté,Report motivation,2018,vd1dhrs,149.995205202724,3.19328110414177,140.607431360521,159.382979044927,5780,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
42,43,Utiliser ses compétences et son expérience,Do not report motivation,2018,vd1dhrs,95.72196252827091,9.03263549212891,78.7756906419773,112.66823441456499,1596,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
43,44,Utiliser ses compétences et son expérience,Report motivation,2018,vd1dhrs,162.69779348478,3.29341853480021,152.195680665889,173.19990630367002,4692,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
44,45,"Soutenir une cause politique, environnementale ou sociale",Do not report motivation,2018,vd1dhrs,135.687296310119,3.53804857153292,126.27813160915599,145.096461011083,4285,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
45,46,"Soutenir une cause politique, environnementale ou sociale",Report motivation,2018,vd1dhrs,168.573734878896,5.84744018812541,149.253883185161,187.893586572632,1852,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
46,47,Améliorer le bien-être ou la santé,Do not report motivation,2018,vd1dhrs,119.782283508319,4.97887327985322,108.09343440672701,131.471132609911,2900,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
47,48,Améliorer le bien-être ou la santé,Report motivation,2018,vd1dhrs,169.599514330891,3.8897356078933703,156.669685432401,182.529343229381,3315,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
48,49,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,109.360514349566,12.1181844579616,83.38607429277799,135.334954406354,269,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
49,50,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,189.733549037086,9.62892724235819,153.926368447917,225.540729626254,384,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
50,51,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,125.274697599371,10.71244962065,98.9720027456443,151.57739245309799,655,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
51,52,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,166.067496851289,7.9452975485232304,140.20664081713002,191.928352885449,1091,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
52,53,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,154.015310716054,12.0033781770734,117.781377751458,190.24924368064998,418,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
53,54,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,173.796009419011,8.2501866013158,145.693075464398,201.898943373625,585,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
54,55,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,109.788263757147,6.6356945857192695,95.50950694465479,124.06702056964,812,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
55,56,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,154.819508324308,6.882609253359929,133.934873351795,175.70414329681998,1169,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
56,57,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,129.356673494875,10.825019889475698,101.911521972241,156.80182501751003,322,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
57,58,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,144.086570539144,10.199046393841,115.284005696657,172.889135381631,595,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
58,59,Touché.e personnellement par la cause,Do not report motivation,2018,vd1dhrs,104.989773213699,11.7421284128087,80.827270591018,129.15227583638,328,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
59,60,Touché.e personnellement par la cause,Report motivation,2018,vd1dhrs,161.087719698263,9.87351043370864,129.914467413426,192.260971983101,502,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
60,61,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,156.201295718643,9.247826848711961,127.889174257609,184.51341717967603,465,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
61,62,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,158.588360297229,14.172777892503099,114.53547270040501,202.641247894053,171,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
62,63,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,154.604657551166,7.304226356427231,132.471422937591,176.73789216474,1290,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
63,64,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,142.456218149676,14.641716784994399,101.575218793421,183.33721750593102,428,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
64,65,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,166.095318918229,8.147676978877701,139.571302589721,192.619335246737,789,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
65,66,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,157.218183208158,13.319052692662401,116.17659094958,198.259775466736,187,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
66,67,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,134.890082781609,5.2799338467435595,120.931009299667,148.84915626355,1517,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
67,68,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,142.435301349515,12.402281129767099,107.81209362803301,177.05850907099702,423,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
68,69,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,144.826120323404,8.957690417912529,119.399359569111,170.252881077697,657,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
69,70,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,123.00993289861499,12.355810961190699,93.22068573909759,152.799180058133,253,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
70,71,Bénévoles parmi les amis,Do not report motivation,2018,vd1dhrs,139.887101213136,9.128811682552278,114.858302257301,164.91590016896998,647,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
71,72,Bénévoles parmi les amis,Report motivation,2018,vd1dhrs,124.77932740441999,17.6186152027529,81.6907156683043,167.867939140536,167,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,*
72,73,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,156.6797032998,9.79027085493251,126.61509579177,186.74431080783,417,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
73,74,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,156.983193313454,12.9518429339098,117.13278099162301,196.83360563528598,221,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
74,75,Bénévoles dans la famille,Do not report motivation,2018,vd1dhrs,142.979057810141,7.28343413146787,122.568413292522,163.389702327761,1003,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
75,76,Bénévoles dans la famille,Report motivation,2018,vd1dhrs,163.436738850455,11.578424857481,126.34755639066799,200.525921310243,722,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
