,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Groupe d'âge,15 à 24 ans,2018,mv1_30,6.1598131689999995,21.1347727,3.608209532,8.711416805,21,Porte-à-porte,Average hours volunteered per activity,CA,*
1,Groupe d'âge,25 à 34 ans,2018,mv1_30,38.5833951,32.55675052,13.96330813,63.20348206,17,Porte-à-porte,Average hours volunteered per activity,CA,*
2,Groupe d'âge,35 à 44 ans,2018,mv1_30,22.47674554,65.28936573,-6.28557815,51.23906924,62,Porte-à-porte,Average hours volunteered per activity,CA,...
3,Groupe d'âge,45 à 54 ans,2018,mv1_30,48.33977603,30.38011909,19.55636915,77.12318291,65,Porte-à-porte,Average hours volunteered per activity,CA,*
4,Groupe d'âge,55 à 64 ans,2018,mv1_30,13.87382919,35.35927421,4.258862669,23.48879572,63,Porte-à-porte,Average hours volunteered per activity,CA,...
5,Groupe d'âge,65 à 74 ans,2018,mv1_30,43.16615915,21.34124477,25.11058739,61.22173091,62,Porte-à-porte,Average hours volunteered per activity,CA,*
6,Groupe d'âge,75 ans et plus,2018,mv1_30,50.6001419,60.27137899,-9.173670177,110.373954,18,Porte-à-porte,Average hours volunteered per activity,CA,...
7,Genre,Hommes,2018,mv1_30,21.87921224,18.60545987,13.90073186,29.85769261,124,Porte-à-porte,Average hours volunteered per activity,CA,*
8,Genre,Femmes,2018,mv1_30,31.608701,28.321808100000002,14.06279836,49.15460364,184,Porte-à-porte,Average hours volunteered per activity,CA,*
9,Éducation,Sans diplôme d'études secondaires,2018,mv1_30,12.07063901,72.75881262,-5.142653782,29.28393181,20,Porte-à-porte,Average hours volunteered per activity,CA,...
10,Éducation,Diplôme d'études secondaires,2018,mv1_30,24.32129518,31.97275808,9.08024506,39.56234531,68,Porte-à-porte,Average hours volunteered per activity,CA,*
11,Éducation,Diplôme post-secondaire,2018,mv1_30,27.44058877,31.43772369,10.53257437,44.34860317,104,Porte-à-porte,Average hours volunteered per activity,CA,*
12,Éducation,Diplôme universtaire,2018,mv1_30,35.946441799999995,36.54603525,10.19839632,61.69448728,91,Porte-à-porte,Average hours volunteered per activity,CA,...
13,État civil (original),Marié.e,2018,mv1_30,30.559136199999998,19.98431345,18.58957036,42.52870204,188,Porte-à-porte,Average hours volunteered per activity,CA,*
14,État civil (original),Union de fait,2018,mv1_30,44.24484097,73.96233806,-19.89403739,108.3837193,24,Porte-à-porte,Average hours volunteered per activity,CA,...
15,État civil (original),Veuf.ve,2018,mv1_30,89.76251311,62.94191498,-20.97201166,200.4970379,16,Porte-à-porte,Average hours volunteered per activity,CA,...
16,État civil (original),Séparé.e,2018,mv1_30,17.93407409,72.52770838,-7.559516446,43.42766463,7,Porte-à-porte,Average hours volunteered per activity,CA,...
17,État civil (original),divorcé.e,2018,mv1_30,29.52841654,36.83026511,8.213035795,50.84379728,21,Porte-à-porte,Average hours volunteered per activity,CA,...
18,État civil (original),"Célibataire, jamais marié.e",2018,mv1_30,9.781566677999999,25.18902271,4.952448554,14.6106848,52,Porte-à-porte,Average hours volunteered per activity,CA,*
19,marstat2,Marié.e/union de fait,2018,mv1_30,32.6062037,22.14811646,18.45201025,46.76039714,212,Porte-à-porte,Average hours volunteered per activity,CA,*
20,marstat2,Veuf.ve,2018,mv1_30,89.76251311,62.94191498,-20.97201166,200.4970379,16,Porte-à-porte,Average hours volunteered per activity,CA,...
21,marstat2,Séparé.e/divorcé.e,2018,mv1_30,23.78889612,35.80769658,7.093421652000001,40.48437059,28,Porte-à-porte,Average hours volunteered per activity,CA,...
22,marstat2,"Célibataire, jamais marié.e",2018,mv1_30,9.781566677999999,25.18902271,4.952448554,14.6106848,52,Porte-à-porte,Average hours volunteered per activity,CA,*
23,Situation d'activité,Employé.e,2018,mv1_30,28.42005729,26.72359304,13.53440434,43.30571025,163,Porte-à-porte,Average hours volunteered per activity,CA,*
24,Situation d'activité,Au chômage,2018,mv1_30,22.68268953,123.40372649999999,-32.1792193,77.54459835,6,Porte-à-porte,Average hours volunteered per activity,CA,...
25,Situation d'activité,Pas dans la population active,2018,mv1_30,23.94981268,26.1027392,11.69698583,36.20263952,113,Porte-à-porte,Average hours volunteered per activity,CA,*
26,Situation d'activité,Unable to determine,2018,mv1_30,39.71158255,40.76210966,7.985099043,71.43806605,26,Porte-à-porte,Average hours volunteered per activity,CA,...
27,Catégorie de revenu personnel,Moins de 25 000 $,2018,mv1_30,32.57159582,25.16964437,16.5035076,48.63968403,96,Porte-à-porte,Average hours volunteered per activity,CA,*
28,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,mv1_30,28.38747095,30.41947048,11.462558,45.31238391,87,Porte-à-porte,Average hours volunteered per activity,CA,*
29,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,mv1_30,25.4177086,67.52474247,-8.221628118,59.05704533,58,Porte-à-porte,Average hours volunteered per activity,CA,...
30,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,mv1_30,15.48891375,26.13528671,7.554838392000001,23.42298912,40,Porte-à-porte,Average hours volunteered per activity,CA,*
31,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,mv1_30,15.10438682,67.17180954,-4.781192066,34.98996571,14,Porte-à-porte,Average hours volunteered per activity,CA,...
32,Catégorie de revenu personnel,125 000 $ et plus,2018,mv1_30,4.794074589,21.91866964,2.734549585,6.853599592,13,Porte-à-porte,Average hours volunteered per activity,CA,...
33,Catégorie de revenu familial,Moins de 25 000 $,2018,mv1_30,38.80635432,33.4752316,13.34540889,64.26729974,27,Porte-à-porte,Average hours volunteered per activity,CA,...
34,Catégorie de revenu familial,25 000 $ à 49 999 $,2018,mv1_30,65.08075415,35.3590994,19.97812458,110.18338370000001,45,Porte-à-porte,Average hours volunteered per activity,CA,...
35,Catégorie de revenu familial,50 000 $ a 74 999 $,2018,mv1_30,36.78013211,31.08395782,14.37241119,59.18785304,45,Porte-à-porte,Average hours volunteered per activity,CA,*
36,Catégorie de revenu familial,75 000 $ à 99 999 $,2018,mv1_30,16.65106707,24.70733443,8.587706979,24.71442716,58,Porte-à-porte,Average hours volunteered per activity,CA,*
37,Catégorie de revenu familial,100 000 $ à 124 999 $,2018,mv1_30,40.24599498,62.16267763,-8.788360698,89.28035066,35,Porte-à-porte,Average hours volunteered per activity,CA,...
38,Catégorie de revenu familial,125 000 $ et plus,2018,mv1_30,10.61337038,33.36462768,3.672919353,17.55382142,98,Porte-à-porte,Average hours volunteered per activity,CA,...
39,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,mv1_30,54.93951059,23.32966874,29.81824879,80.06077239,83,Porte-à-porte,Average hours volunteered per activity,CA,*
40,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,mv1_30,14.93502344,52.19894156,-0.344707135,30.21475402,34,Porte-à-porte,Average hours volunteered per activity,CA,...
41,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,mv1_30,57.58445941,88.48135537,-42.27866548,157.44758430000002,24,Porte-à-porte,Average hours volunteered per activity,CA,...
42,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,mv1_30,18.26828702,50.40887508,0.219296233,36.31727781,41,Porte-à-porte,Average hours volunteered per activity,CA,...
43,Fréquence de la fréquentation religieuse,Pas du tout,2018,mv1_30,8.361901151,13.82615163,6.09592969,10.62787261,104,Porte-à-porte,Average hours volunteered per activity,CA,
44,Statut d'immigration,Né.e au Canada,2018,mv1_30,24.74585121,24.21901027,12.99939458,36.49230785,240,Porte-à-porte,Average hours volunteered per activity,CA,*
45,Statut d'immigration,Naturalisé.e,2018,mv1_30,31.99411587,30.20017912,13.05639447,50.93183728,45,Porte-à-porte,Average hours volunteered per activity,CA,*
46,Statut d'immigration,Unknown,2018,mv1_30,41.096931899999994,41.61983601,7.572775626,74.62108818,23,Porte-à-porte,Average hours volunteered per activity,CA,...
47,Groupe d'âge,15 à 24 ans,2018,mv1_40,17.16987233,25.65320114,8.536972071000001,25.80277259,153,Collecte de fonds,Average hours volunteered per activity,CA,*
48,Groupe d'âge,25 à 34 ans,2018,mv1_40,21.80385275,16.41590723,14.78855319,28.81915231,273,Collecte de fonds,Average hours volunteered per activity,CA,
49,Groupe d'âge,35 à 44 ans,2018,mv1_40,16.32124334,11.82374114,12.53894098,20.103545699999998,570,Collecte de fonds,Average hours volunteered per activity,CA,
50,Groupe d'âge,45 à 54 ans,2018,mv1_40,24.97611054,12.56853146,18.82352818,31.12869289,464,Collecte de fonds,Average hours volunteered per activity,CA,
51,Groupe d'âge,55 à 64 ans,2018,mv1_40,31.90540916,23.66148966,17.10906267,46.70175564,459,Collecte de fonds,Average hours volunteered per activity,CA,*
52,Groupe d'âge,65 à 74 ans,2018,mv1_40,39.36152602,14.58968816,28.105994,50.61705803,379,Collecte de fonds,Average hours volunteered per activity,CA,
53,Groupe d'âge,75 ans et plus,2018,mv1_40,39.69219798,24.56423824,20.58238043,58.80201554,138,Collecte de fonds,Average hours volunteered per activity,CA,*
54,Genre,Hommes,2018,mv1_40,19.68007548,7.8004310420000005,16.67127457,22.688876399999998,932,Collecte de fonds,Average hours volunteered per activity,CA,
55,Genre,Femmes,2018,mv1_40,27.40507682,10.17619027,21.93914344,32.87101019,1504,Collecte de fonds,Average hours volunteered per activity,CA,
56,Éducation,Sans diplôme d'études secondaires,2018,mv1_40,23.20789459,31.88257346,8.705583958,37.71020521,150,Collecte de fonds,Average hours volunteered per activity,CA,*
57,Éducation,Diplôme d'études secondaires,2018,mv1_40,31.71357343,20.23206146,19.13783757,44.2893093,444,Collecte de fonds,Average hours volunteered per activity,CA,*
58,Éducation,Diplôme post-secondaire,2018,mv1_40,17.35736659,6.82229291,15.03643528,19.67829791,773,Collecte de fonds,Average hours volunteered per activity,CA,
59,Éducation,Diplôme universtaire,2018,mv1_40,24.95364423,9.615308499,20.25096569,29.65632277,841,Collecte de fonds,Average hours volunteered per activity,CA,
60,État civil (original),Marié.e,2018,mv1_40,26.00346006,9.344790281,21.24080871,30.76611141,1394,Collecte de fonds,Average hours volunteered per activity,CA,
61,État civil (original),Union de fait,2018,mv1_40,16.75361313,17.65785107,10.95539669,22.55182958,221,Collecte de fonds,Average hours volunteered per activity,CA,*
62,État civil (original),Veuf.ve,2018,mv1_40,40.90668141,30.16851685,16.71888529,65.09447753,143,Collecte de fonds,Average hours volunteered per activity,CA,*
63,État civil (original),Séparé.e,2018,mv1_40,31.49450329,35.4683468,9.600569488,53.38843709,80,Collecte de fonds,Average hours volunteered per activity,CA,...
64,État civil (original),divorcé.e,2018,mv1_40,29.04642374,33.54982717,9.94652578,48.1463217,164,Collecte de fonds,Average hours volunteered per activity,CA,...
65,État civil (original),"Célibataire, jamais marié.e",2018,mv1_40,19.69211544,17.14465991,13.07499044,26.30924043,434,Collecte de fonds,Average hours volunteered per activity,CA,*
66,marstat2,Marié.e/union de fait,2018,mv1_40,24.52388885,8.349511076,20.51061796,28.53715975,1615,Collecte de fonds,Average hours volunteered per activity,CA,
67,marstat2,Veuf.ve,2018,mv1_40,40.90668141,30.16851685,16.71888529,65.09447753,143,Collecte de fonds,Average hours volunteered per activity,CA,*
68,marstat2,Séparé.e/divorcé.e,2018,mv1_40,29.94338448,24.3052098,15.67915385,44.20761511,244,Collecte de fonds,Average hours volunteered per activity,CA,*
69,marstat2,"Célibataire, jamais marié.e",2018,mv1_40,19.69211544,17.14465991,13.07499044,26.30924043,434,Collecte de fonds,Average hours volunteered per activity,CA,*
70,Situation d'activité,Employé.e,2018,mv1_40,21.09420761,9.644187087,17.10692578,25.08148944,1492,Collecte de fonds,Average hours volunteered per activity,CA,
71,Situation d'activité,Au chômage,2018,mv1_40,23.73948079,38.06606719,6.027900305,41.45106128,43,Collecte de fonds,Average hours volunteered per activity,CA,...
72,Situation d'activité,Pas dans la population active,2018,mv1_40,29.93331966,13.23821699,22.16669227,37.69994705,681,Collecte de fonds,Average hours volunteered per activity,CA,
73,Situation d'activité,Unable to determine,2018,mv1_40,28.52647287,20.18507299,17.24082508,39.81212066,220,Collecte de fonds,Average hours volunteered per activity,CA,*
74,Catégorie de revenu personnel,Moins de 25 000 $,2018,mv1_40,26.58985357,11.54687594,20.57218123,32.6075259,614,Collecte de fonds,Average hours volunteered per activity,CA,
75,Catégorie de revenu personnel,25 000 $ à 49 999 $,2018,mv1_40,25.62526894,18.73088856,16.21775429,35.03278358,640,Collecte de fonds,Average hours volunteered per activity,CA,*
76,Catégorie de revenu personnel,50 000 $ a 74 999 $,2018,mv1_40,21.50824449,11.74214349,16.55829875,26.45819024,533,Collecte de fonds,Average hours volunteered per activity,CA,
77,Catégorie de revenu personnel,75 000 $ à 99 999 $,2018,mv1_40,20.55632002,16.24343793,14.01189623,27.10074381,321,Collecte de fonds,Average hours volunteered per activity,CA,
78,Catégorie de revenu personnel,100 000 $ à 124 999 $,2018,mv1_40,21.18775011,24.64969525,10.95141518,31.42408504,163,Collecte de fonds,Average hours volunteered per activity,CA,*
79,Catégorie de revenu personnel,125 000 $ et plus,2018,mv1_40,16.69560159,16.3551633,11.34373785,22.04746534,165,Collecte de fonds,Average hours volunteered per activity,CA,
80,Catégorie de revenu familial,Moins de 25 000 $,2018,mv1_40,34.30887067,22.23148506,19.35949731,49.25824402,172,Collecte de fonds,Average hours volunteered per activity,CA,*
81,Catégorie de revenu familial,25 000 $ à 49 999 $,2018,mv1_40,25.76265217,15.33412113,18.01986092,33.50544342,311,Collecte de fonds,Average hours volunteered per activity,CA,
82,Catégorie de revenu familial,50 000 $ a 74 999 $,2018,mv1_40,28.81920554,16.98087793,19.22762373,38.41078735,375,Collecte de fonds,Average hours volunteered per activity,CA,*
83,Catégorie de revenu familial,75 000 $ à 99 999 $,2018,mv1_40,19.66674186,11.42524184,15.26275606,24.07072766,443,Collecte de fonds,Average hours volunteered per activity,CA,
84,Catégorie de revenu familial,100 000 $ à 124 999 $,2018,mv1_40,26.45187379,16.50503608,17.89488405,35.00886352,279,Collecte de fonds,Average hours volunteered per activity,CA,*
85,Catégorie de revenu familial,125 000 $ et plus,2018,mv1_40,21.1272388,16.09197289,14.46377375,27.79070385,856,Collecte de fonds,Average hours volunteered per activity,CA,
86,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2018,mv1_40,28.22170732,12.19121777,21.47831443,34.96510022,420,Collecte de fonds,Average hours volunteered per activity,CA,
87,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2018,mv1_40,20.90796773,13.61922382,15.32696455,26.488970899999998,248,Collecte de fonds,Average hours volunteered per activity,CA,
88,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2018,mv1_40,32.09108996,34.32124775,10.50392415,53.67825576,244,Collecte de fonds,Average hours volunteered per activity,CA,...
89,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2018,mv1_40,25.88335059,20.76672936,15.34829846,36.41840272,372,Collecte de fonds,Average hours volunteered per activity,CA,*
90,Fréquence de la fréquentation religieuse,Pas du tout,2018,mv1_40,18.96731348,8.885157167000001,15.66423398,22.27039299,951,Collecte de fonds,Average hours volunteered per activity,CA,
91,Statut d'immigration,Né.e au Canada,2018,mv1_40,24.5584756,9.062050929,20.19657269,28.92037852,1918,Collecte de fonds,Average hours volunteered per activity,CA,
92,Statut d'immigration,Naturalisé.e,2018,mv1_40,21.09956784,14.43107463,15.13168451,27.06745116,281,Collecte de fonds,Average hours volunteered per activity,CA,
93,Statut d'immigration,Non canadien.ne,2018,mv1_40,12.70440652,21.36798574,7.383739771,18.02507326,32,Collecte de fonds,Average hours volunteered per activity,CA,*
94,Statut d'immigration,Unknown,2018,mv1_40,28.27435414,21.84668894,16.16763662,40.38107166,205,Collecte de fonds,Average hours volunteered per activity,CA,*
95,Groupe d'âge,15 à 24 ans,2018,mv1_50,38.72350274,34.69166007,12.39368773,65.05331776,66,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,...
96,Groupe d'âge,25 à 34 ans,2018,mv1_50,36.13745342,10.63437587,28.60532628,43.66958056,231,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
97,Groupe d'âge,35 à 44 ans,2018,mv1_50,30.02620609,9.206810467999999,24.60797212,35.44444006,414,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
98,Groupe d'âge,45 à 54 ans,2018,mv1_50,47.84525032,15.13790279,33.64968691,62.04081374,363,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
99,Groupe d'âge,55 à 64 ans,2018,mv1_50,43.361973299999995,10.13157167,34.7513627,51.97258391,534,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
100,Groupe d'âge,65 à 74 ans,2018,mv1_50,57.10808262,20.20470978,34.49299437,79.72317087,503,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,*
101,Groupe d'âge,75 ans et plus,2018,mv1_50,46.873355700000005,14.63667739,33.42662715,60.32008425,230,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
102,Genre,Hommes,2018,mv1_50,41.40305381,9.922957237,33.35072342,49.4553842,966,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
103,Genre,Femmes,2018,mv1_50,42.86013893,8.510899915,35.71061459,50.00966327,1375,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,
104,Éducation,Sans diplôme d'études secondaires,2018,mv1_50,54.45726367,38.3194286,13.55729919,95.35722816,91,Membre d'un comité ou d'un conseil d'administration,Average hours volunteered per activity,CA,...
