Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,total_causes,3.103794439383434,2.321720542241821,2.962556625856367,3.2450322529105007,897,Total number of causes supported,Average number of causes supported,10,NL,NA
All,NA,2018,total_causes,2.9389113920100214,2.923680650166891,2.770502694576476,3.107320089443567,598,Total number of causes supported,Average number of causes supported,11,PE,NA
All,NA,2018,total_causes,2.8233714277925688,2.3214270685169933,2.69491047153984,2.951832384045298,880,Total number of causes supported,Average number of causes supported,12,NS,NA
All,NA,2018,total_causes,2.637634187440728,2.348705194677469,2.51621392630058,2.7590544485808763,837,Total number of causes supported,Average number of causes supported,13,NB,NA
All,NA,2018,total_causes,2.439505946641253,1.745784542401379,2.3560339857405537,2.5229779075419523,1509,Total number of causes supported,Average number of causes supported,24,QC,NA
All,NA,2018,total_causes,2.5245276661031397,1.25368274258276,2.4624956533208184,2.586559678885461,3289,Total number of causes supported,Average number of causes supported,35,ON,NA
All,NA,2018,total_causes,2.4952188221055938,2.498189126769532,2.3730439079457852,2.6173937362654023,850,Total number of causes supported,Average number of causes supported,46,MB,NA
All,NA,2018,total_causes,2.7319525161811327,2.5120035066257684,2.5974465715134376,2.8664584608488277,749,Total number of causes supported,Average number of causes supported,47,SK,NA
All,NA,2018,total_causes,2.4509425551736683,2.314864828514932,2.3397420244804943,2.5621430858668424,1013,Total number of causes supported,Average number of causes supported,48,AB,NA
All,NA,2018,total_causes,2.3890968720937624,1.923554664200834,2.2990255819470145,2.4791681622405104,1532,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,15 to 24 years,2018,total_causes,2.7758325563024706,10.993589510697817,2.177722818892568,3.373942293712373,31,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,25 to 34 years,2018,total_causes,2.6605886160311996,8.995620790173236,2.1914977689820025,3.129679463080397,78,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,35 to 44 years,2018,total_causes,3.372264041319855,5.169059356309546,3.0306142326339027,3.7139138500058073,151,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,45 to 54 years,2018,total_causes,3.115855990950969,4.715746001662077,2.8278670084641404,3.403844973437798,196,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,55 to 64 years,2018,total_causes,3.3322060001205407,4.934326429126293,3.0099449560313785,3.654467044209703,200,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,65 to 74 years,2018,total_causes,3.19175559637447,5.547415856146436,2.844724459426496,3.5387867333224436,167,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,75 years and over,2018,total_causes,2.9353465258093356,6.287667687560748,2.5736060963551077,3.2970869552635635,74,Total number of causes supported,Average number of causes supported,10,NL,NA
Age group,15 to 24 years,2018,total_causes,2.303147465279874,11.995909359401889,1.7616417903538275,2.844653140205919,26,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,25 to 34 years,2018,total_causes,2.7688038263806547,10.864266264027563,2.179226628946993,3.3583810238143164,57,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,35 to 44 years,2018,total_causes,2.8075941808917495,9.545128455963328,2.282346429286789,3.33284193249671,73,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,45 to 54 years,2018,total_causes,2.7739951686982822,8.19364411881545,2.328512422386013,3.2194779150105512,80,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,55 to 64 years,2018,total_causes,3.0500959050220726,4.997200107156752,2.7513593786417907,3.3488324314023545,145,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,65 to 74 years,2018,total_causes,3.395030253652748,5.834280690828706,3.0068092221445455,3.7832512851609503,129,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,75 years and over,2018,total_causes,3.545997035908269,5.526158767424684,3.16192753826387,3.930066533552668,88,Total number of causes supported,Average number of causes supported,11,PE,NA
Age group,15 to 24 years,2018,total_causes,2.0684806809657985,13.939723179509883,1.5033437230222253,2.6336176389093717,23,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,25 to 34 years,2018,total_causes,2.4178851359792657,7.9442179977293,2.0414112042749277,2.7943590676836036,59,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,35 to 44 years,2018,total_causes,2.618264821216171,6.061690428182928,2.307196765487529,2.9293328769448137,115,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,45 to 54 years,2018,total_causes,2.8291455378863812,5.695527362610454,2.5133272150815653,3.144963860691197,137,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,55 to 64 years,2018,total_causes,3.052055253951186,4.3576779012706295,2.791382518783323,3.3127279891190486,219,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,65 to 74 years,2018,total_causes,3.396694294553896,4.052680941236749,3.126891175018007,3.6664974140897857,218,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,75 years and over,2018,total_causes,3.068164259196593,5.722738504201966,2.72402786873064,3.412300649662546,109,Total number of causes supported,Average number of causes supported,12,NS,NA
Age group,15 to 24 years,2018,total_causes,1.383568264311695,8.760059804214535,1.146017870959887,1.6211186576635035,27,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,25 to 34 years,2018,total_causes,2.2797986099924734,7.586577694411871,1.9408058012458735,2.6187914187390735,67,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,35 to 44 years,2018,total_causes,2.578831776096469,6.04018388028023,2.273535670858057,2.884127881334881,122,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,45 to 54 years,2018,total_causes,2.7538162246793125,6.076059776138594,2.4258681518372676,3.0817642975213575,135,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,55 to 64 years,2018,total_causes,2.794362604652753,4.934912222026721,2.5240848614196554,3.064640347885851,191,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,65 to 74 years,2018,total_causes,2.9887444726070806,4.653647189742894,2.7161416604499427,3.261347284764218,186,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,75 years and over,2018,total_causes,3.0435466632426063,5.88865896435914,2.6922739145782053,3.394819411907007,109,Total number of causes supported,Average number of causes supported,13,NB,NA
Age group,15 to 24 years,2018,total_causes,2.0339583477063563,9.499541805798172,1.6552605283318658,2.412656167080847,44,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,25 to 34 years,2018,total_causes,2.179741136503818,4.722636517980972,1.9779799921967507,2.381502280810885,154,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,35 to 44 years,2018,total_causes,2.370664555916384,3.688565846423271,2.199278399875214,2.5420507119575544,254,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,45 to 54 years,2018,total_causes,2.512237719715382,5.201503243686354,2.256121138103139,2.7683543013276246,204,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,55 to 64 years,2018,total_causes,2.57964536584387,3.3749997646528564,2.4090049724075873,2.750285759280153,354,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,65 to 74 years,2018,total_causes,2.6413882956010535,3.989890158013624,2.434830647599477,2.84794594360263,300,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,75 years and over,2018,total_causes,2.663243032899036,4.391726743270373,2.434001026584443,2.892485039213629,199,Total number of causes supported,Average number of causes supported,24,QC,NA
Age group,15 to 24 years,2018,total_causes,1.881082951247195,8.249772750074609,1.5769258056209727,2.185240096873417,99,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,25 to 34 years,2018,total_causes,2.1915794101157675,4.094350444974821,2.01570999680999,2.367448823421545,375,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,35 to 44 years,2018,total_causes,2.5325077650260717,3.02977280259037,2.382121234747667,2.6828942953044765,510,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,45 to 54 years,2018,total_causes,2.659290156033528,2.7521573858133244,2.515844605066236,2.8027357070008194,552,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,55 to 64 years,2018,total_causes,2.744337920401905,2.8112762251851127,2.5931248968175593,2.895550943986251,687,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,65 to 74 years,2018,total_causes,2.8832647539385223,3.0815290809484166,2.709124615791456,3.0574048920855885,648,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,75 years and over,2018,total_causes,2.622487897234797,3.351446143562653,2.4502241744646382,2.794751620004956,418,Total number of causes supported,Average number of causes supported,35,ON,NA
Age group,15 to 24 years,2018,total_causes,1.883216707513735,11.79394958136864,1.4478976739256422,2.3185357411018277,39,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,25 to 34 years,2018,total_causes,2.222630133838298,5.108334254175414,2.0000970451290097,2.445163222547586,114,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,35 to 44 years,2018,total_causes,2.3880362755171993,7.207031731413473,2.0507136710301035,2.725358880004295,125,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,45 to 54 years,2018,total_causes,2.4756953628187155,5.9854067287880595,2.18526704341763,2.766123682219801,119,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,55 to 64 years,2018,total_causes,2.650811748195956,5.213086387637769,2.379966076582255,2.921657419809657,181,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,65 to 74 years,2018,total_causes,2.887062236832991,4.834709238480324,2.6134883771269464,3.160636096539035,169,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,75 years and over,2018,total_causes,3.1957890237294984,6.114587912085607,2.812793775978556,3.5787842714804405,103,Total number of causes supported,Average number of causes supported,46,MB,NA
Age group,15 to 24 years,2018,total_causes,1.6306304796124194,12.285943738692442,1.2379745420001396,2.023286417224699,26,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,25 to 34 years,2018,total_causes,2.6078500945016088,5.447431677664465,2.3294159406669284,2.886284248336289,95,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,35 to 44 years,2018,total_causes,3.048957073753359,6.252181984725951,2.6753363032698676,3.42257784423685,109,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,45 to 54 years,2018,total_causes,2.960556900375685,5.815910240947556,2.623083770999844,3.2980300297515264,111,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,55 to 64 years,2018,total_causes,2.9865489140077406,4.94445873400883,2.697123622259882,3.2759742057555994,158,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,65 to 74 years,2018,total_causes,2.841198001823372,5.242323208037891,2.549271592955856,3.133124410690888,150,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,75 years and over,2018,total_causes,2.3389866795812684,7.649640626594953,1.988301936042025,2.6896714231205117,100,Total number of causes supported,Average number of causes supported,47,SK,NA
Age group,15 to 24 years,2018,total_causes,1.8150361276883809,10.10518387277523,1.4555537667844898,2.1745184885922715,42,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,25 to 34 years,2018,total_causes,2.256690964241698,5.434043290941779,2.0163414354801024,2.4970404930032934,132,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,35 to 44 years,2018,total_causes,2.6611917768713225,5.031733941418885,2.398744583317866,2.9236389704247787,183,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,45 to 54 years,2018,total_causes,2.501511613005598,4.908870639376936,2.26083593610049,2.742187289910706,173,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,55 to 64 years,2018,total_causes,2.629358601857436,4.749603689395519,2.3845902378201433,2.874126965894728,252,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,65 to 74 years,2018,total_causes,2.793879874935294,5.0066221308866075,2.51972205680947,3.0680376930611186,139,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,75 years and over,2018,total_causes,2.4325289630584637,7.044516980437791,2.096669699585477,2.7683882265314503,92,Total number of causes supported,Average number of causes supported,48,AB,NA
Age group,15 to 24 years,2018,total_causes,1.762419410379341,10.31417378304054,1.4061391157194376,2.118699705039244,49,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,25 to 34 years,2018,total_causes,2.1458224759282776,4.8321485864649665,1.9425951226875176,2.349049829169038,162,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,35 to 44 years,2018,total_causes,2.425918853444748,4.961626365675579,2.1900077307395227,2.6618299761499733,228,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,45 to 54 years,2018,total_causes,2.4369038019430604,4.68199084809726,2.2132805097005797,2.6605270941855412,247,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,55 to 64 years,2018,total_causes,2.539438824805596,4.290174419411645,2.3259078930361774,2.7529697565750144,314,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,65 to 74 years,2018,total_causes,2.529151442055571,3.967891043422816,2.3324612682039985,2.7258416159071435,333,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,75 years and over,2018,total_causes,2.7162396062192453,6.044501503838339,2.3944465574129676,3.038032655025523,199,Total number of causes supported,Average number of causes supported,59,BC,NA
Gender,Male gender,2018,total_causes,2.913172156059328,3.4007731007005946,2.718997789006137,3.107346523112519,377,Total number of causes supported,Average number of causes supported,10,NL,NA
Gender,Female gender,2018,total_causes,3.2716750667685783,2.985155367123393,3.0802559998565453,3.4630941336806114,520,Total number of causes supported,Average number of causes supported,10,NL,NA
Gender,Male gender,2018,total_causes,2.767708765719139,4.705626042576004,2.512446928355309,3.0229706030829693,252,Total number of causes supported,Average number of causes supported,11,PE,NA
Gender,Female gender,2018,total_causes,3.089639694102146,3.882287880474575,2.8545445476168725,3.3247348405874195,346,Total number of causes supported,Average number of causes supported,11,PE,NA
Gender,Male gender,2018,total_causes,2.7287629135509803,3.497744633266129,2.5416938406602183,2.9158319864417424,345,Total number of causes supported,Average number of causes supported,12,NS,NA
Gender,Female gender,2018,total_causes,2.8955543674158286,3.255213354917868,2.7108150760706633,3.080293658760994,535,Total number of causes supported,Average number of causes supported,12,NS,NA
Gender,Male gender,2018,total_causes,2.445945950576399,3.7752498160474577,2.264961759064978,2.62693014208782,360,Total number of causes supported,Average number of causes supported,13,NB,NA
Gender,Female gender,2018,total_causes,2.820855339678015,3.027816221042668,2.653454197297852,2.988256482058178,477,Total number of causes supported,Average number of causes supported,13,NB,NA
Gender,Male gender,2018,total_causes,2.418491592172739,2.6937224147768286,2.2908049362571328,2.546178248088345,673,Total number of causes supported,Average number of causes supported,24,QC,NA
Gender,Female gender,2018,total_causes,2.458019924803458,2.4011338827830615,2.342342165898854,2.573697683708062,836,Total number of causes supported,Average number of causes supported,24,QC,NA
Gender,Male gender,2018,total_causes,2.428270026230255,2.0285266167648865,2.331725916817871,2.5248141356426386,1400,Total number of causes supported,Average number of causes supported,35,ON,NA
Gender,Female gender,2018,total_causes,2.608858338897332,1.6865987005974623,2.522618020757764,2.6950986570369,1889,Total number of causes supported,Average number of causes supported,35,ON,NA
Gender,Male gender,2018,total_causes,2.4071916664880257,3.7934705140476312,2.2282153873533104,2.586167945622741,360,Total number of causes supported,Average number of causes supported,46,MB,NA
Gender,Female gender,2018,total_causes,2.5726264607591443,3.151502521825021,2.4137196606981353,2.7315332608201532,490,Total number of causes supported,Average number of causes supported,46,MB,NA
Gender,Male gender,2018,total_causes,2.554699736673955,3.8298316590151726,2.3629354898082258,2.746463983539684,318,Total number of causes supported,Average number of causes supported,47,SK,NA
Gender,Female gender,2018,total_causes,2.88729165798324,3.383798002532771,2.6958029464956477,3.0787803694708327,431,Total number of causes supported,Average number of causes supported,47,SK,NA
Gender,Male gender,2018,total_causes,2.3186746030966883,3.7129669169262938,2.1499381267146753,2.487411079478701,455,Total number of causes supported,Average number of causes supported,48,AB,NA
Gender,Female gender,2018,total_causes,2.5641784500359326,2.7465646981060123,2.4261444190841988,2.7022124809876664,558,Total number of causes supported,Average number of causes supported,48,AB,NA
Gender,Male gender,2018,total_causes,2.285004193687914,3.0498809299301333,2.1484144855852465,2.4215939017905814,609,Total number of causes supported,Average number of causes supported,59,BC,NA
Gender,Female gender,2018,total_causes,2.472404561591739,2.5241769382416477,2.350087392342812,2.594721730840666,923,Total number of causes supported,Average number of causes supported,59,BC,NA
Education,Less than High School,2018,total_causes,2.501749643599668,7.309486439628281,2.1433407297019476,2.8601585574973885,80,Total number of causes supported,Average number of causes supported,10,NL,NA
Education,Graduated from High school,2018,total_causes,3.0128410186555508,4.878070345080286,2.7247880434139455,3.300893993897156,161,Total number of causes supported,Average number of causes supported,10,NL,NA
Education,Post-secondary diploma,2018,total_causes,3.3024147680498532,3.4693888727015567,3.077854617904511,3.5269749181951955,316,Total number of causes supported,Average number of causes supported,10,NL,NA
Education,University Diploma,2018,total_causes,3.4073156221438814,5.184521842933931,3.061082059915755,3.753549184372008,194,Total number of causes supported,Average number of causes supported,10,NL,NA
Education,Less than High School,2018,total_causes,2.6762027916579387,9.883199913044246,2.1578031524710712,3.194602430844806,49,Total number of causes supported,Average number of causes supported,11,PE,NA
Education,Graduated from High school,2018,total_causes,2.5585267587566864,7.256489719345546,2.1946413521761596,2.9224121653372133,121,Total number of causes supported,Average number of causes supported,11,PE,NA
Education,Post-secondary diploma,2018,total_causes,3.235245984908631,4.764036839832639,2.9331600471733306,3.5373319226439315,189,Total number of causes supported,Average number of causes supported,11,PE,NA
Education,University Diploma,2018,total_causes,3.2508152954720138,5.574434242615391,2.8956412824476345,3.605989308496393,178,Total number of causes supported,Average number of causes supported,11,PE,NA
Education,Less than High School,2018,total_causes,2.5150983118318684,10.034724755984357,2.02043634337656,3.009760280287177,71,Total number of causes supported,Average number of causes supported,12,NS,NA
Education,Graduated from High school,2018,total_causes,2.6005284435549,5.926051762721104,2.2984810169773078,2.902575870132492,179,Total number of causes supported,Average number of causes supported,12,NS,NA
Education,Post-secondary diploma,2018,total_causes,2.815116775728284,3.837425073478095,2.603385792287292,3.026847759169276,280,Total number of causes supported,Average number of causes supported,12,NS,NA
Education,University Diploma,2018,total_causes,3.179585814365762,3.96941702739251,2.9322167593103803,3.4269548694211434,255,Total number of causes supported,Average number of causes supported,12,NS,NA
Education,Less than High School,2018,total_causes,2.500426175636599,9.743523726622824,2.022920899397251,2.977931451875947,69,Total number of causes supported,Average number of causes supported,13,NB,NA
Education,Graduated from High school,2018,total_causes,2.2755788141282065,5.196292191549123,2.043821453309415,2.5073361749469982,209,Total number of causes supported,Average number of causes supported,13,NB,NA
Education,Post-secondary diploma,2018,total_causes,2.69027944185115,3.829049621257278,2.4883793677137955,2.8921795159885058,260,Total number of causes supported,Average number of causes supported,13,NB,NA
Education,University Diploma,2018,total_causes,2.9768571569534603,4.763891938324485,2.698906318552732,3.2548079953541884,216,Total number of causes supported,Average number of causes supported,13,NB,NA
Education,Less than High School,2018,total_causes,2.2944025542153907,5.219076665605262,2.059703475433958,2.5291016329968237,166,Total number of causes supported,Average number of causes supported,24,QC,NA
Education,Graduated from High school,2018,total_causes,2.3880014041537088,4.2115091518711205,2.1908860668026673,2.5851167415047502,283,Total number of causes supported,Average number of causes supported,24,QC,NA
Education,Post-secondary diploma,2018,total_causes,2.4085398468684716,2.7984211166864643,2.2764361424996378,2.5406435512373053,502,Total number of causes supported,Average number of causes supported,24,QC,NA
Education,University Diploma,2018,total_causes,2.5952077090274965,3.5145400401552935,2.4164401504281208,2.7739752676268723,446,Total number of causes supported,Average number of causes supported,24,QC,NA
Education,Less than High School,2018,total_causes,2.2502678271640857,5.6270123767106055,2.002091603222664,2.4984440511055075,239,Total number of causes supported,Average number of causes supported,35,ON,NA
Education,Graduated from High school,2018,total_causes,2.306363653275289,3.3239092362507217,2.1561100026663285,2.45661730388425,609,Total number of causes supported,Average number of causes supported,35,ON,NA
Education,Post-secondary diploma,2018,total_causes,2.519969935212369,2.115906358401399,2.4154642555496775,2.6244756148750596,1011,Total number of causes supported,Average number of causes supported,35,ON,NA
Education,University Diploma,2018,total_causes,2.720229668529216,2.1274124167293507,2.6068055654476066,2.833653771610825,1212,Total number of causes supported,Average number of causes supported,35,ON,NA
Education,Less than High School,2018,total_causes,2.021448313627882,7.22598255045971,1.7351573496659418,2.307739277589821,77,Total number of causes supported,Average number of causes supported,46,MB,NA
Education,Graduated from High school,2018,total_causes,2.244629990471617,5.472315099274844,2.0038812916195416,2.485378689323692,205,Total number of causes supported,Average number of causes supported,46,MB,NA
Education,Post-secondary diploma,2018,total_causes,2.3478926680322103,4.431949628135439,2.143943871783115,2.5518414642813054,254,Total number of causes supported,Average number of causes supported,46,MB,NA
Education,University Diploma,2018,total_causes,2.909437003750878,4.306513742243787,2.663862719717518,3.155011287784238,215,Total number of causes supported,Average number of causes supported,46,MB,NA
Education,Less than High School,2018,total_causes,1.9017358341156472,9.270842960930196,1.5561805761745893,2.247291092056705,55,Total number of causes supported,Average number of causes supported,47,SK,NA
Education,Graduated from High school,2018,total_causes,2.4725616878184353,5.3578862049086995,2.2129114575442363,2.7322119180926343,180,Total number of causes supported,Average number of causes supported,47,SK,NA
Education,Post-secondary diploma,2018,total_causes,2.696654073046806,4.1158200435153915,2.479118789850375,2.914189356243237,243,Total number of causes supported,Average number of causes supported,47,SK,NA
