Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,total_causes,1.4050731397616885,0.9159121073413916,1.3798499026451112,1.4302963768782655,-,Total number of causes supported,Average number of causes supported,CA,NA,NA
All,NA,2018,total_causes,1.4281698319465848,0.9298752623537084,1.40214112221455,1.4541985416786194,-,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
All,NA,2018,total_causes,1.503217870681805,2.019205211876514,1.4437269788232852,1.5627087625403246,758,Total number of causes supported,Average number of causes supported,AB,NA,NA
All,NA,2018,total_causes,1.4733362508658612,1.473559494572266,1.4307844798042542,1.5158880219274682,2011,Total number of causes supported,Average number of causes supported,AT,NA,NA
All,NA,2018,total_causes,1.4485356801451508,1.8937954922498317,1.3947693534403058,1.5023020068499957,1194,Total number of causes supported,Average number of causes supported,BC,NA,NA
All,NA,2018,total_causes,1.3799380929338412,1.6752056332750644,1.3346299961857189,1.4252461896819637,2347,Total number of causes supported,Average number of causes supported,ON,NA,NA
All,NA,2018,total_causes,1.4689162163758465,2.1036938642785623,1.408350388689622,1.5294820440620709,1075,Total number of causes supported,Average number of causes supported,PR,NA,NA
All,NA,2018,total_causes,1.3004894834652476,3.174070002973458,1.2195852148179571,1.381393752112538,980,Total number of causes supported,Average number of causes supported,QC,NA,NA
All,NA,2018,total_causes,1.4903473584144875,2.8740732415789485,1.4063948988048325,1.5742998180241423,567,Total number of causes supported,Average number of causes supported,10,NL,NA
All,NA,2018,total_causes,1.5906156778361726,3.680394974903448,1.4758775448399002,1.705353810832445,323,Total number of causes supported,Average number of causes supported,11,PE,NA
All,NA,2018,total_causes,1.4614865859989097,2.5440827740561938,1.388612325285259,1.53436084671256,579,Total number of causes supported,Average number of causes supported,12,NS,NA
All,NA,2018,total_causes,1.449919691417445,2.9160585699681567,1.3670514196276673,1.5327879632072228,542,Total number of causes supported,Average number of causes supported,13,NB,NA
All,NA,2018,total_causes,1.3004894834652476,3.174070002973458,1.2195852148179571,1.381393752112538,980,Total number of causes supported,Average number of causes supported,24,QC,NA
All,NA,2018,total_causes,1.3799380929338412,1.6752056332750644,1.3346299961857189,1.4252461896819637,2347,Total number of causes supported,Average number of causes supported,35,ON,NA
All,NA,2018,total_causes,1.451309062385483,2.7641048613091623,1.3726837266528316,1.5299343981181344,576,Total number of causes supported,Average number of causes supported,46,MB,NA
All,NA,2018,total_causes,1.4873819002103807,3.190754012267541,1.3943645620461458,1.5803992383746155,499,Total number of causes supported,Average number of causes supported,47,SK,NA
All,NA,2018,total_causes,1.503217870681805,2.019205211876514,1.4437269788232852,1.5627087625403246,758,Total number of causes supported,Average number of causes supported,48,AB,NA
All,NA,2018,total_causes,1.4485356801451508,1.8937954922498317,1.3947693534403058,1.5023020068499957,1194,Total number of causes supported,Average number of causes supported,59,BC,NA
Age group,15 to 24 years,2018,total_causes,1.4251115922041633,3.636788498773935,1.323530001643276,1.5266931827650505,505,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,25 to 34 years,2018,total_causes,1.3375610726361915,2.0733132870201527,1.2832076817865443,1.3919144634858391,919,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,35 to 44 years,2018,total_causes,1.4125188048235535,1.826476318504232,1.3619530639275208,1.4630845457195862,1481,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,45 to 54 years,2018,total_causes,1.4259572547557986,1.7289213080055883,1.3776369321811526,1.4742775773304446,1390,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,55 to 64 years,2018,total_causes,1.411851756223698,1.7518849244644776,1.363373971607518,1.4603295408398778,1707,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,65 to 74 years,2018,total_causes,1.406558594812381,1.8672626005618025,1.3550818212395552,1.458035368385207,1560,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,75 years and over,2018,total_causes,1.4151130648061394,2.4919204804615656,1.345997889961194,1.4842282396510849,803,Total number of causes supported,Average number of causes supported,CA,NA,NA
Gender,Male gender,2018,total_causes,1.3595238682805997,1.443037136736479,1.321072443615447,1.3979752929457523,3493,Total number of causes supported,Average number of causes supported,CA,NA,NA
Gender,Female gender,2018,total_causes,1.4435416781287231,1.284707889973416,1.4071935701314209,1.4798897861260256,4872,Total number of causes supported,Average number of causes supported,CA,NA,NA
Education,Less than High School,2018,total_causes,1.3783068131897322,3.7174062266819496,1.277883622462595,1.4787300039168696,545,Total number of causes supported,Average number of causes supported,CA,NA,NA
Education,Graduated from High school,2018,total_causes,1.3278028636663752,2.7544224205296644,1.2561205133071558,1.399485214025595,1455,Total number of causes supported,Average number of causes supported,CA,NA,NA
Education,Post-secondary diploma,2018,total_causes,1.38059311309766,1.4338030906524335,1.341795652042351,1.419390574152969,2618,Total number of causes supported,Average number of causes supported,CA,NA,NA
Education,University Diploma,2018,total_causes,1.507581909668212,1.306663284299712,1.4689725413204695,1.5461912780159544,2973,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),Married,2018,total_causes,1.4317306744268814,1.0495034209400762,1.4022801332801835,1.4611812155735793,4495,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),Living common-law,2018,total_causes,1.300640215294992,2.5494688744169984,1.2356489513307551,1.365631479259229,726,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),Widowed,2018,total_causes,1.4075669213069284,2.6328623737076096,1.3349320282972024,1.4802018143166544,635,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),Separated,2018,total_causes,1.3827857770440644,4.452767034578152,1.2621064252876757,1.503465128800453,242,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),Divorced,2018,total_causes,1.4046379100774713,2.850068885452742,1.326174381754063,1.4831014384008796,677,Total number of causes supported,Average number of causes supported,CA,NA,NA
Marital status (original),"Single, never married",2018,total_causes,1.3971741374710331,2.508520625486418,1.3284805329869815,1.4658677419550847,1590,Total number of causes supported,Average number of causes supported,CA,NA,NA
Labour force status,Employed,2018,total_causes,1.408688357973607,1.1270337574885256,1.3775711988381554,1.4398055171090585,4536,Total number of causes supported,Average number of causes supported,CA,NA,NA
Labour force status,Unemployed,2018,total_causes,1.4979119527671456,4.860276681865161,1.355221350692407,1.6406025548418843,187,Total number of causes supported,Average number of causes supported,CA,NA,NA
Labour force status,Not in labour force,2018,total_causes,1.4087577822491493,1.7358820746694057,1.3608280903022263,1.456687474196072,2852,Total number of causes supported,Average number of causes supported,CA,NA,NA
Labour force status,Unable to determine,2018,total_causes,1.3351404662887585,3.2461072823042025,1.2501954470679306,1.420085485509586,790,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"Less than $25,000",2018,total_causes,1.3909235946870382,1.7440773983540243,1.3433772516534157,1.438469937720661,2213,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"$25,000 to $49,999",2018,total_causes,1.379075608424551,1.960639200203892,1.3260807361563838,1.4320704806927185,2297,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"$50,000 to $74,999",2018,total_causes,1.3953789960552698,1.5881065028929202,1.3519459891919714,1.4388120029185685,1750,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"$75,000 to $99,999",2018,total_causes,1.4871142075740298,2.050516460204105,1.4273480034598909,1.5468804116881687,1047,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"$100,000 to $124,999",2018,total_causes,1.444934669206161,3.0868192696201233,1.357515332853643,1.53235400555868,484,Total number of causes supported,Average number of causes supported,CA,NA,NA
Personal income category,"$125,000 and more",2018,total_causes,1.4882198561045277,2.7602550316163956,1.4077071551905926,1.5687325570184627,574,Total number of causes supported,Average number of causes supported,CA,NA,NA
Frequency of religious attendance,At least once a week,2018,total_causes,1.5780197855808162,1.8276125332683684,1.521494253007518,1.6345453181541143,1672,Total number of causes supported,Average number of causes supported,CA,NA,NA
Frequency of religious attendance,At least once a month,2018,total_causes,1.4823617859630152,2.5105146253096255,1.4094219037793545,1.5553016681466758,766,Total number of causes supported,Average number of causes supported,CA,NA,NA
Frequency of religious attendance,At least 3 times a year,2018,total_causes,1.483224012589865,2.70965793921776,1.4044524775233946,1.5619955476563354,734,Total number of causes supported,Average number of causes supported,CA,NA,NA
Frequency of religious attendance,Once or twice a year,2018,total_causes,1.3406592964881603,2.86078493944285,1.2654880544861338,1.4158305384901868,1150,Total number of causes supported,Average number of causes supported,CA,NA,NA
Frequency of religious attendance,Not at all,2018,total_causes,1.3273850486472951,1.573784419331128,1.2864410500196246,1.3683290472749656,3309,Total number of causes supported,Average number of causes supported,CA,NA,NA
Immigration status,Native-born,2018,total_causes,1.426199433296209,1.0473912145128816,1.396921711662177,1.4554771549302403,6328,Total number of causes supported,Average number of causes supported,CA,NA,NA
Immigration status,Naturalized,2018,total_causes,1.3614179306387597,1.9536329617624315,1.309288554042896,1.4135473072346234,1149,Total number of causes supported,Average number of causes supported,CA,NA,NA
Immigration status,Non-Canadian,2018,total_causes,1.3745803846421152,7.87005115802132,1.162551129021293,1.586609640262937,164,Total number of causes supported,Average number of causes supported,CA,NA,NA
Immigration status,Unknown,2018,total_causes,1.3394630395968572,3.471907030139036,1.248315088074393,1.4306109911193214,724,Total number of causes supported,Average number of causes supported,CA,NA,NA
Age group,15 to 24 years,2018,total_causes,1.4279054788789158,3.3569443855285,1.3339565793481096,1.521854378409722,450,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,25 to 34 years,2018,total_causes,1.3488726048380613,2.264615367305222,1.2890020234569748,1.4087431862191475,819,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,35 to 44 years,2018,total_causes,1.4538575930778237,2.0721861893992437,1.394810471038195,1.5129047151174524,1284,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,45 to 54 years,2018,total_causes,1.4707132576657442,1.8921660898507549,1.416170718336759,1.5252557969947298,1239,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,55 to 64 years,2018,total_causes,1.4342209413393383,1.8889642115047247,1.3811217532875284,1.4873201293911482,1513,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,65 to 74 years,2018,total_causes,1.436400570025656,2.0232229389161303,1.3794409084701733,1.4933602315811385,1379,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
Age group,75 years and over,2018,total_causes,1.407931281085254,2.810675409533391,1.3303708448335,1.485491717337008,701,Total number of causes supported,Average number of causes supported,CA (without QC),NA,NA
