,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,All,,2018,total_causes,3.1037944393834334,2.321720542241821,2.962556625856367,3.2450322529105007,897,Total number of causes supported,Average number of causes supported,10,NL,
1,All,,2018,total_causes,2.9389113920100214,2.923680650166891,2.7705026945764764,3.107320089443567,598,Total number of causes supported,Average number of causes supported,11,PE,
2,All,,2018,total_causes,2.8233714277925688,2.3214270685169933,2.69491047153984,2.9518323840452982,880,Total number of causes supported,Average number of causes supported,12,NS,
3,All,,2018,total_causes,2.637634187440728,2.348705194677469,2.5162139263005803,2.7590544485808763,837,Total number of causes supported,Average number of causes supported,13,NB,
4,All,,2018,total_causes,2.439505946641253,1.7457845424013791,2.3560339857405537,2.5229779075419523,1509,Total number of causes supported,Average number of causes supported,24,QC,
5,All,,2018,total_causes,2.52452766610314,1.25368274258276,2.4624956533208184,2.586559678885461,3289,Total number of causes supported,Average number of causes supported,35,ON,
6,All,,2018,total_causes,2.4952188221055938,2.4981891267695318,2.373043907945785,2.6173937362654023,850,Total number of causes supported,Average number of causes supported,46,MB,
7,All,,2018,total_causes,2.7319525161811327,2.5120035066257684,2.5974465715134376,2.866458460848828,749,Total number of causes supported,Average number of causes supported,47,SK,
8,All,,2018,total_causes,2.4509425551736683,2.3148648285149314,2.3397420244804943,2.5621430858668424,1013,Total number of causes supported,Average number of causes supported,48,AB,
9,All,,2018,total_causes,2.3890968720937624,1.923554664200834,2.2990255819470145,2.4791681622405104,1532,Total number of causes supported,Average number of causes supported,59,BC,
10,Age group,15 à 24 ans,2018,total_causes,2.7758325563024706,10.993589510697815,2.177722818892568,3.3739422937123726,31,Total number of causes supported,Average number of causes supported,10,NL,
11,Age group,25 à 34 ans,2018,total_causes,2.6605886160312,8.995620790173236,2.1914977689820025,3.1296794630803975,78,Total number of causes supported,Average number of causes supported,10,NL,
12,Age group,35 à 44 ans,2018,total_causes,3.372264041319855,5.169059356309545,3.0306142326339027,3.7139138500058073,151,Total number of causes supported,Average number of causes supported,10,NL,
13,Age group,45 à 54 ans,2018,total_causes,3.1158559909509687,4.715746001662077,2.8278670084641404,3.4038449734377987,196,Total number of causes supported,Average number of causes supported,10,NL,
14,Age group,55 à 64 ans,2018,total_causes,3.3322060001205407,4.934326429126293,3.0099449560313785,3.6544670442097034,200,Total number of causes supported,Average number of causes supported,10,NL,
15,Age group,65 à 74 ans,2018,total_causes,3.19175559637447,5.547415856146437,2.844724459426496,3.538786733322444,167,Total number of causes supported,Average number of causes supported,10,NL,
