,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,0,0,All,,2018,gs1datot,397.17539189498063,8.005412178383493,334.85730372860246,459.4934800613587,897,Total amount of donations,Average total amount of donations,10,NL,
1,1,1,All,,2018,gs1datot,501.9784963916008,10.065707065639527,402.9460536100258,601.0109391731759,598,Total amount of donations,Average total amount of donations,11,PE,
2,2,2,All,,2018,gs1datot,481.4241919007344,8.293614568220468,403.1677947545626,559.6805890469062,880,Total amount of donations,Average total amount of donations,12,NS,
3,3,3,All,,2018,gs1datot,544.3956462056993,9.866590455319173,439.11953453380204,649.6717578775966,837,Total amount of donations,Average total amount of donations,13,NB,
4,4,4,All,,2018,gs1datot,251.29115908161012,7.880571454153808,212.47764077740345,290.1046773858167,1509,Total amount of donations,Average total amount of donations,24,QC,
5,5,5,All,,2018,gs1datot,612.7689886241125,4.8418422499016485,554.6182139183039,670.919763329921,3289,Total amount of donations,Average total amount of donations,35,ON,
6,6,6,All,,2018,gs1datot,745.2133712154158,8.920544528498722,614.9206678196787,875.5060746111526,850,Total amount of donations,Average total amount of donations,46,MB,
7,7,7,All,,2018,gs1datot,796.4708174102252,9.160327139035724,653.4731534883526,939.4684813320979,749,Total amount of donations,Average total amount of donations,47,SK,
8,8,8,All,,2018,gs1datot,924.9715593751661,9.527765333827345,752.2416590054003,1097.7014597449318,1013,Total amount of donations,Average total amount of donations,48,AB,
9,9,9,All,,2018,gs1datot,643.5377813135732,6.698428599122352,559.0497730013351,728.0257896258113,1532,Total amount of donations,Average total amount of donations,59,BC,
10,10,10,Age group,15 à 24 ans,2018,gs1datot,141.54633074428816,27.626159689833866,64.90426096781003,218.1884005207663,31,Total amount of donations,Average total amount of donations,10,NL,*
11,11,11,Age group,25 à 34 ans,2018,gs1datot,167.72906805995382,18.413493336697236,107.19601007852762,228.26212604138001,78,Total amount of donations,Average total amount of donations,10,NL,*
12,12,12,Age group,35 à 44 ans,2018,gs1datot,302.4129061249337,24.77416422174418,155.57187523028205,449.25393701958535,151,Total amount of donations,Average total amount of donations,10,NL,*
13,13,13,Age group,45 à 54 ans,2018,gs1datot,437.36397819251465,19.735968575200012,268.18377307678327,606.5441833082458,196,Total amount of donations,Average total amount of donations,10,NL,*
14,14,14,Age group,55 à 64 ans,2018,gs1datot,500.72541947284935,16.82413837881925,335.61268807251724,665.8381508731816,200,Total amount of donations,Average total amount of donations,10,NL,*
15,15,15,Age group,65 à 74 ans,2018,gs1datot,415.0206247063605,16.43761891550664,281.3128445917704,548.7284048209506,167,Total amount of donations,Average total amount of donations,10,NL,
16,16,16,Age group,75 ans et plus,2018,gs1datot,760.0364316394893,21.78395462789014,435.5330513842099,1084.5398118947683,74,Total amount of donations,Average total amount of donations,10,NL,*
17,17,17,Age group,15 à 24 ans,2018,gs1datot,167.54279340274238,39.305170276380316,38.47332387192045,296.6122629335643,26,Total amount of donations,Average total amount of donations,11,PE,...
18,18,18,Age group,25 à 34 ans,2018,gs1datot,420.33235167245834,25.05050519338563,213.9572038669416,626.707499477975,57,Total amount of donations,Average total amount of donations,11,PE,*
19,19,19,Age group,35 à 44 ans,2018,gs1datot,334.3991342100758,23.672530653029586,179.2469396237307,489.5513287964209,73,Total amount of donations,Average total amount of donations,11,PE,*
