Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,vd1dhrs,161.29049377396137,10.963740412633523,126.63152739894596,195.9494601489768,567,Total hours of formal volunteering,Average total hours of formal volunteering,10,NL,NA
All,NA,2018,vd1dhrs,123.58764155054926,9.919426012667344,99.5600811284853,147.61520197261325,323,Total hours of formal volunteering,Average total hours of formal volunteering,11,PE,NA
All,NA,2018,vd1dhrs,144.7328156010495,11.35999504634217,112.50779201618786,176.95783918591115,579,Total hours of formal volunteering,Average total hours of formal volunteering,12,NS,NA
All,NA,2018,vd1dhrs,116.81823748941136,11.970281969426216,89.41113516897704,144.22533980984568,542,Total hours of formal volunteering,Average total hours of formal volunteering,13,NB,NA
All,NA,2018,vd1dhrs,126.49164277880908,7.789228599104706,107.18066012815083,145.8026254294673,980,Total hours of formal volunteering,Average total hours of formal volunteering,24,QC,NA
All,NA,2018,vd1dhrs,122.11577006846962,4.913211152162695,110.35636711246444,133.8751730244748,2347,Total hours of formal volunteering,Average total hours of formal volunteering,35,ON,NA
All,NA,2018,vd1dhrs,117.8174951465352,9.413701696537712,96.07955901627454,139.55543127679584,576,Total hours of formal volunteering,Average total hours of formal volunteering,46,MB,NA
All,NA,2018,vd1dhrs,138.92366480473686,10.75389601626472,109.64237821316864,168.2049513963051,499,Total hours of formal volunteering,Average total hours of formal volunteering,47,SK,NA
All,NA,2018,vd1dhrs,140.53319054847273,7.70076595956503,119.32220139722892,161.74417969971657,758,Total hours of formal volunteering,Average total hours of formal volunteering,48,AB,NA
All,NA,2018,vd1dhrs,148.49431519193303,6.838421309063787,128.59153380697813,168.39709657688792,1194,Total hours of formal volunteering,Average total hours of formal volunteering,59,BC,NA
All,NA,2018,vd1dhrs,130.70678145624603,2.761626040280259,123.63203173312976,137.78153117936233,-,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
All,NA,2018,vd1dhrs,131.63767031591124,2.989800613605851,123.92383246740704,139.35150816441543,-,Total hours of formal volunteering,Average total hours of formal volunteering,CA (without QC),NA,NA
All,NA,2018,vd1dhrs,140.53319054847273,7.70076595956503,119.32220139722892,161.74417969971657,758,Total hours of formal volunteering,Average total hours of formal volunteering,AB,NA,NA
All,NA,2018,vd1dhrs,138.73104007405763,6.371587993500988,121.40619265451366,156.0558874936016,2011,Total hours of formal volunteering,Average total hours of formal volunteering,AT,NA,NA
All,NA,2018,vd1dhrs,148.49431519193303,6.838421309063787,128.59153380697813,168.39709657688792,1194,Total hours of formal volunteering,Average total hours of formal volunteering,BC,NA,NA
All,NA,2018,vd1dhrs,122.11577006846962,4.913211152162695,110.35636711246444,133.8751730244748,2347,Total hours of formal volunteering,Average total hours of formal volunteering,ON,NA,NA
All,NA,2018,vd1dhrs,128.11941763798382,7.2140192214332,110.00433406001906,146.23450121594857,1075,Total hours of formal volunteering,Average total hours of formal volunteering,PR,NA,NA
All,NA,2018,vd1dhrs,126.49164277880908,7.789228599104706,107.18066012815083,145.8026254294673,980,Total hours of formal volunteering,Average total hours of formal volunteering,QC,NA,NA
Age group,15 to 24 years,2018,vd1dhrs,86.11929732034129,9.308510190958655,70.40739584332913,101.83119879735344,505,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,25 to 34 years,2018,vd1dhrs,120.98712821182508,10.158916209922388,96.89724815669013,145.07700826696004,919,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,35 to 44 years,2018,vd1dhrs,105.39841026456514,6.938931404363456,91.06416782096026,119.73265270817002,1481,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,45 to 54 years,2018,vd1dhrs,133.38207890659044,7.170087647055738,114.63774389686158,152.12641391631928,1390,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,55 to 64 years,2018,vd1dhrs,145.62028733802742,5.6457715311263454,129.50666153201732,161.73391314403753,1707,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,65 to 74 years,2018,vd1dhrs,181.46254623658385,5.777106941528428,160.91568450130814,202.00940797185956,1560,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Age group,75 years and over,2018,vd1dhrs,223.40276232037152,7.08968640281098,192.35976443631048,254.4457602044326,803,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Gender,Male gender,2018,vd1dhrs,122.60998839283243,3.970285375387113,113.06894949655076,132.15102728911413,3493,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Gender,Female gender,2018,vd1dhrs,137.5449104642848,3.823456131637924,127.23752001519438,147.85230091337525,4872,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Education,Less than High School,2018,vd1dhrs,101.5706216656348,8.571638627941777,84.50665260882127,118.63459072244832,545,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Education,Graduated from High school,2018,vd1dhrs,127.14937653994046,6.583451664069894,110.74287523727222,143.5558778426087,1455,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Education,Post-secondary diploma,2018,vd1dhrs,132.700808388933,4.429109098533073,121.181191455252,144.22042532261403,2618,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Education,University Diploma,2018,vd1dhrs,139.64071377121095,4.970370777553688,126.03726772984828,153.24415981257366,2973,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
Marital status (original),Married,2018,vd1dhrs,137.67515080450295,3.5137917135488994,128.19359367399596,147.15670793500993,4495,Total hours of formal volunteering,Average total hours of formal volunteering,CA,NA,NA
