"","Group","Attribute","Year","QuestionNo.","Estimate","cv","CI Lower","CI Upper","Unweightedn","QuestionText","QuestionGroup","Region","Marker"
"1","Arts & culture","Do not support cause",2018,"ng_020",0.675457137847978,0.0119062171018265,0.659694834409979,0.691219441285976,9008,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"2","Arts & culture","Support cause",2018,"ng_020",0.631207966545448,0.0613353254689809,0.555327282605753,0.707088650485142,463,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"3","Sports & Recreation","Do not support cause",2018,"ng_020",0.661569472475132,0.0135071116066055,0.644055444612938,0.679083500337326,7547,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"4","Sports & Recreation","Support cause",2018,"ng_020",0.737542850465558,0.0205665293296255,0.707812751307873,0.767272949623244,1924,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"5","Education & research","Do not support cause",2018,"ng_020",0.663852579078227,0.0127795681833246,0.647224736000268,0.680480422156186,7766,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"6","Education & research","Support cause",2018,"ng_020",0.725071514071796,0.022653433973123,0.692878400685837,0.757264627457756,1705,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"7","Universities & colleges","Do not support cause",2018,"ng_020",0.67105174641267,0.0118572077293822,0.655456705069896,0.686646787755444,9260,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"8","Universities & colleges","Support cause",2018,"ng_020",0.802122511460271,0.0500274590730783,0.72347278051129,0.880772242409251,211,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"9","Health","Do not support cause",2018,"ng_020",0.62384343765807,0.0194679645514802,0.600039749681658,0.647647125634481,4350,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"10","Health","Support cause",2018,"ng_020",0.727277559472377,0.0142704279990458,0.706935951647429,0.747619167297325,5121,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"11","Hospitals","Do not support cause",2018,"ng_020",0.664463575862907,0.0141769018167348,0.646000646773219,0.682926504952596,7101,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"12","Hospitals","Support cause",2018,"ng_020",0.701501937899593,0.0223171278089405,0.670817705263533,0.732186170535654,2370,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"13","Social services","Do not support cause",2018,"ng_020",0.663787786901535,0.0166696172858604,0.642100612217095,0.685474961585974,4672,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"14","Social services","Support cause",2018,"ng_020",0.684988742558038,0.016439739381975,0.662917516771252,0.707059968344824,4799,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
"15","Environment","Do not support cause",2018,"ng_020",0.675830739573242,0.0123800227572104,0.659432113032949,0.692229366113535,8284,"Happy with what already given","Barriers to Giving by Cause Support","CA",""
