,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,1,Arts et culture,Do not support cause,2018,ng_020,0.675457137847978,0.0119062171018265,0.659694834409979,0.691219441285976,9008,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
1,1,2,Arts et culture,Support cause,2018,ng_020,0.631207966545448,0.0613353254689809,0.5553272826057529,0.707088650485142,463,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
2,2,3,Sport et loisir,Do not support cause,2018,ng_020,0.6615694724751321,0.0135071116066055,0.6440554446129381,0.6790835003373261,7547,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
3,3,4,Sport et loisir,Support cause,2018,ng_020,0.737542850465558,0.0205665293296255,0.707812751307873,0.767272949623244,1924,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
4,4,5,Éducation et recherche,Do not support cause,2018,ng_020,0.663852579078227,0.0127795681833246,0.647224736000268,0.6804804221561861,7766,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
5,5,6,Éducation et recherche,Support cause,2018,ng_020,0.7250715140717959,0.022653433973123,0.692878400685837,0.7572646274577559,1705,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
6,6,7,Universités et collèges,Do not support cause,2018,ng_020,0.6710517464126701,0.0118572077293822,0.655456705069896,0.6866467877554439,9260,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
7,7,8,Universités et collèges,Support cause,2018,ng_020,0.802122511460271,0.0500274590730783,0.7234727805112899,0.880772242409251,211,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
8,8,9,Santé,Do not support cause,2018,ng_020,0.6238434376580699,0.0194679645514802,0.600039749681658,0.6476471256344809,4350,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
9,9,10,Santé,Support cause,2018,ng_020,0.727277559472377,0.0142704279990458,0.7069359516474291,0.747619167297325,5121,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
10,10,11,Hôpitaux,Do not support cause,2018,ng_020,0.6644635758629069,0.0141769018167348,0.646000646773219,0.6829265049525961,7101,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
11,11,12,Hôpitaux,Support cause,2018,ng_020,0.7015019378995929,0.0223171278089405,0.670817705263533,0.7321861705356539,2370,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
12,12,13,Services sociaux,Do not support cause,2018,ng_020,0.6637877869015351,0.0166696172858604,0.642100612217095,0.685474961585974,4672,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
13,13,14,Services sociaux,Support cause,2018,ng_020,0.684988742558038,0.016439739381975002,0.6629175167712521,0.7070599683448242,4799,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
14,14,15,Environnement,Do not support cause,2018,ng_020,0.675830739573242,0.0123800227572104,0.659432113032949,0.692229366113535,8284,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
15,15,16,Environnement,Support cause,2018,ng_020,0.655229011043865,0.0351292140562643,0.610115186873929,0.7003428352138009,1187,Montant déjà donné suffisant,Barriers to Giving by Cause Support,CA,
