Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,ng_020,0.4133197607489123,8.4331089187212,0.34500383310433635,0.48163568839348825,360,Happy with what already given,Barriers to giving more,CA,
Age group,25 to 34 years,2018,ng_020,0.5608013286491818,3.9741053141973035,0.5171199339280946,0.6044827233702689,1074,Happy with what already given,Barriers to giving more,CA,
Age group,35 to 44 years,2018,ng_020,0.6618418303973665,2.6787081650231177,0.6270939990538847,0.6965896617408484,1518,Happy with what already given,Barriers to giving more,CA,
Age group,45 to 54 years,2018,ng_020,0.7239307979680845,2.286663347718472,0.6914858281318094,0.7563757678043596,1583,Happy with what already given,Barriers to giving more,CA,
Age group,55 to 64 years,2018,ng_020,0.7407442283809318,1.9741348460579407,0.7120831067774879,0.7694053499843757,2109,Happy with what already given,Barriers to giving more,CA,
Age group,65 to 74 years,2018,ng_020,0.8171246301392644,1.735199180788332,0.7893348106122384,0.8449144496662904,1814,Happy with what already given,Barriers to giving more,CA,
Age group,75 years and over,2018,ng_020,0.8106285866587625,2.2988860380926925,0.7741038201192582,0.8471533531982668,1013,Happy with what already given,Barriers to giving more,CA,
Gender,Male gender,2018,ng_020,0.6778106749150794,1.7756581991518101,0.6542213307680214,0.7014000190621374,4043,Happy with what already given,Barriers to giving more,CA,
Gender,Female gender,2018,ng_020,0.6700081886219398,1.496636648724853,0.6503544770934053,0.6896619001504742,5428,Happy with what already given,Barriers to giving more,CA,
Education,Less than High School,2018,ng_020,0.6698056990117726,4.242189809285758,0.6141144413237403,0.7254969566998049,855,Happy with what already given,Barriers to giving more,CA,
Education,Graduated from High school,2018,ng_020,0.6751530523655079,2.4494426600999852,0.6427401736749129,0.707565931056103,2146,Happy with what already given,Barriers to giving more,CA,
Education,Post-secondary diploma,2018,ng_020,0.6931721127068358,1.883853375501443,0.6675782243723876,0.718766001041284,3285,Happy with what already given,Barriers to giving more,CA,
Education,University Diploma,2018,ng_020,0.6506916358939616,2.108062109565693,0.6238068416177114,0.6775764301702119,2906,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),Married,2018,ng_020,0.7302057221067572,1.3236553488997125,0.7112618722975091,0.7491495719160052,4949,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),Living common-law,2018,ng_020,0.6416437555932268,3.688389794763136,0.5952586152586582,0.6880288959277955,966,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),Widowed,2018,ng_020,0.8283776760194724,2.614289634990731,0.7859323202005799,0.870823031838365,780,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),Separated,2018,ng_020,0.603605981999844,7.111956543699225,0.5194682656139407,0.6877436983857474,297,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),Divorced,2018,ng_020,0.6943533389558506,3.69735675862106,0.6440357321617468,0.7446709457499544,793,Happy with what already given,Barriers to giving more,CA,
Marital status (Original),"Single, never married",2018,ng_020,0.5420471663888806,3.9799980542434166,0.4997639486835019,0.5843303840942593,1686,Happy with what already given,Barriers to giving more,CA,
Marital status,Married/common-law,2018,ng_020,0.7123071575330375,1.272129855345379,0.6945469987411498,0.7300673163249253,5915,Happy with what already given,Barriers to giving more,CA,
Marital status,Widowed,2018,ng_020,0.8283776760194724,2.614289634990731,0.7859323202005799,0.870823031838365,780,Happy with what already given,Barriers to giving more,CA,
Marital status,Separated/divorced,2018,ng_020,0.663584850560647,3.364783752772321,0.6198223920553229,0.7073473090659711,1090,Happy with what already given,Barriers to giving more,CA,
Marital status,"Single, never married",2018,ng_020,0.5420471663888806,3.9799980542434166,0.4997639486835019,0.5843303840942593,1686,Happy with what already given,Barriers to giving more,CA,
Labour force status,Employed,2018,ng_020,0.6418243162102797,1.7187454939229365,0.6202033135415967,0.6634453188789626,5438,Happy with what already given,Barriers to giving more,CA,
Labour force status,Unemployed,2018,ng_020,0.4851415168014944,11.386785762672275,0.37686913704706787,0.5934138965559209,196,Happy with what already given,Barriers to giving more,CA,
Labour force status,Not in labour force,2018,ng_020,0.7559707397991946,1.5621122186876124,0.7328253069694011,0.7791161726289881,3565,Happy with what already given,Barriers to giving more,CA,
Labour force status,Unable to determine,2018,ng_020,0.6923562485146403,6.479416539576486,0.6044309994444776,0.7802814975848029,272,Happy with what already given,Barriers to giving more,CA,
Personal income category,"Less than $25,000",2018,ng_020,0.6260565233507025,2.3916811651704273,0.5967094417536157,0.6554036049477893,2484,Happy with what already given,Barriers to giving more,CA,
Personal income category,"$25,000 to $49,999",2018,ng_020,0.6701218976628339,2.155408722967369,0.6418124408252966,0.6984313545003712,2852,Happy with what already given,Barriers to giving more,CA,
Personal income category,"$50,000 to $74,999",2018,ng_020,0.720907930202368,2.0541204152828514,0.691884162270142,0.7499316981345939,2020,Happy with what already given,Barriers to giving more,CA,
