,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,Groupe d'âge,15 à 24 ans,2018,ng_020,0.4133197607489123,8.4331089187212,0.34500383310433635,0.4816356883934882,360,Montant déjà donné suffisant,Barriers to giving more,CA,
1,1,Groupe d'âge,25 à 34 ans,2018,ng_020,0.5608013286491818,3.9741053141973035,0.5171199339280946,0.6044827233702689,1074,Montant déjà donné suffisant,Barriers to giving more,CA,
2,2,Groupe d'âge,35 à 44 ans,2018,ng_020,0.6618418303973665,2.6787081650231177,0.6270939990538847,0.6965896617408484,1518,Montant déjà donné suffisant,Barriers to giving more,CA,
3,3,Groupe d'âge,45 à 54 ans,2018,ng_020,0.7239307979680845,2.286663347718472,0.6914858281318094,0.7563757678043596,1583,Montant déjà donné suffisant,Barriers to giving more,CA,
4,4,Groupe d'âge,55 à 64 ans,2018,ng_020,0.7407442283809318,1.9741348460579409,0.7120831067774879,0.7694053499843757,2109,Montant déjà donné suffisant,Barriers to giving more,CA,
5,5,Groupe d'âge,65 à 74 ans,2018,ng_020,0.8171246301392644,1.735199180788332,0.7893348106122384,0.8449144496662904,1814,Montant déjà donné suffisant,Barriers to giving more,CA,
6,6,Groupe d'âge,75 ans et plus,2018,ng_020,0.8106285866587625,2.2988860380926925,0.7741038201192582,0.8471533531982668,1013,Montant déjà donné suffisant,Barriers to giving more,CA,
7,7,Genre,Hommes,2018,ng_020,0.6778106749150794,1.7756581991518101,0.6542213307680214,0.7014000190621374,4043,Montant déjà donné suffisant,Barriers to giving more,CA,
8,8,Genre,Femmes,2018,ng_020,0.6700081886219398,1.496636648724853,0.6503544770934053,0.6896619001504742,5428,Montant déjà donné suffisant,Barriers to giving more,CA,
9,9,Éducation,Sans diplôme d'études secondaires,2018,ng_020,0.6698056990117726,4.242189809285758,0.6141144413237403,0.7254969566998049,855,Montant déjà donné suffisant,Barriers to giving more,CA,
10,10,Éducation,Diplôme d'études secondaires,2018,ng_020,0.6751530523655079,2.449442660099985,0.6427401736749129,0.707565931056103,2146,Montant déjà donné suffisant,Barriers to giving more,CA,
11,11,Éducation,Diplôme post-secondaire,2018,ng_020,0.6931721127068358,1.883853375501443,0.6675782243723876,0.7187660010412841,3285,Montant déjà donné suffisant,Barriers to giving more,CA,
