Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,nv_020,0.128022224,27.72280991,0.058460441,0.197584008,121,Gave enough time already,Barriers to volunteering,CA,*
Age group,25 to 34 years,2018,nv_020,0.094103491,29.09598255,0.04043902,0.147767962,222,Gave enough time already,Barriers to volunteering,CA,*
Age group,35 to 44 years,2018,nv_020,0.204656451,21.55498196,0.118195264,0.291117638,185,Gave enough time already,Barriers to volunteering,CA,*
Age group,45 to 54 years,2018,nv_020,0.190031162,18.75057875,0.120193838,0.259868486,211,Gave enough time already,Barriers to volunteering,CA,*
Age group,55 to 64 years,2018,nv_020,0.320603863,12.18148961,0.24405879,0.397148935,303,Gave enough time already,Barriers to volunteering,CA,
Age group,65 to 74 years,2018,nv_020,0.455457761,11.01304585,0.357146414,0.553769108,251,Gave enough time already,Barriers to volunteering,CA,
Age group,75 years and over,2018,nv_020,0.47423159,10.63902138,0.375344351,0.57311883,201,Gave enough time already,Barriers to volunteering,CA,
Gender,Male gender,2018,nv_020,0.231299548,10.04813184,0.185747469,0.276851627,663,Gave enough time already,Barriers to volunteering,CA,
Gender,Female gender,2018,nv_020,0.232311493,9.574055776,0.188718695,0.27590429,831,Gave enough time already,Barriers to volunteering,CA,
Education,Less than High School,2018,nv_020,0.407378786,15.4546805,0.283981238,0.530776335,126,Gave enough time already,Barriers to volunteering,CA,
Education,Graduated from High school,2018,nv_020,0.192063367,15.26754225,0.134590646,0.249536089,368,Gave enough time already,Barriers to volunteering,CA,
Education,Post-secondary diploma,2018,nv_020,0.225656258,11.97551599,0.172691169,0.278621347,507,Gave enough time already,Barriers to volunteering,CA,
Education,University Diploma,2018,nv_020,0.194432593,15.02103422,0.137190303,0.251674882,406,Gave enough time already,Barriers to volunteering,CA,
Marital status (Original),Married,2018,nv_020,0.265111839,8.591306758,0.220470579,0.309753098,681,Gave enough time already,Barriers to volunteering,CA,
Marital status (Original),Living common-law,2018,nv_020,0.168125324,27.50130995,0.077503123,0.258747526,131,Gave enough time already,Barriers to volunteering,CA,*
Marital status (Original),Widowed,2018,nv_020,0.524279447,13.35074335,0.387091369,0.661467525,150,Gave enough time already,Barriers to volunteering,CA,
Marital status (Original),Separated,2018,nv_020,0.233739809,39.76432329,0.051570852,0.415908766,41,Gave enough time already,Barriers to volunteering,CA,...
Marital status (Original),Divorced,2018,nv_020,0.373719384,18.60363349,0.237452134,0.509986633,133,Gave enough time already,Barriers to volunteering,CA,*
Marital status (Original),"Single, never married",2018,nv_020,0.152630821,16.72439745,0.102599633,0.202662008,358,Gave enough time already,Barriers to volunteering,CA,*
Marital status,Married/common-law,2018,nv_020,0.243184969,8.242530128,0.203898286,0.282471652,812,Gave enough time already,Barriers to volunteering,CA,
Marital status,Widowed,2018,nv_020,0.524279447,13.35074335,0.387091369,0.661467525,150,Gave enough time already,Barriers to volunteering,CA,
Marital status,Separated/divorced,2018,nv_020,0.328917239,17.77519243,0.214326627,0.443507851,174,Gave enough time already,Barriers to volunteering,CA,*
Marital status,"Single, never married",2018,nv_020,0.152630821,16.72439745,0.102599633,0.202662008,358,Gave enough time already,Barriers to volunteering,CA,*
Labour force status,Employed,2018,nv_020,0.160061803,10.85378738,0.126011804,0.194111802,823,Gave enough time already,Barriers to volunteering,CA,
Labour force status,Unemployed,2018,nv_020,0.140217035,57.59097891,-0.018054688,0.298488758,34,Gave enough time already,Barriers to volunteering,CA,...
Labour force status,Not in labour force,2018,nv_020,0.373011841,8.695738019,0.30943819,0.436585493,558,Gave enough time already,Barriers to volunteering,CA,
Labour force status,Unable to determine,2018,nv_020,0.377990851,23.54170981,0.203582457,0.552399244,79,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"Less than $25,000",2018,nv_020,0.2362532,12.06268446,0.180397209,0.29210919,446,Gave enough time already,Barriers to volunteering,CA,
Personal income category,"$25,000 to $49,999",2018,nv_020,0.261180344,11.81124087,0.200718122,0.321642567,446,Gave enough time already,Barriers to volunteering,CA,
Personal income category,"$50,000 to $74,999",2018,nv_020,0.185443467,16.78746895,0.12442731,0.246459624,290,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"$75,000 to $99,999",2018,nv_020,0.208691267,20.64566441,0.12424485,0.293137685,175,Gave enough time already,Barriers to volunteering,CA,*
Personal income category,"$100,000 to $124,999",2018,nv_020,0.148388521,36.1598573,0.043222582,0.253554461,61,Gave enough time already,Barriers to volunteering,CA,...
Personal income category,"$125,000 and more",2018,nv_020,0.265027132,24.86551731,0.135864785,0.394189478,76,Gave enough time already,Barriers to volunteering,CA,*
Family income category,"Less than $25,000",2018,nv_020,0.263769135,19.0271679,0.165402862,0.362135408,192,Gave enough time already,Barriers to volunteering,CA,*
Family income category,"$25,000 to $49,999",2018,nv_020,0.341820695,12.12935294,0.260559337,0.423082054,294,Gave enough time already,Barriers to volunteering,CA,
Family income category,"$50,000 to $74,999",2018,nv_020,0.216925591,16.40393077,0.147181598,0.286669584,230,Gave enough time already,Barriers to volunteering,CA,
