Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,15 to 24 years,2018,nv_020,0.316058491,8.798398787,0.261555643,0.370561339,460,Gave enough time already,Barriers to volunteering more,CA,
Age group,25 to 34 years,2018,nv_020,0.330557295,6.771022201,0.28668917,0.37442542,802,Gave enough time already,Barriers to volunteering more,CA,
Age group,35 to 44 years,2018,nv_020,0.381375088,5.047476777,0.343646136,0.41910404,1297,Gave enough time already,Barriers to volunteering more,CA,
Age group,45 to 54 years,2018,nv_020,0.445673919,4.454377977,0.406764712,0.484583126,1204,Gave enough time already,Barriers to volunteering more,CA,
Age group,55 to 64 years,2018,nv_020,0.422075014,4.407757247,0.385611761,0.458538266,1428,Gave enough time already,Barriers to volunteering more,CA,
Age group,65 to 74 years,2018,nv_020,0.542958668,3.8253139,0.502250464,0.583666872,1240,Gave enough time already,Barriers to volunteering more,CA,
Age group,75 years and over,2018,nv_020,0.589429576,4.372236589,0.538918843,0.639940308,613,Gave enough time already,Barriers to volunteering more,CA,
Gender,Male gender,2018,nv_020,0.400458506,3.36678804,0.374033117,0.426883895,2962,Gave enough time already,Barriers to volunteering more,CA,
Gender,Female gender,2018,nv_020,0.409138881,2.969713355,0.385324825,0.432952937,4082,Gave enough time already,Barriers to volunteering more,CA,
Education,Less than High School,2018,nv_020,0.45956185,7.17081553,0.394972546,0.524151155,476,Gave enough time already,Barriers to volunteering more,CA,
Education,Graduated from High school,2018,nv_020,0.354218649,6.500170291,0.30909084,0.399346458,1250,Gave enough time already,Barriers to volunteering more,CA,
Education,Post-secondary diploma,2018,nv_020,0.397004495,3.669563999,0.368451085,0.425557905,2275,Gave enough time already,Barriers to volunteering more,CA,
Education,University Diploma,2018,nv_020,0.420322796,3.375271731,0.392516716,0.448128877,2567,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),Married,2018,nv_020,0.439316674,2.506379959,0.417735618,0.460897729,3774,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),Living common-law,2018,nv_020,0.39594801,6.711065406,0.343867201,0.44802882,642,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),Widowed,2018,nv_020,0.524891992,6.254267151,0.460550005,0.589233979,502,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),Separated,2018,nv_020,0.397533836,13.26275471,0.294196817,0.500870854,196,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),Divorced,2018,nv_020,0.431538593,6.818817978,0.373865024,0.489212162,561,Gave enough time already,Barriers to volunteering more,CA,
Marital status (Original),"Single, never married",2018,nv_020,0.337352802,5.616730193,0.300215019,0.374490585,1369,Gave enough time already,Barriers to volunteering more,CA,
Marital status,Married/common-law,2018,nv_020,0.431774442,2.310819915,0.412218843,0.451330041,4416,Gave enough time already,Barriers to volunteering more,CA,
Marital status,Widowed,2018,nv_020,0.524891992,6.254267151,0.460550005,0.589233979,502,Gave enough time already,Barriers to volunteering more,CA,
Marital status,Separated/divorced,2018,nv_020,0.421015241,6.398772524,0.368214188,0.473816294,757,Gave enough time already,Barriers to volunteering more,CA,
Marital status,"Single, never married",2018,nv_020,0.337352802,5.616730193,0.300215019,0.374490585,1369,Gave enough time already,Barriers to volunteering more,CA,
Labour force status,Employed,2018,nv_020,0.376006116,3.043494611,0.353576826,0.398435407,4063,Gave enough time already,Barriers to volunteering more,CA,
Labour force status,Unemployed,2018,nv_020,0.273282593,17.25952918,0.180836406,0.365728781,167,Gave enough time already,Barriers to volunteering more,CA,*
Labour force status,Not in labour force,2018,nv_020,0.476527554,3.497977532,0.443857254,0.509197854,2331,Gave enough time already,Barriers to volunteering more,CA,
Labour force status,Unable to determine,2018,nv_020,0.438575969,8.081059413,0.36911174,0.508040199,483,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"Less than $25,000",2018,nv_020,0.371208337,4.611852973,0.337654571,0.404762103,1832,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"$25,000 to $49,999",2018,nv_020,0.436372356,3.863759511,0.403326622,0.46941809,1926,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"$50,000 to $74,999",2018,nv_020,0.433595872,4.70167381,0.393639529,0.473552214,1462,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"$75,000 to $99,999",2018,nv_020,0.396704876,5.37879738,0.35488326,0.438526493,903,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"$100,000 to $124,999",2018,nv_020,0.437894376,8.246015986,0.367122349,0.508666402,419,Gave enough time already,Barriers to volunteering more,CA,
Personal income category,"$125,000 and more",2018,nv_020,0.416319144,7.032466776,0.358936287,0.473702,502,Gave enough time already,Barriers to volunteering more,CA,
Family income category,"Less than $25,000",2018,nv_020,0.399919397,8.729885928,0.33149214,0.468346653,596,Gave enough time already,Barriers to volunteering more,CA,
Family income category,"$25,000 to $49,999",2018,nv_020,0.439523373,5.396594538,0.393034411,0.486012336,1019,Gave enough time already,Barriers to volunteering more,CA,
Family income category,"$50,000 to $74,999",2018,nv_020,0.440349889,5.189790464,0.395558369,0.48514141,1147,Gave enough time already,Barriers to volunteering more,CA,
Family income category,"$75,000 to $99,999",2018,nv_020,0.389486885,5.452244326,0.347865528,0.431108242,1243,Gave enough time already,Barriers to volunteering more,CA,
Family income category,"$100,000 to $124,999",2018,nv_020,0.408735016,6.2540919,0.358633116,0.458836915,799,Gave enough time already,Barriers to volunteering more,CA,
