,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,Groupe d'âge,15 à 24 ans,2018,nv_020,0.316058491,8.798398787,0.261555643,0.370561339,460,Assez de temps déjà donné,Barriers to volunteering more,CA,
1,1,Groupe d'âge,25 à 34 ans,2018,nv_020,0.330557295,6.771022201,0.28668917,0.37442542,802,Assez de temps déjà donné,Barriers to volunteering more,CA,
2,2,Groupe d'âge,35 à 44 ans,2018,nv_020,0.381375088,5.047476777,0.343646136,0.41910404,1297,Assez de temps déjà donné,Barriers to volunteering more,CA,
3,3,Groupe d'âge,45 à 54 ans,2018,nv_020,0.445673919,4.454377977,0.406764712,0.484583126,1204,Assez de temps déjà donné,Barriers to volunteering more,CA,
4,4,Groupe d'âge,55 à 64 ans,2018,nv_020,0.422075014,4.407757247,0.385611761,0.458538266,1428,Assez de temps déjà donné,Barriers to volunteering more,CA,
5,5,Groupe d'âge,65 à 74 ans,2018,nv_020,0.5429586679999999,3.8253139,0.502250464,0.583666872,1240,Assez de temps déjà donné,Barriers to volunteering more,CA,
6,6,Groupe d'âge,75 ans et plus,2018,nv_020,0.589429576,4.372236589,0.5389188429999999,0.639940308,613,Assez de temps déjà donné,Barriers to volunteering more,CA,
7,7,Genre,Hommes,2018,nv_020,0.400458506,3.36678804,0.374033117,0.426883895,2962,Assez de temps déjà donné,Barriers to volunteering more,CA,
8,8,Genre,Femmes,2018,nv_020,0.409138881,2.969713355,0.385324825,0.432952937,4082,Assez de temps déjà donné,Barriers to volunteering more,CA,
9,9,Éducation,Sans diplôme d'études secondaires,2018,nv_020,0.45956185,7.17081553,0.394972546,0.524151155,476,Assez de temps déjà donné,Barriers to volunteering more,CA,
10,10,Éducation,Diplôme d'études secondaires,2018,nv_020,0.354218649,6.500170291,0.30909084,0.399346458,1250,Assez de temps déjà donné,Barriers to volunteering more,CA,
11,11,Éducation,Diplôme post-secondaire,2018,nv_020,0.397004495,3.669563999,0.368451085,0.425557905,2275,Assez de temps déjà donné,Barriers to volunteering more,CA,
12,12,Éducation,Diplôme universtaire,2018,nv_020,0.420322796,3.375271731,0.392516716,0.448128877,2567,Assez de temps déjà donné,Barriers to volunteering more,CA,
13,13,État civil (original),Marié.e,2018,nv_020,0.439316674,2.506379959,0.417735618,0.460897729,3774,Assez de temps déjà donné,Barriers to volunteering more,CA,
